排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
69,3715,定穎投控,168.5,-8.5,-4.8,06/26,131,225,-2041,-3579,-5046,-5014,3635.0,-2276.0,4480.0,-1234.0
70,3034,聯詠,509.0,-52.0,-9.27,06/26,337,-2521,-3570,-3562,-3863,-1112,-12361.0,-4707.0,16412.0,-4696.0
71,1717,長興,69.5,-6.4,-8.43,06/26,106,-1702,-2612,-3534,-2470,-3697,13720.0,26611.0,44418.0,27867.0
72,2889,國票金,14.8,-0.2,-1.33,06/26,215,-450,-2969,-3427,-2512,-3233,12055.0,15680.0,-16698.0,14161.0
73,2337,旺宏,162.5,1.0,0.62,06/26,-56,1974,1805,-3366,-6324,-17475,-2857.0,-73763.0,-75793.0,-89080.0
74,1718,中纖,11.15,1.0,9.85,06/26,-626,-925,-2572,-3047,-5320,-5728,4904.0,4626.0,6150.0,4440.0
75,8150,南茂,97.5,1.5,1.56,06/26,643,76,-140,-3037,-4575,-10458,-1778.0,-5007.0,-5099.0,-7754.0
76,2405,輔信,17.05,-1.05,-5.8,06/26,-403,-392,-1550,-2942,-4522,-1262,-1986.0,2920.0,-1907.0,3041.0
77,1312,國喬,14.0,-0.15,-1.06,06/26,-2579,-3094,-3847,-2911,-1420,-6581,10235.0,22410.0,18859.0,22141.0
78,00830,國泰費城半導體,95.7,-3.55,-3.58,06/26,0,-148,624,-2842,-5650,2090,-2211.0,16574.0,12501.0,14027.0
79,8069,元太,195.0,-1.5,-0.76,06/26,-18,-2244,-3524,-2841,-4290,-11561,-5402.0,11705.0,14021.0,8570.0
80,2610,華航,23.2,-1.0,-4.13,06/26,997,1689,349,-2840,-15343,-182505,-198044.0,-137145.0,-126476.0,-125460.0
81,00981B,第一金優選非投債,9.22,0.0,0.0,06/26,0,0,0,-2833,-7691,-7727,12966.0,10724.0,30682.0,10724.0
82,2838,聯邦銀,22.45,-0.35,-1.54,06/26,42,-784,-3091,-2823,-1920,-2866,1204.0,-2747.0,4106.0,-2877.0
83,3010,華立,122.0,-4.0,-3.17,06/26,-512,-2274,-3031,-2805,-1907,-722,-118.0,197.0,-3296.0,-68.0
84,2436,偉詮電,70.8,-5.1,-6.72,06/26,-796,-590,-1431,-2800,-3758,-4374,2356.0,149.0,4432.0,91.0
85,00632R,元大台灣50反1,10.45,0.41,4.08,06/26,-40,-881,-1565,-2798,-4892,-12172,12988.0,47671.0,65473.0,49576.0
86,2892,第一金,32.65,-0.2,-0.61,06/26,331,-1643,-1255,-2757,-7167,-3559,18518.0,12741.0,-12273.0,13944.0
87,6443,元晶,34.5,-1.9,-5.22,06/26,0,11,-196,-2756,-4862,-4608,-4167.0,888.0,-9953.0,1520.0
88,1909,榮成,9.47,-0.09,-0.94,06/26,-350,-338,-2230,-2649,-4547,-2298,11306.0,11169.0,7660.0,11169.0
89,00984D,主動聯博全球非投,10.15,0.01,0.1,06/26,0,-2500,-2500,-2500,-542,-994,5228.0,,,
90,2023,燁輝,13.7,0.05,0.37,06/26,-83,257,-2571,-2469,-2521,-424,13916.0,27899.0,26735.0,27269.0
91,2515,中工,12.95,-0.1,-0.77,06/26,662,883,699,-2386,-1723,7133,40439.0,40617.0,52593.0,38441.0
92,6168,宏齊,30.25,-2.55,-7.77,06/26,45,-566,-2161,-2354,-923,-1307,-2026.0,238.0,2846.0,220.0
93,1434,福懋,16.7,-0.7,-4.02,06/26,-795,-886,-2343,-2331,-3143,-3871,405.0,-108.0,-8455.0,-355.0
94,2399,映泰,48.5,-3.8,-7.27,06/26,-437,30,-1448,-2328,-2424,-3248,1878.0,-3279.0,3519.0,-3683.0
95,006208,富邦台50,238.7,-9.4,-3.79,06/26,0,0,31,-2314,-4040,-5482,-7239.0,-2280.0,-23033.0,-1965.0
96,2547,日勝生,10.9,-0.05,-0.46,06/26,-816,-1020,-1980,-2216,-5370,-1014,10948.0,11625.0,9935.0,11703.0
97,00946,群益科技高息成長,14.81,-0.67,-4.33,06/26,0,-20,-58,-2136,-2136,-2259,447.0,-6531.0,-4852.0,-6939.0
98,1227,佳格,29.05,-0.25,-0.85,06/26,3,10,-714,-2130,-4291,-8571,-4203.0,-941.0,4325.0,-839.0
99,00673R,期元大S&P原油反1,15.72,-0.24,-1.5,06/26,-513,-567,-1542,-2105,-5773,-9100,597.0,11938.0,9083.0,11938.0
100,3035,智原,206.5,-22.5,-9.83,06/26,-49,-482,-757,-2052,-4375,-6930,-5835.0,-7256.0,9705.0,-7333.0
101,9921,巨大,76.5,2.0,2.68,06/26,114,-34,-1771,-2050,-3137,-459,3901.0,6280.0,4197.0,5923.0
102,00945B,凱基美國非投等債,14.5,0.01,0.07,06/26,0,-2000,-2000,-2000,0,0,-504.0,1176.0,-4408.0,1176.0
103,6191,精成科,100.5,1.2,1.21,06/26,-122,64,-1194,-1993,-4356,-1054,15785.0,10979.0,19333.0,9789.0
104,00688L,國泰20年美債正2,7.2,0.03,0.42,06/26,-300,-300,-1956,-1956,-2296,-3105,-16176.0,-43977.0,-51196.0,-43626.0
105,1907,永豐餘,27.0,-0.2,-0.74,06/26,-396,-940,-1524,-1953,-1774,-3515,-946.0,5770.0,2708.0,5000.0
106,1305,華夏,13.0,-0.3,-2.26,06/26,-977,-735,-1813,-1935,-2883,-2734,-2008.0,7434.0,6400.0,7262.0
107,2355,敬鵬,51.7,-3.3,-6.0,06/26,69,-75,-1371,-1930,-4316,3168,3319.0,-257.0,7822.0,-515.0
108,2820,華票,17.8,-0.05,-0.28,06/26,70,50,-1419,-1924,-1882,-1579,-37.0,293.0,-1911.0,293.0
109,6269,台郡,71.6,-4.3,-5.67,06/26,262,396,-1129,-1749,-3489,-2497,-733.0,1501.0,-9552.0,1643.0
110,3045,台灣大,118.5,-1.5,-1.25,06/26,281,1001,-877,-1734,-2489,377,-2595.0,-4495.0,21785.0,-12073.0
111,2103,台橡,20.25,-1.2,-5.59,06/26,-212,-266,-875,-1728,-2209,-3427,-1263.0,1863.0,2017.0,1610.0
112,1722,台肥,47.2,-0.65,-1.36,06/26,136,369,-814,-1708,-5154,-16987,4287.0,7733.0,10357.0,9051.0
113,2347,聯強,92.8,-2.2,-2.32,06/26,-849,-1881,-2484,-1695,-1060,7740,9661.0,7630.0,-5556.0,7646.0
114,2393,億光,67.6,-1.5,-2.17,06/26,126,198,-1673,-1690,-1237,-218,5650.0,-379.0,-9858.0,1194.0
115,6919,康霈*,98.1,-1.2,-1.21,06/26,0,-353,-830,-1689,-1792,-2549,6532.0,0.0,0.0,0.0
116,2481,強茂,175.0,-17.0,-8.85,06/26,264,-131,-652,-1688,-774,-455,-5115.0,-28075.0,-1414.0,-28314.0
117,1727,中華化,88.0,-5.6,-5.98,06/26,19,84,-1121,-1678,-2082,-1525,617.0,-1702.0,684.0,-1709.0
118,3048,益登,63.0,-4.0,-5.97,06/26,188,73,-696,-1656,139,1540,-4185.0,-7802.0,480.0,-7427.0
119,2404,漢唐,1340.0,-25.0,-1.83,06/26,-505,-635,-773,-1644,-1509,-5715,-3061.0,371.0,1850.0,998.0
120,5425,台半,114.5,-12.5,-9.84,06/26,-123,-717,-690,-1637,-457,2386,2885.0,972.0,5484.0,785.0
121,2323,中環,10.9,-0.55,-4.8,06/26,352,844,-920,-1618,-3504,-2731,3540.0,7413.0,2099.0,7446.0
122,3042,晶技,193.0,6.0,3.21,06/26,1509,1147,19,-1595,-1403,1221,1046.0,-7770.0,-12670.0,-7774.0
123,2049,上銀,307.0,-27.5,-8.22,06/26,-146,-140,-1040,-1593,-1431,-780,-5104.0,-14913.0,-10298.0,-14618.0
