排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
71,2412,中華電,142.0,1.5,1.07,06/02,0.1,0.17,0.24,0.3,0.32,0.45,0.29,0.4,0.01,1.37,1.6,0.4
72,3481,群創,56.2,0.1,0.18,06/02,0.3,0.37,0.37,0.3,0.26,0.31,-0.11,0.39,-0.36,-0.01,-1.8,0.38
73,6890,來億-KY,191.5,17.0,9.74,06/02,0.26,0.29,0.29,0.29,0.29,0.29,0.29,0.15,0.52,,,-0.06
74,2891,中信金,64.1,2.0,3.22,06/02,0.09,0.16,0.23,0.28,0.13,-0.37,-0.34,-2.21,-0.52,9.97,12.4,-0.89
75,6285,啟碁,306.0,-8.0,-2.55,06/02,0.01,0.04,0.07,0.26,-1.24,-0.85,-0.18,1.22,-4.64,7.62,4.07,1.08
76,006201,元大富櫃50,49.55,-0.8,-1.59,06/02,0.08,0.14,-0.04,0.26,0.59,0.93,0.02,-2.39,-7.21,-11.6,-83.5,-1.92
77,2059,川湖,5075.0,-140.0,-2.68,06/02,0.01,0.09,0.28,0.24,0.13,0.61,2.22,-0.33,-2.07,4.37,5.98,-0.96
78,2421,建準,164.5,-0.5,-0.3,06/02,0.04,0.09,0.09,0.24,1.83,2.15,0.96,0.79,0.99,-1.31,1.63,0.95
79,6196,帆宣,517.0,4.0,0.78,06/02,0.01,0.03,0.03,0.22,0.88,1.15,0.92,-2.77,-5.49,1.29,1.25,1.03
80,00935,野村臺灣新科技50,62.0,-0.4,-0.64,06/02,0.12,0.16,0.17,0.2,0.3,0.61,-3.02,2.94,2.94,,,2.94
81,2472,立隆電,380.0,-12.0,-3.06,06/02,-0.02,0.0,0.0,0.2,0.33,1.66,2.11,0.13,1.44,3.1,3.12,0.2
82,6147,頎邦,281.0,-4.5,-1.58,06/02,-0.68,-0.76,-0.61,0.2,2.07,3.82,7.96,5.76,-0.08,9.61,9.25,6.86
83,00980A,主動野村臺灣優選,24.7,-0.2,-0.8,06/02,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,,,0.2
84,2393,億光,64.6,0.2,0.31,06/02,0.08,0.25,0.23,0.18,0.28,0.86,0.03,-13.4,-18.7,5.8,5.48,-0.89
85,6206,飛捷,142.0,0.5,0.35,06/02,0.09,0.19,0.19,0.18,0.17,0.09,0.15,-3.51,-0.37,0.52,-0.26,-0.86
86,00923,群益台ESG低碳50,42.7,0.01,0.02,06/02,0.0,0.0,0.06,0.18,0.3,0.3,0.3,0.06,-0.06,1.12,,0.41
87,2049,上銀,364.0,-23.5,-6.06,06/02,0.03,0.05,0.05,0.17,0.23,0.72,0.59,0.83,-0.54,-1.51,0.93,0.83
88,2351,順德,200.0,-2.0,-0.99,06/02,0.06,0.06,0.06,0.17,0.76,0.9,0.93,1.07,0.84,-1.52,0.34,1.07
89,3189,景碩,743.0,-31.0,-4.01,06/02,0.0,0.0,0.0,0.17,1.3,-0.36,-0.28,3.98,5.17,1.74,4.49,5.31
90,00735,國泰臺韓科技,116.45,0.1,0.09,06/02,0.0,0.04,0.07,0.16,0.29,0.29,0.29,0.29,0.29,0.29,,0.29
91,2426,鼎元,71.5,-5.5,-7.14,06/02,0.03,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16
92,3026,禾伸堂,650.0,-22.0,-3.27,06/02,-0.17,-0.14,-0.17,0.16,1.13,7.13,7.26,7.14,7.54,7.75,6.89,7.15
93,6449,鈺邦,372.0,-39.0,-9.49,06/02,0.0,0.0,0.0,0.16,0.21,-0.11,-0.97,-1.13,1.24,4.22,3.79,-0.97
94,7734,印能科技,3230.0,-185.0,-5.42,06/02,0.0,0.02,0.02,0.15,0.45,0.96,5.82,5.13,5.15,,,5.21
95,3017,奇鋐,2700.0,-85.0,-3.05,06/02,-0.03,-0.01,0.06,0.15,0.44,0.11,1.83,0.01,1.34,-10.4,4.69,-0.35
96,8064,東捷,157.0,0.0,0.0,06/02,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
97,1513,中興電,168.0,-0.5,-0.3,06/02,0.11,0.12,0.14,0.14,0.55,0.55,0.48,-0.63,1.74,-6.32,3.25,-0.42
98,8150,南茂,98.6,-7.9,-7.42,06/02,0.0,0.04,0.04,0.14,0.14,1.67,1.75,1.67,0.7,1.2,1.74,1.82
99,2892,第一金,28.15,0.4,1.44,06/02,0.1,0.11,0.13,0.13,0.23,0.25,0.15,-3.38,-1.65,-0.95,0.6,0.1
100,6715,嘉基,437.5,-15.5,-3.42,06/02,0.03,0.13,0.13,0.13,0.36,2.0,6.36,6.36,6.36,5.46,,6.36
101,6584,南俊國際,658.0,-73.0,-9.99,06/02,-0.06,0.08,0.15,0.13,0.16,-0.58,2.22,-0.17,3.46,3.46,,0.53
102,8016,矽創,302.0,-7.0,-2.27,06/02,0.04,0.13,0.13,0.12,1.42,1.85,0.58,-0.86,0.25,2.21,-0.28,-1.04
103,2801,彰銀,20.6,0.15,0.73,06/02,0.09,0.12,0.14,0.12,0.2,0.21,0.12,-0.94,-0.71,-0.04,0.17,-0.8
104,1773,勝一,179.0,-6.0,-3.24,06/02,0.0,0.0,0.04,0.12,0.38,0.38,0.29,-0.52,-0.92,0.33,0.22,-0.3
105,2428,興勤,276.5,-6.5,-2.3,06/02,0.06,0.12,0.12,0.12,0.12,0.12,-2.35,-2.84,-0.02,-0.58,0.05,-2.59
106,6146,耕興,221.5,-6.0,-2.64,06/02,0.05,0.11,0.11,0.11,0.12,0.4,0.63,0.63,0.41,-1.22,-0.08,0.62
107,3260,威剛,469.5,42.5,9.95,06/02,0.01,0.08,0.05,0.11,-1.63,-6.51,-7.94,-7.14,1.8,1.7,4.72,-9.73
108,00850,元大臺灣ESG永續,91.05,0.3,0.33,06/02,-0.01,0.05,0.05,0.11,0.46,0.53,0.42,0.29,-0.16,0.84,,0.28
109,2441,超豐,134.0,-3.5,-2.55,06/02,0.04,0.11,0.11,0.11,0.18,-0.24,-2.62,-0.95,0.49,3.85,-1.83,-2.55
