排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
143,6176,瑞儀,103.5,-1.5,-1.43,06/02,-1351,-1617,-1121,-865,2876,8871.0,39881.0,25932.0,30400.0,30946.0
144,00675L,富邦臺灣加權正2,335.65,2.0,0.6,06/02,0,0,-11,-861,-1233,-1746.0,-1960.0,250.0,-3292.0,-1866.0
145,3041,揚智,25.65,0.0,0.0,06/02,-386,-692,-682,-826,-1053,-475.0,-2151.0,-803.0,-1850.0,-1243.0
146,00665L,富邦恒生國企正2,9.9,0.48,5.1,06/02,-11,-812,-812,-812,4277,4992.0,-3412.0,-1894.0,-23647.0,-9217.0
147,3704,合勤控,48.0,1.2,2.56,06/02,-169,-402,-504,-812,-2658,-3787.0,-15991.0,-7616.0,-4068.0,-11328.0
148,2365,昆盈,37.05,-0.95,-2.5,06/02,-346,-285,-201,-806,-1732,-1371.0,-2266.0,205.0,-248.0,-2360.0
149,4157,太景*-KY,9.06,0.0,0.0,06/02,133,209,-335,-804,-260,818.0,-5122.0,4105.0,2421.0,1811.0
150,5864,致和證,45.4,2.0,4.61,06/02,-98,-214,-344,-782,-614,-66.0,-245.0,724.0,-1742.0,652.0
151,3312,弘憶股,60.6,5.5,9.98,06/02,-212,-673,-485,-779,-1808,-2171.0,-3677.0,-1544.0,-2120.0,-766.0
152,6265,方土昶,61.6,5.6,10.0,06/02,7,-100,-166,-776,-1010,-603.0,269.0,385.0,1350.0,47.0
153,8070,長華*,58.0,5.2,9.85,06/02,-626,-752,-293,-771,180,671.0,1420.0,-11994.0,2130.0,-11617.0
154,4931,新盛力,231.0,-7.5,-3.14,06/02,-112,-112,-191,-766,-1032,-1078.0,366.0,12.0,-301.0,1266.0
155,6104,創惟,101.0,-0.5,-0.49,06/02,-18,-122,-327,-759,-1577,-2412.0,-2539.0,840.0,3523.0,-1021.0
156,5347,世界,171.5,-7.5,-4.19,06/02,-1026,-844,585,-740,4852,6620.0,27173.0,10843.0,200.0,5552.0
157,3036,文曄,290.5,3.0,1.04,06/02,-102,-88,-875,-740,1438,9354.0,30261.0,16670.0,54078.0,30540.0
158,1608,華榮,35.85,1.05,3.02,06/02,-758,-826,-779,-731,-593,-566.0,1219.0,-3821.0,-2783.0,-4652.0
159,5522,遠雄,75.1,0.9,1.21,06/02,-30,21,-254,-729,-726,204.0,3566.0,-17528.0,-14103.0,-1678.0
160,6214,精誠,158.0,14.0,9.72,06/02,-8,-449,-422,-720,-1098,-1609.0,-2095.0,491.0,177.0,-1339.0
161,6182,合晶,90.1,-6.9,-7.11,06/02,-1334,-2211,-3052,-706,-953,-4401.0,-20000.0,-17844.0,9699.0,-17920.0
162,00753L,中信中國50正2,10.28,0.59,6.09,06/02,-1030,-1030,-1030,-702,1982,-851.0,-5051.0,-1244.0,-21957.0,-3367.0
163,2464,盟立,185.0,-14.0,-7.04,06/02,78,123,-449,-702,-1457,1221.0,-7400.0,-8103.0,-2709.0,-7658.0
164,1905,華紙,12.25,0.1,0.82,06/02,151,16,477,-701,10,575.0,8861.0,12557.0,7908.0,11444.0
165,8028,昇陽半導體,335.0,-21.5,-6.03,06/02,-65,-131,-271,-697,-1367,-2649.0,-6516.0,-11844.0,-2719.0,-10530.0
166,9939,宏全,123.5,-1.0,-0.8,06/02,285,-469,-337,-692,-1987,-16.0,-296.0,-332.0,7796.0,-1199.0
167,3006,晶豪科,267.5,17.5,7.0,06/02,-113,-17,-69,-691,-1312,-3584.0,896.0,-7862.0,-4751.0,-3288.0
168,3189,景碩,743.0,-31.0,-4.01,06/02,-34,-34,-450,-686,-2662,-2507.0,-6989.0,-1958.0,-5951.0,-1313.0
169,3376,新日興,211.5,-3.5,-1.63,06/02,-563,-460,504,-685,-3344,-1645.0,-141.0,3398.0,8189.0,5362.0
170,5530,龍巖,49.1,0.1,0.2,06/02,-724,-722,-707,-656,-538,-158.0,2310.0,4909.0,4495.0,4613.0
171,3709,鑫聯大投控,88.4,1.7,1.96,06/02,-24,-24,-116,-652,-1165,-817.0,-378.0,-439.0,239.0,-1362.0
172,5309,系統電,78.6,2.7,3.56,06/02,71,-32,-238,-651,-3419,-4014.0,1050.0,-1297.0,4614.0,1692.0
173,3014,聯陽,151.0,-1.5,-0.98,06/02,-16,48,-361,-648,-1088,-2309.0,725.0,1907.0,2273.0,983.0
174,6207,雷科,127.0,4.5,3.67,06/02,-25,-360,-338,-628,-367,405.0,-133.0,1007.0,1782.0,1161.0
175,6873,泓德能源,90.2,0.0,0.0,06/02,-408,-632,-632,-617,-497,-366.0,-1902.0,-1011.0,2384.0,-1673.0
176,00795B,中信美國公債20年,26.78,0.25,0.94,06/02,188,188,186,-609,-610,-2320.0,2525.0,-7283.0,-28435.0,-3625.0
177,1789,神隆,20.05,0.35,1.78,06/02,-60,-238,-334,-609,-553,-203.0,3268.0,6121.0,5955.0,5709.0
178,4939,亞電,53.5,-2.0,-3.6,06/02,-97,-279,-221,-600,-974,-784.0,-426.0,-1215.0,1041.0,-2100.0
179,6026,福邦證,17.8,0.5,2.89,06/02,-161,-191,-560,-593,-437,690.0,1188.0,1392.0,-648.0,1475.0
180,6126,信音,38.8,1.55,4.16,06/02,-141,-195,-190,-576,-642,-755.0,-992.0,176.0,-251.0,385.0
181,5009,榮剛,35.95,-0.35,-0.96,06/02,60,-336,-582,-566,-524,-1350.0,1260.0,3866.0,-394.0,2437.0
182,6189,豐藝,51.1,1.2,2.4,06/02,78,-407,-504,-559,-1423,-979.0,-3342.0,-1326.0,-5442.0,217.0
183,4966,譜瑞-KY,827.0,-32.0,-3.73,06/02,-69,279,-443,-548,-391,-1946.0,971.0,3758.0,4714.0,3318.0
184,6120,達運,15.45,0.55,3.69,06/02,157,270,215,-546,-430,-125.0,-1526.0,1237.0,2072.0,-1058.0
185,3056,富華新,13.5,0.1,0.75,06/02,-259,-211,-611,-543,-650,-1679.0,-907.0,-5704.0,21857.0,-5694.0
186,4306,炎洲,14.45,0.2,1.4,06/02,-155,-110,-316,-528,-500,276.0,-20.0,-3168.0,-919.0,-2036.0
187,1305,華夏,13.1,0.25,1.95,06/02,132,-116,-491,-524,-938,-1828.0,10043.0,11382.0,7808.0,9477.0
188,3236,千如,55.0,-2.3,-4.01,06/02,-50,-173,-393,-518,-450,-962.0,361.0,-558.0,1433.0,-859.0
189,1708,東鹼,39.45,0.85,2.2,06/02,-429,-372,-563,-503,20,-183.0,1054.0,76.0,99.0,432.0
190,00893,國泰智能電動車,47.06,-0.57,-1.2,06/02,0,0,-500,-500,-1000,-1000.0,-239.0,-2236.0,-3465.0,240.0
191,00688L,國泰20年美債正2,6.93,0.1,1.46,06/02,-93,-95,-484,-496,-1779,-3961.0,-28376.0,-42137.0,-58605.0,-41017.0
192,6121,新普,402.5,6.5,1.64,06/02,-136,-342,-344,-496,-529,408.0,1040.0,371.0,819.0,977.0
193,4167,松瑞藥,20.25,0.2,1.0,06/02,-130,-265,-240,-495,-204,422.0,884.0,2523.0,2150.0,2070.0
194,6443,元晶,42.55,0.45,1.07,06/02,-88,30,-506,-483,1888,3498.0,-229.0,-5733.0,-3826.0,5607.0
