代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
6189,豐藝,53.2,-1.1,-2.03,06/08,2,259,3.33,0.1,-24,-625,-1.42,-0.24,1,15,0.37,0.01,2,244,3.14,0.09
6197,佳必琪,327.0,2.0,0.62,06/08,2,903,6.22,0.74,0,0,0.0,0.0,-3,-191,-0.97,-0.16,2,783,5.39,0.64
6201,亞弘電,47.7,-1.3,-2.65,06/08,2,13,13.0,0.01,0,0,0.0,0.0,2,6,6.08,0.01,2,19,19.0,0.02
6205,詮欣,82.1,0.0,0.0,06/08,2,383,11.0,0.47,0,0,0.0,0.0,1,1,0.06,0.0,2,384,11.0,0.47
6213,聯茂,243.5,-11.0,-4.32,06/08,2,642,4.2,0.18,0,0,0.0,0.0,-5,-1503,-2.44,-0.41,2,82,0.54,0.02
6214,精誠,140.5,-4.0,-2.77,06/08,2,1192,20.8,0.44,-2,-5,-0.09,0.0,-4,-121,-0.6,-0.04,2,1114,19.4,0.41
6218,豪勉,33.4,-3.4,-9.24,06/08,2,163,10.8,0.25,0,0,0.0,0.0,-1,0,-0.02,0.0,2,163,10.8,0.25
6237,驊訊,46.25,-3.45,-6.94,06/08,2,413,16.4,0.52,0,0,0.0,0.0,-3,-62,-0.95,-0.08,2,376,14.9,0.47
6275,元山,48.55,-1.55,-3.09,06/08,2,70,5.6,0.09,0,0,0.0,0.0,-5,-51,-1.34,-0.06,2,39,3.1,0.05
6279,胡連,119.5,-1.0,-0.83,06/08,2,276,12.0,0.23,-16,-258,-1.44,-0.22,4,30,0.78,0.03,2,276,12.0,0.23
6285,啟碁,273.5,-18.5,-6.34,06/08,2,1128,5.08,0.23,2,149,0.67,0.03,-3,-424,-1.26,-0.09,2,951,4.28,0.2
6419,京晨科,131.0,-9.0,-6.43,06/08,2,71,11.8,0.54,0,0,0.0,0.0,1,0,0.09,0.0,2,71,11.8,0.54
6425,易發,77.4,-5.6,-6.75,06/08,2,275,11.0,0.54,0,0,0.0,0.0,1,0,0.04,0.0,2,275,11.0,0.54
6516,勤崴國際,60.3,0.1,0.17,06/08,2,26,10.9,0.05,0,0,0.0,0.0,0,0,0.0,0.0,2,26,10.9,0.05
6523,達爾膚,98.0,-0.8,-0.81,06/08,2,19,24.6,0.04,0,0,0.0,0.0,0,0,0.0,0.0,2,19,24.6,0.04
6526,達發,627.0,-42.0,-6.28,06/08,2,51,3.59,0.03,7,858,10.5,0.51,-4,-40,-0.98,-0.02,2,33,2.31,0.02
6550,北極星藥業-KY,13.15,-0.25,-1.87,06/08,2,832,23.0,0.09,0,0,0.0,0.0,-5,-24,-0.26,0.0,2,819,22.6,0.09
6568,宏觀,183.0,-20.0,-9.85,06/08,2,76,11.2,0.25,0,0,0.0,0.0,-3,-164,-16.9,-0.53,-3,-164,-16.9,-0.53
6569,醫揚,111.5,0.0,0.0,06/08,2,4,1.14,0.01,0,0,0.0,0.0,1,0,0.02,0.0,1,4,3.07,0.01
6588,東典光電,103.0,-6.0,-5.5,06/08,2,250,20.2,0.72,0,0,0.0,0.0,1,0,0.0,0.0,2,250,20.2,0.72
6603,富強鑫,22.4,-1.1,-4.68,06/08,2,283,12.9,0.17,0,0,0.0,0.0,-1,-3,-0.27,0.0,2,283,12.9,0.17
6615,慧智,32.9,-1.6,-4.64,06/08,2,4,3.98,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,4,3.98,0.02
6643,M31,501.0,-55.0,-9.89,06/08,2,20,2.1,0.05,0,0,0.0,0.0,-6,-74,-2.25,-0.18,-1,-48,-13.1,-0.12
6658,聯策,188.5,1.5,0.8,06/08,2,126,4.22,0.35,0,0,0.0,0.0,-1,-2,-0.17,-0.01,2,124,4.15,0.34
6679,鈺太,262.0,-19.0,-6.76,06/08,2,4,0.42,0.01,4,47,2.55,0.09,-6,-240,-8.27,-0.44,-3,-69,-4.73,-0.13
6689,伊雲谷,71.2,-2.3,-3.13,06/08,2,151,15.0,0.22,0,0,0.0,0.0,1,1,0.16,0.0,2,149,14.7,0.22
6690,安碁資訊,174.0,-8.0,-4.4,06/08,2,63,17.8,0.21,0,0,0.0,0.0,0,0,0.0,0.0,2,63,17.8,0.21
