" "," ","#","股票代號/名稱","類別","20260424","0430","0508","0515","0522","0529"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","77","6226光鼎","光電","0.84","-0.82","1.04","-0.04","-0.43","2.25"," ","31","2.84"," ","24.25","13.00","-0.05"," "
" "," ","78","2328廣宇","電子零組件","0.12","0.14","0.53","0.14","0.11","1.79"," ","31","2.83"," ","43.03","55.50","2.50"," "
" "," ","79","9136巨騰-DR","存託憑證","-0.47","0.38","-0.15","0.00","2.17","0.88"," ","30","2.81"," ","68.10","11.10","-0.05"," "
" "," ","80","2342茂矽","半導體","0.85","0.01","5.00","-4.56","1.07","0.34"," ","30","2.71"," ","40.92","42.80","0.40"," "
" "," ","81","2312金寶","其他電子","-2.37","0.01","-0.13","0.81","3.46","0.91"," ","30","2.69"," ","52.76","38.95","1.25"," "
" "," ","82","2399映泰","電腦週邊","-1.04","0.81","-3.70","0.19","2.10","4.33"," ","50","2.69"," ","33.19","47.90","0.20"," "
" "," ","83","2537聯上發","營建","0.91","-0.21","0.77","0.77","-0.16","0.59"," ","31","2.67"," ","59.01","9.45","-0.02"," "
" "," ","84","6197佳必琪","電子零組件","1.60","2.64","0.83","-1.89","1.47","-1.99"," ","30","2.66"," ","49.00","297.00","14.50"," "
" "," ","85","2303聯電","半導體","0.98","-0.11","1.17","0.71","-0.12","0.00"," ","31","2.63"," ","78.73","144.50","2.50"," "
" "," ","86","3022威強電","電腦週邊","0.41","-0.26","1.27","-0.03","0.39","0.82"," ","50","2.60"," ","60.11","74.80","1.70"," "
" "," ","87","3038全台","光電","0.53","0.64","0.28","0.43","0.19","0.52"," ","31","2.59"," ","42.91","23.20","-0.10"," "
" "," ","88","2405輔信","電腦週邊","0.28","0.09","0.63","-0.09","0.64","1.03"," ","50","2.58"," ","25.09","17.65","1.20"," "
" "," ","89","3041揚智","半導體","-0.97","0.03","0.74","0.09","1.65","1.03"," ","30","2.57"," ","25.65","25.65","0.25"," "
" "," ","90","2327國巨*","電子零組件","-0.51","0.44","1.38","0.24","1.34","-0.35"," ","30","2.54"," ","74.80","738.00","-4.00"," "
