排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
251,8039,台虹,140.5,-3.5,-2.43,05/18,-0.34,-1.07,0.99,0.52,0.87,-3.68,-0.66,2.57,-3.06,-2.96,-2.81,-5.06
252,009815,大華美國MAG7+,11.26,-0.14,-1.23,05/18,0.15,0.23,0.17,0.52,0.31,3.84,6.7,,,,,
253,6174,安碁,40.95,3.7,9.93,05/18,0.32,0.45,0.08,0.51,-0.83,0.42,0.07,0.02,-0.09,-1.11,0.35,0.06
254,6270,倍微,26.0,0.15,0.58,05/18,0.12,0.12,0.36,0.51,0.34,0.34,0.63,-0.05,-0.45,-0.93,0.39,-0.05
255,1216,統一,74.7,-1.0,-1.32,05/18,-0.03,0.17,0.21,0.51,0.76,0.78,0.42,-2.65,-4.87,-8.0,-19.2,-0.08
256,00679B,元大美債20年,26.16,-0.25,-0.95,05/18,0.21,0.22,0.35,0.5,0.72,1.93,4.27,8.22,13.9,14.1,,6.06
257,5464,霖宏,57.3,0.2,0.35,05/18,0.19,0.24,0.38,0.5,1.38,2.57,2.62,2.7,2.73,3.23,3.04,2.66
258,2313,華通,259.0,23.5,9.98,05/18,1.11,-0.1,1.4,0.5,-1.1,-0.27,-7.34,-11.1,7.7,3.3,3.52,-7.67
259,6568,宏觀,207.5,0.0,0.0,05/18,0.15,0.34,0.33,0.5,-0.48,0.26,2.79,2.13,0.36,2.45,,2.45
260,3680,家登,544.0,-24.0,-4.23,05/18,0.21,0.9,0.77,0.5,2.33,4.27,4.13,9.62,-4.71,7.19,18.6,9.06
261,3138,耀登,163.0,14.5,9.76,05/18,0.53,0.79,0.73,0.49,0.43,-2.51,-3.72,-2.14,-2.48,-2.27,,-2.22
262,00719B,元大美債1-3,30.92,0.09,0.29,05/18,0.15,0.07,0.17,0.49,0.19,0.22,0.3,-0.66,9.85,17.7,,0.11
263,3221,台嘉碩,44.6,4.05,9.99,05/18,1.1,1.42,1.03,0.49,-0.61,-2.56,1.5,0.44,-1.43,1.46,-3.74,0.12
264,2070,精湛,65.7,0.5,0.77,05/18,0.08,0.15,0.4,0.49,-0.91,-1.99,-0.53,0.03,-3.44,0.52,,-0.3
265,5236,凌陽創新,163.0,2.0,1.24,05/18,0.04,0.24,0.47,0.48,1.06,0.97,2.51,1.47,-0.49,2.43,,2.49
266,5371,中光電,71.8,3.2,4.66,05/18,0.21,0.35,0.36,0.48,0.12,-1.0,-0.41,-2.92,-7.32,-16.3,-43.0,-0.48
267,2305,全友,16.6,0.2,1.22,05/18,0.37,0.64,0.44,0.48,0.99,1.91,1.93,1.73,2.43,4.29,3.46,2.03
268,6411,晶焱,83.0,0.4,0.48,05/18,0.11,0.12,0.41,0.48,0.84,1.41,1.64,2.88,1.29,2.37,4.23,2.1
269,00968B,元大優息投等債,9.18,-0.04,-0.43,05/18,0.08,-0.14,0.05,0.47,0.63,2.79,3.13,5.89,59.5,,,3.25
270,00916,國泰全球品牌50,27.74,0.03,0.11,05/18,0.01,0.41,0.41,0.47,1.95,2.94,1.91,3.28,12.0,4.84,,2.69
271,2030,彰源,16.8,-0.5,-2.89,05/18,0.01,0.12,0.38,0.47,1.34,0.88,1.25,0.5,0.16,0.67,0.13,0.42
272,00904,新光臺灣半導體30,38.2,-0.29,-0.75,05/18,0.18,0.53,0.43,0.47,0.46,5.38,4.87,5.28,5.19,2.2,,5.45
273,3438,類比科,69.8,4.8,7.38,05/18,-0.02,0.25,0.34,0.47,0.21,0.44,0.7,0.34,-0.24,0.5,1.87,0.77
274,1597,直得,189.5,10.0,5.57,05/18,0.16,0.2,0.11,0.47,3.28,2.93,6.51,8.45,8.71,6.21,6.84,7.83
275,4976,佳凌,31.3,0.8,2.62,05/18,-0.05,0.08,0.31,0.47,0.53,0.96,1.66,-2.2,2.32,3.77,1.89,-1.97
276,6788,華景電,403.5,-4.5,-1.1,05/18,0.11,0.7,0.78,0.46,-1.62,-3.23,-4.36,5.78,-1.88,2.75,,-10.5
277,009817,國泰日本不動產,8.95,-0.08,-0.89,05/18,-0.04,0.0,0.32,0.46,1.72,3.69,11.1,,,,,
278,3047,訊舟,14.6,0.4,2.82,05/18,0.22,0.25,0.35,0.46,0.7,0.6,0.88,3.31,-4.07,-1.87,-6.25,2.19
279,3051,力特,24.85,-0.7,-2.74,05/18,0.17,-0.02,0.01,0.45,-0.38,-1.92,-0.79,-2.63,-2.35,0.86,0.31,-3.08
280,6613,朋億*,248.5,-4.0,-1.58,05/18,-0.13,-0.03,0.38,0.45,0.87,1.25,3.09,2.81,0.21,2.91,,2.55
281,6698,旭暉應材,31.6,-0.1,-0.32,05/18,0.05,0.86,0.7,0.44,-0.05,0.36,-1.06,-2.35,-0.8,-0.23,,-1.07
282,00901,永豐智能車供應鏈,40.61,-0.27,-0.66,05/18,0.15,0.03,0.51,0.44,1.17,4.11,6.59,15.3,22.4,28.5,,12.5
283,3019,亞光,147.0,2.5,1.73,05/18,0.19,-0.44,0.34,0.43,1.41,0.85,-0.54,-2.09,-13.1,-5.98,-5.38,-2.32
284,3325,旭品,12.0,-0.05,-0.41,05/18,0.04,0.21,0.15,0.43,0.25,-0.67,-0.29,0.6,1.45,0.09,0.72,0.0
285,6188,廣明,85.4,1.1,1.3,05/18,-0.03,0.24,0.39,0.43,0.64,1.04,1.89,-4.98,-4.4,-9.55,-1.03,-1.43
286,5876,上海商銀,39.8,-0.3,-0.75,05/18,0.02,0.12,0.19,0.43,0.57,-0.19,-1.01,0.07,2.08,-1.76,,-1.1
287,00898,國泰基因免疫革命,7.9,-0.1,-1.25,05/18,-0.2,-0.2,-0.1,0.42,1.1,3.09,10.2,19.6,31.5,94.8,,15.2
288,00858,永豐美國500大,35.29,-0.48,-1.34,05/18,0.24,0.07,0.07,0.42,0.69,3.49,3.56,3.23,4.53,3.36,,3.8
289,00662,富邦NASDAQ,117.8,-1.0,-0.84,05/18,0.41,0.4,0.38,0.42,0.22,0.26,-0.64,-1.62,-1.39,-1.73,,-1.36
290,00895,富邦未來車,49.3,-1.35,-2.67,05/18,0.27,0.24,0.29,0.42,0.74,1.61,2.04,4.71,17.3,71.7,,4.5
291,6525,捷敏-KY,110.5,5.5,5.24,05/18,0.26,0.28,0.29,0.42,-0.24,0.12,0.95,1.36,3.78,3.36,2.79,1.51
292,6719,力智,220.0,20.0,10.0,05/18,0.11,0.04,0.34,0.42,0.71,0.66,-0.96,-1.39,0.88,3.34,,-1.6
293,5263,智崴,111.5,9.5,9.31,05/18,0.22,0.31,0.38,0.41,0.23,0.5,0.84,-1.79,-4.51,-1.13,6.93,-2.06
294,8255,朋程,143.0,2.0,1.42,05/18,0.07,0.11,0.16,0.41,1.24,2.11,2.32,1.96,1.11,2.57,1.87,2.43
295,7751,竑騰,1785.0,160.0,9.85,05/18,0.02,0.0,0.11,0.41,-0.22,0.53,0.69,0.81,,,,1.14
296,6799,來頡,95.5,3.2,3.47,05/18,0.3,0.39,0.6,0.4,0.91,1.1,0.08,4.03,0.29,-3.08,,1.64
297,2302,麗正,25.55,0.75,3.02,05/18,-0.31,-0.21,0.54,0.4,1.01,1.62,1.28,2.74,0.15,1.33,-3.43,2.75
298,3548,兆利,94.2,1.2,1.29,05/18,0.05,0.13,0.39,0.4,-0.2,-0.59,0.04,0.51,-3.25,-8.43,-5.74,-0.62
299,3209,全科,73.3,5.3,7.79,05/18,-0.14,0.07,0.01,0.39,1.73,3.02,11.8,15.3,14.5,15.5,16.9,14.8
300,4952,凌通,49.75,-0.55,-1.09,05/18,-0.02,0.04,0.5,0.39,0.77,0.58,0.08,-0.37,-0.36,-0.3,-1.47,-0.53
