"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"168","2801","彰銀","20.5","-0.1","-0.49","05/13","0.11","1.14","0.94","1.3","2.1","4.77","2.12","6.41","4.62","3.71","1.8","7.68"
"169","8021","尖點","446","-25.5","-5.41","05/13","0","1.21","1.14","1.29","3.43","3.11","0.7","0.79","0.37","0.34","0.27","0.72"
"170","2204","中華","52.9","-1.1","-2.04","05/13","0.36","0.71","1.01","1.26","2.02","2.04","1.64","3.72","4.77","4.51","2.78","3.03"
"171","3105","穩懋","495.5","-16.5","-3.22","05/13","3.83","2.3","1.58","1.25","1.17","1.39","0.84","0.5","0.51","0.79","1.55","0.58"
"172","2376","技嘉","313.5","-7.5","-2.34","05/13","0.03","0.08","0.2","1.25","1.98","2.55","1.72","2.77","3.68","2.76","2.82","2.11"
"173","3293","鈊象","724","-14","-1.9","05/13","0","1.38","2.12","1.24","2.18","6.35","3.92","3.31","3.35","4.03","2.93","4.57"
"174","5434","崇越","412.5","-11","-2.6","05/13","2.62","1.52","0.98","1.22","5.5","3.11","4.37","6.32","5.93","4.94","2.59","4.48"
"175","6669","緯穎","5580","-210","-3.63","05/13","5.67","2.43","1.88","1.2","1.28","0.69","2.51","3.49","3.54","3.12","","3.94"
"176","2645","長榮航太","156","-1","-0.64","05/13","0.25","0.18","0.51","1.19","5.8","3.83","4.33","1.37","1.12","1.09","","1.89"
"177","3443","創意","5330","-240","-4.31","05/13","3.43","2.13","1.49","1.15","1.33","1.38","2.5","1.9","2.22","2.26","2.05","2.28"
"178","8299","群聯","2620","-105","-3.85","05/13","6.16","2.32","2.16","1.13","0.82","2.6","3.77","4.77","5.06","5.17","3.58","3.52"
"179","3023","信邦","299.5","-2","-0.66","05/13","0","0.03","1.53","1.08","1.77","9.21","5.44","4.12","3.09","3.32","2.72","4.21"
"180","1560","中砂","633","-35","-5.24","05/13","0","2.16","1.5","1.05","0.69","2.77","3.71","2.89","3.52","2.54","1.79","3.78"
"181","2330","台積電","2220","-35","-1.55","05/13","1","1.15","1.43","1.03","0.71","1.23","1.23","1.25","1.13","0.95","0.78","1.25"
"182","2303","聯電","98.4","-6.1","-5.84","05/13","0.35","1.04","1.3","1.03","1.99","3.37","3.92","5.13","6.53","5.22","2.09","3.67"
"183","9938","百和","44.25","-0.5","-1.12","05/13","0.74","0.89","0.93","1.02","0.55","0.26","4.65","4.98","4.13","3.12","3.49","6"
"184","6257","矽格","212","+2","+0.95","05/13","1.5","2.5","1.66","1.01","1.38","3.89","2.51","4.01","4.99","4.28","2.18","2.69"
"185","6278","台表科","205.5","-9","-4.2","05/13","0.61","1.02","0.82","1","2.95","6.26","6.23","7.55","9.45","6.13","2.78","7.37"
"186","2382","廣達","340.5","+0.5","+0.15","05/13","1.29","1.36","1.19","0.98","1.75","3.11","1.8","2.42","3.34","2.75","2.48","1.94"
"187","2890","永豐金","30.55","0","0","05/13","1.31","1.72","1.24","0.97","1.36","11.8","6.67","5.27","11","8.39","3.66","5.91"
"188","2633","台灣高鐵","26.15","-0.6","-2.24","05/13","0","0.89","1.55","0.96","0.59","0.41","0.34","0.49","0.83","2.36","","0.36"
"189","2451","創見","327","-24","-6.84","05/13","0.07","0.81","0.82","0.96","1.6","2.54","1.8","3.34","4.71","4.7","4.09","2.33"
