"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"8213","志超","38.55","-0.15","-0.39","26W20","05/14","+2","+2,382","10.3","0.88","0","0","0","0","-2","-144","-0.62","-0.05","+2","+2,238","9.64","0.83"
"8255","朋程","144","-1","-0.69","26W20","05/14","+2","+1,525","13","1.5","0","0","0","0","-1","-124","-2.76","-0.12","+2","+1,648","14","1.62"
"8284","三竹","63.4","+0.1","+0.16","26W20","05/14","+2","+2","0.8","0","0","0","0","0","0","0","0","0","+2","+2","0.8","0"
"8342","益張","88.8","-1.5","-1.66","26W20","05/14","+2","+3","7.23","0.01","0","0","0","0","0","0","0","0","+2","+3","7.23","0.01"
"8410","森田","36.05","-0.55","-1.5","26W20","05/14","+2","+30","9.18","0.08","0","0","0","0","0","0","0","0","+2","+35","10.7","0.1"
"8416","實威","173.5","0","0","26W20","05/14","+2","+3","3.48","0.01","0","0","0","0","0","0","0","0","+2","+3","3.48","0.01"
"8433","弘帆","53","-0.7","-1.3","26W20","05/14","+2","+24","4.55","0.04","0","0","0","0","0","0","0","0","+2","+20","3.79","0.04"
"8438","昶昕","101","-2","-1.94","26W20","05/14","+2","+355","2.66","0.51","0","0","0","0","+1","+32","0.34","0.05","+1","+383","4.16","0.55"
"8926","台汽電","57.6","+0.9","+1.59","26W20","05/14","+2","+13,255","17.3","1.82","-5","-58","-0.06","-0.01","-1","-33","-0.06","0","+2","+13,202","17.2","1.81"
"910861","神州-DR","4.9","-0.27","-5.22","26W20","05/14","+2","+156","4.84","0.46","0","0","0","0","0","0","0","0","+2","+156","4.84","0.46"
"9918","欣天然","43.2","-0.1","-0.23","26W20","05/14","+2","+54","6.44","0.03","0","0","0","0","0","0","0","0","+2","+54","6.52","0.03"
"9944","新麗","17.1","+0.05","+0.29","26W20","05/14","+2","+47","3.71","0.04","0","0","0","0","-2","-4","-0.32","0","+2","+43","3.39","0.04"
