20260320 大股東(>400張)持有張數成長率
" "," ","#","股票代號/名稱","類別","20260206","0211","0226","0306","0313","0320"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","67","2351順德","半導體","0.40","-0.37","-0.51","-0.78","1.34","2.65"," ","50","2.73"," ","66.97","91.90","-2.30"," "
" "," ","68","1582信錦","電子零組件","-0.43","0.26","0.82","1.30","3.11","-2.35"," ","30","2.71"," ","33.28","88.20","-4.50"," "
" "," ","69","3596智易","通信網路","-0.54","0.79","0.39","0.64","0.97","0.39"," ","30","2.64"," ","73.77","192.00","-5.00"," "
" "," ","70","6426統新","通信網路","1.82","4.21","-1.31","-1.34","-2.22","1.47"," ","31","2.63"," ","42.27","169.00","-5.00"," "
" "," ","71","6477安集","光電","1.27","-1.02","1.21","-0.58","1.51","0.21"," ","30","2.60"," ","45.57","37.20","-0.40"," "
" "," ","72","2413環科","電子零組件","-0.01","-0.17","5.69","-3.33","-0.61","1.02"," ","50","2.59"," ","60.29","56.90","-1.10"," "
" "," ","73","3030德律","其他電子","1.02","-0.76","0.89","1.75","1.27","-1.62"," ","10","2.55"," ","62.71","255.50","-8.00"," "
" "," ","74","8016矽創","半導體","-0.42","-0.18","1.45","0.62","0.27","0.76"," ","31","2.50"," ","41.13","201.00","2.00"," "
" "," ","75","2603長榮","航運","-0.29","-0.03","0.62","0.54","0.55","1.11"," ","50","2.50"," ","68.38","214.00","-3.50"," "
" "," ","76","6949沛爾生醫-創","創新板","0.50","0.77","0.04","0.41","0.12","0.65"," ","31","2.49"," ","72.21","569.00","-14.00"," "
" "," ","77","3048益登","電子通路","-0.19","0.11","1.08","-0.64","-0.05","2.16"," ","50","2.47"," ","46.93","40.20","-2.35"," "
" "," ","78","3005神基","電腦週邊","-0.13","-0.16","0.07","0.43","1.19","1.05"," ","30","2.45"," ","80.13","128.50","-3.00"," "
" "," ","79","6215和椿","其他電子","-0.34","-0.02","0.44","1.06","0.53","0.77"," ","31","2.44"," ","34.27","103.50","-4.50"," "
" "," ","80","3717聯嘉投控","汽車","0.50","0.07","0.10","0.47","0.39","0.82"," ","31","2.35"," ","44.80","20.05","1.30"," "
" "," ","81","3042晶技","電子零組件","-0.34","0.40","1.31","0.47","-0.05","0.53"," ","31","2.32"," ","59.29","93.00","-0.40"," "
" "," ","82","1466聚隆","紡織","0.27","1.46","0.04","1.99","-0.56","-0.91"," ","10","2.29"," ","71.68","17.90","0.10"," "
" "," ","83","1721三晃","化學","0.08","0.32","0.00","0.26","0.31","1.31"," ","50","2.28"," ","37.13","19.00","-0.75"," "
" "," ","84","2393億光","光電","-0.10","0.02","0.29","0.42","0.84","0.78"," ","30","2.25"," ","66.16","69.30","0.70"," "
" "," ","85","3011今皓","電子零組件","-0.42","-0.01","-0.19","-0.44","3.14","0.15"," ","30","2.23"," ","31.95","13.15","0.40"," "
" "," ","86","6024群益期","金融","0.01","0.01","0.03","0.59","0.73","0.85"," ","50","2.22"," ","67.71","55.40","0.40"," "
" "," ","87","3714富采","光電","0.35","-0.17","0.71","0.31","0.69","0.32"," ","30","2.21"," ","45.27","48.10","-0.40"," "
" "," ","88","6202盛群","半導體","0.24","1.94","1.45","0.33","-0.63","-1.17"," ","10","2.16"," ","35.40","56.20","-0.10"," "
" "," ","89","9933中鼎","其他","-0.56","-0.06","-0.20","-0.07","1.91","1.10"," ","30","2.12"," ","57.80","34.25","-0.65"," "
" "," ","90","2342茂矽","半導體","1.18","-0.35","0.63","0.15","0.24","0.22"," ","30","2.07"," ","38.93","32.30","-0.70"," "
" "," ","91","3311閎暉","通信網路","0.58","0.00","0.14","0.63","0.25","0.46"," ","31","2.06"," ","54.24","32.70","0.00"," "
" "," ","92","5434崇越","電子通路","0.34","0.11","0.88","-0.07","0.19","0.60"," ","50","2.05"," ","55.01","326.50","-3.00"," "
" "," ","93","3029零壹","資訊服務","0.22","0.04","0.39","1.39","0.25","-0.24"," ","10","2.05"," ","45.55","107.00","-4.50"," "
" "," ","94","2903遠百","貿易百貨","0.60","0.36","0.11","0.12","0.47","0.38"," ","30","2.04"," ","78.98","23.25","0.00"," "
" "," ","95","3338泰碩","電子零組件","0.50","-0.43","0.00","0.46","0.35","1.15"," ","31","2.03"," ","30.18","64.00","-2.10"," "
" "," ","96","2409友達","光電","-1.21","1.67","-0.04","0.40","2.83","-1.65"," ","30","2.00"," ","49.68","15.60","-0.15"," "
" "," ","97","3010華立","電子通路","-0.17","0.30","0.42","-0.11","0.99","0.56"," ","30","1.99"," ","65.48","130.00","-5.50"," "
" "," ","98","6278台表科","光電","-0.69","0.61","1.56","0.39","0.20","-0.08"," ","10","1.99"," ","65.61","99.10","0.10"," "
" "," ","99","2630亞航","航運","-0.24","0.28","1.26","0.27","0.24","0.17"," ","10","1.98"," ","66.30","49.05","0.00"," "
" "," ","100","8150南茂","半導體","1.58","-0.11","1.04","-0.29","-0.39","0.13"," ","31","1.96"," ","67.04","62.50","-0.90"," "
" "," ","101","3023信邦","電子零組件","0.54","0.65","0.29","-0.08","0.39","0.15"," ","30","1.94"," ","67.34","270.00","24.50"," "
" "," ","102","911608明輝-DR","存託憑證","0.05","0.03","0.15","0.10","1.44","0.15"," ","30","1.92"," ","26.11","2.98","-0.02"," "
" "," ","103","2441超豐","半導體","0.02","-0.25","0.36","0.65","0.15","0.98"," ","31","1.91"," ","76.12","95.20","-0.10"," "
" "," ","104","1714和桐","化學","0.33","0.14","0.64","0.13","-0.11","0.74"," ","31","1.87"," ","61.77","9.68","-0.21"," "
" "," ","105","6168宏齊","光電","0.41","0.02","0.00","-0.21","0.89","0.75"," ","30","1.86"," ","51.42","23.30","-0.45"," "
" "," ","106","4540全球傳動","電機","0.23","-0.51","1.00","1.29","-0.13","-0.04"," ","31","1.84"," ","38.32","44.30","-1.55"," "
" "," ","107","7795長廣","電子零組件","-1.25","0.00","0.97","1.29","0.74","0.09"," ","10","1.84"," ","75.74","435.00","39.50"," "
" "," ","108","3532台勝科","半導體","0.59","0.60","-0.58","-0.60","0.40","1.41"," ","50","1.82"," ","88.91","143.50","-9.50"," "
" "," ","109","6782視陽","生技醫療業","-0.74","0.13","0.44","0.37","0.18","1.43"," ","31","1.81"," ","48.88","210.00","2.50"," "
" "," ","110","2497怡利電","汽車","-0.87","-1.80","-0.43","0.72","-0.30","4.47"," ","31","1.79"," ","65.12","43.30","1.50"," "
" "," ","111","9955佳龍","綠能","-0.01","-0.19","0.72","-0.26","0.77","0.75"," ","30","1.78"," ","64.85","33.30","-0.80"," "
" "," ","112","1409新纖","紡織","0.08","0.21","0.35","-0.12","0.54","0.70"," ","50","1.76"," ","66.22","16.30","-0.40"," "
" "," ","113","2382廣達","電腦週邊","-0.13","0.44","0.60","0.56","0.05","0.23"," ","31","1.75"," ","83.66","283.50","-3.00"," "
" "," ","114","5515建國","營建","0.48","-0.02","0.13","0.18","0.49","0.49"," ","40","1.75"," ","69.09","38.30","1.10"," "
" "," ","115","3049精金","光電","-0.49","0.27","0.36","0.69","-1.34","2.25"," ","31","1.74"," ","52.44","18.00","1.60"," "
" "," ","116","3040遠見","其他","0.45","0.67","0.01","0.18","0.22","0.18"," ","30","1.71"," ","69.46","48.90","0.40"," "
" "," ","117","4934太極","光電","0.46","-0.47","1.41","-0.62","0.30","0.62"," ","50","1.70"," ","34.89","18.90","-1.10"," "
" "," ","118","3437榮創","光電","0.43","-0.48","-0.32","0.12","2.08","-0.22"," ","30","1.61"," ","25.64","24.00","-0.75"," "
" "," ","119","2006東和鋼鐵","鋼鐵","0.06","0.22","0.09","1.00","0.75","-0.51"," ","10","1.61"," ","81.43","70.50","0.00"," "
" "," ","120","2883開發金","金融","0.36","0.51","0.64","0.12","0.03","-0.06"," ","10","1.60"," ","65.48","20.10","0.15"," "
" "," ","121","6449鈺邦","電子零組件","0.07","0.02","-0.03","1.30","0.14","0.08"," ","10","1.58"," ","72.53","160.00","-2.00"," "
" "," ","122","2363矽統","半導體","-0.32","0.25","0.08","0.71","0.53","0.31"," ","10","1.56"," ","32.76","50.60","-0.40"," "
" "," ","123","6136富爾特","通信網路","0.05","0.46","0.03","0.37","0.59","0.05"," ","30","1.55"," ","43.31","24.05","0.05"," "
" "," ","124","911622泰聚亨-DR","存託憑證","1.28","0.04","0.01","0.18","0.02","0.01"," ","10","1.54"," ","49.77","4.09","0.10"," "
" "," ","125","1560中砂","電機","0.68","1.13","2.38","-0.49","-1.35","-0.82"," ","31","1.53"," ","65.75","474.00","7.00"," "
" "," ","126","6206飛捷","電腦週邊","-0.11","0.80","-0.09","0.17","0.39","0.37"," ","30","1.53"," ","48.51","101.00","-0.50"," "
" "," ","127","2385群光","電子零組件","0.17","0.00","0.15","0.32","0.56","0.33"," ","30","1.53"," ","76.86","124.50","4.00"," "
" "," ","128","4440宜新實業","紡織","0.21","0.55","0.12","0.26","0.27","0.12"," ","30","1.53"," ","54.94","17.30","0.10"," "
" "," ","129","6789采鈺","半導體","0.25","0.79","0.22","0.92","-0.64","-0.06"," ","31","1.48"," ","77.30","348.00","4.00"," "
" "," ","130","6164華興","光電","0.16","0.39","0.50","-0.32","0.80","-0.05"," ","30","1.48"," ","23.17","13.05","0.00"," "
" "," ","131","2347聯強","電子通路","0.11","0.22","0.30","0.09","0.06","0.69"," ","31","1.47"," ","87.59","77.30","-1.10"," "
" "," ","132","8222寶一","電機","0.58","0.14","0.55","-0.77","0.14","0.83"," ","50","1.47"," ","36.30","37.50","-0.35"," "
" "," ","133","5244弘凱","光電","0.01","-0.09","0.80","0.10","0.72","-0.09"," ","30","1.45"," ","48.77","39.55","1.20"," "
" "," ","134","2483百容","電子零組件","-0.44","0.51","0.41","0.31","0.21","0.44"," ","31","1.44"," ","63.30","21.15","-0.40"," "
" "," ","135","6691洋基工程","其他電子","0.47","0.94","0.18","0.36","0.16","-0.68"," ","10","1.43"," ","69.83","611.00","-4.00"," "
" "," ","136","2010春源","鋼鐵","0.39","0.20","0.27","0.16","0.40","0.01"," ","30","1.43"," ","71.58","25.45","0.70"," "
" "," ","137","6415矽力*-KY","半導體","0.08","0.46","-0.01","0.46","0.64","-0.23"," ","30","1.40"," ","77.83","286.00","5.50"," "
" "," ","138","6224聚鼎","電子零組件","0.59","0.01","0.55","0.20","0.05","0.00"," ","10","1.40"," ","35.65","40.05","-0.45"," "
" "," ","139","3413京鼎","半導體","-0.41","0.11","1.23","-0.34","0.76","0.04"," ","30","1.39"," ","40.95","301.00","-4.00"," "
" "," ","140","8081致新","半導體","0.56","-0.18","0.28","1.25","-0.21","-0.32"," ","10","1.38"," ","41.05","236.00","-2.00"," "
" "," ","141","2867三商壽","金融","0.26","0.46","0.43","0.26","0.03","-0.06"," ","10","1.38"," ","82.44","7.54","-0.04"," "
" "," ","142","3036文曄","電子通路","-0.03","0.38","0.30","0.39","0.03","0.30"," ","31","1.37"," ","90.17","254.00","4.00"," "
" "," ","143","4755三福化","化學","-0.40","-0.10","0.82","0.36","0.22","0.46"," ","31","1.36"," ","73.33","145.50","-4.50"," "
" "," ","144","2069運錩","鋼鐵","0.53","0.43","0.02","0.09","0.16","0.11"," ","30","1.34"," ","61.00","18.85","0.35"," "
" "," ","145","3031佰鴻","光電","0.31","-0.24","0.11","-0.16","0.76","0.49"," ","30","1.27"," ","61.00","22.60","-0.80"," "
" "," ","146","4536拓凱","運動","-0.08","0.17","0.36","0.83","0.51","-0.53"," ","10","1.26"," ","58.98","152.00","-1.50"," "
" "," ","147","5607遠雄港","航運","0.09","-0.07","0.97","0.48","-0.22","0.01"," ","31","1.26"," ","74.74","47.00","0.00"," "
" "," ","148","6515穎崴","半導體","-0.12","0.11","0.08","-0.44","1.78","-0.15"," ","30","1.26"," ","55.81","7930.00","720.00"," "
" "," ","149","3545敦泰","半導體","-0.01","-0.01","0.18","0.49","0.18","0.42"," ","31","1.25"," ","22.83","43.50","-0.05"," "
" "," ","150","2617台航","航運","-0.12","-0.18","0.08","0.43","0.75","0.28"," ","30","1.24"," ","62.44","31.25","-0.70"," "
" "," ","151","6205詮欣","電子零組件","0.00","0.01","0.57","0.65","-0.08","0.09"," ","31","1.24"," ","44.08","59.10","1.70"," "
" "," ","152","2897王道銀行","金融","0.22","0.37","0.06","0.20","0.34","0.05"," ","30","1.24"," ","84.25","9.86","-0.04"," "
" "," ","153","2022聚亨","鋼鐵","-0.04","0.37","0.27","0.36","0.19","0.09"," ","10","1.24"," ","38.92","9.82","0.77"," "
" "," ","154","6456GIS-KY","光電","-0.23","0.51","0.66","1.08","0.75","-1.54"," ","10","1.23"," ","52.73","63.60","-1.10"," "
" "," ","155","1437勤益控","其他","0.30","0.44","0.04","0.27","0.06","0.12"," ","31","1.23"," ","79.41","30.65","-0.05"," "
" "," ","156","1309台達化","塑膠","-0.07","-0.03","0.33","-0.50","0.50","0.99"," ","50","1.22"," ","48.06","18.10","0.95"," "
