排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1460,6115,鎰勝,45.3,0.2,0.44,26W30,07/24,41.3,-0.01,43.3,-0.01,56.7,0.01
1461,8067,志旭,13.35,0.1,0.75,26W30,07/24,24.7,0.0,43.3,0.0,56.7,0.0
1462,6174,安碁,40.0,-1.5,-3.61,26W30,07/24,43.3,0.0,43.3,0.0,56.7,0.0
1463,6922,宸曜,185.5,-9.0,-4.63,26W30,07/24,43.2,0.0,43.2,0.0,56.8,0.0
1464,2430,燦坤,17.1,0.35,2.09,26W30,07/24,41.9,-0.04,44.1,0.0,55.9,0.0
1465,3031,佰鴻,22.7,-0.25,-1.09,26W30,07/24,41.3,0.72,41.9,0.2,58.1,-0.2
1466,4414,如興,8.32,0.01,0.12,26W30,07/24,41.1,-0.32,43.3,-0.01,56.7,0.01
1467,3597,映興,26.95,0.7,2.67,26W30,07/24,40.8,0.0,43.1,0.0,56.9,0.0
1468,8930,青鋼,30.9,0.1,0.32,26W30,07/24,41.0,-1.1,43.1,-0.04,56.9,0.04
1469,6751,智聯服務,41.85,0.2,0.48,26W30,07/24,43.1,0.0,43.1,0.0,56.9,0.0
1470,7769,鴻勁,6320.0,-155.0,-2.39,26W30,07/24,41.2,0.05,42.7,0.05,57.3,-0.05
1471,9921,巨大,92.4,2.2,2.44,26W30,07/24,41.0,0.22,43.5,0.48,56.5,-0.48
1472,3265,台星科,153.5,-4.0,-2.54,26W30,07/24,39.9,-0.62,42.5,0.05,57.5,-0.05
1473,1599,宏佳騰,23.8,0.0,0.0,26W30,07/24,40.3,0.05,42.9,0.05,57.1,-0.05
1474,6743,安普新,24.95,-0.2,-0.8,26W30,07/24,41.1,0.0,42.9,0.0,57.1,0.0
1475,2345,智邦,2215.0,-195.0,-8.09,26W30,07/24,39.0,0.01,42.7,-0.02,57.3,0.02
1476,3675,德微,265.5,-1.5,-0.56,26W30,07/24,42.6,-0.41,42.6,-2.2,57.4,2.2
1477,2850,新產,163.0,6.0,3.82,26W30,07/24,39.3,0.29,42.7,-0.29,57.3,0.29
1478,1304,台聚,11.8,0.25,2.16,26W30,07/24,41.4,0.06,42.4,0.23,57.6,-0.23
1479,1568,倉佑,27.9,-0.7,-2.45,26W30,07/24,42.4,-0.11,44.9,-0.02,55.1,0.02
1480,6763,綠界科技*,43.65,1.15,2.71,26W30,07/24,41.7,-0.47,42.7,0.0,57.3,0.0
1481,7743,金利食安,21.2,0.6,2.91,26W30,07/24,37.4,0.0,42.6,0.0,57.4,0.0
1482,2302,麗正,42.9,-0.15,-0.35,26W30,07/24,41.7,-0.52,43.3,0.0,56.7,0.0
1483,2383,台光電,5240.0,-65.0,-1.23,26W30,07/24,39.0,0.01,41.9,-0.15,58.1,0.15
1484,6239,力成,262.5,-7.0,-2.6,26W30,07/24,39.0,1.08,40.7,1.23,59.3,-1.23
1485,8105,凌巨,16.4,-0.1,-0.61,26W30,07/24,41.3,0.56,42.4,1.0,57.6,-1.0
1486,3022,威強電,103.0,2.5,2.49,26W30,07/24,40.3,-1.63,43.4,-1.59,56.6,1.59
1487,6870,騰雲,256.0,-5.5,-2.1,26W30,07/24,42.1,0.0,42.1,0.0,57.9,0.0
1488,2481,強茂,133.0,-6.0,-4.32,26W30,07/24,40.1,2.68,41.8,1.95,58.2,-1.93
1489,6283,淳安,20.25,0.25,1.25,26W30,07/24,41.0,0.0,42.2,0.0,57.8,0.0
1490,7835,永悅健康-創,27.3,2.05,8.12,26W30,07/24,33.3,17.2,37.0,20.9,63.0,-20.9
1491,2017,官田鋼,8.9,-0.11,-1.22,26W30,07/24,41.8,0.1,42.4,0.29,57.6,-0.29
1492,4960,誠美材,20.45,-0.5,-2.39,26W30,07/24,40.4,-0.08,42.7,0.07,57.3,-0.07
1493,2497,怡利電,47.5,-1.05,-2.16,26W30,07/24,37.2,-0.08,42.0,0.56,58.0,-0.56
1494,4935,茂林-KY,34.8,0.15,0.43,26W30,07/24,40.9,-0.02,43.1,-0.02,56.9,0.02
1495,6756,威鋒電子,99.5,-3.5,-3.4,26W30,07/24,42.4,-0.09,42.4,-0.09,57.6,0.09
1496,6285,啟碁,233.0,-14.0,-5.67,26W30,07/24,41.1,-0.5,42.2,-1.07,57.8,1.07
1497,8072,陞泰,26.1,-0.1,-0.38,26W30,07/24,41.0,0.0,42.1,0.0,57.9,0.0
1498,2107,厚生,25.4,-0.15,-0.59,26W30,07/24,41.0,-0.25,41.9,-0.25,58.1,0.25
1499,1717,長興,66.2,0.0,0.0,26W30,07/24,39.5,1.1,41.4,1.24,58.6,-1.24
1500,2617,台航,28.9,-0.2,-0.69,26W30,07/24,40.7,-0.16,41.6,-0.17,58.4,0.17
