"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"172","2753","八方雲集","177","+1","+0.57","07/13","51.2","48.6","51.5","48.7","45.3","36.2","35.9","39.7","35.7","32.3","","40"
"173","5452","佶優","30.7","-0.9","-2.85","07/13","47","49.1","51.4","45.6","33.3","30.5","29.3","25.5","25","20.6","16.7","25.2"
"174","8070","長華*","52.4","-0.3","-0.57","07/13","47.5","45.1","51.4","41.9","42.4","39","30.9","27","14.3","5.14","2.91","26.5"
"175","7795","長廣","552","0","0","07/13","49.8","54.6","51.3","40","31.5","27","25.6","","","","",""
"176","6691","洋基工程","725","+17","+2.4","07/13","41.7","45.3","51.1","59.6","58.8","45.8","39.2","40","39.2","35.6","","40"
"177","2505","國揚","17.9","-0.05","-0.28","07/13","61.2","52.2","51","46.6","41.7","33.6","37","34.1","35.6","28.9","20.3","32.7"
"178","6894","衛司特","349","-8","-2.24","07/13","66.5","53.3","51","42.6","36.7","31","31.3","16","12","","","15.9"
"179","2801","彰銀","23.85","-0.2","-0.83","07/13","69.2","52.8","51","45","61.9","52.3","47.5","49","46.6","40.4","40.2","47.3"
"180","1735","日勝化","21.3","-0.7","-3.18","07/13","44.4","40.4","50.9","42.6","38.6","34.1","27.2","21.2","19.8","17.8","13.2","21"
"181","2444","兆勁","12.2","-0.2","-1.61","07/13","64.3","51.6","50.9","50.1","39.2","35.2","22.4","18.2","16.3","17.6","7.81","17.7"
"182","5209","新鼎","157.5","-1","-0.63","07/13","57.8","35.4","50.9","51.9","41.2","36.8","23.9","24.9","21.9","20.8","13.7","24.8"
"183","3265","台星科","168","-5.5","-3.17","07/13","51.1","46.7","50.9","46.8","40.1","36.5","31.2","28.5","26.5","23.2","18.1","28.4"
"184","6139","亞翔","883","+8","+0.91","07/13","47.1","48.9","50.8","50.2","42.6","37.1","34.3","34","31.2","28.8","23.2","34.2"
"185","6170","統振","47.05","-0.2","-0.42","07/13","44.3","48.6","50.8","39","35.7","31.2","22.9","24","23","20.2","11.2","24.3"
"186","6715","嘉基","373","-18.5","-4.73","07/13","60.3","51.5","50.6","47.5","45.8","29.4","29.2","25.8","25.8","24.5","","25.8"
"187","6592","和潤企業","59.7","+0.3","+0.51","07/13","40.2","42.4","50.6","49.6","45.6","48.5","42.8","40.8","40.7","36.7","","40.6"
"188","2433","互盛電","42","0","0","07/13","64.6","43.7","50.6","41.9","22.5","22","23.8","21.4","19.6","14.6","10","20.9"
"189","1752","南光","31.7","-0.1","-0.31","07/13","42.2","50.7","50.6","39.9","36.8","29.6","22","19.4","16.3","20.2","11.9","19"
"190","4105","東洋","78.4","+1.1","+1.42","07/13","37.2","44.2","50.5","43","34.6","33.4","40.1","44.9","36.8","30","19.1","45.2"
"191","8906","花王","28.25","-0.3","-1.05","07/13","60.9","59.2","50.5","21.6","16.7","22.8","15.4","12.1","6.34","0.66","0.45","12.2"
"192","8034","榮群","20.75","-0.4","-1.89","07/13","45.5","47.5","50.5","51.7","46.2","38.7","26.7","15.4","3.13","0.94","0.4","15.9"
"193","1737","臺鹽","32","+0.1","+0.31","07/13","42.6","41.8","50.5","47.3","40.5","30.9","21.2","21","22.2","15.7","16.8","21.8"
"194","7799","禾榮科","402.5","-33","-7.58","07/13","52","51.1","50.5","36.8","36.4","35.6","34","24.3","","","","24.8"
"195","00780B","國泰A級金融債","37.46","-0.11","-0.29","07/13","37.4","36.8","50.5","39.4","32.4","21.7","20","5.92","3.03","3.07","","5.85"
"196","2250","IKKA-KY","65","+0.5","+0.78","07/13","44.9","51","50.4","43.6","24.1","25","25","25.8","25.1","20.3","","25.7"
