"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"467","8081","致新","260","-1.5","-0.57","26W30","07/24","44.2","+1.41","53.2","+2.24","63.4","+2.12","67.7","-0.93"
"468","8358","金居","543","+49","+9.92","26W30","07/24","40.7","+0.9","43.6","+0.87","48.5","+0.81","51.2","+1.61"
"469","3552","同致","44","-0.5","-1.12","26W30","07/24","54.4","-0.08","57.2","-0.27","62.5","-0.06","64.5","0"
"470","5014","建錩","10.1","0","0","26W30","07/24","47.2","-0.21","54.2","+0.12","62.2","-0.33","66.1","-0.02"
"471","00966B","統一ESG投等債15+","13.52","-0.08","-0.59","26W30","07/24","49.3","+1.15","58.6","+1.02","62.9","+0.99","65","+1.47"
"472","6885","全福生技","22.65","0","0","26W30","07/24","45.1","-0.23","54.5","-0.08","63.3","+0.25","68.7","-0.01"
"473","2734","易飛網","14.85","-0.1","-0.67","26W30","07/24","53.1","-0.04","58.3","+0.27","62.4","-0.15","66.1","0"
"474","910861","神州-DR","3.84","0","0","26W30","07/24","44.4","+0.27","56.8","+0.24","63.6","-1.53","67.7","+0.09"
"475","00662","富邦NASDAQ","120.05","+0.2","+0.17","26W30","07/24","47.3","+0.59","57.4","+0.79","63","+0.8","65.6","+0.92"
"476","6224","聚鼎","74.5","-1.7","-2.23","26W30","07/24","49","+0.26","58.3","+0.2","61.6","+0.19","65.6","+0.09"
"477","5484","慧友","40.2","-0.35","-0.86","26W30","07/24","57.4","-0.15","58.8","+0.01","62","+0.01","63.7","+0.01"
"478","3092","鴻碩","24.7","-0.15","-0.6","26W30","07/24","49","+0.14","57","+0.02","62.3","+0.03","65.2","+0.03"
"479","4923","力士","56.4","+0.4","+0.71","26W30","07/24","46.5","-0.12","53.8","-0.42","62.5","-0.36","70.5","+0.02"
"480","4760","勤凱","262","+1.5","+0.58","26W30","07/24","43.7","+0.67","52.4","-0.23","63.5","+1.23","65.2","-0.02"
"481","8422","可寧衛*","27.1","+0.1","+0.37","26W30","07/24","55.2","-0.08","59.8","-0.06","63","-0.12","64.8","+0.06"
"482","009812","野村日本東證","12.89","+0.09","+0.7","26W30","07/24","50.8","-0.59","56.6","-0.43","61.7","-0.73","65.6","-0.73"
"483","2402","毅嘉","56.6","-0.1","-0.18","26W30","07/24","54.6","-0.01","58.7","+0.24","62","-0.04","64.5","+0.34"
"484","8272","全景軟體","62","0","0","26W30","07/24","28.3","+0.55","36.1","0","61.9","0","66.7","0"
"485","3207","耀勝","39.7","-0.3","-0.75","26W30","07/24","41.2","+0.1","50.7","+0.46","59.7","+0.67","67.5","-0.15"
"486","1524","耿鼎","27.5","0","0","26W30","07/24","53.4","+0.08","58.8","-0.04","61.6","-0.17","64.3","+0.35"
"487","3078","僑威","52.6","-0.2","-0.38","26W30","07/24","53.9","+0.34","57.7","-0.34","62.8","+0.55","65.6","+0.42"
"488","00972","野村日本動能高息","21.85","+0.1","+0.46","26W30","07/24","54.5","+1.93","59.5","+2.25","67.3","+2.67","69.6","+2.79"
"489","6698","旭暉應材","32.35","-0.25","-0.77","26W30","07/24","46.6","-0.1","54.5","+0.03","60.9","+0.05","64.5","0"
"490","8924","大田","50.3","0","0","26W30","07/24","51.7","-0.02","56.3","-0.03","61.6","0","65.9","0"
"491","4720","德淵","18.95","-0.5","-2.57","26W30","07/24","50.4","-0.24","56.8","-0.16","61.8","+0.64","64.3","+0.17"
"492","6716","應廣","128","+0.5","+0.39","26W30","07/24","34.4","+0.4","44.9","+0.43","64","-0.38","74.3","-0.39"
"493","6909","創控","41.45","-0.1","-0.24","26W30","07/24","45.3","+0.53","52.5","+0.61","61.5","+0.03","65.8","+0.03"
"494","4956","光鋐","36.95","+0.95","+2.64","26W30","07/24","53.9","+1.45","58.1","+1.43","63.1","+1.14","66","+1.16"
"495","1449","佳和","12.45","0","0","26W30","07/24","51.1","-0.53","56.7","-0.02","61.7","+0.1","63.9","+0.57"
"496","00998A","主動復華金融股息","17.77","-0.19","-1.06","26W30","07/24","50.2","-0.54","56.4","+0.01","61.1","-0.38","62.5","-0.62"
"497","5706","鳳凰","45.15","-0.25","-0.55","26W30","07/24","53.8","+0.12","57.4","+0.18","61.3","+0.01","63.9","+0.01"
"498","2836A","高雄銀甲特","24.05","0","0","26W30","07/24","31.2","-0.14","42.4","-0.64","61.5","-0.08","61.5","-0.08"
"499","4739","康普","88.6","+0.4","+0.45","26W30","07/24","47.9","+0.86","51.9","+1.06","59","+0.64","63.1","+0.61"
"500","8403","盛弘","19.05","-0.05","-0.26","26W30","07/24","48.8","-0.23","56.1","-0.17","61.5","0","64.4","0"
"501","1580","新麥","106.5","-0.5","-0.47","26W30","07/24","50","-0.41","54.9","0","59.8","0","61","0"
"502","4195","基米-創","14.45","-0.25","-1.7","26W30","07/24","45.4","-0.44","52.3","-0.15","62.3","0","64.8","0"
"503","8066","來思達","14.7","0","0","26W30","07/24","53.1","0","55.3","0","61.2","0","66.5","0"
"504","3019","亞光","138.5","+0.5","+0.36","26W30","07/24","55.2","+0.32","58.2","+0.48","61.7","+0.56","64.2","+0.42"
"505","6266","泰詠","25","-0.15","-0.6","26W30","07/24","47.9","-0.15","54.8","-0.03","61.3","+0.03","64","0"
"506","6160","欣技","15","-0.1","-0.66","26W30","07/24","51.5","0","57.9","0","61.5","0","64.3","0"
"507","6216","居易","20.9","-0.1","-0.48","26W30","07/24","51.3","-0.03","56.4","+0.06","60.8","+0.02","66.4","-0.01"
"508","3576","聯合再生","17.5","+0.45","+2.64","26W30","07/24","51.2","-1.67","56.7","-1.74","61","-1.59","63.1","-1.6"
"509","3388","崇越電","96.3","+2","+2.12","26W30","07/24","46.3","+0.51","52.7","-0.38","59.8","+0.02","64.1","+1.09"
"510","2727","王品","234","+0.5","+0.21","26W30","07/24","46.4","-0.96","54.2","-0.69","63.4","-1.44","72.3","-0.35"
"511","6761","穩得","188.5","+3.5","+1.89","26W30","07/24","47.5","+0.78","54.2","-0.1","60.2","+0.01","64.1","+0.01"
"512","8074","鉅橡","58.1","+1.1","+1.93","26W30","07/24","53.6","+0.7","57.8","+0.06","61.7","+0.34","66.5","+0.18"
"513","8436","大江","125.5","-1","-0.79","26W30","07/24","48.7","-0.9","55.4","-0.65","60.5","-0.73","65.7","-1.08"
"514","2498","宏達電","40.55","+0.05","+0.12","26W30","07/24","51","-0.06","56.4","-0.02","60.6","-0.15","63.2","-0.1"
"515","00908","富邦入息REITs+","15.42","-0.21","-1.34","26W30","07/24","53","-0.58","58.4","+0.09","63.4","+0.45","63.4","-0.86"
"516","1708","東鹼","51","+0.3","+0.59","26W30","07/24","52.9","+0.34","55.9","+0.34","59.1","+0.32","60.7","+0.99"
"517","6492","生華科","34.95","-0.05","-0.14","26W30","07/24","53.9","-0.13","63.1","+0.17","69.3","0","72.6","-0.01"
