排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
139,6411,晶焱,86.2,-2.5,-2.82,07/16,4.1,5.76,12.0,21.3,32.5,1.01,-25.9,-37.1,58.9,-38.1
140,6683,雍智科技,1350.0,-120.0,-8.16,07/16,0.37,13.4,15.2,20.9,17.9,91.0,40.1,12.2,-2.76,111.0
141,3093,港建*,50.9,-1.1,-2.12,07/16,0.45,0.57,2.0,20.7,75.9,80.3,317.0,407.0,617.0,298.0
142,3607,谷崧,15.8,-0.35,-2.17,07/16,2.19,11.1,22.4,20.7,26.1,-30.9,-30.9,-28.4,-45.3,-31.3
143,00992A,主動群益科技創新,16.75,-0.27,-1.59,07/16,17.6,17.3,18.5,20.6,37.2,-15.2,96.9,1119.0,,4512.0
144,6996,力領科技,180.5,-1.0,-0.55,07/16,0.0,15.4,19.5,20.5,20.5,28.6,-11.8,-40.0,366.0,-37.8
145,3438,類比科,58.2,-4.0,-6.43,07/16,7.93,14.9,21.6,20.4,22.1,-20.4,5.22,-2.34,147.0,7.54
146,8150,南茂,122.5,8.5,7.46,07/16,-2.78,0.96,9.71,20.4,53.6,-1.66,-0.76,-30.7,2.84,-28.5
147,3024,憶聲,13.65,0.4,3.02,07/16,6.2,10.1,13.8,20.3,19.2,-3.41,52.5,52.9,57.2,35.6
148,6016,康和證,25.45,-0.3,-1.17,07/16,1.03,1.77,3.28,20.3,60.6,292.0,276.0,863.0,236.0,814.0
149,00929,復華台灣科技優息,29.9,-0.22,-0.73,07/16,3.17,2.7,16.7,20.3,43.0,53.4,52.4,89.3,103.0,79.6
150,6423,億而得,72.3,-1.5,-2.03,07/16,0.71,2.15,4.4,20.2,29.2,41.5,120.0,1778.0,2163.0,2163.0
151,00913,兆豐台灣晶圓製造,52.35,-0.9,-1.69,07/16,0.0,28.8,28.8,20.1,34.9,35.9,93.1,2714.0,1213.0,2714.0
152,00844B,台新15年IG金融債,31.73,0.23,0.73,07/16,0.0,20.0,20.0,20.0,20.0,,-72.7,-72.7,-87.8,-72.7
153,3665,貿聯-KY,1955.0,45.0,2.36,07/16,2.51,9.75,10.9,19.9,28.5,57.5,62.3,-11.8,281.0,-21.3
154,00403A,主動統一升級50,10.28,-0.13,-1.25,07/16,3.02,7.3,20.2,19.8,11.8,-13.6,,,,
155,2887,台新新光金,36.15,0.0,0.0,07/16,2.67,8.41,10.3,19.6,2.26,-12.4,-18.2,27.1,-82.8,1.27
156,4564,元翎,20.0,-1.2,-5.66,07/16,1.13,3.49,7.3,19.6,33.4,33.3,32.8,3.84,103.0,-4.46
157,2753,八方雲集,178.5,1.5,0.85,07/16,2.4,-2.95,4.14,19.4,35.7,-18.8,122.0,170.0,74.5,228.0
158,1735,日勝化,21.3,-0.1,-0.47,07/16,4.75,12.0,16.1,19.3,19.3,-3.22,-22.9,228.0,344.0,287.0
159,4541,晟田,71.3,-1.6,-2.19,07/16,1.04,-0.1,2.87,19.2,44.8,-0.51,-26.6,-59.3,-22.9,-60.5
160,00922,國泰台灣領袖50,40.4,0.01,0.02,07/16,0.05,0.59,22.9,19.1,61.4,65.1,-11.9,-20.0,-19.2,-31.7
161,8476,台境*,23.7,1.2,5.33,07/16,1.72,4.58,8.14,19.1,29.0,-10.5,44.3,313.0,388.0,329.0
162,2243,宏旭-KY,53.0,1.8,3.52,07/16,10.5,17.4,17.4,19.0,15.8,6.29,5533.0,1107.0,-73.1,333.0
163,1533,車王電,34.0,-0.6,-1.73,07/16,2.11,8.19,14.1,18.8,21.4,6.86,15.3,23.2,-12.5,24.2
164,5864,致和證,36.05,-0.2,-0.55,07/16,0.59,2.07,6.57,18.7,67.4,166.0,78.9,519.0,137.0,357.0
165,2911,麗嬰房,7.5,-0.02,-0.27,07/16,0.0,15.9,15.9,18.6,19.5,28.6,,,,
166,1612,宏泰,31.7,-0.6,-1.86,07/16,2.06,1.9,1.98,18.6,43.5,27.0,23.3,5.93,-19.9,-12.1
167,2405,輔信,17.2,-0.55,-3.1,07/16,5.1,6.38,12.7,18.4,16.7,-22.0,-14.8,44.4,-5.56,51.7
168,2913,農林,11.5,0.1,0.88,07/16,0.34,0.46,4.5,18.3,20.0,26.8,53.1,95.0,62.7,116.0
169,1470,大統新創,23.0,0.0,0.0,07/16,18.2,18.2,18.2,18.2,18.2,18.2,117.0,-31.6,-64.9,-56.7
170,1580,新麥,116.5,0.0,0.0,07/16,3.76,2.31,4.25,18.2,44.4,-28.2,22.8,31.5,-3.49,-4.33
171,8271,宇瞻,187.5,6.0,3.31,07/16,-0.88,-1.17,6.63,18.1,85.1,47.4,71.4,-38.1,263.0,-40.8
172,2064,晉椿,13.25,0.1,0.76,07/16,10.0,10.0,17.9,17.9,-5.71,-5.71,-2.94,0.0,-32.7,0.0
173,2059,川湖,8655.0,155.0,1.82,07/16,16.0,25.8,21.0,17.6,16.8,-57.8,-54.3,-80.8,-71.8,-83.7
174,6642,富致,80.6,1.5,1.9,07/16,0.0,10.4,11.4,17.6,20.1,-8.63,112.0,70.9,309.0,70.9
175,5371,中光電,89.6,-5.3,-5.58,07/16,-0.37,0.5,7.97,17.6,11.0,29.6,31.0,4.48,171.0,10.3
176,6925,意藍,57.2,0.5,0.88,07/16,0.0,0.0,8.0,17.4,17.4,32.8,72.3,76.1,,76.1
177,4935,茂林-KY,36.15,-0.25,-0.69,07/16,0.41,1.95,9.6,17.0,51.0,39.5,58.6,110.0,-1.62,104.0
178,9944,新麗,17.95,0.0,0.0,07/16,0.0,5.06,5.06,16.9,23.9,23.9,-11.7,76.6,-18.6,76.6
179,9931,欣高,33.95,0.25,0.74,07/16,0.6,5.69,5.69,16.8,21.0,-5.38,11.7,1398.0,1545.0,1398.0
180,3617,碩天,213.5,-11.5,-5.11,07/16,-0.94,-1.47,0.54,16.8,4.9,-4.4,-18.6,-5.8,-54.9,-50.0
181,7765,中華資安,226.0,3.5,1.57,07/16,0.48,2.44,12.3,16.7,28.0,68.0,813.0,,,
182,8069,元太,184.0,-4.5,-2.39,07/16,1.68,7.1,11.0,16.5,37.1,41.5,25.6,109.0,194.0,137.0
183,2329,華泰,48.95,-2.45,-4.77,07/16,0.57,1.77,10.3,16.4,32.8,35.2,25.6,48.3,95.0,103.0
184,5902,德記,34.15,0.0,0.0,07/16,2.38,2.38,2.38,16.2,22.9,2.38,4.88,-32.8,-6.52,-34.8
185,3712,永崴投控,17.05,0.9,5.57,07/16,0.34,3.13,6.14,15.8,20.0,7.75,-3.89,-2.74,63.6,-0.76
186,3268,海德威,19.95,-0.15,-0.75,07/16,1.55,2.61,4.24,15.6,31.9,25.6,58.5,54.7,53.5,56.0
187,5464,霖宏,85.4,-4.4,-4.9,07/16,4.02,4.02,5.0,15.5,21.3,31.8,205.0,156.0,106.0,156.0
188,1776,展宇,18.5,-0.25,-1.33,07/16,3.03,3.55,7.94,15.3,17.9,122.0,158.0,172.0,70.0,158.0
189,3209,全科,60.0,-0.3,-0.5,07/16,-1.45,4.72,12.7,15.0,21.7,18.1,72.0,20.2,-28.1,-1.45
190,8109,博大,136.5,-1.5,-1.09,07/16,-3.64,2.59,2.59,15.0,42.9,33.0,46.0,12.0,50.6,5.31
191,3430,奇鈦科,139.0,-4.0,-2.8,07/16,8.69,15.7,17.5,14.9,12.3,15.5,109.0,35.3,162.0,29.7
192,7744,崴寶,453.0,-6.5,-1.41,07/16,0.93,2.86,6.93,14.9,68.8,130.0,61.2,575.0,,
193,00999A,主動野村臺灣高息,10.54,-0.06,-0.57,07/16,0.0,14.9,14.9,14.9,14.9,83.0,,,,
194,5469,瀚宇博,73.2,-3.5,-4.56,07/16,3.28,4.99,12.3,14.8,46.8,59.2,214.0,132.0,1500.0,73.4
195,2727,王品,215.0,-2.5,-1.15,07/16,0.99,8.91,12.0,14.7,15.5,8.34,8.19,-34.5,5.14,-38.2
