"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"159","3596","智易","197","+3","+1.55","07/13","+0.25","+0.37","+0.51","+0.34","+10.7","+12.3","+4.58","+1.91","+0.95","-0.57","-0.07","+1.88"
"160","3017","奇鋐","2225","-125","-5.32","07/13","-6.54","-3.66","-2.15","+0.34","+5.98","0","+0.91","+0.64","-0.06","-0.39","+0.07","-0.21"
"161","8227","巨有科技","175.5","-10","-5.39","07/13","0","0","+0.62","+0.33","+0.7","+0.48","-0.04","-0.03","-0.01","-0.01","","-0.03"
"162","4958","臻鼎-KY","646","+58","+9.86","07/13","+5.54","+3.88","+2.78","+0.33","+0.11","+2.49","+1.46","+1.08","+0.52","+0.12","+0.28","+0.85"
"163","6271","同欣電","236","-16","-6.35","07/13","0","0","+1.33","+0.3","+0.44","+1.67","+1.08","+0.74","+0.63","+0.34","-0.06","+0.74"
"164","1409","新纖","25.8","-0.75","-2.82","07/13","+0.03","+0.06","+0.07","+0.29","+0.27","+0.2","+0.12","+0.13","+0.08","+0.06","+0.02","+0.13"
"165","6788","華景電","394.5","-9","-2.23","07/13","+0.58","+0.6","+0.41","+0.29","+0.18","-0.58","+0.15","-0.04","+0.05","-0.01","","-0.01"
"166","3228","金麗科","171","-2.5","-1.44","07/13","0","0","0","+0.28","+0.24","+0.19","+0.08","+0.08","+0.05","+0.01","0","+0.08"
"167","3105","穩懋","403","-3","-0.74","07/13","+0.61","+0.63","+0.24","+0.27","-1.75","-1.83","-0.55","+0.44","+0.34","+0.19","-0.12","+0.47"
"168","9958","世紀鋼","116.5","-0.5","-0.43","07/13","+0.15","+0.32","+0.4","+0.27","+0.89","+0.43","+0.48","+0.27","-0.15","+0.02","+0.01","+0.27"
"169","5880","合庫金","25.2","+0.05","+0.2","07/13","+1","+0.35","+0.42","+0.25","+0.3","-0.1","+0.18","+0.41","-0.29","+0.25","+0.21","+0.36"
"170","2371","大同","28.1","+0.4","+1.44","07/13","+0.09","+0.22","+0.38","+0.24","+1.21","+0.39","-0.02","0","-1.49","+0.03","+0.01","-0.32"
"171","9939","宏全","124","+1.5","+1.22","07/13","+0.08","+0.14","+0.33","+0.24","+1.71","+1.35","+0.12","-0.21","-0.52","0","0","-0.3"
"172","2105","正新","32.85","+0.45","+1.39","07/13","-1.89","-0.71","-0.01","+0.22","+1.7","+0.34","+11.8","-1.52","-4.23","+2.66","+1.03","-2.03"
"173","6640","均華","968","-27","-2.71","07/13","+0.49","+0.26","+0.28","+0.22","+0.05","+0.77","-0.61","-0.11","-0.22","+0.03","","-0.09"
"174","1326","台化","65","+5","+8.33","07/13","+0.01","-0.04","-0.01","+0.21","+0.13","+0.25","-0.28","+0.02","0","-0.4","-0.33","+0.02"
"175","2049","上銀","332","+0.5","+0.15","07/13","-1.38","-0.72","-0.35","+0.2","-1.93","-2.17","+0.22","+0.16","-0.15","-0.12","+0.02","+0.16"
"176","2609","陽明","50.1","-1.5","-2.91","07/13","+0.07","+0.12","+0.25","+0.19","+0.13","-0.05","-14.6","-7.24","-7.34","-0.3","-0.09","-7.05"
"177","3004","豐達科","154.5","+1","+0.65","07/13","0","0","+0.42","+0.18","+0.38","+0.29","+0.89","+0.68","+0.17","+0.14","0","+0.65"
"178","6138","茂達","348","-28","-7.45","07/13","+0.19","+0.19","+0.22","+0.14","+0.31","+0.67","+0.81","+0.65","-0.53","-0.06","+0.04","+0.64"
"179","8064","東捷","134.5","-3.5","-2.54","07/13","+0.08","+0.06","+0.11","+0.12","+0.11","+0.05","+0.05","+0.03","+0.02","+0.01","0","+0.03"
"180","2493","揚博","257.5","-16.5","-6.02","07/13","+0.22","+0.2","+0.15","+0.12","+0.1","+0.05","+0.17","+0.21","+0.12","+0.09","+0.05","+0.2"
"181","1785","光洋科","129","-14","-9.79","07/13","+0.06","+0.07","+0.09","+0.11","+0.21","+0.11","+0.05","+0.02","+0.19","+0.08","+0.04","+0.02"
"182","1504","東元","66.5","-1","-1.48","07/13","-0.03","-0.08","-0.04","+0.11","+0.17","-0.09","-0.41","-0.81","-2.41","-0.39","-0.15","-0.84"
"183","1795","美時","196.5","-7.5","-3.68","07/13","+0.07","+0.11","+0.13","+0.11","+0.15","-0.11","-0.07","-0.42","+0.07","-0.19","-0.01","-0.61"
"184","6442","光聖","1375","-105","-7.09","07/13","+0.67","+0.45","-2.33","+0.1","-1.02","-2.22","-3.16","-1.11","+0.13","+0.15","+0.12","-1.06"
"185","0052","富邦科技","62.1","+0.1","+0.16","07/13","0","0","+0.15","+0.09","+0.14","-0.49","-0.36","-0.49","+0.04","+0.02","+0.11","-0.03"
"186","6257","矽格","234.5","-10","-4.09","07/13","+2.63","+1.46","+2.01","+0.09","+0.02","+0.28","-3.16","-1.54","-2.67","+0.33","+0.17","-1.59"
"187","8261","富鼎","292.5","-32.5","-10","07/13","0","0","+0.14","+0.08","+0.12","+0.07","+0.04","0","+0.02","+0.01","0","0"
"188","5314","世紀*","64.5","-1.5","-2.27","07/13","+0.17","+0.19","+0.14","+0.08","+0.05","+0.04","-0.03","-0.02","-0.01","+0.02","+0.02","-0.01"
"189","00991A","主動復華未來50","19.05","-0.46","-2.36","07/13","0","0","0","+0.07","+1.6","+0.95","+0.36","+0.25","","","","+0.24"
"190","00927","群益半導體收益","41.03","-0.58","-1.39","07/13","0","+0.22","+0.15","+0.07","+0.07","+0.07","+0.03","+0.02","+0.02","+0.01","","+0.02"
"191","6291","沛亨","453.5","-10","-2.16","07/13","+0.18","+0.14","+0.08","+0.07","-0.61","-0.26","+2.22","+1.32","+0.86","+0.74","+0.67","+1.3"
"192","2634","漢翔","63.8","+5.8","+10","07/13","0","+0.02","+0.04","+0.06","+0.14","+0.12","+0.05","-0.12","-0.15","-0.15","-0.1","-0.11"
"193","3324","雙鴻","905","-15","-1.63","07/13","+0.14","+0.03","+0.03","+0.05","+0.04","-0.01","-0.23","-0.33","-0.09","-0.01","-0.1","-0.43"
"194","2363","矽統","65.5","-0.1","-0.15","07/13","+0.09","+0.05","+0.1","+0.05","+0.04","+0.04","+0.02","+0.02","+0.01","0","0","+0.03"
"195","1815","富喬","94.6","-0.4","-0.42","07/13","+0.06","+0.04","+0.02","+0.05","+0.12","+0.06","-0.16","-0.06","-0.04","+0.01","+0.01","-0.2"
"196","2401","凌陽","31.9","-1.1","-3.33","07/13","+0.04","+0.02","+0.03","+0.04","+0.06","+0.05","+0.05","+0.05","+0.01","+0.02","0","+0.05"
"197","6197","佳必琪","328.5","-30","-8.37","07/13","+0.02","+0.04","+0.05","+0.04","+0.01","+0.01","-0.01","+0.03","-1.08","-0.01","+0.01","-0.25"
"198","1503","士電","220","-1.5","-0.68","07/13","0","-0.08","+0.11","+0.03","+0.02","+0.1","+0.06","-0.06","-0.18","-0.27","+0.01","-0.07"
"199","2388","威盛","70.1","-3","-4.1","07/13","0","-0.04","-0.03","+0.02","+0.19","+0.08","+0.19","+0.14","+0.05","-0.02","0","+0.14"
"200","2337","旺宏","138","-5.5","-3.83","07/13","+0.02","+0.02","+0.03","+0.02","-0.75","-0.72","-0.61","-0.31","+0.09","+0.04","+0.1","-0.11"
"201","4968","立積","108.5","-1.5","-1.36","07/13","+0.24","+0.1","+0.06","+0.02","+0.13","+0.14","+0.01","-0.01","-0.23","-0.27","-0.07","0"
"202","6962","奕力-KY","34.9","-1.05","-2.92","07/13","+0.06","+0.03","+0.02","+0.01","+0.08","+0.06","-0.14","-0.11","-0.05","","","-0.1"
"203","6202","盛群","70.2","-3.1","-4.23","07/13","0","0","+0.01","+0.01","+0.05","+0.04","+0.25","+0.16","+0.13","+0.03","+0.02","+0.16"
"204","2498","宏達電","43.8","-1.35","-2.99","07/13","0","0","+0.01","+0.01","0","-0.03","+0.01","+0.03","0","-0.01","0","+0.03"
"205","3035","智原","213","-3","-1.39","07/13","+0.02","+0.01","+0.01","+0.01","0","0","-0.01","-0.03","-0.08","-0.35","0","-0.03"
"206","2645","長榮航太","251.5","+16.5","+7.02","07/13","+0.02","0","-0.01","+0.01","-0.06","-0.43","-0.89","-0.21","+1.3","+0.81","","-0.2"
"207","5351","鈺創","100","+1.8","+1.83","07/13","0","0","+0.01","0","+0.02","+0.02","+0.01","+0.01","+0.01","+0.01","0","+0.01"
"208","8131","福懋科","77.2","+1.2","+1.58","07/13","0","+0.01","0","0","0","0","-0.08","+0.02","-0.01","-0.02","-0.01","+0.01"
"209","2409","友達","29.25","-2.2","-7","07/13","0","0","0","0","-0.02","-0.01","-0.01","-0.07","-0.01","-0.41","-0.18","-0.07"
"210","00400A","主動國泰動能高息","14.1","-0.15","-1.05","07/13","0","0","0","0","0","0","0","","","","",""
"211","00401A","主動摩根台灣鑫收","13.26","-0.12","-0.9","07/13","0","0","0","0","0","0","0","","","","",""
"212","00402A","主動安聯美國科技","9.79","+0.04","+0.41","07/13","0","0","0","0","0","0","","","","","",""
