代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
2542,興富發,44.0,-1.0,-2.22,07/07,4,12132,35.1,0.56,13,13936,9.73,0.64,-1,-307,-4.43,-0.01,4,15874,45.9,0.73
2812,台中銀,20.65,0.1,0.49,07/07,4,32435,57.3,0.54,-1,-1,0.0,0.0,-3,-399,-0.88,-0.01,4,32091,56.7,0.53
2834,臺企銀,18.1,0.1,0.56,07/07,4,48580,45.5,0.5,-2,-48,-0.09,0.0,2,67,0.13,0.0,4,48577,45.5,0.5
2845,遠東銀,13.2,-0.1,-0.75,07/07,4,15134,28.2,0.31,0,0,0.0,0.0,1,26,0.32,0.0,4,18424,34.3,0.38
2867,三商壽,8.73,-0.01,-0.11,07/07,4,19438,40.7,0.33,0,0,0.0,0.0,3,2820,7.79,0.05,4,22258,46.6,0.38
2897,王道銀行,10.55,0.0,0.0,07/07,4,4772,29.0,0.17,5,2185,10.3,0.08,-1,-11,-0.23,0.0,5,6205,29.2,0.22
2912,統一超,240.0,0.0,0.0,07/07,4,4354,28.5,0.42,6,729,3.68,0.07,1,7,0.21,0.0,4,4650,30.5,0.45
2939,永邑-KY,19.4,-0.1,-0.51,07/07,4,13,14.4,0.03,0,0,0.0,0.0,0,0,0.0,0.0,4,13,14.4,0.03
3047,訊舟,16.35,-0.45,-2.68,07/07,4,2293,25.0,1.02,0,0,0.0,0.0,-2,-5,-0.08,0.0,4,2291,25.0,1.02
3088,艾訊,139.0,-4.5,-3.14,07/07,4,1119,25.9,1.02,0,0,0.0,0.0,-2,-28,-1.32,-0.03,-1,-16,-1.68,-0.01
3162,精確,84.1,-0.2,-0.24,07/07,4,1249,21.6,0.81,0,0,0.0,0.0,1,12,0.93,0.01,4,1312,22.7,0.85
3229,晟鈦,39.1,-2.6,-6.24,07/07,4,51,4.77,0.08,0,0,0.0,0.0,1,3,0.74,0.0,1,26,6.43,0.04
3294,英濟,38.65,-0.75,-1.9,07/07,4,871,7.85,0.66,0,0,0.0,0.0,1,2,0.06,0.0,4,879,7.91,0.67
3310,佳穎,68.5,0.0,0.0,07/07,4,15,17.3,0.02,0,0,0.0,0.0,0,0,0.0,0.0,4,15,17.3,0.02
3373,熱映,16.8,-0.1,-0.59,07/07,4,49,18.2,0.1,0,0,0.0,0.0,0,0,0.0,0.0,4,49,18.2,0.1
3504,揚明光,73.4,-4.8,-6.14,07/07,4,137,5.18,0.12,0,0,0.0,0.0,-1,0,-0.01,0.0,4,137,5.19,0.12
4114,健喬,32.85,0.2,0.61,07/07,4,3565,44.4,0.7,0,0,0.0,0.0,2,97,2.01,0.02,4,3661,45.6,0.72
4582,聚恆-創,27.4,-0.3,-1.08,07/07,4,159,15.2,0.21,0,0,0.0,0.0,2,14,2.18,0.02,4,166,15.8,0.22
4711,永純,17.25,-0.35,-1.99,07/07,4,68,7.58,0.11,0,0,0.0,0.0,0,0,0.0,0.0,4,64,7.14,0.1
4953,緯軟,127.0,-2.5,-1.93,07/07,4,468,26.5,0.64,0,0,0.0,0.0,-1,-8,-1.96,-0.01,5,489,22.1,0.67
4995,晶達,45.3,0.1,0.22,07/07,4,48,30.6,0.11,0,0,0.0,0.0,1,2,2.08,0.0,5,55,31.2,0.13
5288,豐祥-KY,187.0,0.5,0.27,07/07,4,58,11.5,0.08,0,0,0.0,0.0,1,6,2.68,0.01,4,75,15.1,0.11
5301,寶得利,6.09,-0.08,-1.3,07/07,4,10,10.8,0.02,0,0,0.0,0.0,0,0,0.0,0.0,4,10,10.8,0.02
5324,士開,12.0,-0.15,-1.23,07/07,4,920,57.6,0.41,0,0,0.0,0.0,0,0,0.0,0.0,4,920,57.6,0.41
5388,中磊,83.4,2.0,2.46,07/07,4,2556,12.9,0.84,-2,-178,-1.24,-0.06,2,619,4.32,0.2,4,2433,12.2,0.8
5905,南仁湖,8.64,-0.19,-2.15,07/07,4,1321,26.2,0.47,0,0,0.0,0.0,0,0,0.0,0.0,4,1322,26.2,0.47
6214,精誠,133.0,-3.5,-2.56,07/07,4,1106,18.1,0.41,-2,-7,-0.22,0.0,-2,-2,-0.07,0.0,4,1096,17.9,0.4
6226,光鼎,23.6,0.5,2.16,07/07,4,1535,6.68,1.33,0,0,0.0,0.0,3,185,0.92,0.16,4,1720,7.48,1.49
6491,晶碩,378.0,4.0,1.07,07/07,4,2643,32.4,3.39,0,0,0.0,0.0,8,125,1.17,0.16,4,2764,33.9,3.54
6579,研揚,179.0,14.5,8.81,07/07,4,1184,18.3,0.7,0,0,0.0,0.0,1,60,1.16,0.04,4,1237,19.2,0.73
6625,必應,79.3,0.1,0.13,07/07,4,105,15.0,0.18,0,0,0.0,0.0,-1,-2,-0.88,0.0,4,103,14.7,0.18
6655,科定,121.0,-1.0,-0.82,07/07,4,5,18.1,0.01,0,0,0.0,0.0,1,1,12.5,0.0,4,6,21.7,0.01
6716,應廣,97.2,-3.3,-3.28,07/07,4,174,12.6,0.58,0,0,0.0,0.0,-1,-1,-0.36,0.0,4,174,12.6,0.57
6776,展碁國際,55.5,0.5,0.91,07/07,4,148,14.1,0.16,0,0,0.0,0.0,1,3,0.5,0.0,4,151,14.3,0.16
6782,視陽,211.0,2.5,1.2,07/07,4,535,26.3,0.85,0,0,0.0,0.0,3,15,0.82,0.02,4,549,27.1,0.87
6907,雅特力-KY,172.0,-15.5,-8.27,07/07,4,2696,21.9,4.31,0,0,0.0,0.0,-1,-54,-1.73,-0.09,4,2680,21.8,4.29
6962,奕力-KY,37.95,-1.3,-3.31,07/07,4,2328,17.8,0.47,0,0,0.0,0.0,-2,-31,-0.42,-0.01,4,2413,18.5,0.49
6965,中傑-KY,79.3,0.3,0.38,07/07,4,22,17.8,0.01,0,0,0.0,0.0,0,0,0.0,0.0,3,19,19.9,0.01
8028,昇陽半導體,309.5,-21.0,-6.35,07/07,4,3416,8.9,1.9,-2,-740,-3.38,-0.41,-2,-286,-1.31,-0.16,4,2872,7.48,1.6
8081,致新,303.5,-20.5,-6.33,07/07,4,1709,13.8,1.98,-1,-270,-12.5,-0.31,1,8,0.39,0.01,4,1374,11.1,1.59
8114,振樺電,216.5,11.0,5.35,07/07,4,450,11.2,0.59,-2,-2,-0.07,0.0,4,36,0.9,0.05,4,484,12.0,0.63
8131,福懋科,79.0,-3.2,-3.89,07/07,4,8748,15.9,1.98,0,0,0.0,0.0,-1,-84,-0.36,-0.02,-1,-61,-0.26,-0.01
8467,波力-KY,113.0,-1.0,-0.88,07/07,4,26,27.9,0.05,0,0,0.0,0.0,0,0,0.0,0.0,4,26,27.9,0.05
9802,鈺齊-KY,73.6,-1.2,-1.6,07/07,4,768,36.5,0.38,0,0,0.0,0.0,2,21,2.19,0.01,4,790,37.5,0.39
9902,台火,13.75,-0.2,-1.43,07/07,4,162,15.5,0.17,0,0,0.0,0.0,-1,-6,-2.92,-0.01,5,161,14.5,0.16
9950,萬國通,10.45,-0.1,-0.95,07/07,4,41,4.09,0.02,0,0,0.0,0.0,0,0,0.0,0.0,4,41,4.09,0.02
0051,元大中型100,144.0,-5.5,-3.68,07/07,3,8,3.33,0.03,0,0,0.0,0.0,-1,-32,-34.9,-0.13,-1,-25,-27.0,-0.1
00663L,國泰臺灣加權正2,106.7,-5.45,-4.86,07/07,3,576,1.17,0.39,0,0,0.0,0.0,-1,-22,-0.1,-0.01,3,2947,6.0,2.0
00688L,國泰20年美債正2,6.86,-0.08,-1.15,07/07,3,813,12.0,0.13,0,0,0.0,0.0,1,1156,37.2,0.18,3,1998,29.5,0.31
00726B,國泰新興投等債,33.52,0.04,0.12,07/07,3,126,19.6,0.01,0,0,0.0,0.0,1,39,19.7,0.0,5,118,12.7,0.01
00859B,群益0-1年美債,41.23,0.07,0.17,07/07,3,334,3.74,1.06,0,0,0.0,0.0,-6,-977,-5.63,-3.1,-1,-78,-1.96,-0.25
