"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"215","006205","富邦上証","40.26","-0.82","-2","07/13","-50.9","-49.9","-24.6","-22","+10.9","+6.43","+11.3","+8.78","+7.15","+4.27","+5.1","+8.95"
"216","1784","訊聯","66.5","-2.6","-3.76","07/13","-35.4","-7.65","-24.5","-12.6","-9.12","-8.36","-2.4","+1.26","-0.91","-0.5","-0.03","+0.86"
"217","6139","亞翔","883","+8","+0.91","07/13","-11","-20.1","-24.5","-26.4","-16","-4.48","+0.17","-0.77","+0.27","-0.36","+0.36","-1.26"
"218","1722","台肥","47.2","-0.35","-0.74","07/13","-37.3","-32","-24.5","+2.22","+16.3","+13","-1.02","-1.21","-3.84","-2.59","-2.34","-2.24"
"219","1474","弘裕","10.4","-0.1","-0.95","07/13","-38.4","-21.4","-24.4","-8.62","+0.36","+0.03","-0.43","+0.42","+0.18","-0.24","-0.01","+0.53"
"220","6201","亞弘電","48.8","+0.6","+1.24","07/13","-4.94","-20.7","-24.4","+1.27","+9.15","+4.05","+1.15","+1.07","-0.23","+1.06","+0.42","+1.33"
"221","6589","台康生技","50.6","+2.35","+4.87","07/13","-24.5","-22.9","-24.4","-14.4","-9.81","-7.36","-7","-5.79","-3","-0.12","","-4.93"
"222","2609","陽明","50.1","-1.5","-2.91","07/13","-42.6","-38.1","-24.4","-21.1","-5.78","-6.33","+10.3","+4.79","+2.73","+1.01","+0.39","+5.29"
"223","2250","IKKA-KY","65","+0.5","+0.78","07/13","-9.42","-23.6","-24.3","-24","-3.38","-4.39","-0.86","+0.04","-0.6","-0.24","","+0.64"
"224","2462","良得電","21.9","-0.95","-4.16","07/13","-21.7","-24.6","-24.3","-32.4","-13.6","+2.14","+0.04","-0.79","-1.1","-0.36","-0.02","-1.24"
"225","6269","台郡","61.9","-0.6","-0.96","07/13","-27","-31.5","-24.2","-25.8","-25","-6.21","-3.03","-1.8","-0.16","-1.8","-0.63","-1.76"
"226","1725","元禎","30.2","-1.4","-4.43","07/13","-15.8","-25.8","-24.2","-8.31","-8.05","+0.82","+1.75","+0.52","+0.08","-0.02","+0.04","+0.48"
"227","6026","福邦證","15.3","-0.4","-2.55","07/13","-0.24","-9.18","-24.2","-7.72","-11.3","-25","-4.42","-0.93","+0.55","-0.45","+0.16","-0.74"
"228","1414","東和","19.3","-0.1","-0.52","07/13","-35","-29.6","-24.1","-23","-12","-1.37","-1.35","-2.85","-0.58","+0.08","-0.05","-2.93"
"229","7547","碩網","56.6","-0.9","-1.57","07/13","-34.9","-32.1","-24","-27.3","+3.34","-6.85","-0.01","+0.04","","","","-0.05"
"230","3268","海德威","20.5","-0.45","-2.15","07/13","-20.4","-21.7","-24","-15","-2.51","+0.38","-0.25","0","-0.33","-0.04","0","-0.02"
"231","2362","藍天","42.15","-1.25","-2.88","07/13","-27.6","-15.8","-23.9","-7.63","-11.3","-8.39","-5.05","-2.18","-1.75","-0.35","-1.95","-2.71"
"232","2013","中鋼構","40.95","-0.45","-1.09","07/13","-52.9","-30.6","-23.9","-31.1","-26.8","-9.85","-8.74","-4.51","-6.89","-0.92","-0.01","-7.05"
"233","2736","富野","11.8","0","0","07/13","-15.9","-19.8","-23.7","-22.1","-11.1","-6.16","-1.32","-0.7","-1.41","-0.23","-0.01","-0.45"
"234","1735","日勝化","21.3","-0.7","-3.18","07/13","-20.7","-13","-23.7","-12.5","+0.99","+3.79","+1.18","+0.21","+0.2","+0.13","+0.25","+0.26"
"235","5438","東友","18.9","-0.25","-1.31","07/13","-28.4","-24.9","-23.7","-16","-2.67","+1.18","-1.97","-0.83","-0.88","-0.08","+0.01","+0.3"
"236","5202","力新","14","-0.4","-2.78","07/13","-26.2","-19.4","-23.6","-21","-8.59","-3.53","-3.3","-2.99","+0.94","-0.08","-0.07","-2.52"
"237","6548","長科*","84.7","+1.8","+2.17","07/13","-11.4","-17.5","-23.6","-7.77","-6.01","-5.26","+0.15","-0.28","+0.2","-0.51","","-0.18"
"238","2430","燦坤","18","0","0","07/13","-22.8","-16.9","-23.4","-10.7","-10.1","-7.73","-3.03","-5.95","-5.87","-3.2","-1.27","-5.85"
