排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
192,2468,華經,32.5,1.1,3.5,07/31,-7.74,-7.7,-7.57,-7.52,-8.27,-6.53,24.7,2.13,64.9,-3.67
193,7714,創泓科技,137.5,12.5,10.0,07/31,0.91,0.91,-7.5,-7.5,-19.0,7.77,136.0,258.0,,825.0
194,6147,頎邦,130.0,11.5,9.7,07/31,2.76,0.5,-3.17,-7.43,-20.5,-50.2,-51.9,153.0,21.7,166.0
195,3332,幸康,62.0,2.5,4.2,07/31,0.0,0.0,0.0,-7.41,-7.41,-7.41,-24.2,-51.9,66.7,-51.0
196,6261,久元,73.4,2.7,3.82,07/31,-2.42,-2.01,-6.13,-7.37,-14.0,-15.0,113.0,660.0,239.0,568.0
197,2383,台光電,4745.0,430.0,9.97,07/31,-2.74,0.4,2.9,-7.28,-14.0,-16.3,-75.0,-77.9,-78.6,-76.4
198,00876,元大全球5G,84.95,8.15,10.6,07/31,0.49,0.99,-5.56,-7.27,10.3,9.09,0.49,53.4,-49.8,12.1
199,3005,神基,114.0,4.0,3.64,07/31,-5.0,-4.98,-6.37,-7.14,-16.7,-33.2,-43.2,247.0,548.0,381.0
200,2379,瑞昱,683.0,-14.0,-2.01,07/31,-0.99,-2.15,-2.7,-7.1,-9.45,-10.8,45.9,45.4,371.0,63.0
201,3317,尼克森,63.7,4.4,7.42,07/31,-2.11,-1.88,-6.57,-7.09,-7.15,-5.71,9.1,35.8,194.0,23.0
202,1907,永豐餘,29.05,0.05,0.17,07/31,0.06,-0.72,-4.03,-7.08,-17.7,-32.5,-46.7,-29.7,-21.7,1.71
203,9946,三發地產,18.05,0.0,0.0,07/31,-8.59,-8.41,-7.33,-7.0,-1.32,13.4,59.7,87.2,33.5,83.3
204,8091,翔名,210.5,17.0,8.79,07/31,-6.57,-5.65,-3.04,-6.98,-4.01,23.2,138.0,182.0,75.6,178.0
205,6584,南俊國際,425.5,18.0,4.42,07/31,0.0,0.0,-6.83,-6.83,-8.81,-5.36,152.0,46.3,-46.0,27.7
206,6735,美達科技,62.2,4.5,7.8,07/31,1.34,1.34,-5.27,-6.83,-10.6,-13.6,356.0,336.0,1164.0,170.0
207,3693,營邦,447.0,40.5,9.96,07/31,-3.0,-4.15,-4.81,-6.82,-7.93,3.52,28.4,50.8,73.1,58.7
