排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
236,2354,鴻準,56.2,-0.9,-1.58,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.02,0.15,-0.21,-0.3
237,2023,燁輝,13.75,-0.2,-1.43,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.02,0.01,-0.02
238,6584,南俊國際,519.0,-17.0,-3.17,07/27,0.0,0.0,0.0,0.0,0.0,0.07,1.01,2.5,2.71,4.61,,1.7
239,2201,裕隆,27.65,-0.25,-0.9,07/27,0.0,0.0,0.0,0.0,-0.05,-0.05,-0.07,-0.08,-0.06,-0.25,1.19,-0.08
240,2646,星宇航空,21.6,0.45,2.13,07/27,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.07,0.07,,,0.07
241,4763,材料*-KY,49.7,-0.7,-1.39,07/27,0.0,0.0,0.0,0.0,0.17,0.19,0.27,-3.1,-2.67,-2.65,-2.57,-3.69
242,2731,雄獅,146.0,1.0,0.69,07/27,0.0,0.0,0.0,0.0,0.01,0.2,0.41,1.35,-0.2,-4.56,0.12,1.35
243,7795,長廣,402.5,10.0,2.55,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,,,,
244,1232,大統益,153.5,-0.5,-0.32,07/27,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.04,0.05,0.0,0.04
245,6605,帝寶,132.5,0.0,0.0,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,-0.44,-4.08,0.0,-0.86,-0.44
246,2727,王品,225.5,5.0,2.27,07/27,0.0,0.0,0.0,0.0,0.0,-0.19,0.16,0.24,-2.58,-0.24,0.06,0.2
247,1907,永豐餘,28.05,-0.05,-0.18,07/27,0.0,0.0,0.0,0.0,0.01,0.08,0.07,0.06,0.14,-4.3,0.1,0.06
248,6579,研揚,169.5,-11.0,-6.09,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.04,,0.03
249,1229,聯華,41.7,0.05,0.12,07/27,0.0,0.0,0.0,0.0,0.05,0.08,0.09,0.09,0.08,0.07,0.08,0.09
250,5607,遠雄港,49.6,-0.2,-0.4,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.09,-0.01,0.01
251,3324,雙鴻,930.0,-13.0,-1.38,07/27,0.0,0.0,0.0,0.0,0.01,0.02,-0.24,-1.64,-0.64,-1.64,-11.9,-2.41
252,2891,中信金,63.0,-0.6,-0.94,07/27,0.0,0.0,0.02,0.0,-0.05,0.15,-0.85,-0.91,-3.18,9.27,12.1,-1.21
253,9945,潤泰新,26.35,0.25,0.96,07/27,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.11,0.12,0.11,0.11,-0.57
254,4736,泰博,131.0,1.5,1.16,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,-0.32,-0.31,-1.06,-1.43,-0.32
255,1773,勝一,160.0,-3.0,-1.84,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.38,-0.44,-0.74,0.34,0.18,-0.3
256,5515,建國,43.6,0.05,0.11,07/27,0.0,0.0,0.0,0.0,0.03,-0.14,-0.23,-0.36,0.03,0.1,0.09,0.0
257,3673,TPK-KY,61.4,-1.3,-2.07,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.01,-0.72,0.03
258,1227,佳格,29.2,0.0,0.0,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.03,0.0,-0.01,-0.04,-0.03
259,4722,國精化,204.5,2.0,0.99,07/27,0.0,0.0,0.0,0.0,1.02,1.91,6.25,5.73,6.32,6.32,2.04,5.23
