排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
129,3630,新鉅科,櫃,32.9,-0.75,-2.23,3061,06/23,143,0,-11,132,81.8,40.1,＋・－
130,3086,華義*,櫃,34.3,-1.3,-3.65,417,06/23,-23,0,-6,-29,109.0,39.9,－・－
131,5225,東科-KY,市,73.0,-0.9,-1.22,210,06/23,3,0,-5,-2,31.5,39.8,＋・－
132,6671,三能-KY,市,24.85,-0.15,-0.6,103,06/23,-8,0,1,-7,24.2,39.8,－・＋
133,3702,大聯大,市,108.0,-4.5,-4.0,6484,06/23,-1127,-737,-273,-2136,665.0,39.6,－－－
134,9917,中保科,市,116.0,-0.5,-0.43,2125,06/23,-450,1,1,-447,178.0,39.5,－＋＋
135,2702,華園,市,12.85,-0.05,-0.39,44,06/23,15,0,2,17,61.7,39.4,＋・＋
136,8478,東哥遊艇,市,152.0,0.5,0.33,106,06/23,0,0,0,0,37.0,39.4,＋・・
137,3673,TPK-KY,市,82.2,-6.3,-7.12,24261,06/23,-4980,0,-540,-5521,160.0,39.4,－・－
138,3037,欣興,市,974.0,-31.0,-3.08,26622,06/23,79,-547,-69,-537,619.0,38.9,＋－－
139,1560,中砂,市,705.0,-8.0,-1.12,1048,06/23,33,70,27,130,58.0,38.7,＋＋＋
140,4966,譜瑞-KY,櫃,661.0,-34.0,-4.89,2158,06/23,17,-527,-33,-543,30.4,38.5,＋－－
141,6617,共信-KY,櫃,65.9,-1.3,-1.93,118,06/23,6,0,0,6,49.1,38.5,＋・・
142,6414,樺漢,市,377.5,-3.5,-0.92,1771,06/23,786,-371,-27,388,55.9,38.3,＋－－
143,3034,聯詠,市,544.0,-23.0,-4.06,14394,06/23,170,-970,-139,-939,233.0,38.2,＋－－
144,1326,台化,市,53.1,-3.1,-5.52,51755,06/23,-11592,6,-850,-12436,2239.0,38.2,－＋－
145,4924,欣厚-KY,櫃,13.5,1.0,8.0,502,06/23,194,0,0,194,14.2,38.1,＋・＋
146,4529,淳紳,櫃,4.72,-0.09,-1.87,77,06/23,0,0,0,0,32.2,38.1,・・・
147,3664,安瑞-KY,櫃,7.5,0.08,1.08,62,06/23,0,0,0,0,27.3,38.0,・・・
148,8016,矽創,市,320.5,5.5,1.75,4587,06/23,-15,-5,9,-10,45.4,37.8,－－＋
149,1215,卜蜂,市,116.0,1.0,0.87,1347,06/23,119,-95,2,26,109.0,36.9,＋－＋
150,8096,擎亞,櫃,150.5,-7.0,-4.44,10308,06/23,-470,0,-161,-631,54.6,36.6,－・－
151,8996,高力,市,1450.0,-105.0,-6.75,3344,06/23,494,-601,-16,-123,33.5,35.9,＋－－
152,2049,上銀,市,339.0,-4.5,-1.31,2656,06/23,569,2,-87,484,127.0,35.8,＋＋－
153,2316,楠梓電,市,217.5,-8.5,-3.76,19258,06/23,4240,173,-440,3972,65.5,35.8,＋＋－
154,2404,漢唐,市,1260.0,-20.0,-1.56,2277,06/23,46,-11,-29,6,68.3,35.8,＋－－
155,8299,群聯,櫃,2430.0,-150.0,-5.81,6978,06/23,-247,26,-58,-280,78.9,35.7,－＋－
156,8358,金居,櫃,657.0,-34.0,-4.92,17914,06/23,-1442,82,0,-1360,89.8,35.5,－＋－
157,2395,研華,市,487.5,-12.0,-2.4,2206,06/23,-15,120,5,110,307.0,35.4,－＋＋
158,3264,欣銓,櫃,233.5,-8.5,-3.51,13957,06/23,3402,41,-148,3296,172.0,35.2,＋＋－
159,1303,南亞,市,154.5,2.0,1.31,222204,06/23,-16415,40656,-1268,22973,2788.0,35.2,－＋－
160,00689R,國泰20年美債反1,市,21.83,0.09,0.41,93,06/23,-1,0,92,91,2.4,34.8,－・＋
161,2891,中信金,市,72.4,1.9,2.7,62355,06/23,11036,-6364,798,5469,6816.0,34.6,＋－＋
162,2324,仁寶,市,36.55,-0.95,-2.53,62366,06/23,3408,-2258,-888,262,1523.0,34.6,＋－－
163,6239,力成,市,344.0,-22.0,-6.01,47543,06/23,-4734,-158,-1788,-6680,262.0,34.5,－－－
164,2357,華碩,市,785.0,-3.0,-0.38,6496,06/23,-1060,-10,-167,-1236,251.0,33.8,－－－
165,3006,晶豪科,市,245.0,-9.0,-3.54,29723,06/23,2771,21,-18,2774,100.0,33.8,＋＋－
166,3596,智易,市,181.0,-7.0,-3.72,4604,06/23,430,521,-16,935,74.4,33.8,＋＋－
167,3008,大立光,市,5000.0,-185.0,-3.57,1932,06/23,-71,-5,-24,-100,43.9,33.6,－－－
168,3131,弘塑,櫃,3495.0,-90.0,-2.51,518,06/23,-59,169,-4,105,9.93,33.6,－＋－
169,6144,得利影,櫃,14.65,0.25,1.74,2,06/23,0,0,0,0,12.8,33.4,・・－
170,1521,大億,市,26.4,-0.15,-0.56,19,06/23,3,0,0,3,25.1,32.9,＋・・
171,6442,光聖,市,1980.0,-105.0,-5.04,3745,06/23,-221,-67,13,-276,25.9,32.9,－－＋
172,6271,同欣電,市,244.5,-22.0,-8.26,17386,06/23,-782,0,-97,-879,68.8,32.9,－・－
173,1301,台塑,市,49.55,-2.85,-5.44,36156,06/23,-5532,8,-849,-6373,2090.0,32.8,－＋－
174,5434,崇越,市,491.5,-14.5,-2.87,1125,06/23,11,-77,-11,-76,63.4,32.8,＋－－
175,2337,旺宏,市,172.0,-13.5,-7.28,206976,06/23,1695,339,205,2239,646.0,32.6,＋＋＋
176,5347,世界,櫃,186.5,-5.0,-2.61,64397,06/23,-9022,12263,86,3326,610.0,32.4,－＋＋
177,1342,八貫,市,117.0,0.0,0.0,798,06/23,219,0,2,221,25.0,32.0,＋・＋
178,2449,京元電子,市,329.5,-9.5,-2.8,76717,06/23,31582,-4003,-429,27150,388.0,31.7,＋－－
179,2243,宏旭-KY,市,46.55,0.0,0.0,1084,06/23,77,0,0,77,22.0,31.6,＋・・
180,4557,永新-KY,市,49.55,-1.35,-2.65,155,06/23,-32,0,-1,-33,15.1,31.4,－・－
181,2884,玉山金,市,35.8,0.0,0.0,56292,06/23,-6256,11399,-97,5046,5070.0,31.3,－＋－
182,3491,昇達科,櫃,1355.0,-115.0,-7.82,3548,06/23,24,-121,-8,-105,21.5,31.2,＋－－
183,1216,統一,市,75.1,0.8,1.08,17233,06/23,-7982,9349,120,1487,1773.0,31.2,－＋＋
184,6854,錼創科技-KY創,市,128.0,-4.5,-3.4,298,06/23,-25,0,3,-23,36.5,31.0,－・＋
185,6274,台燿,櫃,1735.0,-165.0,-8.68,6717,06/23,-1203,273,-106,-1036,89.0,30.8,－＋－
186,6146,耕興,櫃,191.5,-2.0,-1.03,385,06/23,16,-11,-2,3,31.2,30.7,＋－－
