排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
457,1514,亞力,市,121.0,1.5,1.26,3093,06/15,-400,-3,6,-396,39.4,14.4,－－＋
458,1101,台泥,市,24.85,0.3,1.22,41019,06/15,5133,334,-100,5367,1084.0,14.4,＋＋－
459,2451,創見,市,310.0,4.5,1.47,3909,06/15,-176,-24,15,-185,62.1,14.4,－－＋
460,3576,聯合再生,市,21.0,1.2,6.06,85552,06/15,13478,0,-139,13339,233.0,14.3,＋・－
461,4766,南寶,市,369.0,-0.5,-0.14,329,06/15,-35,-1,3,-33,17.2,14.3,－－＋
462,1708,東鹼,市,47.4,-0.6,-1.25,13791,06/15,-2218,0,-52,-2269,35.5,14.2,－・－
463,2912,統一超,市,228.0,-2.0,-0.87,3577,06/15,-1410,770,26,-614,148.0,14.2,－＋＋
464,1409,新纖,市,25.45,-0.05,-0.2,12569,06/15,-1097,-1,102,-996,230.0,14.2,－－＋
465,6834,天二科技,市,90.9,6.8,8.09,13199,06/15,-1506,0,-46,-1551,12.5,14.1,－・－
466,8436,大江,櫃,119.5,-1.0,-0.83,346,06/15,-34,-2,10,-26,16.7,14.1,－－＋
467,6435,大中,櫃,284.0,9.5,3.46,625,06/15,-140,0,5,-136,5.28,14.1,－・＋
468,1707,葡萄王,市,103.0,-1.0,-0.96,446,06/15,-130,0,1,-130,20.9,14.1,－・＋
469,6859,伯特光,櫃,125.5,0.5,0.4,170,06/15,33,0,0,33,5.84,14.0,＋・－
470,8383,千附,櫃,61.2,2.5,4.26,1316,06/15,101,0,11,112,15.9,14.0,＋・＋
471,8942,森鉅,櫃,41.85,0.5,1.21,323,06/15,74,0,0,74,27.8,14.0,＋・・
472,1712,興農,市,39.9,0.15,0.38,897,06/15,47,0,9,56,58.7,14.0,＋・＋
473,8070,長華*,市,57.0,-0.3,-0.52,5890,06/15,-1232,0,5,-1227,101.0,13.9,－・＋
474,6703,軒郁,櫃,110.5,-1.0,-0.9,30,06/15,-8,0,0,-8,4.59,13.9,－・・
475,2377,微星,市,140.0,3.5,2.56,17347,06/15,1546,48,141,1735,117.0,13.9,＋＋＋
476,6499,益安,櫃,74.5,0.0,0.0,195,06/15,-5,0,1,-4,13.4,13.8,－・＋
477,6541,泰福-KY,市,40.15,0.7,1.77,332,06/15,2,0,0,2,36.6,13.8,＋・－
478,6231,系微,櫃,282.5,15.0,5.61,486,06/15,119,0,11,129,6.31,13.8,＋・＋
479,3550,聯穎,市,28.05,-1.0,-3.44,9299,06/15,-2350,0,8,-2342,14.8,13.8,－・＋
480,6214,精誠,市,143.0,-2.5,-1.72,1793,06/15,-803,0,-5,-807,37.6,13.8,－・－
481,3707,漢磊,櫃,81.7,4.6,5.97,14897,06/15,2601,0,3,2605,54.6,13.8,＋・＋
482,3545,敦泰,市,57.3,3.4,6.31,2035,06/15,1233,0,20,1254,30.4,13.8,＋・＋
483,9907,統一實,市,16.75,0.05,0.3,4369,06/15,-464,0,12,-452,217.0,13.7,－・＋
484,3645,達邁,市,92.8,2.4,2.65,2091,06/15,607,0,2,609,18.7,13.7,＋・＋
485,4171,瑞基,櫃,17.55,0.1,0.57,63,06/15,-5,0,0,-5,7.89,13.6,－・・
486,5263,智崴,櫃,102.0,0.0,0.0,193,06/15,55,0,2,57,10.0,13.5,＋・＋
487,4979,華星光,櫃,550.0,49.0,9.78,954,06/15,90,-168,8,-70,19.1,13.4,＋－＋
488,6831,邁科,市,747.0,20.0,2.75,1073,06/15,348,-54,-1,293,9.07,13.4,＋－－
