排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
291,3045,台灣大,115.5,1.5,1.32,06/01,1.63,7.48,11.7,10.7,9.81,7.89,-20.6,149.0,276.0,-10.2
292,2729,瓦城,158.5,0.5,0.32,06/01,3.31,9.66,10.6,10.6,6.85,13.7,37.4,26.3,-8.61,23.8
293,4807,日成-KY,31.25,2.55,8.89,06/01,4.57,7.01,8.53,10.6,10.6,50.7,9.05,-6.91,-27.1,-2.55
294,1725,元禎,32.45,0.15,0.46,06/01,0.6,5.03,6.71,10.6,8.79,7.4,130.0,117.0,53.2,140.0
295,4190,佐登-KY,24.35,0.05,0.21,06/01,1.71,3.49,7.88,10.6,14.1,20.3,74.5,7.88,-46.5,29.0
296,4956,光鋐,44.65,-0.85,-1.87,06/01,0.0,1.8,9.26,10.5,11.2,32.1,-18.8,-10.5,6.98,-22.9
297,6246,臺龍,15.25,-0.1,-0.65,06/01,0.0,0.0,0.0,10.5,23.5,600.0,,-30.0,162.0,
298,2701,萬企,10.25,-0.05,-0.49,06/01,0.91,2.31,5.24,10.5,17.6,37.3,60.1,82.6,-52.5,74.0
299,7777,能率亞洲,41.05,-2.5,-5.74,06/01,1.86,1.86,3.47,10.4,1.97,5.46,173.0,,,
300,2331,精英,25.6,1.2,4.92,06/01,-0.55,0.74,2.34,10.4,21.5,27.5,-9.31,253.0,160.0,168.0
