"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"549","3611","鼎翰","櫃","192","-0.5","-0.26","52","06/04","0","0","0","0","5.63","11.8","＋・・"
"550","8271","宇瞻","市","245","-5","-2","5,077","06/04","+357","0","+4","+361","15.4","11.8","＋・＋"
"551","1799","易威","櫃","34.4","+1.25","+3.77","283","06/04","+63","0","0","+63","14.7","11.8","＋・－"
"552","6213","聯茂","市","260.5","-9.5","-3.52","7,188","06/04","-180","-33","-318","-531","42.9","11.8","－－－"
"553","8454","富邦媒","市","321","+29","+9.93","8,086","06/04","-424","+1,078","+26","+680","31.1","11.7","－＋＋"
"554","4536","拓凱","市","162.5","-0.5","-0.31","149","06/04","+47","0","0","+47","10.6","11.6","＋・＋"
"555","6533","晶心科","市","225","-11.5","-4.86","891","06/04","-291","0","-7","-298","5.89","11.6","－・－"
"556","6237","驊訊","櫃","51.4","-4.7","-8.38","3,965","06/04","-655","0","-25","-680","9.25","11.6","－・－"
"557","1463","強盛新","市","17.9","+0.1","+0.56","50","06/04","+8","0","0","+8","19.9","11.5","＋・・"
"558","1717","長興","市","76.4","-1.7","-2.18","13,800","06/04","-5,302","0","-210","-5,512","135","11.5","－＋－"
"559","8112A","至上甲特","市","46.35","+0.05","+0.11","21","06/04","0","0","0","0","3.45","11.5","・・・"
"560","3587","閎康","櫃","311","-10","-3.12","1,275","06/04","-476","0","-10","-486","8.17","11.5","－・－"
"561","4129","聯合","櫃","89.2","+0.4","+0.45","240","06/04","-70","0","0","-70","11","11.4","－・－"
"562","4931","新盛力","櫃","260","+6","+2.36","24,253","06/04","+829","0","-107","+723","7.5","11.4","＋・－"
"563","2354","鴻準","市","62.3","-2.8","-4.3","16,420","06/04","-3,560","+7","-333","-3,886","161","11.4","－＋－"
"564","8114","振樺電","市","238.5","-7.5","-3.05","1,265","06/04","-46","0","-22","-68","8.71","11.4","－・－"
"565","5203","訊連","市","72","+0.6","+0.84","1,661","06/04","-443","0","0","-443","8.98","11.4","－・＋"
"566","5469","瀚宇博","市","85.6","-1.3","-1.5","2,526","06/04","-648","0","-22","-670","55.2","11.3","－・－"
"567","6491","晶碩","市","328","+3","+0.92","591","06/04","+138","0","+6","+144","8.84","11.3","＋・＋"
"568","2501","國建","市","23.5","+0.35","+1.51","3,921","06/04","+2,409","0","+8","+2,417","131","11.3","＋・＋"
"569","2067","嘉鋼","櫃","6.52","+0.06","+0.93","65","06/04","0","0","0","0","5.09","11.3","・・・"
"570","2464","盟立","市","170","-5.5","-3.13","10,038","06/04","+589","0","-65","+524","23.3","11.3","＋・－"
"571","8926","台汽電","市","72.4","+2","+2.84","17,435","06/04","+2,026","+115","+12","+2,153","93.5","11.3","＋＋＋"
"572","3605","宏致","市","76.3","-1","-1.29","1,480","06/04","-23","0","-22","-45","19.7","11.2","－・－"
"573","00856B","永豐1-3年美公債","櫃","37.41","+0.07","+0.19","12","06/04","0","0","+10","+10","0.76","11.2","・・＋"
"574","3005","神基","市","110","-0.5","-0.45","5,925","06/04","+1,256","-1","-45","+1,210","69.8","11.2","＋－－"
"575","7402","邑錡","櫃","100","-1","-0.99","200","06/04","+22","0","+1","+23","3.94","11.2","＋・＋"
"576","3444","利機","櫃","104","+3","+2.97","1,822","06/04","-4","0","+1","-3","5.02","11.2","－・＋"
"577","6509","聚和","櫃","51.5","+2","+4.04","4,960","06/04","+1,273","+55","+90","+1,418","21.8","11.1","＋＋＋"
"578","1760","寶齡富錦","市","61.2","+0.8","+1.32","231","06/04","-2","0","0","-2","9.49","11.1","－・・"
"579","1788","杏昌","櫃","134","-0.5","-0.37","39","06/04","+2","0","0","+2","4.93","11.1","＋・・"
"580","6016","康和證","櫃","35.3","-0.45","-1.26","35,637","06/04","-3,084","0","0","-3,084","76","11.1","－・・"
"581","6727","亞泰金屬","櫃","489.5","-32.5","-6.23","2,171","06/04","+161","0","+67","+228","2.97","11","＋・＋"
"582","2312","金寶","市","41.05","-2.35","-5.41","111,914","06/04","-14,687","+16","-1,572","-16,242","165","11","－＋－"
"583","4956","光鋐","市","43.75","-2.5","-5.41","2,776","06/04","-905","0","+2","-903","11","11","－・＋"
"584","5452","佶優","櫃","36.15","+0.8","+2.26","9,395","06/04","+304","0","+85","+389","16.3","11","＋・＋"
"585","3259","鑫創","櫃","17.75","-0.45","-2.47","64","06/04","-22","0","0","-22","7.99","10.9","－・＋"
"586","5009","榮剛","櫃","37.35","-0.65","-1.71","3,657","06/04","-445","-5","-177","-627","65.9","10.9","－－－"
"587","4167","松瑞藥","櫃","20.55","+0.4","+1.99","2,356","06/04","+723","0","+34","+757","33.9","10.9","＋・＋"
"588","4556","旭然","櫃","43.45","+3.95","+10","642","06/04","+109","0","0","+109","4.6","10.9","＋・＋"
"589","3483","力致","櫃","107","-3.5","-3.17","7,973","06/04","-1,008","0","-57","-1,064","10.8","10.9","－・－"
"590","1903","士紙","市","50.3","+0.7","+1.41","1,121","06/04","-224","0","+2","-222","28.2","10.8","－・＋"
