排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
194,1558,伸興,91.0,0.0,0.0,06/17,2.99,1.08,0.64,0.48,0.29,0.36,0.72,0.76,0.46,0.12,0.81,0.86
195,3044,健鼎,571.0,25.0,4.58,06/17,1.71,0.77,0.61,0.48,4.48,5.93,5.05,7.4,10.1,8.08,5.72,6.28
196,2912,統一超,229.0,1.0,0.44,06/17,0.08,0.08,0.12,0.47,0.38,0.34,5.8,6.81,6.27,4.21,2.7,6.66
197,5871,中租-KY,115.0,-1.5,-1.29,06/17,1.36,0.75,0.75,0.43,0.36,0.45,3.6,11.8,9.55,5.59,3.1,5.91
198,2352,佳世達,30.8,0.6,1.99,06/17,0.1,1.05,0.72,0.43,0.11,0.12,0.37,0.53,0.62,4.45,2.22,0.35
199,9924,福興,40.45,-0.05,-0.12,06/17,2.09,1.11,0.75,0.42,0.19,0.28,0.62,0.4,0.18,0.02,0.02,0.65
200,1810,和成,20.2,0.35,1.76,06/17,0.83,0.96,0.57,0.41,0.1,0.15,0.28,0.43,0.72,0.39,0.15,0.45
201,1476,儒鴻,323.5,-5.0,-1.52,06/17,0.14,0.12,0.24,0.41,0.49,0.63,1.0,1.03,1.35,2.84,3.26,1.05
202,2204,中華,56.2,0.6,1.08,06/17,0.97,0.95,0.55,0.41,0.58,4.28,2.58,3.13,5.0,4.39,2.8,3.24
203,4532,瑞智,24.15,-0.05,-0.21,06/17,0.88,0.87,0.49,0.41,0.87,1.39,1.24,1.04,1.39,0.31,0.8,1.08
204,4958,臻鼎-KY,639.0,15.0,2.4,06/17,0.14,0.08,0.07,0.41,1.76,2.76,1.23,2.37,2.78,3.76,3.19,1.36
205,9911,櫻花,82.9,-0.4,-0.48,06/17,0.0,0.0,0.14,0.4,0.12,0.81,0.55,0.34,0.2,0.1,0.01,0.39
206,2353,宏碁,35.0,-2.6,-6.91,06/17,0.19,0.17,0.16,0.39,0.22,0.88,1.96,2.4,4.28,4.09,1.95,2.2
207,3090,日電貿,302.5,27.5,10.0,06/17,1.18,0.73,0.6,0.39,0.42,0.72,0.57,1.47,1.43,1.17,0.63,1.49
