排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
208,00920,富邦ESG綠色電力,25.84,-1.06,-3.94,06/08,0.26,-0.22,1.02,0.67,0.62,1.28,16.3,14.0,28.7,43.2,,12.7
209,2867,三商壽,7.97,-0.11,-1.36,06/08,0.05,0.11,0.29,0.67,0.83,1.03,2.42,8.29,12.2,13.3,11.5,6.02
210,00639,富邦深100,17.65,-0.64,-3.5,06/08,0.06,-0.01,-0.06,0.67,0.39,1.05,2.05,1.33,0.18,-23.1,140.0,1.68
211,2368,金像電,1360.0,45.0,3.42,06/08,-0.08,-0.02,-0.1,0.67,1.07,1.15,-0.4,3.22,7.1,3.57,20.0,3.33
212,1587,吉茂,28.5,-1.8,-5.94,06/08,0.62,0.64,0.72,0.66,-0.68,-0.63,-1.05,-0.38,-3.35,-1.53,,-1.02
213,6170,統振,52.9,-0.3,-0.56,06/08,0.12,0.31,0.46,0.66,1.08,0.69,2.12,-0.39,-0.98,1.59,-0.64,-0.05
214,1560,中砂,649.0,-49.0,-7.02,06/08,-0.03,-0.01,0.38,0.66,0.27,0.65,5.9,14.7,17.4,29.6,26.7,11.9
215,00941,中信上游半導體,25.06,-0.99,-3.8,06/08,0.06,0.06,0.25,0.65,0.85,2.02,5.84,16.9,75.3,,,13.0
216,4555,氣立,50.7,-2.1,-3.98,06/08,0.28,0.33,0.14,0.65,0.81,1.6,0.07,-0.8,-0.12,2.48,-5.84,-0.36
217,8050,廣積,53.3,-3.9,-6.82,06/08,0.08,0.18,0.47,0.65,-0.27,-0.17,-0.21,-0.39,-0.51,-1.42,1.34,-0.16
218,7610,聯友金屬-創,1780.0,30.0,1.71,06/08,0.16,0.28,0.37,0.65,1.33,0.2,-1.56,2.82,,,,2.22
219,00912,中信臺灣智慧50,32.05,-0.78,-2.38,06/08,0.86,0.58,0.33,0.64,0.9,2.5,3.21,2.72,10.4,5.27,,2.57
220,6465,威潤,53.1,-1.8,-3.28,06/08,0.1,-0.13,0.01,0.64,0.61,1.46,1.44,1.78,1.76,1.85,1.85,1.33
221,5228,鈺鎧,72.6,3.2,4.61,06/08,-0.57,1.57,1.3,0.64,1.42,0.56,0.23,2.08,2.1,1.99,,1.93
222,3479,安勤,122.0,-7.0,-5.43,06/08,-0.01,0.42,0.59,0.64,1.02,1.11,-0.34,-4.7,-5.29,-10.9,-2.17,-3.08
223,00931B,統一美債20年,13.38,-0.05,-0.37,06/08,0.17,0.21,0.25,0.62,1.74,2.46,5.09,10.3,22.4,,,9.51
224,1714,和桐,12.65,1.15,10.0,06/08,-0.07,-0.15,-0.08,0.62,0.85,2.36,3.15,5.13,5.43,3.95,5.41,4.98
225,3362,先進光,141.5,-6.5,-4.39,06/08,0.0,0.19,0.19,0.62,0.97,1.09,1.3,0.3,-0.53,2.82,2.72,0.16
226,00955,中信日本商社,14.35,-0.33,-2.25,06/08,0.3,0.39,0.46,0.62,-0.96,0.03,3.82,2.2,2.21,,,2.84
227,4745,合富-KY,16.5,1.3,8.55,06/08,0.43,0.55,0.56,0.61,0.7,0.46,-4.15,-3.65,-4.7,-6.7,-6.43,-4.13
228,1722,台肥,47.7,-0.55,-1.14,06/08,0.08,0.26,0.38,0.61,0.89,0.62,-1.26,-1.7,-3.31,-5.76,-16.8,-1.99
229,00948B,中信優息投資級債,9.47,-0.04,-0.42,06/08,0.15,0.28,0.37,0.6,1.62,3.18,15.0,19.1,35.2,,,17.8
230,6120,達運,14.35,-0.95,-6.21,06/08,0.05,0.15,0.14,0.59,0.61,1.97,3.18,3.79,2.63,2.57,-4.07,3.36
231,3026,禾伸堂,601.0,-25.0,-3.99,06/08,0.22,0.4,0.58,0.59,1.11,3.48,-1.2,2.85,4.63,6.13,8.36,3.43
232,00985B,群益ESG投等債0-5,10.15,0.02,0.2,06/08,0.54,0.9,1.04,0.59,0.53,1.51,-0.76,2.73,,,,2.3
233,00696B,富邦美債20年,28.83,-0.12,-0.41,06/08,0.22,0.31,0.28,0.59,2.01,3.43,12.7,64.2,93.3,185.0,,58.1
234,3406,玉晶光,654.0,-11.0,-1.65,06/08,0.03,-0.49,0.11,0.59,1.3,2.95,11.2,12.9,20.2,26.9,31.4,15.6
235,2441,超豐,123.5,-8.0,-6.08,06/08,0.32,0.37,0.38,0.58,-1.09,-3.54,-2.0,-5.18,-2.32,-3.87,-9.09,-0.77
236,5302,太欣,10.5,-0.2,-1.87,06/08,0.02,0.07,0.01,0.58,0.69,0.39,0.75,1.27,1.31,1.37,1.39,1.22
237,2337,旺宏,143.5,-6.5,-4.33,06/08,0.09,0.02,-0.46,0.58,5.01,4.63,7.33,14.8,18.8,14.7,41.7,12.3
238,6811,宏碁資訊,227.0,-11.5,-4.82,06/08,0.34,0.64,0.76,0.58,0.82,1.21,1.44,-0.65,-1.11,0.03,,0.1
239,6834,天二科技,68.2,-1.8,-2.57,06/08,0.06,0.0,0.05,0.57,1.66,2.93,5.32,6.18,5.76,5.93,,5.85
240,5285,界霖,87.6,-4.2,-4.58,06/08,0.4,0.33,1.42,0.57,0.17,1.27,2.58,3.71,4.15,3.11,4.09,3.53
241,4933,友輝,68.8,-5.1,-6.9,06/08,0.03,0.13,0.07,0.56,2.04,2.29,0.62,1.27,-6.84,3.91,4.23,1.21
242,6411,晶焱,89.1,-9.9,-10.0,06/08,-0.19,-0.03,0.06,0.56,-0.03,0.1,0.91,1.82,0.83,0.8,3.69,1.64
243,3294,英濟,36.75,-1.55,-4.05,06/08,0.24,0.31,0.2,0.56,0.16,-1.18,-0.27,-1.12,-0.42,-3.5,-2.87,-0.69
244,2305,全友,22.6,0.1,0.44,06/08,0.21,0.53,-0.07,0.56,-1.3,1.48,3.18,3.22,4.3,5.7,4.44,3.33
245,1582,信錦,98.7,-4.8,-4.64,06/08,0.09,0.36,0.34,0.55,-0.38,1.55,-0.52,-4.62,-9.52,-3.63,-8.71,-3.88
246,3260,威剛,403.0,-18.5,-4.39,06/08,0.4,-0.39,0.35,0.54,0.79,-0.23,-12.8,-13.9,-2.76,-0.27,5.05,-15.8
247,00753L,中信中國50正2,9.35,-0.4,-4.1,06/08,0.09,0.14,0.19,0.54,0.63,-1.16,-2.79,-2.81,12.4,24.0,,-2.18
248,00842B,台新美元銀行債,30.35,-0.07,-0.23,06/08,0.46,0.53,0.53,0.54,0.84,0.97,0.84,0.68,1.03,1.04,,0.7
249,5904,寶雅,582.0,5.0,0.87,06/08,0.24,0.43,0.55,0.54,0.73,0.15,2.45,3.53,4.2,-1.87,-2.37,3.56
250,4973,廣穎,160.0,-11.5,-6.71,06/08,0.14,0.38,0.45,0.54,2.84,1.19,1.38,4.25,3.09,-1.49,4.51,4.15
251,3443,創意,4255.0,-135.0,-3.08,06/08,-0.01,0.14,0.22,0.54,1.28,2.13,1.45,1.74,7.18,-2.55,18.4,1.88
252,5289,宜鼎,1810.0,55.0,3.13,06/08,0.35,-0.19,-0.04,0.53,-0.67,-1.51,-8.56,-10.1,-4.01,-9.15,9.87,-10.9
253,4167,松瑞藥,20.35,-0.3,-1.45,06/08,0.09,0.18,0.42,0.53,0.87,0.7,1.34,-0.1,-1.53,-0.29,2.68,0.71
254,6546,正基,73.4,-3.7,-4.8,06/08,0.01,0.1,0.25,0.53,1.75,3.4,4.32,0.29,-1.34,6.74,,0.93
255,2820,華票,16.9,-0.3,-1.74,06/08,-0.02,0.0,0.13,0.53,0.45,0.19,0.26,0.25,1.55,2.39,0.8,0.17
256,6199,天品,94.0,3.9,4.33,06/08,0.02,-0.07,0.29,0.53,0.61,0.47,0.03,0.61,0.35,-0.08,-0.06,-0.03
257,5328,華容,38.9,-1.8,-4.42,06/08,-0.72,1.79,1.68,0.53,-1.91,-0.91,-3.32,2.23,-0.89,0.89,1.35,2.49
258,6161,捷波,51.0,-2.8,-5.2,06/08,0.17,0.34,0.14,0.52,-0.6,-1.1,-1.01,-1.68,-1.55,-2.0,3.07,-1.18
259,6715,嘉基,421.0,-13.0,-3.0,06/08,0.05,0.04,-0.1,0.52,0.33,1.2,0.14,1.77,1.53,2.45,,1.76
260,3016,嘉晶,104.0,-4.0,-3.7,06/08,0.04,0.26,0.6,0.52,-2.75,-2.98,3.7,5.22,4.39,3.81,4.32,5.49
261,4306,炎洲,14.95,0.0,0.0,06/08,0.02,0.1,0.17,0.52,0.83,1.57,1.2,1.93,-0.22,-0.44,-1.58,1.66
262,2390,云辰,11.85,-0.25,-2.07,06/08,0.42,0.47,0.41,0.51,1.35,1.93,1.37,1.8,1.16,2.92,0.8,1.7
263,3088,艾訊,129.5,-9.0,-6.5,06/08,0.21,0.51,0.7,0.51,1.03,3.03,7.33,7.49,0.49,2.7,-3.12,7.38
264,6234,高僑,43.5,-3.85,-8.13,06/08,0.27,0.23,0.28,0.51,-2.41,-3.05,0.72,-1.88,-1.98,-2.06,1.21,2.13
265,6690,安碁資訊,174.0,-8.0,-4.4,06/08,0.14,0.21,0.21,0.51,0.55,0.56,0.95,0.86,0.23,1.41,,0.67
266,8131,福懋科,63.8,-5.1,-7.4,06/08,-0.09,-0.46,-0.07,0.51,2.29,2.26,1.74,3.53,1.92,1.96,1.68,1.47
267,3090,日電貿,209.5,-11.5,-5.2,06/08,0.01,0.04,0.15,0.51,1.84,2.71,8.14,8.28,3.29,6.42,11.3,8.61
268,00892,富邦台灣半導體,41.87,-1.78,-4.08,06/08,-0.14,-0.24,-0.06,0.51,0.19,0.1,-0.63,-0.37,5.69,17.8,,-0.46
269,3004,豐達科,127.5,-2.5,-1.92,06/08,0.03,0.19,0.4,0.51,-0.6,-0.53,-1.14,-0.35,-8.21,-0.44,-0.88,-0.34
270,00956,中信日經高股息,12.08,-0.19,-1.55,06/08,0.0,0.0,0.13,0.51,-0.44,0.45,1.35,0.65,15.3,,,1.45
271,2031,新光鋼,41.45,-1.9,-4.38,06/08,-0.35,-0.17,0.02,0.5,0.57,0.41,0.45,-0.8,-2.66,-4.89,0.22,-0.5
272,3022,威強電,79.0,1.6,2.07,06/08,-0.18,-0.02,0.13,0.5,1.21,1.03,2.49,0.93,-4.05,-14.4,21.4,1.44
273,6116,彩晶,16.65,-1.8,-9.76,06/08,0.06,0.1,0.14,0.5,-1.18,0.35,1.93,-1.78,-0.52,-0.53,-3.58,-1.65
274,3322,建舜電,14.25,0.0,0.0,06/08,0.12,0.15,0.25,0.5,0.85,-0.01,-0.27,0.4,0.09,0.81,1.34,0.69
275,1735,日勝化,23.9,-1.35,-5.35,06/08,0.18,0.22,0.08,0.49,0.28,0.65,0.51,0.13,0.17,0.2,0.71,0.18
276,3529,力旺,3200.0,-235.0,-6.84,06/08,0.4,0.43,0.35,0.49,1.63,4.05,7.84,11.5,0.72,0.51,8.44,13.8
277,2301,光寶科,218.5,-11.5,-5.0,06/08,0.0,0.02,0.06,0.49,0.12,1.49,8.19,9.86,11.9,-4.05,-10.4,8.32
278,4915,致伸,74.8,-2.6,-3.36,06/08,-0.2,-0.01,-0.16,0.49,-0.79,-3.87,-9.91,-16.9,-11.5,-16.6,-9.45,-15.3
