排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
13,2324,仁寶,36.85,-1.05,-2.77,06/25,-1321,-2061,-10713,-18361,-25326,-266202,-266882.0,-152176.0,143449.0,-142123.0
14,1802,台玻,69.6,0.3,0.43,06/25,1472,-3028,-7812,-18347,-15934,-25206,10090.0,-6055.0,15157.0,-12104.0
15,1314,中石化,8.04,0.05,0.63,06/25,292,-17769,-16417,-17633,-25932,-45157,-124.0,7577.0,3448.0,7796.0
16,00918,大華優利高填息30,32.48,0.4,1.25,06/25,-5381,-5574,-5574,-17609,-6497,-94,9771.0,-24328.0,-30181.0,-23687.0
17,2891,中信金,70.6,0.7,1.0,06/25,-13474,-29468,-26342,-17196,-78473,-39654,47057.0,118074.0,-63137.0,123715.0
18,2027,大成鋼,40.2,-0.35,-0.86,06/25,-12285,-12962,-13081,-15671,-18054,-55429,-82996.0,336.0,19478.0,-19206.0
19,00878,國泰永續高股息,33.75,0.09,0.27,06/25,0,152,-12394,-15373,-15686,36415,45945.0,28655.0,6929.0,39509.0
20,3711,日月光投控,641.0,-12.0,-1.84,06/25,-2189,-5929,-9983,-14470,-15557,-34063,8879.0,12380.0,-56928.0,12969.0
21,2344,華邦電,219.5,14.5,7.07,06/25,-9533,-8821,-15836,-13842,-4682,-21264,11438.0,119995.0,95330.0,128786.0
22,2887,台新新光金,31.85,0.25,0.79,06/25,962,-1592,-9427,-13461,-40964,27332,26128.0,9333.0,-1060963.0,16320.0
23,2882,國泰金,111.5,1.5,1.36,06/25,-13942,-15609,-15890,-13389,-28817,-72315,-28930.0,-86338.0,-382944.0,-67836.0
24,2408,南亞科,477.0,33.5,7.55,06/25,2638,-624,-4015,-13282,-14755,-31315,-21292.0,-13201.0,-28025.0,-7099.0
25,2801,彰銀,23.5,0.6,2.62,06/25,813,-2552,-2553,-12771,-13727,-134,22308.0,20191.0,17685.0,20461.0
26,2301,光寶科,215.0,-1.5,-0.69,06/25,-5607,-9259,-10692,-11497,-7388,-11895,-32723.0,11779.0,9753.0,15445.0
27,2845,遠東銀,13.1,0.1,0.77,06/25,-3587,-16611,-16285,-11194,-13349,-3258,32938.0,53332.0,38217.0,53328.0
28,00664R,國泰臺灣加權反1,1.63,0.01,0.62,06/25,-356,17,-10584,-11174,-12101,-9400,-10147.0,-4553.0,14722.0,-5100.0
