"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"83","3055","蔚華科","113.5","+3.5","+3.18","05/13","+0.17","+1.19","+1.16","+1.67","+1.19","+1.64","+2.65","+3.2","+1.96","-0.43","-0.4","+1.71"
"84","3088","艾訊","133.5","+1.5","+1.14","05/13","+0.24","+0.9","+1.04","+1.66","+3.16","+4.87","+5","+4.35","-2.5","+2.15","-5.06","+5.39"
"85","2363","矽統","59.9","-3.3","-5.22","05/13","-0.05","-0.06","+0.28","+1.65","+2.48","+3.34","+4.63","+5.54","-2.17","+5.99","+5.64","+5.15"
"86","1708","東鹼","41.6","-0.15","-0.36","05/13","+0.17","+0.91","+2.19","+1.63","+1.34","+2.44","+5.21","+9.22","+3.69","+13.9","+10.2","+7.63"
"87","8027","鈦昇","250","+8.5","+3.52","05/13","+0.07","+0.15","+0.79","+1.61","+0.32","-3.68","+2.47","+2.13","+2.75","+0.07","-0.25","-3.47"
"88","5388","中磊","79.4","-8.8","-9.98","05/13","-2.94","-2.51","-1.9","+1.59","+1.96","+2.3","-1.29","-7.75","-4.07","-15.5","-14","-8.21"
"89","3026","禾伸堂","325","-5","-1.52","05/13","+0.08","+0.3","+0.66","+1.59","-4.36","-6.32","-1","-2.88","+1.5","+3.3","+5.49","+0.6"
"90","6695","芯鼎","50.9","-1.1","-2.12","05/13","+0.21","+0.27","-0.64","+1.57","+1.6","+0.71","+1.73","+2.9","-0.87","-1.15","","+2.02"
"91","6449","鈺邦","218","+19.5","+9.82","05/13","-0.01","+0.71","+0.58","+1.55","+2.21","+2.65","+2.94","+1.25","+1.47","+3.01","+5.19","+2.49"
"92","00955","中信日本商社","16.68","+0.62","+3.86","05/13","+0.68","+1.49","+1.57","+1.55","+5.27","+4.72","+4.78","+3.49","+3.82","","","+4.35"
"93","7712","博盛半導體","153","-9","-5.56","05/13","+0.69","+0.66","+0.57","+1.55","+1.1","+1.03","-1.16","+1.54","+1.74","","","-1.01"
"94","5285","界霖","72.8","-1.7","-2.28","05/13","+0.38","+1.01","+1.23","+1.53","+1.77","+2.25","+2.41","+3.69","+4.1","+3.99","+4.03","+3.49"
"95","2727","王品","236","+0.5","+0.21","05/13","+0.2","+0.34","+0.45","+1.52","+1.71","+1.07","+5.99","+4.53","+3.36","-9.51","+15.8","+5.75"
"96","2344","華邦電","122","+0.5","+0.41","05/13","+0.09","+0.7","+1.09","+1.51","+2.84","+4.71","+1.22","-1.58","+10.3","+0.43","+0.94","-0.32"
"97","6165","浪凡","49.2","-0.75","-1.5","05/13","-0.17","-0.62","-1.15","+1.51","+10.3","+13.5","+12.8","+7.27","+10","+14.7","+14.9","+11.5"
"98","3209","全科","62.7","-3.8","-5.71","05/13","-0.02","+0.39","+1.46","+1.5","+1.8","+4.08","+11.8","+15.7","+14.5","+15.9","+16.8","+14.8"
"99","3498","陽程","123.5","+11","+9.78","05/13","+2.56","+3.96","+3.83","+1.5","+4.03","+3.4","+9.93","+8.79","+5.1","+7.56","+9.7","+6.43"
"100","4722","國精化","248","-10.5","-4.06","05/13","-0.08","+0.64","+0.53","+1.49","+0.99","+1.27","+3.53","+1.36","-2.11","+0.77","-1.8","+3.38"
"101","6147","頎邦","192","-4","-2.04","05/13","+0.11","+0.16","-0.65","+1.46","-0.94","-1.17","-2.61","-0.28","-4.95","-6.39","-24.1","-1.83"
"102","00958B","永豐ESG銀行債15+","9.25","-0.01","-0.11","05/13","+0.18","+0.6","+1.37","+1.46","+2.69","+6.14","+9.21","+10","+11.1","","","+9.18"
"103","6291","沛亨","489.5","-28.5","-5.5","05/13","-0.77","+0.56","+0.47","+1.45","+1.09","-2.62","-3.99","-0.58","+0.32","+0.24","+0.35","+0.97"
"104","6284","佳邦","84.1","+0.9","+1.08","05/13","+0.28","+0.7","+0.81","+1.44","+0.65","+0.87","+0.49","+1.65","-0.51","+1.96","+1.45","+3.68"
"105","00918","大華優利高填息30","25.48","-0.01","-0.04","05/13","+0.13","+0.35","+0.48","+1.44","+2.68","+5.1","+4.46","+7.12","+8.05","+2.12","","+7.84"
"106","6488","環球晶","750","-35","-4.46","05/13","-0.02","-0.08","+0.19","+1.44","+2.83","+5.49","+6.84","+4.38","+10","-6.44","-11.4","+5.62"
"107","2027","大成鋼","38.1","-1.6","-4.03","05/13","-0.5","-0.15","+0.23","+1.43","+2.82","+1.61","-0.16","-6.49","-10.1","+2.53","+1.18","-0.43"
"108","00993A","主動安聯台灣","13.01","-0.27","-2.03","05/13","+0.14","+0.07","+0.73","+1.41","+2.6","+7.23","+16.2","","","","",""
"109","00994A","主動第一金台股優","17.71","-0.3","-1.67","05/13","-0.64","-1.05","+0.73","+1.4","-2","-3.57","-3.86","","","","",""
"110","2408","南亞科","321","0","0","05/13","-0.18","+0.64","+1.2","+1.39","+2.18","+2.1","-0.04","-1.07","+4.47","-3.28","-6.91","-1.03"
"111","2399","映泰","48.15","+1.7","+3.66","05/13","+1.17","+2.07","+3.73","+1.39","+0.17","-0.24","+2.77","+4.79","-4","+3.13","-11.2","+4.09"
"112","009817","國泰日本不動產","9.1","-0.02","-0.22","05/13","+0.09","+0.14","+0.27","+1.39","+1.51","+4.6","+10.8","","","","",""
"113","3615","安可","36.1","+3.25","+9.89","05/13","+0.63","+0.8","+0.71","+1.39","+1.21","+0.71","+1.02","-1.71","-1.13","-0.31","-2.6","-1.89"
"114","3034","聯詠","486.5","-0.5","-0.1","05/13","+0.05","+0.61","+1.05","+1.38","+1.89","+1.98","+6.11","+7.86","+7.15","-12.7","-22.3","+7.12"
"115","00888","永豐台灣ESG","30.31","-0.47","-1.53","05/13","-0.14","+1.11","+1.48","+1.35","+6.19","+8.56","+8.14","+8.78","+11.4","+24.5","","+8.6"
"116","00763U","期街口道瓊銅","35.67","+0.93","+2.68","05/13","+0.03","+0.47","+0.73","+1.33","+1.54","+5.53","+12.3","+17.6","+20.7","+30.1","","+16.9"
"117","8438","昶昕","103","-0.5","-0.48","05/13","-0.62","+0.15","+1.08","+1.32","+1.04","+0.69","+2.54","+3.46","+3.17","+4.46","","+3.55"
"118","1714","和桐","9.89","-0.36","-3.51","05/13","0","+1.07","+1.43","+1.32","+1.04","+0.72","+2.7","+4.26","+4.09","+2.75","+4.74","+4.05"
"119","2375","凱美","96","+1.2","+1.27","05/13","+0.58","+0.93","+1.27","+1.31","-0.53","-2.52","-2.32","+2.17","+3.54","+4.74","+4.7","+2.44"
"120","3357","臺慶科","213","+19","+9.79","05/13","+0.41","+0.65","+0.34","+1.31","-0.11","+3.45","+2","+1.04","+0.46","+1.78","","+2.36"
"121","6104","創惟","100.5","-1.5","-1.47","05/13","-0.49","-0.37","-0.14","+1.3","+1.73","+1.27","+0.86","-10.9","-19.1","+0.91","+0.6","-3.88"
"122","00910","第一金太空衛星","73.3","-0.25","-0.34","05/13","+0.09","+0.51","+1.62","+1.3","+0.19","+1.37","+0.44","+11.3","+11.1","+7.01","","+4.35"
"123","6727","亞泰金屬","535","+20","+3.88","05/13","-0.77","-1.21","-2.37","+1.29","-1.05","-2.37","-0.46","-5.33","+2.01","+5.34","","-0.93"
"124","00897","富邦基因免疫生技","9.91","+0.15","+1.54","05/13","+0.03","+0.37","+0.62","+1.27","+1.28","+4.97","+8.74","+16.1","+24.2","+72.5","","+13"
"125","6138","茂達","287.5","-2","-0.69","05/13","+0.2","-0.07","+0.53","+1.25","+1.8","+2.62","-0.14","+0.84","+12.2","+20.8","+29.2","+1.1"
"126","6166","凌華","111.5","+10","+9.85","05/13","+0.21","+0.53","+0.63","+1.25","+1.27","+3.46","+3.94","+5.21","+1.8","+7.29","-2.37","+3.76"
"127","00939","統一台灣高息動能","18.18","+0.14","+0.78","05/13","+0.16","+0.25","+0.39","+1.24","+2.66","+4.25","+6.89","+17.2","+24.7","","","+15.4"
"128","3490","單井","32.45","+1.4","+4.51","05/13","+0.72","+0.96","+0.59","+1.23","+1.46","+2.24","+2.37","+3.87","+1.7","+1.59","-6.9","+2.79"
