"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"627","1414","東和","17.35","+0.45","+2.66","26W19","05/08","17.1","+462","+0.27","16.7","-333","-0.2","16.4","-321","-0.2"
"628","2107","厚生","25.5","-0.5","-1.92","26W19","05/08","17.5","+1,328","+0.77","17.1","+1,328","+0.78","16.8","+516","+0.31"
"629","00924","復華S&P500成長","31.89","-0.71","-2.18","26W19","05/08","10.5","-63.3","-0.06","10","-34","-0.03","9.8","-34","-0.03"
"630","2605","新興","31","-1.1","-3.43","26W19","05/08","30.8","-20","-0.01","29.9","-212","-0.07","29.1","+771","+0.27"
"631","00764B","群益25年美債","27.76","-0.11","-0.39","26W19","05/08","147","+6,407","+0.44","147","+7,180","+0.49","147","+6,209","+0.43"
"632","6669","緯穎","5275","-385","-6.8","26W19","05/08","11.2","-976","-0.87","10.7","+534","+0.5","10.3","+1,787","+1.77"
"633","2606","裕民","68.2","-2.6","-3.67","26W19","05/08","61.6","+5,582","+0.91","61","+4,878","+0.81","60.5","+7,614","+1.28"
"634","3630","新鉅科","27.85","-1.75","-5.91","26W19","05/08","10.8","-878","-0.8","10.6","-157","-0.15","10.4","-1,001","-0.95"
"635","4564","元翎","15.6","-0.4","-2.5","26W19","05/08","9.08","+37","+0.04","8.8","+37","+0.04","8.07","+24","+0.03"
"636","4129","聯合","89.7","-0.6","-0.66","26W19","05/08","4.7","-267","-0.56","4.41","-994","-2.21","4.32","-161","-0.37"
"637","00739","元大MSCI A股","27.87","-1.04","-3.6","26W19","05/08","0.81","-702","-7.94","0.68","-4","-0.06","0.49","-4","-0.08"
"638","00862B","中信投資級公司債","31.9","-0.15","-0.47","26W19","05/08","82","+1,651","+0.2","82","+1,651","+0.2","82","+1,651","+0.2"
"639","6661","威健生技","16.3","-0.05","-0.31","26W19","05/08","1.43","0","0","1.43","0","0","1.43","0","0"
