"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"63","3044","健鼎","477.5","-34.5","-6.74","05/15","-75","-1,624","-1,590","-1,473","-1,694","-2,481","-865","-4,838","+1,850","-2,622"
"64","2392","正崴","33.8","-0.6","-1.74","05/15","0","-298","-610","-1,469","-1,526","-928","-442","+1,517","+8,043","+205"
"65","2338","光罩","47.9","-0.25","-0.52","05/15","+146","+212","+182","-1,427","-1,207","-1,341","-1,778","-3,131","+2,301","-1,902"
"66","4966","譜瑞-KY","800","-19","-2.32","05/15","-771","-1,385","-1,378","-1,419","-915","+552","+2,517","+4,091","+5,612","+4,349"
"67","3059","華晶科","42.2","+2.3","+5.76","05/15","+121","-796","-884","-1,406","-1,246","+510","-2,970","+2,943","+3,608","+5,707"
"68","2634","漢翔","46.45","+0.1","+0.22","05/15","-207","-528","-536","-1,326","-524","+3,616","+7,508","+7,500","+7,790","-378"
"69","4961","天鈺","169","-5.5","-3.15","05/15","-104","-409","-602","-1,308","-1,361","-950","+3,521","+3,082","+4,804","+3,495"
"70","00887","永豐中國科技50大","16.08","-0.54","-3.25","05/15","-350","-660","-704","-1,305","+377","-632","-2,639","-6,203","-12,567","-3,834"
"71","2368","金像電","1290","-140","-9.79","05/15","+75","-994","-721","-1,288","-2,318","-4,082","-4,016","-7,644","-6,439","-6,632"
"72","2426","鼎元","61.9","-4.9","-7.34","05/15","-133","-178","-466","-1,276","-2,196","-1,341","+2,887","+5,763","-408","+5,561"
"73","3105","穩懋","458.5","-25","-5.17","05/15","+67","+433","+720","-1,261","+3,536","+593","-2,027","+3,317","-12,583","+1,149"
"74","3060","銘異","26.85","-0.95","-3.42","05/15","+43","-689","-785","-1,257","-1,272","+428","-2,564","+812","+1,465","-1,735"
"75","3056","富華新","13.25","-0.6","-4.33","05/15","-179","-353","-433","-1,158","-882","-684","-2,989","-5,642","+25,166","-4,897"
"76","1608","華榮","31.85","-1.1","-3.34","05/15","+533","-41","-309","-1,151","-361","+2,331","-2,014","-1,293","-3,830","-4,447"
"77","2897","王道銀行","10","-0.05","-0.5","05/15","+209","+529","-400","-1,129","-1,138","-19","-5,781","+616","+5,029","+2,752"
"78","2340","台亞","34.8","-1.55","-4.26","05/15","+201","-112","-530","-1,117","+3,047","+5,315","-4,918","-9,713","+4,201","-3,028"
"79","6962","奕力-KY","36.1","-1.15","-3.09","05/15","-94","-380","-828","-1,098","-925","+1,840","+2,073","+9,816","+21,938","+224"
"80","00646","元大S&P500","73.95","+0.1","+0.14","05/15","+225","-679","-1,212","-1,064","+517","+3,690","+11,215","+10,044","+4,021","+9,741"
"81","6188","廣明","84.3","+1.2","+1.44","05/15","+142","-347","-892","-1,064","-1,390","-2,254","-3,811","+10,907","+12,659","+4,987"
"82","2009","第一銅","38.85","-1.75","-4.31","05/15","-76","-774","-752","-1,058","-1,096","+381","-2,653","-3,691","-1,538","-2,142"
"83","1309","台達化","15.65","-0.45","-2.8","05/15","+224","-67","+52","-1,047","-719","-687","+4,254","+4,668","+2,848","+4,541"
"84","3305","昇貿","138.5","+12.5","+9.92","05/15","-204","-627","-540","-1,025","-345","-494","-2,422","-2,382","+3,706","-2,386"
"85","2353","宏碁","27.7","-0.3","-1.07","05/15","+16","-772","-1,022","-998","-1,028","-985","-1,028","+1,573","+129,737","+121,566"
