" "," ","#","股票代號/名稱","類別","20260417","0424","0430","0508","0515","0522"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","89","6197佳必琪","電子零組件","-2.10","1.60","2.64","0.83","-1.89","1.47"," ","31","2.55"," ","50.99","256.00","18.00"," "
" "," ","90","6205詮欣","電子零組件","1.48","2.03","6.90","-6.54","-0.35","-0.98"," ","30","2.54"," ","47.24","84.90","7.70"," "
" "," ","91","3708上緯投控","綠能","0.16","1.57","-1.26","0.53","0.37","1.16"," ","31","2.53"," ","55.19","126.00","-0.50"," "
" "," ","92","2030彰源","鋼鐵","0.38","0.34","0.12","0.10","1.68","-0.14"," ","30","2.48"," ","46.50","17.10","-0.25"," "
" "," ","93","3004豐達科","鋼鐵","0.61","-0.09","0.14","0.55","0.26","0.97"," ","31","2.44"," ","60.18","130.50","4.50"," "
" "," ","94","6166凌華","電腦週邊","1.57","0.91","-0.18","0.27","-0.24","0.08"," ","31","2.41"," ","77.29","127.00","8.50"," "
" "," ","95","911868同方友友-DR","存託憑證","0.22","0.69","0.07","1.05","0.23","0.13"," ","10","2.39"," ","35.45","1.20","0.00"," "
" "," ","96","8028昇陽半導體","半導體","-7.62","9.28","-2.05","-2.85","5.74","-0.12"," ","30","2.38"," ","51.57","294.00","26.50"," "
" "," ","97","8213志超","電子零組件","0.26","1.44","-0.35","0.13","1.12","-0.29"," ","30","2.31"," ","51.14","38.55","0.85"," "
" "," ","98","911608明輝-DR","存託憑證","0.32","0.15","1.20","0.22","0.14","0.28"," ","31","2.31"," ","28.73","2.64","0.00"," "
" "," ","99","2301光寶科","電腦週邊","-0.41","0.73","0.46","1.71","0.15","-0.33"," ","10","2.31"," ","80.42","207.00","2.50"," "
" "," ","100","6215和椿","其他電子","-1.15","0.16","-0.44","0.05","1.15","2.52"," ","50","2.29"," ","35.65","134.50","8.50"," "
" "," ","101","1727中華化","化學","2.73","0.73","3.68","-4.33","-4.43","3.86"," ","31","2.24"," ","58.76","102.00","9.00"," "
" "," ","102","4961天鈺","半導體","-0.36","0.96","-0.36","0.28","0.54","1.17"," ","50","2.23"," ","43.65","175.50","-3.50"," "
" "," ","103","2606裕民","航運","0.56","0.39","-0.16","0.70","0.61","0.12"," ","10","2.22"," ","74.96","65.40","0.40"," "
" "," ","104","3532台勝科","半導體","1.95","-0.68","-0.15","1.16","-0.01","-0.05"," ","10","2.22"," ","90.73","248.50","22.50"," "
" "," ","105","4976佳凌","光電","-0.01","0.32","0.32","0.32","0.48","0.78"," ","50","2.21"," ","33.71","32.90","-0.05"," "
" "," ","106","2537聯上發","營建","0.13","0.91","-0.21","0.77","0.77","-0.16"," ","20","2.21"," ","58.42","9.57","-0.26"," "
