"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"2247","汎德永業","215","0","0","05/08","+3","+60","20.7","0.07","0","0","0","0","0","0","0","0","+3","+61","21.1","0.08"
"2254","巨鎧精密-創","68.5","+0.3","+0.44","05/08","+3","+40","43","0.06","0","0","0","0","0","0","0","0","+3","+32","34.5","0.05"
"2301","光寶科","204","+0.5","+0.25","05/08","+3","+58,393","24.1","2.52","-2","-5,572","-3.65","-0.24","-1","-1,341","-1.36","-0.06","+3","+53,606","22.1","2.31"
"2302","麗正","19.55","-0.6","-2.98","05/08","+3","+727","12.4","0.44","0","0","0","0","-1","-1","-0.09","0","+3","+730","12.5","0.44"
"2404","漢唐","1015","+18","+1.81","05/08","+3","+2,756","19.6","1.45","-12","-1,841","-3.78","-0.97","+3","+131","0.93","0.07","+3","+2,674","19","1.4"
"2450","神腦","29.9","+0.2","+0.67","05/08","+3","+246","43.1","0.1","0","0","0","0","+4","+107","15","0.04","+4","+314","43.9","0.12"
"2496","卓越","65.9","+1.4","+2.17","05/08","+3","+11","13.8","0.06","0","0","0","0","0","0","0","0","+3","+11","13.9","0.06"
"2506","太設","8.75","+0.05","+0.57","05/08","+3","+61","23.2","0.02","0","0","0","0","0","0","0","0","+3","+60","22.8","0.02"
"2514","龍邦","13.25","0","0","05/08","+3","+65","5.65","0.02","0","0","0","0","0","0","0","0","+3","+64","5.56","0.02"
"2516","新建","13.2","-0.1","-0.75","05/08","+3","+88","11.7","0.04","0","0","0","0","0","0","0","0","+3","+91","12.1","0.04"
"2520","冠德","30.05","+0.6","+2.04","05/08","+3","+1,612","37","0.26","0","0","0","0","-1","-4","-0.25","0","+3","+1,618","37.1","0.27"
"2537","聯上發","10.25","-0.25","-2.38","05/08","+3","+1,014","42","0.34","0","0","0","0","-1","-3","-0.48","0","+3","+1,035","42.9","0.34"
"2542","興富發","40","+0.6","+1.52","05/08","+3","+7,106","24.2","0.33","+2","+38","0.19","0","-6","-162","-0.27","-0.01","+3","+7,116","24.2","0.33"
"2701","萬企","10.7","0","0","05/08","+3","+105","33.1","0.02","0","0","0","0","0","0","0","0","+3","+103","32.5","0.02"
"2752","豆府","184","+3","+1.66","05/08","+3","+17","11.8","0.06","0","0","0","0","0","0","0","0","+3","+17","11.8","0.06"
"2816","旺旺保","30.4","+0.35","+1.16","05/08","+3","+102","27.1","0.05","0","0","0","0","0","0","0","0","+3","+95","25.3","0.04"
"2832","台產","53.6","+0.9","+1.71","05/08","+3","+162","25.6","0.06","0","0","0","0","+5","+56","5.94","0.02","+3","+200","31.6","0.08"
"2836","高雄銀","11.9","-0.05","-0.42","05/08","+3","+383","15.8","0.02","0","0","0","0","-1","-23","-2.75","0","+3","+382","15.7","0.02"
"2852","第一保","26.15","+0.05","+0.19","05/08","+3","+139","19.6","0.05","-1","-2","-1.2","0","-1","-5","-2.67","0","+3","+133","18.7","0.04"
"2886","兆豐金","40.2","+0.55","+1.39","05/08","+3","+20,309","34.4","0.14","+3","+632","1.07","0","-1","-154","-0.72","0","+3","+20,977","35.6","0.14"
"2912","統一超","232","+3.5","+1.53","05/08","+3","+1,873","22.5","0.18","-2","-256","-4.16","-0.02","-4","-31","-0.31","0","+3","+1,586","19.1","0.15"
"2939","永邑-KY","24.6","-0.2","-0.81","05/08","+3","+7","21.1","0.02","0","0","0","0","0","0","0","0","+4","+8","20.3","0.02"
"3021","鴻名","16.3","+0.05","+0.31","05/08","+3","+35","9.37","0.04","0","0","0","0","+2","+15","6.12","0.02","+3","+46","12.3","0.05"
"3026","禾伸堂","330","+30","+10","05/08","+3","+2,042","3.8","1.23","+6","+8,498","8.49","5.12","+1","+257","1.13","0.16","+5","+9,519","11.5","5.74"
"3034","聯詠","498","+45","+9.93","05/08","+3","+4,828","13.6","0.79","+4","+782","2.02","0.13","+5","+1,073","2.54","0.18","+5","+6,740","16","1.11"
"3163","波若威","1010","-75","-6.91","05/08","+3","+1,364","15.3","1.69","-3","-593","-6.63","-0.74","-1","-20","-1.5","-0.03","-1","-49","-3.64","-0.06"
"3321","同泰","16.5","-0.35","-2.08","05/08","+3","+98","8.37","0.11","0","0","0","0","-1","-1","-0.29","0","+3","+105","8.97","0.12"
"3581","博磊","235","+9.5","+4.21","05/08","+3","+222","11.4","0.44","0","0","0","0","+3","+33","1.69","0.06","+3","+255","13.1","0.5"
"3705","永信","55.3","-0.1","-0.18","05/08","+3","+196","41.8","0.07","0","0","0","0","+2","+3","0.9","0","+3","+199","42.4","0.07"
"4161","聿新科","22.9","-0.5","-2.14","05/08","+3","+11","2.31","0.02","0","0","0","0","0","0","0","0","+3","+11","2.31","0.02"
"4566","時碩工業","67.2","-1.8","-2.61","05/08","+3","+265","5.48","0.24","0","0","0","0","+2","+3","0.11","0","+3","+267","5.52","0.24"
"4571","鈞興-KY","190","-7.5","-3.8","05/08","+3","+233","7.39","0.44","0","0","0","0","-1","-7","-0.83","-0.01","+2","+291","15","0.55"
"5227","立凱-KY","20.75","-0.05","-0.24","05/08","+3","+61","15","0.09","0","0","0","0","0","0","0","0","+3","+60","14.8","0.09"
"5285","界霖","61.7","+4.1","+7.12","05/08","+3","+357","13.7","0.35","0","0","0","0","-1","-1","-0.06","0","+3","+358","13.8","0.35"
"5522","遠雄","70","+0.3","+0.43","05/08","+3","+396","13.4","0.05","-1","-351","-29.2","-0.04","-2","-27","-1.17","0","-1","-118","-9.78","-0.02"
"5525","順天","23.5","+0.35","+1.51","05/08","+3","+133","49.2","0.04","0","0","0","0","-1","-3","-3.37","0","+3","+127","47","0.04"
"5609","中菲行","79.6","0","0","05/08","+3","+67","10","0.05","0","0","0","0","+4","+108","13.4","0.08","+3","+152","22.7","0.11"
"6021","美好證","34.95","+0.05","+0.14","05/08","+3","+419","33.1","0.13","0","0","0","0","0","0","0","0","+3","+419","33.1","0.13"
"6028","公勝保經","78.7","+0.2","+0.25","05/08","+3","+5","9.64","0.02","0","0","0","0","0","0","0","0","+3","+5","9.64","0.02"
"6147","頎邦","198","+5.5","+2.86","05/08","+3","+18,731","9.74","2.52","-2","-4,830","-4","-0.65","+1","+183","0.22","0.02","+3","+16,274","8.46","2.19"
"6219","富旺","13.05","+0.15","+1.16","05/08","+3","+223","26.2","0.18","0","0","0","0","0","0","0","0","+3","+216","25.3","0.17"
"6464","台數科","76.2","0","0","05/08","+3","+38","35.7","0.03","0","0","0","0","0","0","0","0","+3","+38","35.7","0.03"
"6491","晶碩","283","-1","-0.35","05/08","+3","+223","18.3","0.29","0","0","0","0","-1","-2","-0.57","0","+3","+231","18.9","0.3"
"6504","南六","39.8","+0.15","+0.38","05/08","+3","+16","10.8","0.02","0","0","0","0","-1","-1","-1.78","0","+3","+12","7.56","0.02"
"6526","達發","753","+33","+4.58","05/08","+3","+1,358","7.47","0.81","+5","+895","3.97","0.53","-1","-50","-0.74","-0.03","+3","+2,278","12.5","1.36"
"6527","明達醫","71.8","+1.2","+1.7","05/08","+3","+30","25.2","0.12","0","0","0","0","-1","0","-1.04","0","+3","+30","25","0.12"
"6532","瑞耘","114","+10","+9.62","05/08","+3","+1,260","15.7","3.36","0","0","0","0","+1","0","0","0","+3","+1,261","15.7","3.37"
"6679","鈺太","331","+19","+6.09","05/08","+3","+1,334","27.8","2.43","0","0","0","0","+4","+179","3.12","0.33","+3","+1,526","31.8","2.78"
"6683","雍智科技","2210","-175","-7.34","05/08","+3","+316","9.81","1.15","0","0","0","0","+2","+108","20.1","0.39","+3","+306","9.5","1.11"
"6691","洋基工程","654","-17","-2.53","05/08","+3","+296","13.9","0.24","-1","-165","-25.5","-0.14","-2","-31","-2.89","-0.03","-1","-166","-25.7","-0.14"
"6703","軒郁","117","+5","+4.46","05/08","+3","+43","15.7","0.13","0","0","0","0","0","0","0","0","+3","+43","15.7","0.13"
"6781","AES-KY","1230","+75","+6.49","05/08","+3","+855","10.3","1","+3","+2","0.02","0","+3","+111","1.33","0.13","+3","+967","11.6","1.13"
"6838","台新藥","26.9","+0.2","+0.75","05/08","+3","+117","20.6","0.08","0","0","0","0","-1","-2","-1.79","0","+3","+119","21","0.08"
"6908","宏碁遊戲-創","40.1","-0.3","-0.74","05/08","+3","+16","36","0.04","0","0","0","0","0","0","0","0","+6","+45","33.8","0.12"
"6951","青新-創","82","+0.9","+1.11","05/08","+3","+37","21.5","0.08","0","0","0","0","-1","-3","-4.7","-0.01","+3","+35","20.4","0.08"
"6957","裕慶-KY","159.5","-2.5","-1.54","05/08","+3","+20","8.57","0.04","0","0","0","0","-1","-1","-0.91","0","+3","+22","9.07","0.04"
"6958","日盛台駿","19.05","-0.05","-0.26","05/08","+3","+79","43.8","0.02","0","0","0","0","0","0","0","0","+3","+81","45","0.02"
"7705","三商餐飲","32.3","-0.1","-0.31","05/08","+3","+66","32.4","0.1","0","0","0","0","0","0","0","0","+3","+66","32.4","0.1"
"7736","虎山","76.7","0","0","05/08","+3","+18","15.7","0.02","0","0","0","0","0","0","0","0","+3","+20","18.4","0.03"
"7750","新代","2545","-60","-2.3","05/08","+3","+206","11.4","0.29","0","0","0","0","+1","+5","1.19","0.01","+3","+183","10.1","0.25"
"7786","東方風能","139.5","+2","+1.45","05/08","+3","+109","21.7","0.06","0","0","0","0","0","0","0","0","+3","+106","21.2","0.06"
"8027","鈦昇","203","-1","-0.49","05/08","+3","+1,593","14.6","1.45","0","0","0","0","+2","+44","0.66","0.04","+3","+1,587","14.6","1.45"
"8085","福華","12.3","-0.2","-1.6","05/08","+3","+343","20","0.25","0","0","0","0","+3","+1","0.03","0","+3","+344","20","0.25"
"8092","建暐","18.05","+0.1","+0.56","05/08","+3","+8","1.6","0.01","0","0","0","0","0","0","0","0","+3","+8","1.6","0.01"
"8443","阿瘦","11.8","0","0","05/08","+3","+14","17","0.02","0","0","0","0","0","0","0","0","+3","+14","17","0.02"
"8466","美吉吉-KY","15.55","-0.1","-0.64","05/08","+3","+42","23.8","0.05","0","0","0","0","0","0","0","0","+3","+42","23.8","0.05"
