"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"132","2397","友通","59.2","0","0","05/11","+11.4","+4.51","+27.9","+24","+21.1","+5.1","+4.28","+1.57","-3.44","+0.02","-0.16","+4.01"
"133","6028","公勝保經","81.9","+3.2","+4.07","05/11","+37.8","+34.8","+29.4","+23.9","+16.8","+7.11","","","","","",""
"134","00751B","元大AAA至A公司債","31.54","+0.01","+0.03","05/11","+59.5","+29.8","+35.3","+23.8","+11.9","+20","+33.4","+35.4","+36.5","+10.4","","+39.6"
"135","2012","春雨","15.1","0","0","05/11","-10.5","+14.7","+24.9","+23.7","+15","+23.6","+7.75","+3.06","+0.07","+0.9","-0.48","+4.41"
"136","1413","宏洲","9.63","-0.02","-0.21","05/11","+17.4","+35.6","+36.2","+23.7","+15.5","+24","+3.81","+1.96","-0.07","+0.27","+0.04","+3.02"
"137","3045","台灣大","110","0","0","05/11","+8.13","+20.1","+20","+23.6","+8.97","+11.5","+19.1","-7.88","-4.05","-0.65","-5.26","+12.5"
"138","6470","宇智","47.15","-0.65","-1.36","05/11","-19.6","-16.6","+21.9","+23.6","+26.5","+9.35","-2.38","-0.94","-2.39","+0.32","+0.03","-0.73"
"139","6863","永道-KY","113","+10","+9.71","05/11","+21.3","+27","+30.6","+23.6","+12.5","+6.32","-0.44","+2.53","-0.38","-0.45","","-3.44"
"140","3023","信邦","302","-0.5","-0.17","05/11","+2.51","-1.31","+5.36","+23.6","+22.5","+28.8","+20.4","+9.88","-2.74","-4.65","+1.18","+16.5"
"141","00730","富邦臺灣優質高息","26.97","+0.04","+0.15","05/11","-13.9","+7.93","+14.8","+23.5","+16.3","+20.8","+10.2","+5.16","+2.08","+2.9","","+6.3"
"142","2838","聯邦銀","20.75","+0.2","+0.97","05/11","+52.2","+21","+16.8","+23.4","-1.8","-9.33","+11.4","+3.01","+4.72","-3.66","+1.49","+4.48"
"143","2029","盛餘","20.5","+0.4","+1.99","05/11","+24.5","+26.9","+25.3","+23.4","+12.8","+9.22","+5.41","+2.88","-4.84","-3.95","-0.16","+3.32"
"144","2890","永豐金","30.6","-0.4","-1.29","05/11","+3.97","+19.4","+17.8","+23.4","+6.85","+19.2","+10.4","+6.73","+7.95","+1.21","-0.17","+9.09"
"145","4572","駐龍","144.5","-3.5","-2.36","05/11","-12.6","+7.56","+18.8","+23.4","+27.6","+29","+15.7","+0.05","-3.54","-0.55","","+1.13"
"146","00701","國泰股利精選30","31.61","0","0","05/11","+5.36","+4.18","+21.8","+23.4","+15.4","+18.4","+12.1","+8.23","+3.88","+3.3","","+11.6"
"147","2520","冠德","30.6","+0.55","+1.83","05/11","+25.6","+23.9","+32.9","+23.2","+3.86","-4.29","-0.62","+12.3","-7.93","-0.85","-0.08","-1.16"
"148","6655","科定","138.5","0","0","05/11","-27.5","-4.05","+17.5","+23.1","+16.5","+27.7","+8.83","+1.92","+0.98","+1.14","","+3.93"
"149","00687B","國泰20年美債","27.76","-0.02","-0.07","05/11","+40.4","+19.3","+20.4","+23.1","+17.7","+16.4","+20.3","+30","+19.9","+5.49","","+29.8"
"150","4961","天鈺","170.5","+0.5","+0.29","05/11","-5.03","+27.2","+29.2","+23","+13.9","+2.85","+1.18","+2.46","-1.01","+0.17","","+0.17"
"151","3206","志豐","39.05","+3.1","+8.62","05/11","+25.1","+26.8","+26.7","+22.9","+15.8","+5.25","-0.75","-1.03","-2.02","+0.24","+0.02","-0.93"
"152","6214","精誠","127","+1.5","+1.2","05/11","+0.97","+31.7","+16.6","+22.9","+2.98","+7.11","+5.75","+1.66","-0.6","-0.07","+0.38","+2.04"
"153","3266","昇陽","13.55","-0.2","-1.45","05/11","+8.32","+17.8","+17.5","+22.9","+14.9","+19.1","+9.02","+4.04","-0.35","+0.37","+2.11","+6.5"
"154","2401","凌陽","25.65","+0.35","+1.38","05/11","+38.7","+17","+19.9","+22.9","+10.6","+10.7","+8.61","+6.78","-0.46","+0.22","+0.24","+7.14"
"155","00764B","群益25年美債","27.74","-0.01","-0.04","05/11","+10.2","+11.9","+17.9","+22.9","+20.3","+10","+21","+26.2","+17.6","+6.4","","+32.1"
"156","00971","野村美國研發龍頭","16.53","+0.02","+0.12","05/11","+30.8","+19.2","+26.1","+22.8","+18.9","+15.2","+10.3","+4.09","+6.58","","","+6.43"
"157","00983A","主動中信ARK創新","11.76","+0.09","+0.77","05/11","+37.8","+8.49","+27.4","+22.7","+27.4","+21.6","+10.1","+3.32","","","","+5.71"
"158","2945","三商家購","41.2","-0.25","-0.6","05/11","-3.17","+13.7","+14.4","+22.5","+17.8","+19","+9.02","+3.77","+2.52","+0.81","","+4.24"
"159","00986B","FT金融債10+","9.86","+0.01","+0.1","05/11","+57.1","+49.9","+50.6","+22.4","+8.34","+39.3","+23.4","","","","","+49.1"
"160","6177","達麗","47.05","+0.25","+0.53","05/11","+19.1","+23.1","+23.2","+22.3","+9.87","-0.05","+1.46","+5.45","+0.24","+0.79","+0.8","+2"
"161","6443","元晶","41.4","+1.45","+3.63","05/11","+4.14","+11.3","+20.4","+22.1","+23.2","+16","+0.87","+0.73","+0.57","+0.07","+0.18","+0.47"
"162","2884","玉山金","32.3","-0.2","-0.62","05/11","-5.27","+20.6","+27.6","+22.1","+4.53","+14.8","+5.38","-4.19","-1.08","+1.1","-3.8","+2.54"
"163","2301","光寶科","224","+20","+9.8","05/11","+21.6","+13.7","+18.6","+22.1","+19.7","+19.5","+9.02","+9.67","+4.86","-0.91","-0.73","+7.48"
"164","3665","貿聯-KY","2905","+155","+5.64","05/11","+9.15","+16.7","+20.9","+22","+17.2","+8.92","+4.32","+3.21","+2.06","+0.42","-0.43","+5.44"
"165","00919","群益台灣精選高息","25.75","+0.28","+1.1","05/11","+6.12","+10.9","+16.5","+22","+15","+13.9","+4.03","+8.02","+4.17","-1.76","","+8.08"
"166","00795B","中信美國公債20年","26.95","-0.03","-0.11","05/11","+52.2","+44.2","+21.9","+21.7","+30.1","+26.1","+49.5","+40.6","+29.1","+12.5","","+43.6"
"167","3227","原相","231.5","+5","+2.21","05/11","+16.7","+25.8","+25.1","+21.6","+13.5","+11.3","+7.96","+1.36","-2.53","+0.14","+0.11","+0.7"
"168","6674","鋐寶科技","18.1","-0.3","-1.63","05/11","+17.4","+28.2","+22.4","+21.6","+10.7","+6.06","+2.42","-0.4","+0.11","-0.08","","+1.92"
"169","3311","閎暉","32.8","+0.4","+1.23","05/11","+47.2","+35.8","+33.8","+21.6","+0.55","-1.37","+2.52","+4.36","+0.01","+0.06","+0.07","+2.66"
"170","5538","東明-KY","31","-0.15","-0.48","05/11","+7.13","+19.1","+10.2","+21.6","+14.9","+27.3","+12.1","+1.4","+0.43","+0.89","+1.3","+7.67"
"171","1468","昶和","12.45","0","0","05/11","+10.4","+22.4","+21.1","+21.6","+12","+16.6","+8.03","+3.62","+1.35","+1.11","+0.38","+5.31"
"172","4440","宜新實業","17.95","-0.15","-0.83","05/11","-13.1","+23.4","+23.1","+21.5","+11.6","+7.91","+2.1","-0.19","+0.13","+0.22","","+1.29"
"173","6841","長佳智能","60.4","-1.2","-1.95","05/11","-2.03","-0.22","+12.2","+21.5","+22.7","+12.3","-3.88","-1.02","-1.22","-0.33","","-3.29"
