"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"57","009820","元大納斯達克精選","9.99","+0.06","+0.6","05/11","+1.2","+1.78","+1.85","+1.95","+1.95","","","","","","",""
"58","3587","閎康","350.5","+31.5","+9.87","05/11","+0.91","+1.19","+1.24","+1.89","-0.28","+2.3","+3.07","+6.37","-0.96","-2.9","+2.74","+2.05"
"59","2408","南亞科","301","+27","+9.85","05/11","+0.56","+0.42","+0.75","+1.89","+3.03","+1.74","-0.2","-3.25","+5","-3.92","-7.05","-1.67"
"60","6202","盛群","59.5","+4.3","+7.79","05/11","+1.38","+1","+1.29","+1.89","+2.55","+1.57","+3.38","+3.41","+1.27","-5.25","-6.13","+3.46"
"61","4961","天鈺","170.5","+0.5","+0.29","05/11","-0.09","+1.46","+1.92","+1.85","+1.65","+0.79","+0.64","+2.62","-1.69","+1.56","","+0.14"
"62","3680","家登","616","+56","+10","05/11","+1.65","+1.7","+1.24","+1.83","+4.55","+3.22","+3.35","+8.92","-5.54","+7.56","+18.1","+8.56"
"63","6138","茂達","285","+24.5","+9.4","05/11","+0.6","+0.56","+1.32","+1.83","+1.68","+2.64","-0.34","+1.05","+11.9","+20.9","+29.4","+1.17"
"64","6197","佳必琪","229","+10.5","+4.81","05/11","-0.65","-0.06","-0.24","+1.82","+4.2","+2.93","+6.21","+6.12","+4.86","-1.9","+6.1","+3.94"
"65","2049","上銀","351","+31.5","+9.86","05/11","+1.18","+1.33","+1.82","+1.78","+2.36","+4.96","+9.74","+9.84","+6.42","+3.68","+12.1","+12.5"
"66","00986D","主動復華金融債息","14.78","+0.04","+0.27","05/11","0","0","+0.48","+1.77","+1.97","","","","","","",""
"67","3665","貿聯-KY","2905","+155","+5.64","05/11","+0.13","+0.4","+0.77","+1.76","+2.61","+2.79","+4.82","+7.47","+10.2","+4.92","-12.9","+8.69"
"68","2317","鴻海","252","+2","+0.8","05/11","+0.07","+0.28","+0.44","+1.75","+2.21","+2.97","+1.77","-0.47","+6.24","-0.76","-11.1","+1"
"69","2458","義隆","150","-1.5","-0.99","05/11","-0.08","+0.84","+1.02","+1.74","+2.12","+7.71","+11.9","+9.44","-5.4","-1.75","+30.1","+11.7"
"70","00966B","統一ESG投等債15+","13.86","+0.02","+0.14","05/11","+1.09","+1.09","+1.28","+1.69","+2.72","+4.68","+6.9","+5.96","+4.21","","","+6.29"
"71","3090","日電貿","116.5","+3","+2.64","05/11","-0.21","-0.27","+1.26","+1.65","+1.82","+2.88","+6.46","+1.91","+2.31","+3.45","+8.36","+5.69"
"72","6715","嘉基","489.5","+44.5","+10","05/11","+0.86","+0.26","+0.88","+1.64","+0.63","-1.41","+1.97","+1.24","+1.2","+1.99","","+1.42"
"73","6206","飛捷","130.5","+11.5","+9.66","05/11","+0.65","+1.15","+1.52","+1.62","+1.68","+2.32","+3.79","+4.91","-10.6","-1.21","-14.4","+3.6"
"74","5309","系統電","67.4","+3.6","+5.64","05/11","+0.28","+0.87","+0.94","+1.6","+1.33","+1.53","-1.09","+0.44","-2.36","-3.75","-3.47","-4"
"75","00955","中信日本商社","15.66","+0.07","+0.45","05/11","+0.08","+0.12","+0.06","+1.57","+3.92","+2.83","+3.09","+1.78","+2.14","","","+2.77"
"76","2344","華邦電","117.5","+10.5","+9.81","05/11","+0.39","+0.04","+0.81","+1.55","+2.75","+4.14","-0.39","-2.08","+9.85","-0.28","+0.2","-1.02"
"77","2401","凌陽","25.65","+0.35","+1.38","05/11","+0.55","+0.57","+0.88","+1.55","+1.47","+3.82","+4.42","+5.35","-0.94","+1.65","+7.33","+4.94"
"78","3122","笙泉","38.5","-1.7","-4.23","05/11","+0.49","+0.63","+1","+1.52","+1.64","+1.96","+2.04","+0.71","+1.15","+2.48","+2.04","+1.08"
"79","00689R","國泰20年美債反1","21.88","+0.02","+0.09","05/11","+0.73","+0.73","+0.73","+1.51","+0.65","+3.6","+10.3","+14","+22","+22.7","","+14.6"
"80","8299","群聯","2670","+240","+9.88","05/11","-0.05","+0.43","+0.29","+1.5","+1.27","-0.45","-0.13","+0.47","+5.37","+6.89","-19.8","-2.8"
"81","00717","富邦美國特別股","15.15","+0.01","+0.07","05/11","+0.41","+0.83","+1.08","+1.48","+2.44","+3.91","+6.92","+11.1","+14.6","+50.8","","+8.59"
"82","5009","榮剛","40.15","+3.65","+10","05/11","+0.79","+0.67","+0.92","+1.48","+1.84","+1.74","+1.57","+0.81","+0.26","-8.88","-2.8","+1.71"
"83","2727","王品","235","+0.5","+0.21","05/11","+0.11","+1.05","+1.18","+1.47","+1.7","+0.71","+5.69","+3.97","+2.92","-9.84","+15.4","+5.41"
"84","00946","群益科技高息成長","13.11","+0.22","+1.71","05/11","-0.17","-0.27","-0.18","+1.47","+1.81","+5.51","+7.84","+9.91","+20.6","","","+10.8"
"85","4991","環宇-KY","686","+42","+6.52","05/11","+0.71","+1.28","+0.83","+1.47","+0.27","+0.6","+2.83","+3.37","+10.5","+7.99","-1.68","+0.07"
