排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
204,6126,信音,35.35,0.25,0.71,05/28,-295,-386,-386,-321,-402,-561.0,-725.0,243.0,-55.0,575.0
205,2231,為升,104.5,0.0,0.0,05/28,133,-148,-239,-315,-330,-220.0,73.0,119.0,1653.0,-221.0
206,3708,上緯投控,124.0,-7.0,-5.34,05/28,-194,-127,-225,-314,225,349.0,-1274.0,-2662.0,2779.0,-2447.0
207,4749,新應材,1090.0,-25.0,-2.24,05/28,-59,-73,-286,-308,267,943.0,-1745.0,-601.0,1555.0,-871.0
208,6270,倍微,27.05,0.15,0.56,05/28,-183,-284,-303,-303,-274,-202.0,481.0,1248.0,787.0,1248.0
209,9802,鈺齊-KY,73.5,0.1,0.14,05/28,-103,-515,-489,-292,-188,-979.0,-606.0,2092.0,11975.0,711.0
210,6290,良維,336.0,7.5,2.28,05/28,-366,-617,-527,-287,1985,2054.0,5214.0,4948.0,4913.0,1797.0
211,4766,南寶,356.0,-11.0,-3.0,05/28,-32,-60,-142,-286,-414,149.0,2033.0,1707.0,2849.0,1724.0
212,3008,大立光,3425.0,-80.0,-2.28,05/28,59,-122,-152,-285,-1315,-751.0,-1889.0,2962.0,4776.0,1234.0
213,1304,台聚,12.35,0.45,3.78,05/28,1328,1190,752,-280,-1532,-2614.0,26299.0,28681.0,21668.0,25437.0
214,6237,驊訊,52.0,0.9,1.76,05/28,-26,-82,-280,-277,327,137.0,-883.0,-2586.0,-1265.0,-1841.0
215,2233,宇隆,351.5,-13.5,-3.7,05/28,7,1,-22,-276,-466,-902.0,-1520.0,-1511.0,-70.0,-1563.0
216,4973,廣穎,152.5,13.5,9.71,05/28,-312,-312,-303,-272,-104,-139.0,-420.0,-1057.0,98.0,-1074.0
217,4739,康普,98.2,-5.8,-5.58,05/28,0,-156,-198,-265,-363,-662.0,241.0,-98.0,-186.0,-232.0
218,6449,鈺邦,375.0,5.0,1.35,05/28,0,-5,-5,-265,-495,-626.0,-885.0,-880.0,-364.0,-872.0
219,2524,京城,34.05,0.8,2.41,05/28,3,-64,-97,-261,-234,-233.0,-328.0,-677.0,177.0,-365.0
220,2420,新巨,64.5,2.0,3.2,05/28,0,-12,-12,-257,-252,-339.0,-276.0,-201.0,-301.0,-104.0
221,6245,立端,86.1,-4.5,-4.97,05/28,-36,-139,-149,-257,-361,-869.0,-1797.0,-1102.0,597.0,-868.0
222,00904,新光臺灣半導體30,41.55,-0.8,-1.89,05/28,0,0,0,-254,-328,-78.0,925.0,1028.0,1096.0,1812.0
223,5443,均豪,122.0,-4.5,-3.56,05/28,-129,-193,-90,-253,-72,334.0,-1602.0,-2228.0,-283.0,-686.0
224,1789,神隆,19.2,0.2,1.05,05/28,-11,-275,-272,-251,-296,221.0,4089.0,6501.0,6440.0,6043.0
225,3645,達邁,104.0,-6.0,-5.45,05/28,-84,273,445,-250,-255,2889.0,-1385.0,-1190.0,207.0,-935.0
226,4772,台特化,299.0,-3.5,-1.16,05/28,-40,-187,-209,-246,-190,1493.0,4921.0,4930.0,5093.0,6092.0
227,2464,盟立,168.0,-9.0,-5.08,05/28,-120,-253,69,-246,21,1931.0,-7312.0,-7761.0,-1850.0,-7209.0
