"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"9941","裕融","75.2","-0.5","-0.66","26W20","05/11","-2","-4,284","-32.9","-0.74","+3","+2,969","14.6","0.52","-5","-294","-0.84","-0.05","-2","-2,033","-15.6","-0.35"
"0056","元大高股息","45.76","+0.91","+2.03","26W20","05/11","+3","+270,260","31.1","1.94","+2","+2,385","0.43","0.02","+3","+224,280","25.8","1.61","+3","+463,140","53.3","3.32"
"00935","野村臺灣新科技50","55.65","+1.45","+2.68","26W20","05/11","+2","+1,096","1.14","0.2","+2","+992","1.04","0.18","-5","-54,463","-21.7","-9.76","-5","-59,687","-23.8","-10.7"
"1227","佳格","28.85","-0.2","-0.69","26W20","05/11","-4","-4,937","-31.2","-0.54","+2","+128","2.32","0.01","-4","-140","-0.89","-0.02","-4","-4,947","-31.3","-0.54"
"1319","東陽","80.8","+0.6","+0.75","26W20","05/11","-10","-33,041","-25.3","-5.59","+2","+2,053","7.99","0.35","-1","-74","-2.48","-0.01","-10","-37,295","-28.6","-6.31"
"1434","福懋","15.9","+0.05","+0.32","26W20","05/11","-1","-8","-0.38","0","+2","+211","2","0.01","-4","-136","-0.49","-0.01","+3","+1,514","9.52","0.09"
"2002","中鋼","18.6","-0.15","-0.8","26W20","05/11","-4","-258,612","-38.4","-1.64","+2","+105","0.04","0","-1","-207","-0.42","0","-4","-264,191","-39.2","-1.68"
"2303","聯電","95","+3.7","+4.05","26W20","05/11","+6","+318,874","6.14","2.54","+2","+30,222","2.17","0.24","+2","+1,349","0.1","0.01","+2","+104,639","7.5","0.83"
"2357","華碩","686","+36","+5.54","26W20","05/11","+2","+6,274","14.1","0.84","+2","+405","0.91","0.05","-1","-29","-0.28","0","+2","+7,050","15.8","0.95"
"2360","致茂","2360","+130","+5.83","26W20","05/11","-2","-225","-0.79","-0.05","+2","+588","2.05","0.14","-2","-289","-1.01","-0.07","+2","+74","0.26","0.02"
"2363","矽統","61","+1.6","+2.69","26W20","05/11","+2","+12,957","9.73","2.52","+2","+80","0.06","0.02","+2","+833","0.62","0.16","+2","+13,870","10.4","2.69"
"2383","台光電","4850","+100","+2.11","26W20","05/11","+2","+381","2.24","0.11","+2","+687","4.05","0.19","+2","+79","0.47","0.02","+2","+1,146","6.75","0.32"
"2393","億光","73.8","+0.1","+0.14","26W20","05/11","-1","-108","-3.99","-0.02","+2","+2,374","11.3","0.54","-3","-69","-0.21","-0.02","-1","-45","-1.65","-0.01"
"2395","研華","478.5","+2","+0.42","26W20","05/11","+6","+24,519","24.9","2.84","+2","+137","0.3","0.02","+3","+312","0.53","0.04","+9","+25,390","19","2.94"
