"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"111","6026","福邦證","15.4","-0.15","-0.96","05/15","60.7","59.9","51.1","44.3","27.4","25.2","24.6","21.9","20","20.3","15.5","22.9"
"112","3706","神達","79.9","-1.3","-1.6","05/15","49.4","41.2","51.1","44.4","34.3","29.6","29.2","27.4","23.9","23.1","22.5","28.4"
"113","5274","信驊","17195","-615","-3.45","05/15","62.7","54.3","51","56.3","61.2","61.4","60.3","61.5","53.1","48.8","39.4","59.9"
"114","3131","弘塑","2870","-65","-2.21","05/15","51.5","52.7","50.8","43.4","46.6","42.9","38.2","35.1","32.7","29.8","20.7","35.5"
"115","2637","慧洋-KY","72.8","-2.1","-2.8","05/15","65.9","58.2","50.8","54.1","40.4","37.6","40.5","34.6","33.5","33.8","24.3","36.2"
"116","9941","裕融","73.1","0","0","05/15","39.6","46.5","50.7","55.3","54.2","45.8","24.8","13.7","8.24","2.89","1.23","24.8"
"117","2645","長榮航太","150.5","-2.5","-1.63","05/15","63.6","47","50.7","49.4","35.3","31.5","33","37.6","32.9","29.4","","31.5"
"118","6722","輝創","37.9","-0.6","-1.56","05/15","53.3","51","50.5","43.7","22.6","17.5","19","","","","",""
"119","1909","榮成","8.97","+0.02","+0.22","05/15","41.4","50.8","50.4","44.8","42.3","49.3","37.6","35.6","39","34.5","20.7","37.4"
"120","2836","高雄銀","11.8","0","0","05/15","45.5","52.4","50.4","42.5","40.6","44.6","38.8","33.1","28.7","27.2","22.3","38.1"
"121","1515","力山","22.6","+0.45","+2.03","05/15","37.6","42.5","50.3","34.3","33","34.4","34.2","34.5","32","28.6","17.2","34.6"
"122","1217","愛之味","9.5","-0.11","-1.14","05/15","52.9","53.6","50.2","41.9","36.3","32","27","21.5","22.5","20.6","14.4","23.3"
"123","5469","瀚宇博","79.6","-1.6","-1.97","05/15","58","50","50.2","45.3","42.4","35.1","38","31.8","29.7","28.9","19.6","33.6"
"124","2324","仁寶","28.65","-1.6","-5.29","05/15","79.4","68.9","50.1","47.5","46.4","39.4","42.3","43.9","44.8","46.3","49.3","42.9"
"125","3702","大聯大","110","-1","-0.9","05/15","51.2","52.3","50","49.4","44.6","38.4","34.7","45.6","47.9","49.1","46.2","34.8"
"126","2892","第一金","29.3","-0.2","-0.68","05/15","46.4","53.4","50","52.9","50.7","55.8","56.8","50","50.2","52.4","44.9","57.7"
"127","2201","裕隆","26.9","-0.4","-1.47","05/15","51.4","53.4","50","44.7","34.6","39","38.1","37.4","36.1","29.3","24","39.6"
"128","8936","國統","49.95","+0.1","+0.2","05/15","50.9","47.6","49.9","46.7","29.8","35.9","20.8","14.6","6.96","0.76","0.42","20.4"
"129","3703","欣陸","20.1","-0.05","-0.25","05/15","40.6","42.9","49.8","57.7","49.2","50.8","45","40.4","41.2","32","24.4","40.8"
