"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"249","3491","昇達科","1720","-45","-2.55","1,849","05/13","-24","-25","-11","+9","+7","-9","-259","-236","-249","-264"
"250","5452","佶優","32.9","-0.6","-1.79","1,363","05/13","+5","+10","+8","+9","+18","+40","+8","+36","-52","-32"
"251","6863","永道-KY","116","-2.5","-2.11","182","05/13","0","+1","+7","+9","+10","+6","+13","+5","+14","+15"
"252","9921","巨大","75.7","+3.6","+4.99","4,978","05/13","-4","-3","+12","+9","+7","+54","-55","-76","+35","-140"
"253","2104","國際中橡","10","-0.15","-1.48","3,189","05/13","+17","-1","-1","+8","+18","-12","+9","+17","+14","-9"
"254","3211","順達","390","-12","-2.99","10,807","05/13","-5","-7","+4","+8","+16","+29","-186","-473","-487","-586"
"255","3630","新鉅科","25.65","-0.65","-2.47","947","05/13","0","+10","+10","+8","+24","+27","+7","-12","+3","+24"
"256","5471","松翰","50.3","-2.1","-4.01","4,613","05/13","-9","+4","+8","+8","+7","+16","+6","-30","+12","+16"
"257","9906","欣巴巴","32.65","-1.65","-4.81","254","05/13","+8","+8","+8","+8","+8","+8","+6","-36","+8","-39"
"258","00763U","期街口道瓊銅","35.67","+0.93","+2.68","1,726","05/13","+3","+5","+6","+7","+17","+16","-37","+113","+114","-33"
"259","00909","國泰數位支付服務","49.02","+0.34","+0.7","4,901","05/13","0","0","0","+7","+18","+23","-15","-713","+43","-29"
"260","1598","岱宇","20.35","-0.05","-0.25","253","05/13","-7","-7","-8","+7","+7","+7","+6","+5","+1","+7"
"261","3230","錦明","32.4","-0.45","-1.37","300","05/13","0","+7","+7","+7","+7","+4","-150","-130","-22","-58"
"262","3322","建舜電","13.85","+0.05","+0.36","3,660","05/13","+2","+7","+7","+7","+7","+7","-8","+4","+7","-69"
"263","3380","明泰","31.65","-0.55","-1.71","2,560","05/13","+4","+11","+8","+7","+1","-22","-2","-51","+3","-7"
"264","3675","德微","254.5","+14.5","+6.04","2,532","05/13","+8","+7","+6","+7","+12","+1","+11","-15","+3","+5"
"265","4772","台特化","308.5","-6.5","-2.06","1,960","05/13","+2","+5","+5","+7","+9","+16","-2","-116","-13","-36"
"266","5215","科嘉-KY","46.3","+4.2","+9.98","1,498","05/13","+7","+7","+7","+7","+7","+7","+7","+7","+7","+7"
"267","5245","智晶","24.85","-0.3","-1.19","89","05/13","0","0","0","+7","+7","0","-47","-5","+7","-1"
"268","6020","大展證","22","-0.95","-4.14","143","05/13","0","+7","+7","+7","+7","+7","+7","+7","+7","+7"
"269","6538","倉和","76.4","-1.5","-1.93","131","05/13","0","+3","+7","+7","+7","+8","+8","+4","+9","+8"
"270","8163","達方","29.4","-0.2","-0.68","1,030","05/13","0","0","+1","+7","+6","+5","0","-34","+6","+4"
"271","8227","巨有科技","202","-10.5","-4.94","1,421","05/13","-22","-67","-17","+7","+18","+21","+20","-34","-1","+19"
"272","9919","康那香","14.2","0","0","279","05/13","+1","+1","+3","+7","+7","+7","-107","-1","-41","-18"
"273","00686R","群益臺灣加權反1","1.11","0","0","7,902","05/13","-16","-16","-16","+6","+6","+6","-14","-789","+5","+7"
"274","00706L","期元大S&P日圓正2","19.65","-0.04","-0.2","711","05/13","0","0","+6","+6","+5","+23","+5","+48","+48","+48"
"275","1217","愛之味","9.65","-0.02","-0.21","558","05/13","-4","-3","+2","+6","-1","+6","+6","-46","+6","+6"
"276","1708","東鹼","41.6","-0.15","-0.36","3,175","05/13","+2","+2","-8","+6","-12","-8","+48","+34","+32","+45"
"277","2241","艾姆勒","33.3","-0.95","-2.77","4,622","05/13","+1","+3","+6","+6","-3","+7","+3","-89","0","-57"
"278","2248","華勝-KY","54.3","+0.2","+0.37","40","05/13","0","+6","+6","+6","+4","+5","+6","","","+6"
"279","2363","矽統","59.9","-3.3","-5.22","18,113","05/13","-45","-60","-11","+6","+40","+128","+34","+38","-119","+124"
"280","2406","國碩","33.05","-1.65","-4.76","16,615","05/13","-46","-61","-6","+6","+89","-873","-332","-267","+102","-403"
"281","3027","盛達","18","-0.25","-1.37","275","05/13","-2","+2","+2","+6","+16","-9","-2","0","-191","-9"
"282","3339","泰谷","49.35","-2.95","-5.64","4,018","05/13","-34","-33","-3","+6","+6","+27","-61","-74","-26","-31"
"283","3346","麗清","16.05","-0.5","-3.02","848","05/13","0","0","+6","+6","+6","+6","+6","-5","-15","+6"
"284","3444","利機","93.7","-0.8","-0.85","633","05/13","0","0","0","+6","+7","+10","-3","+10","+10","-100"
"285","3704","合勤控","36.55","-0.5","-1.35","2,743","05/13","-4","-1","+6","+6","+2","+18","-60","-235","-231","-152"
"286","6237","驊訊","43.45","-0.25","-0.57","661","05/13","0","-1","+4","+6","+4","+6","-1","-59","-36","-19"
"287","6419","京晨科","165.5","+15","+9.97","1,946","05/13","+2","+4","+5","+6","+6","+6","+6","","","+2"
"288","6664","群翊","480","+13","+2.78","3,222","05/13","+13","+13","+12","+6","+2","+5","+17","+5","+16","+12"
"289","6695","芯鼎","50.9","-1.1","-2.12","1,616","05/13","0","-12","-12","+6","+60","+60","+37","-30","+26","+46"
"290","6756","威鋒電子","101.5","-3.5","-3.33","1,081","05/13","0","+7","+7","+6","+6","+8","+5","-14","+7","+2"
"291","6873","泓德能源","90","-0.1","-0.11","564","05/13","+3","+4","+6","+6","+6","+3","-11","-68","-664","-31"
"292","6903","巨漢","427.5","+3.5","+0.83","3,586","05/13","-1","+5","+1","+6","-4","-10","-16","+20","+20","-33"
"293","00635U","期元大S&P黃金","49.26","-0.19","-0.38","4,933","05/13","0","+10","+9","+5","-341","-350","-373","+62","+101","+53"
"294","1718","中纖","6.51","-0.2","-2.98","5,416","05/13","-1","+5","+5","+5","+4","+5","-31","-120","+5","-26"
"295","1810","和成","18.75","+0.65","+3.59","2,330","05/13","+3","+3","+2","+5","+8","+9","-3","-40","-30","-26"
"296","2101","南港","32.45","-0.95","-2.84","3,309","05/13","+5","+4","+4","+5","-5","+2","0","-9","-303","-19"
"297","2428","興勤","203","+1.5","+0.74","1,385","05/13","0","+3","+3","+5","+4","+4","+6","+5","+7","+8"
"298","2501","國建","22.45","+0.05","+0.22","2,598","05/13","-1","-1","+4","+5","-12","+8","-25","-27","-155","-113"
"299","2520","冠德","30.65","+0.35","+1.16","1,765","05/13","0","+1","+1","+5","+113","+122","+108","+12","-106","+123"
"300","2897","王道銀行","10.15","-0.05","-0.49","2,373","05/13","0","0","+5","+5","+3","+14","-2","+15","+10","+14"
