"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"238","00654R","富邦印度反1","6.86","-0.1","-1.44","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"239","00655L","國泰中國A50正2","35.47","-0.44","-1.23","05/19","0","0","0","0","0","0","0","0","0","-0.14","-0.14","0"
"240","00656R","國泰中國A50反1","5.91","+0.05","+0.85","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"241","00657","國泰日經225","71.15","-0.55","-0.77","05/19","0","0","0","0","0","0","0","0","0","0","0","0"
"242","00657K","國泰日經225+U","22.48","-0.15","-0.66","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"243","00660","元大歐洲50","42.55","+0.51","+1.21","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"244","00661","元大日經225","78.15","-0.75","-0.95","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"245","00663L","國泰臺灣加權正2","85.95","-2.45","-2.77","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"246","00664R","國泰臺灣加權反1","1.88","+0.02","+1.08","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"247","00665L","富邦恒生國企正2","9.78","+0.03","+0.31","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"248","00666R","富邦恒生國企反1","9.05","-0.03","-0.33","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"249","00668","國泰美國道瓊","57.15","+0.45","+0.79","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"250","00668K","國泰美國道瓊+U","18.14","+0.05","+0.28","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"251","00669R","國泰美國道瓊反1","5.55","-0.05","-0.89","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"252","00670L","富邦NASDAQ正2","200","-1.5","-0.74","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"253","00671R","富邦NASDAQ反1","2.51","+0.01","+0.4","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"254","00673R","期元大S&P原油反1","11.28","+0.01","+0.09","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"255","00674R","期元大S&P黃金反1","27.23","+0.03","+0.11","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"256","00675L","富邦臺灣加權正2","259.7","-7.75","-2.9","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"257","00676R","富邦臺灣加權反1","6.42","+0.08","+1.26","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"258","00678","群益那斯達克生技","34.74","-0.59","-1.67","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"259","00680L","元大美債20正2","6.59","+0.03","+0.46","05/19","0","0","0","0","0","0","0","0","0","-0.32","","0"
"260","00681R","元大美債20反1","21.58","-0.05","-0.23","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"261","00682U","期元大美元指數","20.4","-0.01","-0.05","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"262","00683L","期元大美元指正2","21.24","-0.01","-0.05","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"263","00684R","期元大美元指反1","15.21","0","0","05/19","0","0","0","0","0","0","0","0","0","0","","0"
