"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"247","00657","國泰日經225","74","+0.2","+0.27","05/12","0","0","0","0","0","0","0","0","0","0","0","0"
"248","00657K","國泰日經225+U","23.61","+0.02","+0.08","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"249","00660","元大歐洲50","42.59","-0.32","-0.75","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"250","00661","元大日經225","81","+0.2","+0.25","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"251","00662","富邦NASDAQ","118.05","+0.1","+0.08","05/12","0","0","0","0","-0.19","-0.34","-0.14","+0.04","+0.02","+0.01","","-0.09"
"252","00663L","國泰臺灣加權正2","93.15","-0.6","-0.64","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"253","00664R","國泰臺灣加權反1","1.82","+0.02","+1.11","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"254","00665L","富邦恒生國企正2","10.37","+0.12","+1.17","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"255","00666R","富邦恒生國企反1","8.77","-0.02","-0.23","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"256","00668","國泰美國道瓊","56.95","+0.25","+0.44","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"257","00668K","國泰美國道瓊+U","18.16","+0.04","+0.22","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"258","00669R","國泰美國道瓊反1","5.52","-0.03","-0.54","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"259","00670L","富邦NASDAQ正2","204.8","-0.6","-0.29","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"260","00671R","富邦NASDAQ反1","2.48","+0.02","+0.81","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"261","00673R","期元大S&P原油反1","12.19","+0.07","+0.58","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"262","00674R","期元大S&P黃金反1","26.21","-0.2","-0.76","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"263","00675L","富邦臺灣加權正2","281.9","-1.75","-0.62","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"264","00676R","富邦臺灣加權反1","6.17","+0.02","+0.33","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"265","00678","群益那斯達克生技","35.65","+0.07","+0.2","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"266","00679B","元大美債20年","26.62","-0.08","-0.3","05/12","0","0","0","0","0","0","0","0","-0.13","0","","0"
"267","00680L","元大美債20正2","6.89","-0.05","-0.72","05/12","0","0","0","0","0","0","0","0","0","-0.02","","0"
"268","00681R","元大美債20反1","21.11","+0.08","+0.38","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"269","00682U","期元大美元指數","20.04","-0.05","-0.25","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"270","00683L","期元大美元指正2","20.79","+0.02","+0.1","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"271","00684R","期元大美元指反1","15.39","0","0","05/12","","0","0","0","0","0","0","0","0","0","","0"
"272","00685L","群益臺灣加權正2","254.7","-1.25","-0.49","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"273","00686R","群益臺灣加權反1","1.11","0","0","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"274","00687B","國泰20年美債","27.68","-0.08","-0.29","05/12","0","0","0","0","0","0","0","0","-0.17","0","","0"
"275","00687C","國泰20年美債+櫃U","9.29","-0.04","-0.43","05/12","0","0","0","0","0","0","0","0","0","","","0"
"276","00688L","國泰20年美債正2","6.87","-0.06","-0.87","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"277","00689R","國泰20年美債反1","21.94","+0.06","+0.27","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"278","00690","兆豐藍籌30","74.8","-0.25","-0.33","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"279","00692","富邦公司治理","84.5","-0.15","-0.18","05/12","0","0","0","0","+0.13","+0.34","+0.12","+0.07","+0.03","+0.01","","+0.09"
"280","00693U","期街口S&P黃豆","22.56","+0.01","+0.04","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"281","00694B","富邦美債1-3","41.36","+0.06","+0.15","05/12","0","0","0","0","0","0","0","+0.73","+0.2","-1.36","","+0.23"
