排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
27,1802,台玻,70.5,5.4,8.29,125408,05/22,1209,1354,1251,442,443.0,258.0,-5568.0,-4945.0,2978.0,-4919.0
28,2455,全新,425.0,38.5,9.96,15989,05/22,145,-43,-6,416,450.0,392.0,683.0,653.0,902.0,731.0
29,3236,千如,53.0,4.75,9.84,6054,05/22,-45,230,314,414,514.0,496.0,418.0,238.0,522.0,271.0
30,8096,擎亞,118.5,10.5,9.72,22821,05/22,135,-148,251,411,423.0,511.0,178.0,366.0,-3118.0,409.0
31,8110,華東,49.15,2.1,4.46,10423,05/22,424,389,368,410,215.0,-33.0,-4143.0,-4493.0,527.0,-6560.0
32,8021,尖點,422.0,38.0,9.9,6017,05/22,-113,62,372,408,428.0,-163.0,703.0,-2524.0,860.0,-2084.0
33,3357,臺慶科,279.0,25.0,9.84,12527,05/22,195,295,392,382,690.0,717.0,707.0,624.0,832.0,490.0
34,4958,臻鼎-KY,516.0,46.5,9.9,53331,05/22,70,126,271,365,310.0,491.0,892.0,378.0,870.0,723.0
35,6742,澤米,61.5,-0.2,-0.32,10297,05/22,164,254,287,349,366.0,366.0,341.0,292.0,358.0,338.0
36,5464,霖宏,71.0,-0.5,-0.7,538,05/22,29,51,126,345,952.0,1089.0,1089.0,1089.0,1085.0,1087.0
37,2388,威盛,88.0,2.0,2.33,35609,05/22,49,49,342,335,435.0,190.0,638.0,453.0,499.0,539.0
38,6127,九豪,52.5,-0.5,-0.94,29827,05/22,-9,1,313,318,220.0,384.0,245.0,384.0,371.0,180.0
39,3088,艾訊,142.0,4.5,3.27,2513,05/22,57,136,244,316,439.0,599.0,611.0,604.0,586.0,606.0
40,3221,台嘉碩,56.4,5.1,9.94,12420,05/22,116,165,138,313,317.0,-76.0,417.0,426.0,447.0,437.0
41,6282,康舒,57.4,3.8,7.09,78459,05/22,134,276,272,312,258.0,119.0,92.0,-234.0,359.0,-10.0
42,6432,今展科,55.7,-1.2,-2.11,5023,05/22,38,108,152,308,812.0,979.0,1102.0,561.0,1204.0,962.0
43,2371,大同,29.5,1.1,3.87,19180,05/22,-108,-114,182,279,311.0,142.0,105.0,181.0,-282.0,80.0
44,3712,永崴投控,16.15,0.45,2.87,1609,05/22,3,15,1,279,543.0,578.0,575.0,280.0,520.0,526.0
45,3105,穩懋,531.0,48.0,9.94,28969,05/22,165,353,131,266,117.0,-842.0,-101.0,475.0,707.0,-77.0
46,6290,良維,278.0,5.5,2.02,4513,05/22,-60,-23,52,258,275.0,236.0,-19.0,-294.0,-624.0,-30.0
47,6706,惠特,185.0,16.5,9.79,9381,05/22,152,237,187,257,168.0,458.0,53.0,242.0,453.0,-589.0
48,2377,微星,124.0,11.0,9.73,54501,05/22,195,198,191,255,343.0,369.0,281.0,293.0,389.0,257.0
49,8926,台汽電,60.9,-0.1,-0.16,6818,05/22,63,168,247,254,651.0,674.0,847.0,859.0,835.0,862.0
50,3714,富采,81.4,7.4,10.0,76568,05/22,169,262,257,252,101.0,-168.0,681.0,739.0,563.0,647.0
51,2359,所羅門,141.0,7.0,5.22,7522,05/22,60,75,45,247,300.0,439.0,-153.0,-411.0,-719.0,-287.0
