"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"159","6438","迅得","144","-2","-1.37","26W20","05/15","29.3","+0.03","27.7","-0.03","24.2","-0.04"
"160","00665L","富邦恒生國企正2","8.91","-0.13","-1.44","26W20","05/15","52.8","-0.4","48.5","+0.32","44.6","+0.11"
"161","6416","瑞祺電通","81.8","+0.1","+0.12","26W20","05/15","41.3","+0.24","41.3","+2.32","35.3","+1.38"
"162","00970B","新光BBB投等債20+","9.42","+0.02","+0.21","26W20","05/15","56.5","-0.72","54.9","-0.65","53.3","-0.27"
"163","2481","強茂","137","+1.5","+1.11","26W20","05/15","64","+7.95","61.7","+8.11","59.1","+7.68"
"164","4155","訊映","15.35","-0.3","-1.92","26W20","05/15","36.9","-0.01","33.6","-0.01","30.5","0"
"165","1809","中釉","48.3","-2.4","-4.73","26W20","05/15","52.3","+1.49","49.7","+1.52","48.1","+0.47"
"166","9906","欣巴巴","43.7","-2.55","-5.51","26W20","05/15","75","-0.1","73.5","-0.93","72.4","+0.9"
"167","3162","精確","83.6","-1.9","-2.22","26W20","05/15","59.7","-2.18","57.4","+0.32","56.3","+0.86"
"168","4716","大立","16.5","+0.05","+0.3","26W20","05/15","33.3","-0.12","25.1","-0.03","23.1","-0.03"
"169","00652","富邦印度","31.58","-0.15","-0.47","26W20","05/15","24.2","-1.09","22.3","-1.09","22.3","-1.09"
"170","8930","青鋼","27.6","0","0","26W20","05/15","60.8","-0.72","57.6","+0.01","55.3","+0.01"
"171","1303","南亞","96.9","+2.1","+2.22","26W20","05/15","83.1","-0.53","82.4","-0.52","81.7","-0.52"
"172","2385","群光","139","0","0","26W20","05/15","75.2","+0.27","72.6","+0.19","70.9","+0.18"
"173","2458","義隆","146","-0.5","-0.34","26W20","05/15","53.4","+0.06","51.7","-0.14","49.1","-0.7"
"174","3713","新晶投控","16","-0.15","-0.93","26W20","05/15","46.2","+0.03","45.4","+0.03","42.3","0"
"175","009811","統一美國50","12.57","-0.05","-0.4","26W20","05/15","19.1","+0.68","17.7","+0.67","15.1","+0.98"
"176","2492","華新科","417.5","+10","+2.45","26W20","05/15","67","+4.99","65.5","+4.59","64.5","+5.21"
"177","6170","統振","51.7","-0.3","-0.58","26W20","05/15","51.2","-1.16","50.5","-1.08","47.7","-1.03"
"178","3625","西勝","15.1","-0.05","-0.33","26W20","05/15","40.7","+0.32","37.1","-0.22","35.7","+0.53"
"179","2731","雄獅","152","-2.5","-1.62","26W20","05/15","42.1","-0.18","39.1","+2.11","35.3","+0.27"
"180","5481","新華","19.5","+0.05","+0.26","26W20","05/15","59.6","+0.88","54.9","+0.05","51.3","+0.14"
"181","00795B","中信美國公債20年","26.73","+0.04","+0.15","26W20","05/15","50","-0.19","49.2","-0.23","48.2","-0.24"
"182","1319","東陽","102","-5","-4.67","26W20","05/15","80.8","+0.18","79.7","+0.42","79.4","+0.42"
"183","3027","盛達","20.2","-0.2","-0.98","26W20","05/15","40.3","-0.07","36.5","-0.07","35","-0.06"
"184","1437","勤益控","29.15","+0.4","+1.39","26W20","05/15","74.9","-0.23","70","+0.51","65.8","+0.07"
"185","6112","邁達特","46.6","-1","-2.1","26W20","05/15","57.5","-0.34","57.1","-0.02","56.2","-0.02"
"186","5490","同亨","28.25","-0.35","-1.22","26W20","05/15","29.4","+0.19","26.6","+0.09","25.6","+1.08"
"187","00926","凱基全球菁英55","24.45","-0.07","-0.29","26W20","05/15","38.7","+0.1","37.1","+0.96","36.2","+0.02"
"188","3543","州巧","31.35","-0.75","-2.34","26W20","05/15","42","-2.61","38.2","-0.05","34.3","+0.03"
"189","6598","ABC-KY","24.5","-0.4","-1.61","26W20","05/15","47","-0.05","43.5","-0.05","39","-1.01"
"190","6861","睿生光電","303.5","-13.5","-4.26","26W20","05/15","51.4","-1.36","51.4","+0.31","51.4","+0.31"
"191","00897","富邦基因免疫生技","9.59","-0.03","-0.31","26W20","05/15","13.9","-0.18","10.8","+0.31","9.01","+0.28"
"192","8101","華冠","15.05","-1.55","-9.34","26W20","05/15","79.4","0","79.4","0","79.4","0"
"193","8131","福懋科","68.7","+1.8","+2.69","26W20","05/15","70.6","-0.34","69.4","-0.34","69.4","-0.13"
"194","1326","台化","46.25","+0.05","+0.11","26W20","05/15","80.7","-0.48","79.9","-0.55","79.3","-0.54"
"195","2382","廣達","370","-10.5","-2.76","26W20","05/15","84.9","+0.06","83.5","-0.03","82","-0.09"
