"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"3031","佰鴻","29.3","-0.55","-1.84","05/13","+8","+1,207","5.93","0.7","0","0","0","0","+1","+3","0.13","0","+8","+1,087","5.34","0.63"
"8341","日友","75.9","-0.3","-0.39","05/13","+8","+259","11.7","0.2","0","0","0","0","+1","0","0.28","0","+1","+6","4.47","0"
"9942","茂順","120","+0.5","+0.42","05/13","+8","+258","25.1","0.31","0","0","0","0","0","0","0","0","+8","+260","25.3","0.31"
"00694B","富邦美債1-3","41.48","+0.12","+0.29","05/13","+7","+1,337","40.2","0.78","0","0","0","0","-1","-64","-40.7","-0.04","+2","+17","7.8","0.01"
"00764B","群益25年美債","27.64","-0.02","-0.07","05/13","+7","+8,521","22.4","0.54","0","0","0","0","-1","-281","-7.31","-0.02","+2","+1,297","21.4","0.08"
"00795B","中信美國公債20年","26.87","-0.02","-0.07","05/13","+7","+11,982","22.8","0.71","0","0","0","0","-1","-3,194","-39.2","-0.19","-1","-937","-11.5","-0.06"
"1460","宏遠","7.07","+0.05","+0.71","05/13","+7","+1,837","25.4","0.26","0","0","0","0","0","0","0","0","+7","+1,828","25.3","0.26"
"1533","車王電","33.65","-0.25","-0.74","05/13","+7","+253","8.61","0.26","0","0","0","0","+1","+4","1.17","0","+7","+247","8.4","0.25"
"1817","凱撒衛","40.2","+1.55","+4.01","05/13","+7","+156","22.1","0.21","0","0","0","0","-1","-3","-0.95","0","+8","+153","20.7","0.21"
"2101","南港","32.45","-0.95","-2.84","05/13","+7","+1,409","12.7","0.19","0","0","0","0","-4","-36","-0.51","0","+7","+1,390","12.6","0.19"
"2597","潤弘","161","-1.5","-0.92","05/13","+7","+316","5.2","0.1","0","0","0","0","-1","-1","-0.17","0","+7","+329","5.42","0.11"
"2850","新產","133","0","0","05/13","+7","+339","18","0.11","-1","-27","-15.9","-0.01","-1","-2","-0.97","0","+3","+168","20.3","0.05"
"2890","永豐金","30.55","0","0","05/13","+7","+42,360","17.9","0.29","-1","-256","-1.04","0","-1","-255","-1.03","0","+7","+42,836","18.1","0.3"
"2892","第一金","29.5","+0.1","+0.34","05/13","+7","+93,929","34.2","0.65","-1","-36","-0.1","0","+1","+754","2.19","0.01","+7","+94,637","34.4","0.66"
"3006","晶豪科","216.5","-3.5","-1.59","05/13","+7","+15,780","6.76","5.31","+1","+15","0.1","0","-5","-1,261","-0.72","-0.42","+1","+731","5.23","0.25"
"5903","全家","189.5","0","0","05/13","+7","+39","16.6","0.02","0","0","0","0","0","0","0","0","+7","+39","16.6","0.02"
"6649","台生材","39.45","+0.15","+0.38","05/13","+7","+35","12.1","0.08","0","0","0","0","0","0","0","0","+7","+35","12.2","0.08"
"00665L","富邦恒生國企正2","10.34","-0.03","-0.29","05/13","+6","+3,276","4.08","0.73","0","0","0","0","-1","-1,424","-13.9","-0.32","-1","-1,087","-10.6","-0.24"
"00679B","元大美債20年","26.6","-0.02","-0.08","05/13","+6","+31,169","17.4","0.42","0","0","0","0","+3","+14,867","17.1","0.2","+8","+78,838","33.5","1.07"
"00720B","元大投資級公司債","32.76","+0.02","+0.06","05/13","+6","+29,275","55.1","0.7","0","0","0","0","+4","+2,977","8.94","0.07","+8","+44,223","59.6","1.06"
"00725B","國泰投資級公司債","34.85","+0.02","+0.06","05/13","+6","+12,766","47.4","0.34","0","0","0","0","+1","+538","17.1","0.01","+3","+8,280","62.1","0.22"
"00853B","統一美債10年Aa-A","27.63","+0.02","+0.07","05/13","+6","+389","5.53","0.23","0","0","0","0","-1","-96","-8.22","-0.06","+17","+684","3.58","0.41"
"00859B","群益0-1年美債","40.94","+0.12","+0.29","05/13","+6","+818","4.6","3.71","0","0","0","0","-1","-101","-3.59","-0.46","-1","-46","-1.64","-0.21"
"00942B","台新美A公司債20+","14.28","0","0","05/13","+6","+9,668","74.3","0.47","0","0","0","0","-4","-2,882","-29.3","-0.14","+6","+7,660","58.9","0.37"
"00959B","大華投等美債15Y+","9.33","+0.01","+0.11","05/13","+6","+7,118","54.8","1.26","0","0","0","0","+8","+3,669","21.5","0.65","+6","+10,113","77.8","1.79"
"1590","亞德客-KY","1480","-55","-3.58","05/13","+6","+902","12.4","0.45","-1","-30","-3.15","-0.01","-1","-22","-2.3","-0.01","-1","-15","-1.64","-0.01"
"2520","冠德","30.65","+0.35","+1.16","05/13","+6","+2,073","23.7","0.34","-1","-7","-0.4","0","+1","+1","0.03","0","+6","+2,035","23.3","0.33"
"2542","興富發","42.7","+1.6","+3.89","05/13","+6","+14,917","17.9","0.69","+5","+626","0.84","0.03","+3","+215","0.4","0.01","+6","+15,730","18.8","0.72"
"2816","旺旺保","31.5","+0.4","+1.29","05/13","+6","+347","23.8","0.16","0","0","0","0","0","0","0","0","+6","+338","23.2","0.15"
"2832","台產","54","+0.4","+0.75","05/13","+6","+315","21.1","0.12","0","0","0","0","+8","+87","4.83","0.03","+6","+384","25.7","0.15"
"3026","禾伸堂","325","-5","-1.52","05/13","+6","+3,680","4.12","2.22","0","0","0","0","-1","-56","-3.42","-0.03","+8","+12,307","10.4","7.42"
"3705","永信","56","+0.6","+1.08","05/13","+6","+287","26.4","0.11","0","0","0","0","-1","0","0","0","+6","+290","26.6","0.11"
"6683","雍智科技","2135","-235","-9.92","05/13","+6","+473","12","1.72","0","0","0","0","-1","-6","-3.93","-0.02","+6","+490","12.4","1.78"
"6703","軒郁","119","+3","+2.59","05/13","+6","+84","12.4","0.25","0","0","0","0","0","0","0","0","+6","+84","12.4","0.25"
"8027","鈦昇","250","+8.5","+3.52","05/13","+6","+2,465","10.8","2.25","0","0","0","0","-1","-68","-2.11","-0.06","+6","+2,433","10.6","2.22"
"00862B","中信投資級公司債","31.66","+0.03","+0.09","05/13","+5","+894","41.3","0.11","0","0","0","0","-1","-1","-0.23","0","+11","+520","9.9","0.06"
"00968B","元大優息投等債","9.24","0","0","05/13","+5","+5,434","36.2","0.82","0","0","0","0","+2","+807","14.8","0.12","+6","+10,220","57.4","1.55"
"1229","聯華","40.3","-0.2","-0.49","05/13","+5","+5,244","25.5","0.29","0","0","0","0","-1","-9","-0.22","0","+5","+6,153","29.9","0.34"
"1810","和成","18.75","+0.65","+3.59","05/13","+5","+935","9.89","0.31","0","0","0","0","-1","-2","-0.09","0","+5","+900","9.52","0.3"
"2455","全新","374","-1","-0.27","05/13","+5","+4,682","32.6","2.53","+1","0","0.01","0","-4","-1,004","-9.08","-0.54","+7","+6,636","13.7","3.59"
"2610","華航","18.75","-0.1","-0.53","05/13","+5","+16,119","8.26","0.26","-1","-979","-5.46","-0.02","-4","-398","-0.28","-0.01","+5","+14,691","7.52","0.24"
"3130","一零四","222.5","+0.5","+0.23","05/13","+5","+17","8.44","0.05","0","0","0","0","0","0","0","0","+5","+18","9.01","0.06"
"3479","安勤","96.3","0","0","05/13","+5","+397","17","0.55","0","0","0","0","0","0","0","0","+5","+396","16.9","0.55"
"3537","堡達","48.7","+0.25","+0.52","05/13","+5","+471","13.4","0.84","0","0","0","0","0","0","0","0","+5","+472","13.4","0.84"
"3550","聯穎","20.05","-0.25","-1.23","05/13","+5","+648","4.28","0.6","0","0","0","0","-1","0","-0.03","0","+5","+646","4.27","0.6"
"3609","三一東林","25.35","+2.3","+9.98","05/13","+5","+199","20.3","0.52","0","0","0","0","+1","0","0.01","0","+5","+199","20.3","0.52"
"4126","太醫","79.7","+0.1","+0.13","05/13","+5","+57","22.6","0.08","0","0","0","0","0","0","0","0","+5","+57","22.6","0.08"
"4207","環泰","18.7","0","0","05/13","+5","+275","29.4","0.14","0","0","0","0","0","0","0","0","+5","+275","29.4","0.14"
"4414","如興","9.93","+0.02","+0.2","05/13","+5","+412","16.9","0.16","0","0","0","0","-1","-2","-0.37","0","+5","+426","17.4","0.16"
"4908","前鼎","234.5","-2.5","-1.05","05/13","+5","+191","5.7","0.24","0","0","0","0","+1","+80","17.4","0.1","+1","+95","20.7","0.12"
"6187","萬潤","1225","+5","+0.41","05/13","+5","+1,935","9.68","1.98","+2","+434","4.96","0.44","-1","-32","-0.61","-0.03","+2","+1,099","12.6","1.13"
"6284","佳邦","84.1","+0.9","+1.08","05/13","+5","+2,141","23.8","1.44","0","0","0","0","+6","+27","0.26","0.02","+5","+2,168","24.1","1.45"
"8076","伍豐","24.5","-0.35","-1.41","05/13","+5","+849","10.1","0.29","0","0","0","0","+6","+39","0.4","0.01","+5","+887","10.6","0.3"
"8255","朋程","145","-3.5","-2.36","05/13","+5","+1,056","19.7","1.04","0","0","0","0","+1","+15","2.3","0.01","+5","+896","16.8","0.88"
"006207","復華滬深","34.12","+0.17","+0.5","05/13","+4","+194","16.6","0.87","0","0","0","0","+1","+86","27.8","0.38","+8","+636","22.7","2.84"
"00648R","元大S&P500反1","4.04","-0.01","-0.25","05/13","+4","+70","3.58","0.05","0","0","0","0","-1","-266","-36.2","-0.18","-1","-259","-35.2","-0.18"
"00779B","凱基美債25+","27.99","-0.03","-0.11","05/13","+4","+933","43.3","0.07","0","0","0","0","-1","-30","-2.54","0","+4","+907","42","0.07"
"00955","中信日本商社","16.68","+0.62","+3.86","05/13","+4","+9,837","17.3","1.61","0","0","0","0","+5","+27,881","39.2","4.57","+9","+51,409","40.1","8.43"
"00982B","FT投資級債20+","9.81","0","0","05/13","+4","+201","61.7","0.67","0","0","0","0","+1","0","0.23","0","+4","+209","64.1","0.7"
"1264","德麥","271.5","-1.5","-0.55","05/13","+4","+43","20.9","0.12","0","0","0","0","-1","-57","-65.9","-0.15","-1","-36","-41.6","-0.1"
"1527","鑽全","32.55","+0.15","+0.46","05/13","+4","+20","1.43","0.01","0","0","0","0","0","0","0","0","+6","+38","2.23","0.03"
"1786","科妍","54.4","+0.2","+0.37","05/13","+4","+70","4.75","0.1","0","0","0","0","+1","+1","0.72","0","+4","+71","4.84","0.1"
"2337","旺宏","168","+15","+9.8","05/13","+4","+44,770","6.43","2.26","+1","+9,302","3.88","0.47","+1","+456","0.19","0.02","+3","+53,224","10.1","2.69"
"2393","億光","72.9","+0.2","+0.28","05/13","+4","+2,441","20.3","0.55","-1","-21","-0.8","0","-3","-88","-1.26","-0.02","+4","+2,972","24.8","0.67"
"2414","精技","48.2","+0.55","+1.15","05/13","+4","+217","13.5","0.13","0","0","0","0","+1","+6","2.43","0","+4","+219","13.6","0.14"
"2472","立隆電","233.5","+10.5","+4.71","05/13","+4","+2,419","4.39","1.47","+3","+351","0.79","0.21","+8","+311","0.4","0.19","+4","+2,918","5.29","1.77"
"2478","大毅","80.9","+0.9","+1.12","05/13","+4","+1,055","4.18","0.73","0","0","0","0","-4","-108","-0.43","-0.07","+4","+947","3.75","0.65"
"2486","一詮","255","-15.5","-5.73","05/13","+4","+473","4.27","0.2","-1","-2","-0.04","0","+1","+505","14.3","0.22","+6","+1,229","3.18","0.53"
"3048","益登","46.45","-0.45","-0.96","05/13","+4","+3,835","6.16","1.42","+1","+1","0.01","0","+1","+22","0.19","0.01","+4","+4,065","6.53","1.51"
"3088","艾訊","133.5","+1.5","+1.14","05/13","+4","+1,856","22","1.71","0","0","0","0","-7","-386","-2.23","-0.36","+4","+1,757","20.8","1.62"
"3455","由田","286","-6","-2.05","05/13","+4","+511","17","0.85","0","0","0","0","-2","-12","-1.2","-0.02","+4","+497","16.6","0.83"
"3567","逸昌","28.5","-0.5","-1.72","05/13","+4","+61","8.11","0.18","0","0","0","0","0","0","0","0","+4","+61","8.11","0.18"
"3605","宏致","80.3","-1.5","-1.83","05/13","+4","+665","2.84","0.41","0","0","0","0","-1","-35","-1","-0.02","+3","+587","3.58","0.36"
"3624","光頡","66.6","+0.3","+0.45","05/13","+4","+3,984","8.83","3.4","+1","+570","4.87","0.49","+5","+890","1.63","0.76","+4","+5,180","11.5","4.41"
"4131","浩泰","35.3","-0.4","-1.12","05/13","+4","+39","16.5","0.1","0","0","0","0","+1","0","0.03","0","+4","+39","16.5","0.1"
"4728","雙美","381","0","0","05/13","+4","+90","51.1","0.17","0","0","0","0","0","0","0","0","+4","+90","51.1","0.17"
"4904","遠傳","96.9","+1.4","+1.47","05/13","+4","+3,106","15.3","0.09","+1","+286","5.99","0.01","+1","+162","3.39","0","+4","+3,958","19.5","0.11"
"4931","新盛力","197","-5.5","-2.72","05/13","+4","+4,320","4.58","6.59","0","0","0","0","-2","-761","-1.27","-1.16","-1","-151","-0.55","-0.23"
"4933","友輝","69.1","0","0","05/13","+4","+130","5.13","0.16","0","0","0","0","-1","-30","-5.78","-0.04","-1","-20","-3.87","-0.02"
"4973","廣穎","118.5","-1.5","-1.25","05/13","+4","+2,834","6.52","4.34","0","0","0","0","+4","+57","0.13","0.09","+4","+2,891","6.65","4.43"
"4991","環宇-KY","700","-40","-5.41","05/13","+4","+2,728","27.7","2.26","0","0","0","0","-1","-1","-0.23","0","+3","+1,991","57.1","1.65"
"5289","宜鼎","1765","-30","-1.67","05/13","+4","+731","3.47","0.76","-3","-319","-2.28","-0.33","-6","-352","-0.92","-0.37","-1","-184","-5.09","-0.19"
"5324","士開","11.2","+0.3","+2.75","05/13","+4","+100","13","0.04","0","0","0","0","0","0","0","0","+4","+97","12.6","0.04"
"5353","台林","26.1","0","0","05/13","+4","+28","7.87","0.04","0","0","0","0","0","0","0","0","+4","+28","7.87","0.04"
"6158","禾昌","18.05","+0.05","+0.28","05/13","+4","+19","5.72","0.03","0","0","0","0","0","0","0","0","+4","+19","5.72","0.03"
"6173","信昌電","159","+12","+8.16","05/13","+4","+10,580","18.9","6.15","0","0","0","0","+13","+2,786","2.37","1.62","+4","+12,239","21.9","7.12"
"6462","神盾","130.5","-0.5","-0.38","05/13","+4","+967","11.5","1.06","+1","+3","0.14","0","-2","-157","-3.54","-0.17","+4","+976","11.6","1.07"
"6498","久禾光","102.5","+7.6","+8.01","05/13","+4","+138","10.5","0.29","0","0","0","0","+1","+15","1.67","0.03","+4","+153","11.7","0.33"
"6505","台塑化","52.9","-0.2","-0.38","05/13","+4","+2,572","8.14","0.03","-1","-3","-0.06","0","+4","+703","2.22","0.01","+4","+3,552","11.2","0.04"
"6506","雙邦","19.55","+1.25","+6.83","05/13","+4","+116","5.39","0.14","0","0","0","0","+1","0","0","0","+4","+116","5.39","0.14"
"7547","碩網","72.4","+3.2","+4.62","05/13","+4","+41","3.51","0.12","0","0","0","0","0","0","0","0","+4","+41","3.49","0.12"
"7772","耀穎","164.5","-10.5","-6","05/13","+4","+167","4.79","0.63","0","0","0","0","0","0","0","0","+4","+182","5.25","0.69"
"8042","金山電","106","+8.3","+8.5","05/13","+4","+5,933","15.5","4.58","0","0","0","0","-1","-94","-1.78","-0.07","+4","+5,748","15","4.44"
