"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"208","5340","建榮","103","-3.5","-3.29","2,406","05/15","-180","-162","-371","-307","+332","-70","-2,333","+2,721","+4,475","+736"
"209","3167","大量","735","-30","-3.92","821","05/15","-11","-39","-101","-305","+674","+820","+3,989","+1,222","+5,224","+2,410"
"210","3356","奇偶","60.9","-1.8","-2.87","1,712","05/15","-29","-106","-254","-303","-487","-265","-401","-994","-1,381","-554"
"211","2065","世豐","33.5","0","0","204","05/15","-5","-13","-21","-301","-286","-418","+25","-8","-105","+20"
"212","4157","太景*-KY","9.17","-0.07","-0.76","881","05/15","+65","-188","-262","-301","-179","-226","+216","+3,261","+2,147","+1,156"
"213","3056","富華新","13.25","-0.6","-4.33","1,612","05/15","+2","-282","-373","-298","-143","+1,887","+1,621","+844","-1,564","+606"
"214","6525","捷敏-KY","105","-11.5","-9.87","3,919","05/15","-355","-406","-415","-297","+313","+550","+362","+282","+569","+390"
"215","00708L","期元大S&P黃金正2","92.95","-4.45","-4.57","3,361","05/15","+165","+128","-296","-296","+204","-383","-537","-2,747","-1,460","+2,190"
"216","4768","晶呈科技","430.5","-31.5","-6.82","1,639","05/15","-216","-243","-243","-296","-230","-707","+218","+1,198","+2,710","+235"
"217","3529","力旺","3830","-90","-2.3","509","05/15","-46","-104","-159","-293","-140","+473","+75","+398","+1,310","+172"
"218","5907","大洋-KY","5.11","-0.06","-1.16","217","05/15","-10","-112","-171","-293","-278","-12","+878","+3,117","+3,522","+2,274"
"219","6271","同欣電","177","-6.5","-3.54","5,753","05/15","-48","-164","-246","-293","-352","-299","+1,835","+2,570","+3,511","+2,099"
"220","4551","智伸科","151","-4.5","-2.89","784","05/15","-71","-60","-41","-291","-393","-531","-478","-576","+1,018","-631"
"221","8936","國統","49.95","+0.1","+0.2","2,637","05/15","-2","+74","+87","-290","-748","-1,112","-101","-1,786","-3,237","-1,714"
"222","3680","家登","568","-12","-2.07","3,254","05/15","-106","-32","-7","-289","-970","+1,326","+1,805","+745","+2,055","+538"
"223","1503","士電","190","-7","-3.55","3,044","05/15","-20","-42","-129","-287","+418","+339","+378","-1,723","-1,527","-1,003"
"224","8155","博智","399","-19.5","-4.66","2,666","05/15","-283","-262","-300","-287","-784","-288","-320","-189","-1,539","-1,403"
"225","6176","瑞儀","99.6","-0.9","-0.9","5,507","05/15","-21","-458","-226","-285","-880","+3,061","+4,169","+4,273","+5,108","+4,180"
"226","8016","矽創","274","-20.5","-6.96","4,847","05/15","-728","-48","-68","-284","+411","+426","+426","-137","+144","+6"
"227","2520","冠德","30.9","-0.25","-0.8","1,188","05/15","-12","-115","-156","-283","-481","-249","-2,074","-1,390","-1,579","-4,360"
"228","8227","巨有科技","208","+1","+0.48","994","05/15","0","-47","-11","-283","+585","+782","+541","+667","+598","+650"
"229","00885","富邦越南","19.25","-0.1","-0.52","4,426","05/15","-7","-52","-217","-282","-404","-1,655","-3,416","-4,811","-1,274","-3,886"
"230","2457","飛宏","23.85","-0.85","-3.44","2,872","05/15","-57","-144","-185","-281","+861","-281","-4,234","-1,824","+2,702","-2,817"
"231","5457","宣德","33.3","-1.1","-3.2","800","05/15","-71","-64","-143","-281","-243","+46","+373","+207","+1,504","+563"
"232","6532","瑞耘","109","-2.5","-2.24","4,692","05/15","+226","+249","+221","-279","-298","+107","+1,063","+873","+804","+912"
"233","6233","旺玖","25.3","-0.55","-2.13","446","05/15","-110","-160","-262","-278","-516","+291","+487","+527","+374","-203"
"234","2753","八方雲集","177","-0.5","-0.28","221","05/15","0","+10","-140","-277","-255","-269","0","-631","-3,017","+15"
"235","6695","芯鼎","51.9","+1.6","+3.18","5,297","05/15","-46","-94","-224","-277","+267","+925","+789","-120","+39","+320"
"236","6462","神盾","134","+2.5","+1.9","5,419","05/15","-306","-362","-291","-276","-371","-210","-747","-1,258","+382","-1,170"
"237","1307","三芳","31.85","-0.05","-0.16","648","05/15","-2","-83","-68","-274","-156","-368","+131","-258","-76","-455"
"238","00735","國泰臺韓科技","97","-3.05","-3.05","3,549","05/15","-356","-247","-205","-272","+609","+10","+1,542","+1,855","+1,980","+1,701"
"239","6191","精成科","90.8","-1.7","-1.84","7,259","05/15","+127","+131","+295","-271","-293","+2,868","+1,086","-1,528","+9,759","+529"
"240","6526","達發","688","-18","-2.55","1,486","05/15","-99","-72","-75","-265","+389","+632","+672","+769","+905","+794"
"241","6143","振曜","95.1","-3.7","-3.74","1,881","05/15","-152","-239","-290","-264","-383","-574","-3,884","-5,919","-4,353","-6,783"
"242","2395","研華","459.5","-5.5","-1.18","4,933","05/15","-227","-180","-150","-263","+63","-14","-805","-153","+1,460","-191"
"243","2630","亞航","43.35","+0.4","+0.93","1,248","05/15","-42","-251","-257","-261","-506","-340","-16","+414","","-573"
"244","4561","健椿","48.1","-0.35","-0.72","366","05/15","0","-18","-98","-261","-88","-129","-610","-918","-1,372","-736"
"245","4566","時碩工業","62.7","-0.5","-0.79","836","05/15","-89","-171","-176","-258","-502","-1,221","-66","-771","-704","-980"
"246","00935","野村臺灣新科技50","53.2","-1.5","-2.74","13,500","05/15","-64","-223","-186","-255","+811","+1,128","+415","+2,131","+1,705","+2,107"
