"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"135","1476","儒鴻","市","05/12","","344.5","-1","-0.29","1,073","371","345.5","345.5","349.5","340.5","2.6","16.7","3.44","","","","",""
"136","6561","是方","櫃","05/12","","344.5","-8.5","-2.41","155","54","353","356.5","356.5","344","3.54","21.7","8.91","","","","",""
"137","2382","廣達","市","05/12","","340","-3.5","-1.02","12,855","4,403","343.5","346.5","347.5","338","2.77","17.5","5.38","","","","",""
"138","6894","衛司特","櫃","05/12","","340","+0.5","+0.15","106","36.1","339.5","331","346","331","4.42","26.4","5.32","","","","",""
"139","4585","達明","市","05/12","","339","-3","-0.88","450","153","342","343","346","335.5","3.07","232","5.16","","","","",""
"140","7768","頌勝科技","市","05/12","","336","-18","-5.08","579","196","354","355","355","334","5.93","104","11.28","","","","",""
"141","8464","億豐","市","05/12","","334.5","-0.5","-0.15","1,238","411","335","335","338","322","4.78","15.1","3.59","","","","",""
"142","7799","禾榮科","市","05/12","","332.5","-2","-0.6","219","72.8","334.5","335","339","330","2.69","","4.62","","","","",""
"143","3026","禾伸堂","市","05/12","","330","+0.5","+0.15","2,669","886","329.5","328.5","339","325","4.25","42.5","5.65","","","","",""
"144","6725","矽科宏晟","櫃","05/12","","328","+4","+1.23","519","169","324","324","337","316.5","6.33","25.3","4.99","","","","",""
"145","4764","雙鍵","市","05/12","","324.5","+3.5","+1.09","328","106","321","337","337","318.5","5.76","173","11.46","","","","",""
"146","6679","鈺太","櫃","05/12","","324.5","-2.5","-0.76","475","155","327","329","334.5","320.5","4.28","38.4","3","","","","",""
"147","2376","技嘉","市","05/12","","321","-3.5","-1.08","12,395","3,975","324.5","327.5","329","315","4.31","17.6","3.64","","","","",""
"148","2408","南亞科","市","05/12","","321","+20","+6.64","217,596","68,140","301","312.5","325","301","7.97","28.7","5.16","","","","",""
"149","5475","德宏","櫃","05/12","","320","-11.5","-3.47","2,327","768","331.5","332","344","320","7.24","","45.58","","","","",""
"150","4772","台特化","櫃","05/12","","315","-2.5","-0.79","4,128","1,321","317.5","318.5","329.5","311.5","5.67","65.1","13.38","","","","",""
"151","6231","系微","櫃","05/12","","311.5","-4.5","-1.42","1,360","430","316","318.5","327","308","6.01","46.8","14.31","","","","",""
"152","7792","安葆","櫃","05/12","","311.5","-4.5","-1.42","280","87.2","316","316.5","316.5","309.5","2.22","35.7","5.12","","","","",""
"153","6217","中探針","櫃","05/12","","310","+28","+9.93","4,361","1,342","282","300","310","300","3.55","","12.15","","","","",""
"154","3413","京鼎","市","05/12","","308.5","0","0","2,218","689","308.5","308.5","315","306.5","2.76","14.4","2.05","","","","",""
"155","3485","敘豐","櫃","05/12","","308","-6.5","-2.07","681","203","314.5","309.5","314","285.5","9.06","52.2","7.97","","","","",""
"156","8499","鼎炫-KY","市","05/12","","306.5","+27.5","+9.86","420","126","279","294","306.5","291","5.56","30.3","1.54","","","","",""
"157","3023","信邦","市","05/12","","301.5","-0.5","-0.17","1,992","605","302","305.5","311","297.5","4.47","23.6","4.13","","","","",""
"158","2449","京元電子","市","05/12","","301","+1.5","+0.5","41,675","12,450","299.5","302.5","302.5","295","2.5","40.8","6.76","","","","",""
"159","4760","勤凱","櫃","05/12","","301","+21.5","+7.69","3,107","918","279.5","281.5","307","273","12.2","39.2","9.7","","","","",""
"160","6937","天虹","市","05/12","","300.5","+5","+1.69","873","264","295.5","297","311","294.5","5.58","92.7","5.91","","","","",""
"161","2233","宇隆","市","05/12","","298","-4.5","-1.49","623","187","302.5","309","309","295.5","4.46","44.5","4.54","","","","",""
"162","3455","由田","櫃","05/12","","292","+6","+2.1","538","157","286","292","295","290","1.75","109","6.81","","","","",""
"163","6138","茂達","櫃","05/12","","289.5","+4.5","+1.58","3,038","879","285","291","298","281.5","5.79","20.6","6.3","","","","",""
"164","0057","富邦摩台","市","05/12","","288.85","+0.5","+0.17","49","14.2","288.35","287.25","289.15","285.75","1.18","","1.0014","","","","",""
"165","6491","晶碩","市","05/12","","287.5","+2","+0.7","286","81.5","285.5","285.5","287.5","283.5","1.4","13.8","1.93","","","","",""
"166","6803","崑鼎","櫃","05/12","","286.5","-0.5","-0.17","160","45.9","287","287","288.5","285","1.22","15.5","2.94","","","","",""
"167","4967","十銓","市","05/12","","285.5","+1","+0.35","11,402","3,237","284.5","287","290.5","278","4.39","7.31","3.42","","","","",""
"168","6213","聯茂","市","05/12","","285.5","-15","-4.99","29,160","8,693","300.5","311","322","285","12.3","69.3","4.92","","","","",""
"169","6285","啟碁","市","05/12","","282","+23","+8.88","47,531","12,989","259","266","282.5","262","7.92","41.3","3.9","","","","",""
"170","00675L","富邦臺灣加權正2","市","05/12","","281.9","-1.75","-0.62","2,054","580","283.65","287.05","287.75","277.55","3.6","","1.0116","","","","",""
"171","6953","家碩","櫃","05/12","","277","-4","-1.42","243","67","281","281","281","271.5","3.38","34.7","5.16","","","","",""
"172","3036","文曄","市","05/12","","275.5","+11","+4.16","43,177","11,814","264.5","270","283","260","8.7","23.7","3.28","","","","",""
"173","6670","復盛應用","市","05/12","","274.5","+12","+4.57","867","235","262.5","262","277","262","5.71","12.2","2.46","","","","",""
"174","8016","矽創","市","05/12","","274","+5.5","+2.05","2,324","634","268.5","270.5","276.5","268.5","2.98","18.7","2.65","","","","",""
"175","1264","德麥","櫃","05/12","","273","+1.5","+0.55","23","6.19","271.5","271","273","271","0.74","13.3","2.76","","","","",""
"176","6290","良維","櫃","05/12","","272.5","-3","-1.09","3,048","836","275.5","272.5","281","271","3.63","31.7","6.12","","","","",""
"177","6881","潤德","櫃","05/12","","272.5","0","0","1","0.19","272.5","272.5","272.5","272.5","0","13.1","4.22","","","","",""
"178","7556","意德士","櫃","05/12","","271","+1","+0.37","129","35.5","270","275.5","280","271","3.33","38.2","5.67","","","","",""
"179","7722","LINEPAY","市","05/12","","271","-6","-2.17","156","42.4","277","275","275","268.5","2.35","36.3","1.71","","","","",""
"180","2486","一詮","市","05/12","","270.5","-11","-3.91","3,038","820","281.5","274.5","274.5","264.5","3.55","1230","12.1","","","","",""
"181","4977","眾達-KY","市","05/12","","270.5","+24.5","+9.96","23,093","5,996","246","240","270.5","239.5","12.6","60.4","5.38","","","","",""
"182","6426","統新","市","05/12","","265.5","+5.5","+2.12","8,427","2,296","260","273.5","280","265","5.77","","11.31","","","","",""
"183","3532","台勝科","市","05/12","","264.5","-3.5","-1.31","692","183","268","269","269","260","3.36","167","4.15","","","","",""
"184","3592","瑞鼎","市","05/12","","261","-2.5","-0.95","1,534","403","263.5","265","267.5","259.5","3.04","16.3","1.84","","","","",""
"185","2313","華通","市","05/12","","260","+18","+7.44","93,922","24,282","242","246","264.5","246","7.64","45.9","6.61","","","","",""
"186","8081","致新","市","05/12","","260","-4","-1.52","1,195","313","264","267","268","259","3.41","14.8","3.07","","","","",""
"187","4722","國精化","市","05/12","","258.5","+23.5","+10","7,264","1,789","235","235","258.5","230","12.1","150","8.47","","","","",""
"188","4576","大銀微系統","市","05/12","","258","+7.5","+2.99","8,874","2,287","250.5","251.5","264.5","249","6.19","102","7.47","","","","",""
"189","3374","精材","櫃","05/12","","255.5","+6.5","+2.61","33,752","8,522","249","248","265","236.5","11.4","49.5","6.84","","","","",""
"190","00685L","群益臺灣加權正2","市","05/12","","254.7","-1.25","-0.49","1,159","296","255.95","260.1","260.1","251","3.56","","1.0128","","","","",""
"191","6667","信紘科","櫃","05/12","","252","-10.5","-4","1,122","284","262.5","258","258.5","250.5","3.05","18.3","4.67","","","","",""
"192","2317","鴻海","市","05/12","","250","-2","-0.79","83,025","20,730","252","254","254","246","3.17","18.4","1.97","","","","",""
"193","8271","宇瞻","市","05/12","","249","-7","-2.73","10,672","2,670","256","265","271","241","11.7","12.1","5.05","","","","",""
"194","6435","大中","櫃","05/12","","248.5","+17","+7.34","2,258","560","231.5","242","254.5","240.5","6.05","23.1","4.89","","","","",""
"195","6533","晶心科","市","05/12","","245.5","-7.5","-2.96","1,343","329","253","252.5","252.5","240","4.94","","2.75","","","","",""
"196","7765","中華資安","市","05/12","","243.5","-6","-2.4","114","28","249.5","246.5","249","242","2.81","22","4.51","","","","",""
"197","8027","鈦昇","櫃","05/12","","241.5","+18.5","+8.3","4,428","1,045","223","230","242.5","227.5","6.73","","9.6","","","","",""
"198","3675","德微","櫃","05/12","","240","-8.5","-3.42","2,155","530","248.5","245.5","257","240","6.84","85.1","4.98","","","","",""
"199","8114","振樺電","市","05/12","","239.5","+21.5","+9.86","5,333","1,242","218","222.5","239.5","219.5","9.17","12.9","2.5","","","","",""
"200","8028","昇陽半導體","市","05/12","","238.5","+4.5","+1.92","21,724","5,327","234","236","253.5","232.5","8.97","54.6","8.18","","","","",""
"201","4908","前鼎","櫃","05/12","","237","+9.5","+4.18","558","132","227.5","233","243","233","4.4","120","10.73","","","","",""
"202","7810","捷創科技","櫃","05/12","","237","+4","+1.72","439","106","233","242","248.5","233","6.65","37.9","5.07","","","","",""
"203","2727","王品","市","05/12","","235.5","+0.5","+0.21","333","78.1","235","236.5","236.5","233","1.49","14.1","5.09","","","","",""
"204","6613","朋億*","櫃","05/12","","235","-5.5","-2.29","370","87.1","240.5","240.5","242","231.5","4.37","17.6","3.43","","","","",""
"205","2301","光寶科","市","05/12","","234.5","+10.5","+4.69","91,946","22,065","224","245","246","230","7.14","34.5","6.04","","","","",""
"206","3581","博磊","櫃","05/12","","234","-2.5","-1.06","225","52.9","236.5","240","240","229","4.65","289","13.49","","","","",""
"207","6197","佳必琪","市","05/12","","234","+5","+2.18","3,529","806","229","231.5","234.5","222","5.46","22.8","6.26","","","","",""
"208","5292","華懋","市","05/12","","233","+10","+4.48","411","94.1","223","226","233","224","4.04","23.5","5.1","","","","",""
"209","1623","大東電","市","05/12","","231.5","-11","-4.54","416","97.4","242.5","240","241","230.5","4.33","16.4","3.82","","","","",""
"210","3515","華擎","市","05/12","","231.5","-1","-0.43","787","182","232.5","234.5","235","229","2.58","14.6","2.54","","","","",""
"211","4770","上品","市","05/12","","230.5","-9.5","-3.96","700","164","240","240.5","240.5","230","4.38","22.6","2.24","","","","",""
"212","1477","聚陽","市","05/12","","228.5","+10.5","+4.82","4,893","1,105","218","218.5","230.5","216.5","6.42","16.5","4.34","","","","",""
"213","3227","原相","櫃","05/12","","228.5","-3","-1.3","2,480","564","231.5","232","233","224","3.89","18.5","2.75","","","","",""
"214","3264","欣銓","櫃","05/12","","228.5","+3","+1.33","11,200","2,546","225.5","227.5","234","222","5.32","34.3","5.35","","","","",""
"215","3228","金麗科","櫃","05/12","","226.5","-15","-6.21","1,848","430","241.5","236","248.5","222","11","","25.42","","","","",""
"216","6239","力成","市","05/12","","226.5","+1","+0.44","18,062","4,077","225.5","227.5","233","219","6.21","26.9","2.87","","","","",""
"217","6568","宏觀","櫃","05/12","","226.5","+0.5","+0.22","409","93.8","226","226.5","234.5","226.5","3.54","55.8","4.56","","","","",""
"218","2912","統一超","市","05/12","","226","-1.5","-0.66","1,493","340","227.5","227.5","230","226","1.76","20.6","5.06","","","","",""
"219","0053","元大電子","市","05/12","","224.9","+0.65","+0.29","56","12.4","224.25","224.4","225.7","221.35","1.94","","1.0042","","","","",""
"220","006208","富邦台50","市","05/12","","224.55","+0.1","+0.04","6,517","1,457","224.45","224.5","225.4","221.3","1.83","","0.9993","","","","",""
"221","2472","立隆電","市","05/12","","223","-2","-0.89","16,652","3,657","225","221.5","234","209.5","10.9","25.5","4.04","","","","",""
"222","3130","一零四","市","05/12","","222","0","0","15","3.42","222","222","223","222","0.45","15.1","4.3","","","","",""
"223","3555","博士旺","櫃","05/12","","220.5","+2.5","+1.15","295","66.3","218","218","232","218","6.42","31.8","11.44","","","","",""
"224","3006","晶豪科","市","05/12","","220","-2","-0.9","40,934","8,945","222","227","227.5","210","7.88","26.4","4.79","","","","",""
"225","3551","世禾","櫃","05/12","","216","-2","-0.92","3,496","755","218","218","219.5","211.5","3.67","26","2.62","","","","",""
"226","6146","耕興","櫃","05/12","","215","+1.5","+0.7","244","52.4","213.5","215","217","213","1.87","19.7","3.56","","","","",""
"227","6829","千附精密","櫃","05/12","","215","-10.5","-4.66","3,466","747","225.5","215","224","209","6.65","51.6","6.24","","","","",""
"228","4441","振大環球","市","05/12","","214.5","+13","+6.45","258","54.7","201.5","209","217","207","4.96","15.1","2.22","","","","",""
"229","6278","台表科","市","05/12","","214.5","-1","-0.46","19,358","4,174","215.5","220","222","210","5.57","24.5","2.79","","","","",""
"230","2603","長榮","市","05/12","","214","0","0","8,784","1,885","214","216","216.5","213.5","1.4","6.76","0.82","","","","",""
"231","3135","凌航","市","05/12","","213.5","+19","+9.77","6,048","1,282","194.5","209","213.5","208","2.83","33.7","7.76","","","","",""
"232","4542","科嶠","櫃","05/12","","213.5","+19","+9.77","397","82.2","194.5","198","213.5","198","7.97","167","10.22","","","","",""
"233","8227","巨有科技","櫃","05/12","","212.5","-13.5","-5.97","1,855","397","226","227","227","208.5","8.19","103","7.38","","","","",""
"234","6811","宏碁資訊","櫃","05/12","","211","-1.5","-0.71","176","37.1","212.5","213.5","213.5","209.5","1.88","13.9","4.11","","","","",""
"235","006204","永豐臺灣加權","市","05/12","","210.35","+0.85","+0.41","6","1.17","209.5","209.7","210.35","207.75","1.24","","1.0048","","","","",""
"236","1795","美時","市","05/12","","210","-23","-9.87","11,572","2,438","233","211","213.5","210","1.5","11.6","2.32","","","","",""
