排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
681,2457,飛宏,24.0,-0.6,-2.44,2026,0.0,0.0,5.91,-3.81,0.11,0.03,1.93,-9.08,92.0,12.9,0,0.0
682,2459,敦吉,65.3,-0.2,-0.31,2026,0.0,0.0,17.0,0.22,9.65,-0.1,10.7,-0.8,62.7,0.68,0,0.0
683,2460,建通,31.25,-0.3,-0.95,2026,0.0,0.0,1.1,-0.14,0.1,-0.06,51.3,-0.1,47.6,2.25,0,-1.95
684,2462,良得電,20.65,-0.2,-0.96,2026,0.0,0.0,1.88,-0.09,0.0,0.0,33.8,-0.34,64.3,0.43,0,0.0
685,2464,盟立,146.5,-2.0,-1.35,2026,0.0,0.0,4.5,1.94,3.94,0.64,22.8,0.73,68.8,-3.3,0,0.0
686,2465,麗臺,80.5,-2.2,-2.66,2026,0.0,0.0,1.52,0.85,0.01,-0.58,29.4,-0.76,69.1,0.49,0,0.0
687,2466,冠西電,95.0,-9.0,-8.65,2026,0.0,0.0,10.6,-0.39,0.04,0.04,70.3,-5.6,19.0,5.95,0,0.0
688,2468,華經,34.9,-0.2,-0.57,2026,0.0,0.0,1.55,-10.4,0.0,-0.36,49.1,1.08,49.3,9.67,0,0.0
689,2471,資通,48.7,0.5,1.04,2026,0.0,0.0,5.43,-2.06,0.62,0.47,3.2,-0.31,90.7,1.9,0,0.0
690,2472,立隆電,258.5,-17.5,-6.34,2026,0.0,0.0,12.9,-0.17,2.27,-0.04,21.5,3.61,63.3,-3.4,0,0.0
691,2476,鉅祥,119.0,-1.5,-1.24,2026,0.0,0.0,8.88,0.86,0.07,0.07,23.8,1.32,67.2,-2.26,0,0.0
692,2477,美隆電,21.3,0.05,0.24,2026,0.0,0.0,23.6,-1.13,0.0,0.0,29.2,-0.02,47.2,1.15,0,0.0
693,2480,敦陽科,159.0,0.0,0.0,2026,0.86,-0.7,11.5,1.96,1.73,-1.95,10.5,0.04,75.4,0.65,0,0.0
694,2481,強茂,140.0,-4.5,-3.11,2026,4.26,4.15,21.7,9.45,4.63,2.98,19.4,1.44,50.0,-18.0,0,0.0
695,2482,連宇,17.65,-0.15,-0.84,2026,0.0,0.0,1.22,-0.51,0.0,0.0,25.5,0.08,73.3,0.44,0,0.0
696,2484,希華,71.9,2.5,3.6,2026,0.0,0.0,6.05,0.9,0.0,0.0,1.83,-0.88,92.1,-0.02,0,0.0
697,2485,兆赫,40.2,-1.35,-3.25,2026,0.0,0.0,2.16,-2.1,0.08,0.08,0.45,-1.97,97.3,3.99,0,0.0
698,2488,漢平,49.75,0.05,0.1,2026,0.0,0.0,6.56,-4.37,0.0,-0.28,23.7,6.98,69.8,-2.33,0,0.0
699,2489,瑞軒,30.1,-1.65,-5.2,2026,0.31,0.15,6.8,-3.57,0.27,0.19,16.8,4.49,75.8,-1.25,0,0.0
700,2491,吉祥全,29.1,-1.2,-3.96,2026,0.0,0.0,5.93,0.4,0.0,0.0,25.3,1.25,68.7,-1.65,0,0.0
701,2493,揚博,212.5,-23.5,-9.96,2026,0.0,0.0,4.3,0.23,0.33,-0.02,28.0,3.6,67.4,-3.81,0,0.0
702,2495,普安,37.6,-0.4,-1.05,2026,0.0,0.0,6.26,-5.77,0.31,-0.07,11.0,0.16,82.5,5.68,0,0.0
703,2496,卓越,60.0,0.0,0.0,2026,0.0,0.0,23.2,-0.96,0.26,0.12,12.2,-1.03,64.4,1.87,0,0.0
704,2497,怡利電,52.1,-0.7,-1.33,2026,0.0,0.0,2.54,-5.5,0.21,0.21,11.2,7.05,86.1,-1.77,0,0.0
705,2498,宏達電,41.75,-0.15,-0.36,2026,0.0,0.0,9.56,-2.35,0.82,0.03,15.5,-1.34,74.1,3.66,0,0.0
706,2501,國建,22.75,0.1,0.44,2026,0.11,-0.36,10.8,3.33,4.45,-2.57,55.9,0.41,28.8,-0.8,0,0.0
707,2504,國產,31.7,0.3,0.96,2026,0.01,-0.46,9.44,-0.8,12.8,-3.72,40.7,1.75,37.0,3.23,0,0.0
708,2505,國揚,17.75,0.05,0.28,2026,0.0,0.0,4.58,-1.5,0.0,0.0,70.4,2.1,25.0,-0.6,0,0.0
709,2506,太設,8.72,-0.01,-0.11,2026,0.0,-0.06,4.66,-0.76,0.02,-0.06,48.9,1.94,46.4,-1.05,0,0.0
710,2509,全坤建,13.2,0.15,1.15,2026,0.0,-0.01,1.26,-0.92,0.0,0.0,52.6,-0.89,46.1,1.82,0,0.0
711,2511,太子,8.54,0.03,0.35,2026,0.0,0.0,4.6,-2.66,0.0,0.0,49.2,0.16,46.2,2.5,0,0.0
712,2514,龍邦,12.8,0.1,0.79,2026,0.0,0.0,2.3,-0.95,0.0,0.0,73.3,-0.12,24.4,1.07,0,0.0
713,2515,中工,12.05,-0.25,-2.03,2026,0.0,0.0,10.5,-2.38,0.0,0.0,37.1,23.1,52.4,-20.7,0,0.0
714,2516,新建,14.15,0.15,1.07,2026,0.0,0.0,2.45,-3.99,0.0,0.0,17.9,1.96,79.6,2.03,0,0.0
715,2524,京城,35.05,-0.75,-2.09,2026,0.0,-0.02,0.74,-0.98,0.06,-0.44,50.5,1.39,48.7,0.49,0,-0.44
716,2527,宏璟,46.15,-2.55,-5.24,2026,0.0,0.0,41.7,-1.09,0.0,0.0,34.2,0.83,24.2,0.26,0,0.0
717,2528,皇普,22.5,0.15,0.67,2026,0.0,0.0,1.56,-1.02,0.0,0.0,64.3,-1.39,34.1,2.42,0,0.0
718,2530,華建,20.0,0.05,0.25,2026,0.0,0.0,3.86,-0.2,0.22,0.22,64.1,0.89,31.9,-0.9,0,0.0
719,2534,宏盛,17.25,0.05,0.29,2026,0.11,-0.39,6.91,-0.88,9.28,0.0,44.3,3.22,39.4,-1.95,0,0.0
720,2535,達欣工,87.9,-0.6,-0.68,2026,0.29,0.29,6.66,0.39,6.09,-0.79,29.7,1.74,57.2,-1.64,0,0.0
721,2536,宏普,18.25,0.0,0.0,2026,0.0,0.0,9.1,-0.26,0.19,-0.14,50.3,-0.63,40.4,1.03,0,0.0
722,2537,聯上發,11.05,0.05,0.45,2026,0.0,0.0,2.58,-1.23,0.0,0.0,35.9,-0.3,61.5,1.53,0,0.0
723,2538,基泰,9.95,0.05,0.51,2026,0.0,0.0,9.9,-2.52,0.0,0.0,15.4,0.37,74.7,2.15,0,0.0
724,2539,櫻花建,40.55,0.15,0.37,2026,0.0,0.0,2.07,-0.94,1.65,1.4,27.4,-0.05,68.8,-0.41,0,0.0
725,2540,愛山林,53.4,-0.1,-0.19,2026,0.0,0.0,1.62,-0.78,0.0,0.0,82.6,-0.75,15.8,1.53,0,0.0
726,2543,皇昌,38.6,-0.45,-1.15,2026,0.0,0.0,1.28,-2.92,0.07,-0.07,57.9,0.94,40.8,2.05,0,0.0
727,2545,皇翔,33.3,-0.3,-0.89,2026,0.0,0.0,2.64,-5.21,0.0,-0.05,60.1,-1.25,37.2,6.51,0,0.0
728,2546,根基,96.0,1.0,1.05,2026,0.0,0.0,3.31,0.88,0.54,-0.11,44.4,-0.29,51.8,-0.47,0,0.0
729,2547,日勝生,10.1,0.0,0.0,2026,0.0,0.0,13.9,-4.45,1.57,-0.36,23.0,-0.16,61.5,4.97,0,0.0
730,2548,華固,98.6,-1.0,-1.0,2026,1.2,-0.08,18.2,0.67,12.5,-1.74,24.3,-0.87,43.8,2.02,0,0.0
731,2596,綠意,31.2,-0.2,-0.64,2026,0.0,0.0,0.45,-0.97,0.0,0.0,48.9,-0.13,50.7,1.1,0,0.0
732,2597,潤弘,161.0,1.5,0.94,2026,0.2,0.2,3.72,1.29,0.64,-2.53,70.3,-0.71,25.1,1.74,0,0.0
733,2601,益航,6.65,0.12,1.84,2026,0.0,0.0,12.8,-0.29,0.0,0.0,11.9,-0.06,75.3,0.36,0,0.0
734,2603,長榮,206.0,2.5,1.23,2026,1.34,-0.21,20.4,-1.02,16.6,-1.59,8.88,0.57,52.8,2.25,0,0.0
735,2605,新興,32.3,-0.2,-0.62,2026,0.0,0.0,50.0,14.9,1.09,1.0,1.49,0.4,47.4,-16.3,0,0.0
736,2606,裕民,64.0,0.8,1.27,2026,1.03,0.58,10.9,2.08,13.3,-5.43,47.0,0.37,27.8,2.4,0,0.0
737,2607,榮運,47.85,0.55,1.16,2026,0.0,-0.66,9.48,-0.19,0.17,-0.08,46.7,5.48,43.7,-4.54,0,0.0
738,2608,嘉里大榮,29.3,0.15,0.51,2026,0.0,0.0,3.75,-1.3,0.51,-0.14,62.7,0.12,33.0,1.32,0,0.0
739,2609,陽明,51.5,1.0,1.98,2026,31.2,-0.02,15.2,-5.9,7.71,1.38,3.78,-1.38,42.1,5.93,0,0.0
740,2610,華航,20.5,-0.1,-0.49,2026,8.5,-0.05,15.0,-6.64,7.18,1.24,34.0,-0.97,35.3,6.43,0,0.0
741,2611,志信,14.2,-0.05,-0.35,2026,0.0,0.0,1.37,-0.57,0.0,0.0,42.5,-0.23,56.1,0.79,0,0.0
742,2612,中航,52.9,0.7,1.34,2026,0.0,0.0,4.13,1.13,0.01,-0.15,69.2,0.55,26.6,-1.53,0,0.0
743,2613,中櫃,20.9,-0.15,-0.71,2026,0.0,0.0,1.09,-1.61,0.0,-0.01,50.3,-10.4,48.6,12.0,0,0.0
744,2614,東森,18.25,0.05,0.27,2026,0.0,0.0,5.01,1.65,0.0,0.0,33.6,0.45,61.3,-2.1,0,0.0
745,2615,萬海,87.0,2.5,2.96,2026,0.34,-0.72,41.0,-1.09,0.62,-0.75,31.3,0.05,26.8,2.51,0,0.0
746,2616,山隆,13.9,0.05,0.36,2026,0.0,0.0,1.88,-0.34,0.72,-0.51,28.1,-1.77,69.3,2.62,0,0.0
747,2617,台航,29.2,0.15,0.52,2026,26.7,-0.11,9.08,3.62,1.19,-0.51,23.6,1.56,39.4,-4.55,0,0.0
748,2618,長榮航,40.7,-0.15,-0.37,2026,3.03,-0.29,24.7,-1.91,18.2,-6.29,21.8,0.67,32.3,7.81,0,0.0
749,2630,亞航,53.9,0.6,1.13,2026,0.0,0.0,3.82,1.73,0.0,0.0,60.0,-0.04,36.2,-1.69,0,0.0
750,2633,台灣高鐵,26.05,0.1,0.39,2026,45.1,0.0,9.47,-0.34,6.78,-0.74,24.2,1.86,14.4,-0.78,0,0.0
751,2634,漢翔,65.4,3.5,5.65,2026,37.2,-0.71,3.09,0.08,3.2,-1.27,2.77,-0.88,53.7,2.78,0,0.0
752,2637,慧洋-KY,83.8,2.5,3.08,2026,0.36,-0.22,16.7,6.49,8.85,-6.08,24.8,0.65,49.4,-0.84,0,0.0
