股票代號,股票名稱,法人持股,上榜區塊
2316,楠梓電,36.525027081676065,"60日,20日,120日"
2317,鴻海,39.83580377649983,60日
2327,國巨*,56.634457179050926,120日
2328,廣宇,8.119481328815628,5日
2332,友訊,12.833393889988008,"60日,20日,5日"
2338,光罩,5.951081643406577,"60日,120日"
2344,華邦電,29.407557900529184,"60日,120日"
2347,聯強,28.29878608922295,120日
2349,錸德,14.18,"60日,120日"
2351,順德,21.09465213677181,"60日,20日,5日,120日"
2352,佳世達,11.37385139746704,20日
2353,宏碁,11.2027669400555,5日
2355,敬鵬,15.163942846435816,"5日,120日"
2356,英業達,18.16031130144167,"60日,120日"
2357,華碩,40.866189324501846,5日
2359,所羅門,7.511337957849586,"60日,20日,5日,120日"
2363,矽統,7.987598237369966,120日
2365,昆盈,2.69,60日
2367,燿華,12.37380101512464,"20日,5日,120日"
2368,金像電,33.817155254133624,120日
2369,菱生,18.318254154412685,60日
2375,凱美,13.488987810794306,"60日,5日"
2376,技嘉,25.92809789744743,"60日,120日"
2377,微星,15.564592656637418,"60日,20日,5日,120日"
2379,瑞昱,49.695921444184336,60日
2382,廣達,26.875718266829725,120日
2388,威盛,15.452800356135336,"20日,120日"
2395,研華,36.233068698947015,"60日,120日"
2401,凌陽,18.737666126776332,"60日,20日,120日"
2404,漢唐,31.865444411550694,60日
2406,國碩,15.711709861135937,"60日,120日"
2408,南亞科,18.026128095527948,"60日,20日"
2409,友達,11.714495716301837,20日
2425,承啟,10.49,5日
2426,鼎元,8.505072445801517,20日
2428,興勤,20.22046593731836,"60日,120日"
2434,統懋,3.56,"60日,20日,5日"
2436,偉詮電,13.443767972096,"20日,120日"
2444,兆勁,3.04,60日
2449,京元電子,31.048478096658688,20日
2455,全新,44.71028344457855,"60日,20日,5日,120日"
2458,義隆,27.13356865355103,"60日,20日,5日,120日"
2461,光群雷,8.58,"60日,120日"
2464,盟立,7.246262188208922,120日
2465,麗臺,5.73,"60日,20日,5日,120日"
2466,冠西電,13.208270481646707,"60日,20日,5日,120日"
2467,志聖,21.763916066965702,120日
2472,立隆電,18.77448211719398,"60日,20日,5日,120日"
2474,可成,3.314247991431545,5日
2476,鉅祥,9.806364297091555,120日
2478,大毅,20.83993969771813,"60日,20日,5日,120日"
2480,敦陽科,10.902655245649902,20日
2481,強茂,38.99033312032848,"60日,20日,5日,120日"
2483,百容,6.59,"60日,20日,5日,120日"
2484,希華,11.11,"60日,20日,5日,120日"
2485,兆赫,3.7425922670413083,"60日,20日,5日"
2486,一詮,11.548904367341024,120日
2489,瑞軒,6.522628196721311,5日
2492,華新科,34.42206769498934,"60日,5日,120日"
2493,揚博,8.61680271996821,"60日,20日,5日,120日"
2497,怡利電,4.535280277418937,60日
2501,國建,12.196591233476392,120日
2504,國產,4.596079237288136,20日
2515,中工,9.905218558521927,20日
2527,宏璟,43.32867135764652,"20日,5日"
2534,宏盛,5.190754321386821,5日
2542,興富發,12.306353929535105,"60日,5日,120日"
2547,日勝生,13.843736553844362,20日
2597,潤弘,6.178925320871793,60日
2601,益航,13.25,5日
2603,長榮,22.332351870650793,"60日,20日,120日"
2605,新興,47.731356464384966,120日
2606,裕民,14.787081317355797,"60日,20日,5日,120日"
2610,華航,14.838418824307338,20日
2618,長榮航,29.123245059186413,"60日,20日,5日,120日"
2634,漢翔,4.257857582754661,20日
2637,慧洋-KY,21.48608934725897,"60日,20日,5日,120日"
2645,長榮航太,13.308811635110144,"60日,20日,120日"
2727,王品,30.671682701791482,"60日,120日"
2812,台中銀,9.016841071320346,20日
2845,遠東銀,10.874171017875009,20日
2851,中再保,9.258148852666908,"60日,120日"
2867,三商壽,20.600577998033152,"60日,20日,5日,120日"
2884,玉山金,33.79756870676878,5日
2887,台新新光金,29.73555288358491,20日
2889,國票金,9.51295791705189,"20日,5日"
2890,永豐金,31.597003392082595,"60日,20日,120日"
2892,第一金,23.832074246220497,"20日,5日"
2897,王道銀行,8.23674652326836,120日
2904,匯僑,0.89,5日
3004,豐達科,6.252909981200202,"60日,20日,120日"
3005,神基,9.08262969695431,5日
3006,晶豪科,33.79584648235991,"60日,20日,5日,120日"
3011,今皓,4.12,60日
3014,聯陽,22.51390888699955,60日
3015,全漢,10.991516883168204,20日
3016,嘉晶,6.499569559794034,"60日,20日,5日,120日"
3017,奇鋐,55.54537353258722,120日
3019,亞光,7.509115681312588,60日
3022,威強電,17.60521079793807,"60日,5日"
3023,信邦,46.84728320665323,"60日,120日"
3026,禾伸堂,31.82236386128333,"60日,20日,5日,120日"
3028,增你強,12.791591686819752,"20日,120日"
3029,零壹,5.334091790620284,"60日,20日"
3033,威健,24.91833248175165,"60日,20日,5日,120日"
3034,聯詠,34.92392757558691,"60日,20日,5日,120日"
3035,智原,15.228874625761819,"60日,20日,5日,120日"
3036,文曄,26.087071742012284,120日
3041,揚智,7.705468164510084,60日
3042,晶技,16.118040313397557,"60日,5日,120日"
3045,台灣大,19.459054866305774,"60日,5日,120日"
3046,建碁,4.663165381894376,5日
3048,益登,7.4303442911126405,"60日,5日,120日"
3055,蔚華科,5.16,"60日,20日,120日"
3060,銘異,15.494715914191872,"60日,20日,120日"
3090,日電貿,17.7111484865361,"60日,20日,120日"
3094,聯傑,5.890105874737745,"60日,20日,5日,120日"
3135,凌航,2.78,5日
3138,耀登,3.25,"20日,5日"
3167,大量,17.522265310383474,120日
3189,景碩,30.75674350374337,"60日,5日,120日"
3209,全科,18.291979995393966,120日
3231,緯創,29.264906288485086,5日
3257,虹冠電,1.3126823248616104,5日
3305,昇貿,7.40019470943611,"60日,120日"
3346,麗清,2.74,5日
3356,奇偶,10.2,"60日,20日,120日"
3406,玉晶光,42.44317271679944,120日
3413,京鼎,26.971651237226247,"60日,20日,5日,120日"
3432,台端,3.0,120日
3450,聯鈞,26.46326058095742,120日
3501,維熹,3.8916920641607393,20日
3515,華擎,7.013470468820397,5日
3528,安馳,6.31,"60日,120日"
3532,台勝科,47.24295954114018,"20日,5日"
3533,嘉澤,55.942371469078815,"60日,20日,120日"
3535,晶彩科,2.55,5日
3550,聯穎,9.54720130172013,"60日,5日,120日"
