統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,外資持股比,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減張_當日,B4_借券減幅_當日,B4_借券減張_當日,B4_融券增幅_當日,B4_融券增張_當日,B4_融資增幅_當日,B4_借券增幅_當日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B6_總額(億),B6_收盤價,B6_成交均價,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_主力連買動態,B8_斥資(億),B8_乖離率(%),B8_吃豆腐動態,B8_吃貨斥資(萬),B8_上榜期程,B8_集中度動態,B8_單日Δ,B8_5日Δ
4556,旭然,其他業,09/23,93.6,9.99,1412.0,129.0,87.5,87.24,✈️ 平量大漲 (一致看漲無拋壓，加速上漲),61.0486891385768,1.48,,,,,,,,,11.30,,,🔥 持續加碼 (0.49%),,,,,-0.76,,,,,,,-1.59,↗️ 微增,0.03,0.28,↗️ 微增,0.03,0.28,↗️ 微增,0.03,0.28,↗️ 微增,0.03,0.28,,,,32.1,0,0.0,🔄 持平,-2.2000008,0.0,➖ 持平,,,-5.7,🩸 主力套牢中 (防守失敗),5849.0,🔥5日 🔥10日 ,🚀 籌碼急凍 (強勢吸籌),38.84,10.51
4558,寶緯,電機機械,09/23,17.1,-0.58,3.0,0.05,19.2,0.43,⚖️ 溫和震盪整理,-91.22807017543859,0.12,,,,,,,,,0.40,,,,,,,,,,,,,,,,↘️ 微減,-0.01,1.89,↘️ 微減,-0.01,-0.099999994,🔥 大增,1.22,1.22,↗️ 微增,0.03,-0.049999952,,,,15.1,0,0.0,🔄 持平,7.0600004,0.0,➖ 持平,,,,,,,,,
4561,健椿,電機機械,09/23,42.0,0.96,111.0,4.66,24.6,4.25,⏸️ 平量滯漲 (拋壓增大，高位見頂),-39.48051948051948,1.1,,,,,,,,,2.80,⚠️ 趨緩 (3.60%),,⚪ 觀望 (無資料),,🌐 外資日連買(3)-🆕 試單觀察 | 🌐 外資週連買(5)-🚀 趨勢加溫,,,0.0,,0.54,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,20.0,0,0.0,🔄 持平,0.10000038,0.0,➖ 持平,,,-0.66,🎯 成本保衛戰 (極佳吃豆腐點),430.0,,,,
4563,百德,電機機械,09/23,49.1,-2.0,309.0,15.3,,18.29,🥀 平量價縮 (下跌中繼，弱反彈信號),-68.71165644171779,0.84,,,,,,,,,2.70,⚪ 觀望 (無資料),,⚪ 觀望 (無資料),,🌐 外資日連買(6)-⚡ 買盤點火 | 🌐 外資週連買(3)-🌱 週線發動,,,,,0.36,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,44.6,8.15,0.0,🔄 持平,0.0,0.0,➖ 持平,,,7.02,🔥 主力已拉開獲利 (追高風險),1171.0,,➡️ 橫盤震盪,-10.94,-3.64
4568,科際精密,電機機械,09/23,40.25,1.51,1.0,0.04,22.1,0.22,📈 價升量縮 (量價背離，下方承接看拉高),-88.88888888888889,0.18,,,,,,,,,19.90,,,,,,,,0.0,,,,,,,,↗️ 微增,0.02,0.08,↗️ 微增,0.02,0.08,↗️ 微增,0.02,0.08,↗️ 微增,0.02,0.08,,,,16.4,0,0.0,🔄 持平,0.6999998,0.0,➖ 持平,,,,,,,,,
4577,達航科技,其他電子業,09/23,84.6,-1.4,140.0,11.9,,21.86,⚖️ 溫和震盪整理,-36.02150537634409,0.54,,,,,,,,,2.00,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🚀 劇增,1.54,1.54,↗️ 微增,0.49,1.54,,,,13.6,0,0.0,🔄 持平,-4.699999,0.0,➖ 持平,,,1.32,🎯 成本保衛戰 (極佳吃豆腐點),2016.0,🔥10日 ,➡️ 橫盤震盪,-6.74,-0.13
4580,捷流閥業,電機機械,09/23,81.4,0.0,40.0,3.25,13.5,3.07,⏸️ 平量滯漲 (拋壓增大，高位見頂),-3.5608308605341255,1.06,,,,,,,,,3.00,,,,,,,,,,,,,,0.0,1.25,🔄 持平,0.0,1.94,🔄 持平,-0.0,-0.19999999,🔄 持平,-0.0,-0.19999999,🔄 持平,-0.0,-0.19999999,,,,10.6,10.1,0.0,🔄 持平,0.0,0.0,➖ 持平,,,-6.35,🩸 主力套牢中 (防守失敗),819.0,,,,
4609,唐鋒,居家生活,09/23,4.25,4.68,11.0,0.05,22.4,0.03,🚀 放量大漲 (量價齊升，持續看漲),400.0,1.67,,,,,,,,,,,,,,,,,,,,,,,,,🔄 持平,0.0,0.049999997,🔄 持平,-0.0,0.049999997,🔄 持平,-0.0,0.060000002,🔄 持平,-0.0,0.060000002,,,,19.0,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
4702,中美實,居家生活,09/23,9.33,0.32,65.0,0.61,4.18,0.54,⏸️ 平量滯漲 (拋壓增大，高位見頂),35.55555555555554,1.13,,,,,,,,,44.00,,,,,,,,-0.36,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,-0.09000002,,,,42.6,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
4706,大恭,化學工業,09/23,33.6,-0.59,3.0,0.1,30.0,0.23,⚖️ 溫和震盪整理,-41.17647058823529,0.43,,,,,,,,,29.50,,,,,,,,,,,,,,,,🔄 持平,0.0,0.26,🔄 持平,-0.0,0.26,🔄 持平,-0.0,0.26,🔄 持平,-0.0,0.84,,,,57.1,0,0.099998474,↗️ 微增,22.199997,0.0,➖ 持平,,,,,,,,,
