"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"253","4994","傳奇","82.1","-0.6","-0.73","21","08/19","0","+25","+25","+25","+150","+150","","","+66.7",""
"254","6205","詮欣","61","-0.9","-1.45","178","08/19","0","0","0","+25","-44.4","-16.7","-44.4","-28.6","0","-97.9"
"255","6510","精測","2660","-105","-3.8","416","08/19","0","-16.7","-28.6","+25","+25","+400","+66.7","-80","-89.8","-87.8"
"256","8040","九暘","71.2","+1.6","+2.3","271","08/19","+25","+25","+25","+25","-76.2","-64.3","-86.1","+100","-41.2","+42.9"
"257","3374","精材","299","-7.5","-2.45","11,900","08/19","-16.7","-88.2","+25.1","+24.4","+50","-67.3","-1.79","+321","-59.7","+462"
"258","6477","安集","37.5","-0.9","-2.34","2,861","08/19","-12.9","-1.82","-12.9","+23.7","+23.7","-72.2","+16,100","+51.4","-48.4","+0.62"
"259","3543","州巧","43.55","+0.95","+2.23","2,421","08/19","+22.9","+11.1","+26.4","+23.6","+112","","+857","+857","-81.2","+172"
"260","3037","欣興","1130","-15","-1.31","24,497","08/19","-14.3","-11.7","+11.9","+22.8","+31.1","+395","+274","-70.5","-36.9","-64.9"
"261","8422","可寧衛*","26.7","-0.4","-1.48","4,461","08/19","-1.1","+27.9","+25.2","+22.6","+103","+136","+62.7","-78.8","+27.9","-98.8"
"262","8383","千附","67.2","-1.9","-2.75","1,626","08/19","+22.2","+83.3","-35.3","+22.2","-35.3","-88.5","+450","+1,000","+1,000","+1,000"
"263","4555","氣立","47.3","-0.35","-0.73","185","08/19","+4.17","+8.7","+25","+22","+72.4","+72.4","+233","-32.4","0","-78.7"
"264","6451","訊芯-KY","414","-7","-1.66","6,896","08/19","+3.75","+9.06","+35.1","+21.5","-64.1","+2,978","+2.97","+152","+14.9","+477"
"265","2492","華新科","298","+16","+5.67","46,495","08/19","+16.5","+19","+12.8","+21.4","+230","+2,662","-15.1","+317","+890","+108"
"266","3587","閎康","251.5","+9.5","+3.93","641","08/19","-14.3","-14.3","0","+20","-40","-25","-80","-25","-82.4","-25"
"267","6435","大中","257","+3","+1.18","928","08/19","-25","-25","-33.3","+20","+20","","+200","+500","",""
"268","6640","均華","966","-99","-9.3","299","08/19","+20","+20","+20","+20","+500","+200","-45.5","-40","",""
"269","9933","中鼎","41.2","-0.6","-1.44","1,470","08/19","-3.12","-6.06","-8.82","+19.2","+933","+343","+72.2","+675","-76","+29.2"
"270","1802","台玻","57.1","+0.6","+1.06","26,388","08/19","+21.1","+12.6","+15.3","+19.1","+20.3","+37.7","-24.1","-85.1","-95.7","-83.9"
"271","2363","矽統","50.8","+0.1","+0.2","2,061","08/19","","","","+18.8","-83.6","-88","-92.2","-86.5","-88","-62.7"
"272","6196","帆宣","500","-3","-0.6","839","08/19","+11.8","+11.8","+11.8","+18.8","+46.2","+18.8","-38.7","-64.2","-92.4","-78.9"
"273","4739","康普","83.3","-3.7","-4.25","1,755","08/19","-8.92","-7.14","+6.72","+18.2","+53.8","+68.2","+58.9","+249","+258","+297"
"274","5299","杰力","99.6","-0.3","-0.3","658","08/19","0","+8","+17.4","+17.4","-15.6","+2,600","","","",""
"275","3209","全科","50.8","-0.4","-0.78","1,217","08/19","-41.7","-12.5","-30","+16.7","+16.7","-87.5","-95.8","-56.2","-46.2",""
"276","3289","宜特","135","+1","+0.75","433","08/19","+5","-8.7","+5","+16.7","+50","-8.7","+133","+320","+600","+162"
"277","4906","正文","33.95","-0.25","-0.73","2,103","08/19","-0.71","+17.6","+15.7","+16.7","+57.3","+30.8","-76.6","+35.9","+112","+11.1"
"278","6265","方土昶","59.2","+0.4","+0.68","6,213","08/19","-6.67","-43.6","-39.6","+16.7","+110","+394","+630","-70.3","+1,020","-93.2"
"279","8064","東捷","99.2","+0.2","+0.2","1,504","08/19","0","+12.8","+16.2","+16.2","+17.6","-52.9","-54","-15.7","-53.6","-57.7"
"280","2027","大成鋼","50","+0.3","+0.6","18,075","08/19","-27","-11.5","-4.29","+15.8","+5.36","+2,132","+124","+809","-85.2","+747"
"281","1595","川寶","62","0","0","124","08/19","+15.8","+7.32","+4.76","+15.8","+7.32","+267","-70.7","+450","+214","+340"
"282","2342","茂矽","38.8","-2.2","-5.37","5,716","08/19","-17.5","-32.7","+17.9","+15.8","+24.5","+11.9","-47.6","+11.9","+6,500","-53.5"
"283","4938","和碩","89.4","-1.6","-1.76","10,010","08/19","-22.9","-15.9","-36.2","+15.6","+68.2","+23.3","+85","+147","+23.3","+164"
"284","6672","騰輝電子-KY","284","-4","-1.39","7,857","08/19","-35.7","-22.9","+34.5","+15.6","+289","+311","-81.3","-49.3","-49","+1,380"
"285","4303","信立","48.4","+0.4","+0.83","510","08/19","0","-6.25","+15.4","+15.4","0","-51.6","-73.7","-34.8","-94.6","-62.5"
"286","1102","亞泥","33.8","+0.3","+0.9","11,995","08/19","0","0","-20.7","+15","+1,050","","+76.9","+229","+21.1","+667"
"287","00673R","期元大S&P原油反1","12.3","-0.02","-0.16","10,173","08/19","-7.33","-10.7","-10.3","+15","+17","+3.98","+23.3","+74.2","","+361"
"288","1309","台達化","12.7","-0.1","-0.78","1,350","08/19","-1.27","+2.63","+9.86","+14.7","-27.1","","-94.4","+1,460","+680","+680"
"289","00983A","主動中信ARK創新","11.7","-0.22","-1.85","1,783","08/19","0","0","+14.3","+14.3","+33.3","0","+33.3","+100","+300","+14.3"
"290","1319","東陽","81.7","-0.2","-0.24","2,430","08/19","+14.3","0","-20","+14.3","-55.6","-66.7","+100","-81","-97.3","-88.4"
"291","3219","倚強科","69.2","-1.6","-2.26","249","08/19","+100","+100","+100","+14.3","+167","","-11.1","-78.9","-87.7","-89.7"
"292","6223","旺矽","5255","-15","-0.28","1,187","08/19","+33.3","-33.3","-15.8","+14.3","+77.8","+700","+60","-84.6","-94.1","-89.7"
"293","6693","廣閎科","174","+1.5","+0.87","1,154","08/19","+33.3","+60","0","+14.3","+167","+300","-33.3","+100","-57.9","-50"
"294","2303","聯電","115.5","-3.5","-2.94","110,337","08/19","+8.93","+12.6","+22.2","+14.3","+132","+22.8","-37.5","-26.8","+227","+169"
"295","00632R","元大台灣50反1","10.26","+0.13","+1.28","206,165","08/19","+8.23","+12.7","+11.5","+13.9","+2.85","-34.2","+28","+60.3","+321","+62"
"296","2376","技嘉","348.5","+0.5","+0.14","6,754","08/19","-12.3","-71.4","-63.8","+13.6","+89.9","-73","-9.64","-35.6","+23","-55.4"
"297","5351","鈺創","126.5","+4.5","+3.69","33,998","08/19","-22.3","-4.77","-1.63","+13.2","+194","+970","+1,400","+481","+351","+142"
"298","6155","鈞寶","58.1","+0.7","+1.22","3,610","08/19","-13.8","-30.3","-45.2","+13.1","+91.7","+2,200","-42.5","+72.5","","-58.4"
"299","6226","光鼎","21.3","+0.2","+0.95","55,233","08/19","+28.7","+66.2","+61.9","+13.1","+5.46","+374","","","",""
"300","3312","弘憶股","51.3","-0.9","-1.72","862","08/19","-1.89","-30.7","+8.33","+13","+18.2","+247","+247","+300","+20.9","+373"
