"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"102","00919","群益台灣精選高息","30.39","+0.05","+0.16","40,347","08/19","-3","+43","+39","+42","-23","-18","-14","-49","-107","-22"
"103","3543","州巧","43.55","+0.95","+2.23","2,421","08/19","+41","+22","+46","+42","+116","+220","+197","+197","-952","+139"
"104","6213","聯茂","484","-4","-0.82","3,111","08/19","-50","-13","-38","+41","+674","+1,000","+844","+696","-133","+662"
"105","9105","泰金寶-DR","8.45","+0.03","+0.36","12,037","08/19","-1","-289","-190","+40","+56","-72","+572","+510","+518","+445"
"106","0050","元大台灣50","103.1","-1.8","-1.72","100,819","08/19","-60","-58","-44","+39","+49","+525","-699","-93","-126","-1,213"
"107","3236","千如","46.65","+3.25","+7.49","7,081","08/19","+48","+43","+44","+38","+39","-19","-201","-13","+91","-160"
"108","3455","由田","247","-11","-4.26","3,405","08/19","+9","+2","+47","+37","+78","+87","+76","+99","+67","-80"
"109","6101","寬魚國際","38","-0.35","-0.91","349","08/19","+30","+54","+37","+37","+20","-143","+80","+80","+80","+80"
"110","6214","精誠","178.5","+2.5","+1.42","9,858","08/19","-10","-50","+35","+36","+15","+36","+41","+34","+32","+35"
"111","6585","鼎基","114","-2.5","-2.15","173","08/19","+1","+4","+30","+36","+3","-42","+60","+59","+59","+59"
"112","8476","台境*","19.9","-0.25","-1.24","225","08/19","0","+32","+33","+36","-12","-561","+148","+158","+158","+159"
"113","00405A","主動富邦台灣龍耀","8.47","-0.13","-1.51","93,901","08/19","-90","-146","-151","+35","+570","+622","","","",""
"114","7556","意德士","243.5","-8.5","-3.37","42","08/19","0","+20","+38","+35","+38","+38","+38","+38","","+38"
"115","00641R","富邦日本反1","3.77","+0.11","+3.01","2,749","08/19","+34","+34","+34","+34","+24","+78","+72","+116","+337","+231"
"116","8422","可寧衛*","26.7","-0.4","-1.48","4,461","08/19","-2","+39","+36","+33","+91","+103","+69","-665","+39","-14,438"
"117","1504","東元","71.8","+0.8","+1.13","11,123","08/19","+5","+15","+17","+32","+22","-11","+4","-228","-160","-509"
"118","2915","潤泰全","61.8","+1","+1.64","4,692","08/19","+17","-16","+26","+32","+33","+26","+22","+36","+2","-6"
"119","6698","旭暉應材","31","+0.05","+0.16","90","08/19","0","0","+32","+32","+32","+32","+32","+32","+13","+31"
"120","2630","亞航","51.9","+0.2","+0.39","4,608","08/19","0","-12","+22","+31","+21","-64","+55","-26","-666","-79"
"121","6477","安集","37.5","-0.9","-2.34","2,861","08/19","-24","-3","-24","+31","+31","-420","+161","+55","-152","+1"
"122","1416","廣豐","11.75","+0.05","+0.43","696","08/19","0","0","0","+29","+49","+49","+49","+49","+46","+49"
"123","1514","亞力","99.5","-0.5","-0.5","829","08/19","0","+1","+1","+29","+40","-467","-526","-140","-154","-72"
"124","2486","一詮","235","0","0","10,319","08/19","-34","+1","+52","+29","+32","+446","+589","-528","+3","-380"
"125","3406","玉晶光","657","-28","-4.09","4,958","08/19","-23","-13","+15","+29","+68","+102","+87","+113","+32","+73"
"126","6226","光鼎","21.3","+0.2","+0.95","55,233","08/19","+56","+100","+96","+29","+13","+198","+251","+251","+251","+251"
"127","6432","今展科","67.7","-0.1","-0.15","573","08/19","-4","+28","+28","+28","-35","-46","-1,068","-74","+28","-214"
"128","6117","迎廣","61","-0.7","-1.13","138","08/19","-1","-3","-4","+27","+26","+3","-47","-44","-580","-287"
"129","8064","東捷","99.2","+0.2","+0.2","1,504","08/19","0","+22","+27","+27","+29","-218","-228","-36","-224","-265"
"130","2467","志聖","547","-17","-3.01","1,358","08/19","-2","-8","+22","+26","+6","+30","-1","-74","+3","-146"
"131","3504","揚明光","78.4","+0.5","+0.64","1,951","08/19","+23","-6","+29","+26","-30","+240","+131","+156","+47","+160"
"132","5392","能率","45.3","-0.55","-1.2","3,313","08/19","+54","+30","+32","+26","+26","+84","+73","+63","-266","-101"
"133","6197","佳必琪","301","+7","+2.38","1,018","08/19","-7","-7","-1","+26","+31","-60","+18","+49","-231","+51"
"134","2427","三商電","21.95","-0.25","-1.13","290","08/19","-6","-6","-21","+25","+18","-25","+15","-306","-4,181","-403"
"135","2606","裕民","69.5","+0.5","+0.72","5,172","08/19","+7","+13","+13","+25","+40","+33","-8","-345","-144","-128"
"136","5398","慕康生醫","14.2","+0.25","+1.79","86","08/19","0","+25","+25","+25","+25","+25","+25","+25","+22","+23"
"137","5515","建國","53.8","-0.4","-0.74","1,056","08/19","+14","+17","+28","+25","+25","-18","+26","+25","+12","+3"
