"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"127","3481","群創","46.95","+3.65","+8.43","26W22","05/29","42.2","-8.17","40.7","-8.14","39.6","-8.15"
"128","00981T","平衡凱基雙核收息","11.99","-0.03","-0.25","26W22","05/29","28.7","+0.68","25.6","+2.36","21.4","+0.32"
"129","2103","台橡","22.15","+1.1","+5.23","26W22","05/29","50","-0.71","49.1","-0.66","47.4","-0.88"
"130","1786","科妍","56.7","-0.2","-0.35","26W22","05/29","46.8","+0.15","45.1","+0.15","43.8","+0.13"
"131","00877","復華中國5G","42.1","-0.22","-0.52","26W22","05/29","16.3","+2.61","14.9","+3.88","11.8","+4.02"
"132","8011","台通","17.95","+0.1","+0.56","26W22","05/29","28.1","-0.5","26.7","-0.58","24","-0.67"
"133","00830","國泰費城半導體","87.1","0","0","26W22","05/29","18.8","-2.92","18.1","-2.81","16.6","-3.2"
"134","009800","中信NASDAQ","12.67","-0.04","-0.31","26W22","05/29","19.7","-0.65","18.6","-0.66","17.7","-0.36"
"135","3653","健策","3620","-180","-4.74","26W22","05/29","64.2","+0.16","61.7","-0.48","57.8","-0.62"
"136","2337","旺宏","140","+5","+3.7","26W22","05/29","48.6","+4.38","46.9","+4.56","46","+4.51"
"137","8936","國統","55.2","+0.3","+0.55","26W22","05/29","30.2","+1.61","28.3","+1.35","25.4","+0.96"
"138","6670","復盛應用","282","+0.5","+0.18","26W22","05/29","71.8","+0.46","65.6","+0.46","61.6","-0.18"
"139","6125","廣運","59.9","+0.4","+0.67","26W22","05/29","34.4","+0.43","32.5","+0.43","30.4","+0.09"
"140","6944","兆聯實業","937","+29","+3.19","26W22","05/29","43","+1.15","35.9","+1.14","32.4","0"
"141","6609","瀧澤科","41.7","-1.3","-3.02","26W22","05/29","55.7","+0.24","54.7","+0.11","53.4","-0.04"
"142","1611","中電","13.3","-0.25","-1.85","26W22","05/29","50.1","+0.02","48.6","+0.27","45.4","+0.3"
"143","2618","長榮航","37.7","+0.45","+1.21","26W22","05/29","71.6","+0.14","70.3","+0.14","69.4","+0.14"
"144","2031","新光鋼","41.85","+0.2","+0.48","26W22","05/29","52","+0.38","50.2","+0.45","48.8","+0.16"
"145","9941","裕融","87.7","+1.3","+1.5","26W22","05/29","66.1","-0.42","64.9","-0.28","64.2","-0.26"
"146","2357","華碩","784","-12","-1.51","26W22","05/29","69.7","+0.91","67","+0.83","62.9","+0.47"
"147","8096","擎亞","121","+3","+2.54","26W22","05/29","51.5","+2.36","49.6","+2.43","47.8","+2.48"
"148","00958B","永豐ESG銀行債15+","9.29","+0.03","+0.32","26W22","05/29","25.2","+1.57","23.8","+1.05","22.7","+1.13"
"149","9951","皇田","52.6","-0.3","-0.57","26W22","05/29","43.4","+0.32","38.6","+1.36","37.4","+0.14"
"150","4919","新唐","172.5","+13.5","+8.49","26W22","05/29","66.5","+1","65","+1.35","63.9","+1.57"
"151","6657","華安","32.95","-2.05","-5.86","26W22","05/29","28.2","+0.06","24.3","0","21","0"
"152","009812","野村日本東證","11.84","-0.03","-0.25","26W22","05/29","32.4","+0.66","31.1","+2.57","28.7","+1.07"
"153","6214","精誠","142","-1.5","-1.05","26W22","05/29","53.6","+0.38","49.6","+0.58","46.6","+0.59"
"154","4534","慶騰","30","-1.5","-4.76","26W22","05/29","28.8","+0.76","27.3","0","26.4","0"
"155","00684R","期元大美元指反1","15.1","0","0","26W22","05/29","78.3","+0.33","70.6","+0.33","51","+0.33"
"156","3022","威強電","86.2","+1.2","+1.41","26W22","05/29","56.9","+0.46","56.4","+1.21","53.4","+1.27"
"157","00783","富邦中証500","28.6","+0.29","+1.02","26W22","05/29","12","-9.06","12","-3.22","12","-3.22"
"158","8454","富邦媒","396","-43.5","-9.9","26W22","05/29","78.2","+0.95","76.6","+0.44","75.6","+0.08"
"159","6438","迅得","144","-2","-1.37","26W22","05/29","31.1","+1.93","28.7","+1.02","23","-1.24"
"160","00665L","富邦恒生國企正2","8.91","-0.13","-1.44","26W22","05/29","52.9","+0.62","48","+0.28","45.3","+1.03"
"161","6416","瑞祺電通","81.8","+0.1","+0.12","26W22","05/29","41.5","-0.03","40.5","-1.11","35.3","-0.01"
"162","00970B","新光BBB投等債20+","9.42","+0.02","+0.21","26W22","05/29","56.8","+0.1","55.6","+0.27","53.9","+0.24"
"163","2481","強茂","137","+1.5","+1.11","26W22","05/29","63.4","+0.22","60.9","-0.19","58.3","-0.59"
"164","4155","訊映","15.35","-0.3","-1.92","26W22","05/29","38.1","+0.43","34.7","+0.42","31.6","+0.36"
"165","1809","中釉","48.3","-2.4","-4.73","26W22","05/29","49","-3.43","46.5","-3.81","45.9","-2.21"
