"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"119","4127","天良","88.8","-3.5","-3.79","286","08/19","-2.84","+1.02","-2.07","+17.3","+27.3","+16.4","+34.8","+75.9","+94.5","+253"
"120","00995A","主動中信台灣卓越","16.89","-0.33","-1.92","4,132","08/19","+1.04","+2.23","-0.24","+17","-17.4","-8.39","-15.4","-7.15","",""
"121","6708","天擎","39.75","+1.05","+2.71","5","08/19","+5","+10.5","+16.7","+16.7","+10.5","+10.5","","","",""
"122","00968B","元大優息投等債","8.98","+0.03","+0.34","2,084","08/19","+49.1","+317","+861","+16.6","+861","+563","+545","+583","+125","+313"
"123","6174","安碁","44.75","+2.25","+5.29","806","08/19","-0.84","+0.17","-4.24","+16.6","+8.2","-17.4","-29.3","+204","+124","+181"
"124","6291","沛亨","376","+1.5","+0.4","495","08/19","+4.42","+7.94","+11.9","+16.5","+13.8","+38.7","-34.7","-29.4","-5.24","-46.4"
"125","00996A","主動兆豐台灣豐收","13.62","-0.28","-2.01","4,502","08/19","-1.21","-2.97","-7.05","+16.3","+34.8","-8.22","+12.8","","",""
"126","00408A","主動第一金優股息","10.33","-0.19","-1.81","1,583","08/19","+14.5","+12.1","+12.1","+16.2","+18.8","-51.4","","","",""
"127","2064","晉椿","12.45","+0.05","+0.4","272","08/19","+4.08","+4.08","+15.9","+15.9","+6.25","+6.25","+219","+18.6","-66.9","+59.4"
"128","8488","吉源-KY","9.87","-0.03","-0.3","27","08/19","0","+4.76","+10","+15.8","+10","+4.76","-4.35","-4.35","-38.9","0"
"129","1909","榮成","11.2","+0.1","+0.9","6,531","08/19","+1.53","+4.53","+12","+15.8","+20.7","+16","+37.2","+74.9","+132","+88.7"
"130","2613","中櫃","23","+1.2","+5.5","1,478","08/19","+3.85","+6.63","+16.6","+15.6","+13.9","+17.4","+21.8","+1.34","-16.2","-8.9"
"131","9921","巨大","104","+6.6","+6.78","5,510","08/19","+3.62","+5.64","+10.7","+15.4","-14.6","-27.2","-19.1","-1.21","+16.8","+7.24"
"132","00406A","主動中信台灣收益","9.5","-0.18","-1.86","207,371","08/19","+10.7","+12.9","+10.5","+15.3","+14.3","+105","","","",""
"133","6155","鈞寶","58.1","+0.7","+1.22","3,610","08/19","+0.03","-0.96","+1.29","+15.3","+20","-1.32","+1.73","+21.9","+192","+15.7"
"134","3596","智易","160","-2","-1.23","1,418","08/19","+1.86","+3.03","+7.45","+15.1","+49.1","+34.7","+22.4","+69.6","+133","+105"
"135","2612","中航","59.5","+2.8","+4.94","1,949","08/19","+11.2","+13.7","+14.1","+15","+9.89","-0.92","-10.7","-26.7","-0.98","-45.5"
"136","00891","中信關鍵半導體","33.12","-0.76","-2.24","22,219","08/19","+0.64","+3.73","+9.97","+14.7","+33.5","+37.9","-42.7","+111","+463","+722"
"137","6834","天二科技","98","+2.8","+2.94","5,153","08/19","+2.92","+1.61","+2.67","+14.6","+18.5","+15.6","-11.2","+370","+146","+172"
"138","6496","科懋","25","+0.1","+0.4","20","08/19","+12.5","+12.5","+14.5","+14.5","+26","+43.2","+34","+133","-29.2","+90.9"
"139","3167","大量","693","-77","-10","8,196","08/19","+3.75","+17.6","+17.7","+14.3","+34.5","-36.9","-31.4","+27.9","-37.2","+1.06"
"140","00970B","台新BBB投等債20+","9","+0.03","+0.33","1,016","08/19","0","+5.39","+12.1","+14.3","+35.4","+74.3","-34.8","-26.1","-97.3","-53.8"
"141","5007","三星","55.6","-0.4","-0.71","34","08/19","+14.3","+14.3","+14.3","+14.3","+14.3","0","-11.1","-57.9","-90.9","+167"
"142","00937B","群益ESG投等債20+","14.24","+0.06","+0.42","39,940","08/19","+3.72","+6.21","+12.4","+14.2","+20.3","+29.5","+105","+50.1","+7.32","+15.8"
