排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
193,8464,億豐,381.0,-1.5,-0.39,07/31,0.0,0.19,0.13,0.09,0.2,0.31,0.82,0.96,0.54,0.13,0.37,0.58
194,2615,萬海,84.7,0.3,0.36,07/31,0.1,0.14,0.11,0.09,0.05,0.42,0.37,2.87,7.05,2.16,1.13,3.02
195,2637,慧洋-KY,78.3,0.2,0.26,07/31,0.08,0.07,0.07,0.09,0.1,1.09,10.2,7.34,4.46,4.06,1.89,7.76
196,1513,中興電,153.5,6.5,4.42,07/31,0.0,0.19,0.12,0.09,5.41,4.4,0.71,0.91,0.91,0.48,0.76,0.92
197,9911,櫻花,81.9,-0.2,-0.24,07/31,0.0,0.21,0.13,0.09,0.09,0.12,0.46,0.37,0.34,0.06,0.19,0.36
198,6121,新普,352.5,6.0,1.73,07/31,0.04,0.11,0.09,0.09,13.8,9.08,16.2,14.5,16.5,12.6,5.58,17.4
199,2801,彰銀,25.2,0.4,1.61,07/31,0.0,0.14,0.1,0.08,0.06,0.15,0.49,0.99,3.39,3.47,1.74,3.85
200,6414,樺漢,405.0,2.0,0.5,07/31,0.0,0.0,0.0,0.08,0.04,0.07,3.41,3.74,3.8,4.56,3.11,4.09
201,2105,正新,30.45,-0.1,-0.33,07/31,0.04,0.14,0.1,0.07,9.08,6.37,2.95,8.62,9.16,7.51,4.02,8.83
202,1102,亞泥,33.0,-0.2,-0.6,07/31,0.03,0.11,0.09,0.07,0.16,0.94,11.2,10.6,10.4,11.2,6.4,10.7
203,2886,兆豐金,53.1,1.6,3.11,07/31,0.06,0.13,0.09,0.07,0.2,1.76,0.81,2.4,4.26,6.15,3.53,2.68
204,0056,元大高股息,49.48,3.19,6.89,07/31,0.0,0.06,0.03,0.06,0.04,0.38,0.16,0.51,0.58,0.5,0.41,0.68
205,5269,祥碩,1315.0,10.0,0.77,07/31,0.0,0.14,0.09,0.06,0.15,0.1,0.41,0.51,2.06,3.34,3.84,0.51
206,4536,拓凱,165.5,1.0,0.61,07/31,0.0,0.2,0.1,0.06,0.07,0.04,0.86,2.19,1.66,1.78,2.99,1.91
207,2610,華航,22.4,0.7,3.23,07/31,0.02,0.13,0.09,0.06,0.09,4.49,2.02,2.87,3.41,2.14,1.0,3.31
208,2597,潤弘,163.5,2.0,1.24,07/31,0.0,0.15,0.09,0.06,0.11,0.24,0.06,0.38,0.78,2.82,1.71,0.41
209,2382,廣達,291.5,12.5,4.48,07/31,0.01,0.06,0.05,0.05,0.45,1.67,1.85,1.95,2.57,2.72,2.48,1.92
210,9904,寶成,23.95,-0.05,-0.21,07/31,0.04,0.12,0.08,0.05,6.58,4.09,9.37,8.32,4.36,1.57,0.69,8.64
211,2207,和泰車,558.0,7.0,1.27,07/31,0.0,0.09,0.06,0.05,0.09,2.74,15.7,11.7,8.54,4.52,2.06,11.0
212,2385,群光,106.0,1.5,1.44,07/31,0.04,0.1,0.07,0.05,9.41,13.8,9.76,8.44,12.1,11.1,6.78,10.5
213,3008,大立光,4035.0,320.0,8.61,07/31,0.0,0.02,0.01,0.05,0.12,1.89,1.5,2.15,2.14,3.06,2.15,2.25
214,2356,英業達,61.8,4.3,7.48,07/31,0.0,0.09,0.06,0.05,6.0,4.01,1.1,1.6,2.08,2.12,2.4,1.62
215,2892,第一金,36.75,1.25,3.52,07/31,0.0,0.08,0.06,0.05,0.11,0.39,0.25,0.69,7.92,7.26,3.39,0.89
216,6146,耕興,192.5,6.5,3.49,07/31,0.0,0.08,0.06,0.05,0.13,1.43,1.21,0.69,0.53,4.01,3.94,0.61
217,2606,裕民,62.6,1.9,3.13,07/31,0.05,0.04,0.05,0.05,7.05,6.17,9.55,8.49,6.34,4.83,2.87,9.83
218,9910,豐泰,68.4,-2.0,-2.84,07/31,0.23,0.12,0.06,0.05,11.8,19.4,4.86,3.02,2.3,1.17,0.39,3.19
219,3526,凡甲,300.0,10.5,3.63,07/31,0.0,0.14,0.06,0.05,0.11,0.08,2.17,1.81,1.65,2.02,1.77,1.73
220,2850,新產,161.0,4.0,2.55,07/31,0.0,0.12,0.08,0.04,0.09,0.1,4.14,4.75,5.74,2.91,1.23,5.16
221,3023,信邦,296.0,23.0,8.42,07/31,0.0,0.05,0.04,0.04,2.4,2.8,1.95,3.63,3.13,2.91,2.65,3.43
222,3010,華立,112.5,4.5,4.17,07/31,0.0,0.0,0.0,0.04,0.06,0.79,11.0,6.81,4.47,4.96,2.84,6.02
223,2451,創見,293.0,23.5,8.72,07/31,0.0,0.09,0.06,0.04,1.96,1.94,5.29,3.68,3.96,5.06,4.34,3.52
224,6664,群翊,339.0,29.5,9.53,07/31,0.0,0.0,0.0,0.04,0.02,0.02,0.09,0.04,0.14,0.21,,0.12
225,6937,天虹,254.0,19.0,8.09,07/31,0.0,0.0,0.0,0.04,0.02,0.01,2.2,1.24,0.7,,,1.15
226,1503,士電,195.0,12.0,6.56,07/31,0.0,0.09,0.06,0.04,0.02,0.03,0.02,0.14,0.3,0.87,0.78,0.11
227,4766,南寶,308.5,0.0,0.0,07/31,0.0,0.06,0.04,0.04,0.05,0.61,1.15,2.08,3.85,4.44,,2.33
228,5289,宜鼎,1295.0,115.0,9.75,07/31,0.0,0.03,0.02,0.04,0.2,6.94,3.71,2.99,2.25,3.23,2.54,2.6
229,1319,東陽,71.2,-0.2,-0.28,07/31,0.0,0.09,0.06,0.04,4.14,3.0,10.6,10.2,8.47,6.05,3.72,8.87
230,1476,儒鴻,346.0,-6.0,-1.7,07/31,0.03,0.05,0.04,0.04,6.45,4.65,2.54,1.68,1.56,2.77,3.35,1.8
231,3481,群創,45.5,4.1,9.9,07/31,0.0,0.0,0.03,0.03,1.29,0.99,0.27,0.23,0.19,0.49,0.99,0.2
232,4979,華星光,370.0,23.5,6.78,07/31,1.14,0.6,0.13,0.03,0.3,1.76,2.65,2.07,1.26,1.06,0.91,1.8
233,4938,和碩,84.4,3.9,4.84,07/31,0.04,0.05,0.03,0.03,6.63,11.3,5.4,4.86,9.45,8.37,4.0,6.94
234,6548,長科*,65.0,5.9,9.98,07/31,0.0,0.07,0.04,0.03,0.02,0.0,1.05,0.73,0.5,0.78,,0.62
