排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
232,6129,普誠,15.0,-0.15,-0.99,07/24,-29.5,-31.2,-21.5,-20.6,-16.7,-3.11,-0.11,0.98,1.14,1.36,-0.17,1.13
233,8163,達方,31.9,-0.9,-2.74,07/24,-47.8,-23.4,-21.5,-11.8,-8.36,-2.58,4.06,3.32,2.32,0.81,0.14,2.91
234,6597,立誠,60.5,1.0,1.68,07/24,-50.0,-22.2,-21.4,-18.5,-9.66,-4.0,-0.31,0.05,-0.85,,,-0.26
235,2704,國賓,45.6,-0.2,-0.44,07/24,-29.1,-31.2,-21.3,6.31,7.97,-10.4,-3.47,-4.67,-16.8,-2.13,-0.54,-7.29
236,6805,富世達,1410.0,-45.0,-3.09,07/24,-27.1,-17.1,-21.2,-21.2,-9.31,-0.13,1.66,0.1,0.15,,,0.29
237,2433,互盛電,42.05,0.05,0.12,07/24,-11.4,-22.2,-21.1,1.17,7.47,5.19,-0.11,2.26,-0.15,0.82,0.26,1.75
238,2330,台積電,2350.0,-55.0,-2.29,07/24,-38.8,-27.0,-21.1,-8.43,-19.6,-17.1,-14.8,-13.7,-9.98,-2.48,-2.61,-14.2
239,00923,群益台ESG低碳50,40.32,-1.01,-2.44,07/24,-10.8,-15.3,-21.0,-9.41,-7.95,-4.18,1.1,3.5,3.19,0.6,,3.49
240,3555,博士旺,159.0,-1.5,-0.93,07/24,-21.8,-18.7,-21.0,-12.5,3.78,0.95,-2.16,-0.12,-0.48,-0.65,-0.53,-0.71
241,1786,科妍,49.95,-0.45,-0.89,07/24,-3.78,-4.65,-20.9,6.22,1.72,-0.36,-1.87,0.37,-1.94,-0.7,-0.08,0.88
242,8354,冠好,15.75,-0.05,-0.32,07/24,-8.04,-15.6,-20.9,3.87,7.2,2.46,0.12,0.13,0.08,0.02,0.02,0.16
243,7709,榮田,71.2,-1.9,-2.6,07/24,-17.7,-25.1,-20.9,-12.8,-0.88,-5.9,-1.21,-0.13,-0.11,,,-0.15
244,5471,松翰,54.8,-2.1,-3.69,07/24,-0.47,-5.32,-20.9,-11.4,-8.15,0.51,-0.53,-0.59,-0.75,-0.44,-0.07,-0.55
245,8390,金益鼎,94.0,-0.8,-0.84,07/24,0.46,-8.2,-20.8,-14.0,-25.5,-20.0,5.61,3.77,1.01,0.42,0.13,2.41
246,4716,大立,18.05,-0.1,-0.55,07/24,-28.0,-16.3,-20.8,-12.9,-0.09,-0.23,-0.34,0.02,-0.31,0.07,0.04,0.39
247,3027,盛達,19.1,-0.8,-4.02,07/24,-48.1,-37.4,-20.8,-9.65,-9.6,-8.43,-1.3,0.02,-2.96,-0.5,-0.04,-2.98
248,2491,吉祥全,29.1,-1.2,-3.96,07/24,3.04,-1.54,-20.8,-13.8,4.94,-3.76,0.44,0.24,0.1,0.19,-0.18,0.3
249,8926,台汽電,64.7,0.4,0.62,07/24,-30.0,-13.0,-20.8,-16.2,-13.8,-18.0,-1.14,-0.96,-0.79,-0.52,-0.17,-1.14
250,3609,三一東林,25.65,-0.65,-2.47,07/24,-38.9,-18.1,-20.7,-15.5,-11.3,-7.39,-6.21,-2.92,-1.27,-0.02,0.07,-3.14
251,1524,耿鼎,26.15,-0.25,-0.95,07/24,3.23,-10.1,-20.7,-4.64,-4.32,-3.48,0.88,0.4,-1.54,-0.02,-0.08,0.54
252,6792,詠業,53.2,-0.5,-0.93,07/24,-14.5,-24.2,-20.6,1.73,-7.91,-8.96,1.69,1.2,1.08,0.14,,0.65
253,5525,順天,23.1,0.1,0.43,07/24,-6.89,-7.6,-20.4,3.75,10.5,9.0,3.41,5.67,-2.09,0.85,-0.05,4.4
254,4160,訊聯基因,39.6,-0.4,-1.0,07/24,0.11,-16.1,-20.4,-15.6,-14.4,-0.59,0.76,-1.37,-1.07,-0.09,-0.01,-0.38
255,6944,兆聯實業,786.0,-43.0,-5.19,07/24,-40.8,-31.3,-20.4,-14.0,-5.11,-5.68,2.56,1.21,0.47,,,1.56
256,9937,全國,55.1,0.0,0.0,07/24,-28.2,-17.4,-20.3,15.8,36.2,24.2,17.9,9.31,2.0,0.88,0.26,8.47
257,00901,永豐智能車供應鏈,43.4,-1.11,-2.49,07/24,-66.2,-22.4,-20.3,-2.07,-12.3,-3.35,7.9,8.26,6.78,2.99,,10.3
258,1227,佳格,29.2,0.4,1.39,07/24,62.8,-1.62,-20.2,-10.7,-3.28,5.45,11.0,8.61,2.08,0.82,-5.42,6.09
259,3296,勝德,27.0,-0.25,-0.92,07/24,-37.7,-20.4,-20.2,-0.53,0.98,-4.1,-2.44,-3.78,-2.82,-0.08,-0.28,-3.25
260,3081,聯亞,1760.0,-70.0,-3.83,07/24,-22.3,-21.2,-20.2,-14.2,-8.59,-2.34,-0.18,-0.57,-0.64,0.08,-0.22,-0.4
261,2032,新鋼,16.05,-0.2,-1.23,07/24,-18.2,-17.9,-20.2,-10.3,-6.5,-10.1,6.85,2.25,1.05,0.78,0.15,2.25
262,5288,豐祥-KY,194.0,-3.5,-1.77,07/24,-29.7,-9.33,-20.2,8.58,6.97,4.18,6.83,2.52,-0.03,0.4,-0.65,1.47
263,6830,汎銓,363.5,-13.0,-3.45,07/24,-21.6,-22.8,-20.1,-11.4,-1.04,1.01,0.99,0.73,0.47,0.33,,0.96
