排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
126,3673,TPK-KY,62.6,-0.6,-0.95,08/13,-21,-306,-301,-919,-1193,-128,10748.0,14094.0,15270.0,15425.0
127,3293,鈊象,762.0,-19.0,-2.43,08/13,139,166,28,-915,-1593,-211,7837.0,4562.0,10485.0,2935.0
128,9958,世紀鋼,104.5,-2.5,-2.34,08/13,585,757,-18,-907,-2534,-2285,4340.0,2371.0,5656.0,5498.0
129,6547,高端疫苗,52.2,1.6,3.16,08/13,-679,-764,-851,-902,-324,277,3373.0,4184.0,3571.0,9179.0
130,1711,永光,39.7,0.45,1.15,08/13,-144,-710,-595,-876,-3746,-2873,-1949.0,-588.0,19428.0,2320.0
131,4961,天鈺,168.5,-4.5,-2.6,08/13,-20,-207,-861,-870,-970,-746,-2527.0,1098.0,3176.0,1072.0
132,6191,精成科,86.8,-0.3,-0.34,08/13,3,-853,-870,-867,-724,6979,8784.0,20713.0,30085.0,16688.0
133,3661,世芯-KY,4190.0,135.0,3.33,08/13,-64,-236,-816,-864,-1006,-2794,-1262.0,-4017.0,-1885.0,-897.0
134,8039,台虹,249.5,22.5,9.91,08/13,62,443,492,-864,-894,1269,735.0,-481.0,-2762.0,117.0
135,6456,GIS-KY,67.3,-1.3,-1.9,08/13,-154,-369,-506,-862,-1839,-1478,3011.0,6927.0,12824.0,10058.0
136,6108,競國,21.7,1.75,8.77,08/13,-30,-30,-727,-855,-741,-369,102.0,111.0,-122.0,77.0
137,1210,大成,52.4,-0.6,-1.13,08/13,-421,-219,-1494,-821,2124,2386,19011.0,18628.0,21956.0,17135.0
138,6505,台塑化,69.8,-0.4,-0.57,08/13,-110,-1614,-1720,-814,99,-1744,-8076.0,1107.0,-13328.0,-3608.0
139,2374,佳能,70.9,-0.6,-0.84,08/13,-98,-411,-300,-810,-1601,-1501,-559.0,5081.0,15100.0,-851.0
140,2413,環科,45.4,-0.35,-0.77,08/13,-1,-161,-159,-805,-874,-643,-570.0,-378.0,1009.0,-298.0
141,5243,乙盛-KY,91.4,0.0,0.0,08/13,-41,-367,-374,-805,-1001,-1077,2154.0,2431.0,2767.0,2318.0
142,2211,長榮鋼,85.3,-2.3,-2.63,08/13,42,20,-621,-799,-559,175,1291.0,4932.0,8361.0,2714.0
143,00961,FT臺灣永續高息,13.31,0.13,0.99,08/13,60,202,202,-788,-388,1308,2651.0,2486.0,1436.0,1842.0
144,2474,可成,203.0,-2.0,-0.98,08/13,-411,-244,-228,-783,1007,3376,-19702.0,-7463.0,7605.0,-8935.0
145,6472,保瑞,422.0,-2.0,-0.47,08/13,-46,-108,-445,-778,-1115,-1219,-2794.0,-4584.0,345.0,-1736.0
146,2369,菱生,32.95,-0.2,-0.6,08/13,-58,-91,-155,-778,2606,11073,6859.0,6775.0,13274.0,5753.0
147,1727,中華化,76.4,-2.9,-3.66,08/13,-201,-189,-272,-774,-1363,-1153,-643.0,-684.0,-563.0,-1405.0
