"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"576","3689","湧德","109.5","-2","-1.79","26M03","0.75","+50","8.74","0","0","0","0","0","0","0","0.75","+50","8.74","0","0"
"577","1590","亞德客-KY","1460","-10","-0.68","26M03","0.76","-98","3.78","0.01","0.79","0","0","0","0","0","0.76","-98","3.78","0.01","0.79"
"578","8045","達運光電","50.8","-1.1","-2.12","26M03","1.55","0","16.3","0.01","0.83","0","0","0","0","0","1.55","0","16.3","0.01","0.83"
"579","5438","東友","17.15","+0.25","+1.48","26M03","3.39","0","30.1","0.02","0.67","0","0","0","0","0","3.39","0","30.1","0.02","0.67"
"580","1101","台泥","24.25","+0.2","+0.83","26M03","61.1","0","8.12","0.41","0.67","0","0","0","0","0","61.1","0","8.12","0.41","0.67"
"581","4958","臻鼎-KY","489.5","+12","+2.51","26M03","31","0","32.4","0.2","0.64","0","0","0","0","0","31","0","32.4","0.2","0.64"
"582","3706","神達","92.7","+1","+1.09","26M03","23.6","0","17.8","0.15","0.63","0","0","0","0","0","23.6","0","17.8","0.15","0.63"
"583","7732","金興精密","34.5","+0.7","+2.07","26M03","2.56","+3","39.6","0","0","0","0","0","0","0","2.56","+3","39.6","0","0"
"584","1303","南亞","207.5","+18.5","+9.79","26M03","144","0","18.2","0.83","0.57","0","0","0","0","0","144","0","18.2","0.83","0.57"
"585","5210","寶碩","28.85","+0.5","+1.76","26M03","1.81","0","22","0.01","0.55","0","0","0","0","0","1.81","0","22","0.01","0.55"
"586","2363","矽統","53.4","-1","-1.84","26M03","9.37","0","18.2","0","0","0","0","0","0","0","9.37","0","18.2","0","0"
