" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1476儒鴻","紡織","11.09","11.09","11.09","32","0.00"," ","30,430","30,430","30,430","32","0","342.50","-2.50"," "
" "," ","","1477聚陽","紡織","7.42","7.42","7.45","41","0.03"," ","18,306","18,306","18,379","41","73","220.00","-4.50"," "
" "," ","","1503士電","電機","26.69","26.69","26.69","32","0.00"," ","139,061","139,061","139,061","32","0","197.50","-0.50"," "
" "," ","","1504東元","電機","5.56","5.56","5.56","32","0.00"," ","132,366","132,366","132,366","32","0","63.30","-0.40"," "
" "," ","","1506正道","電機","30.36","30.36","30.36","32","0.00"," ","91,200","91,200","91,200","32","0","11.10","0.05"," "
" "," ","","1512瑞利","汽車","13.88","13.88","13.88","32","0.00"," ","13,634","13,634","13,634","32","0","7.31","-0.04"," "
" "," ","","1513中興電","電機","10.57","10.57","10.57","32","0.00"," ","53,212","53,212","53,212","32","0","155.50","0.00"," "
" "," ","","1514亞力","電機","13","13","12.97","20","-0.03"," ","35,519","35,507","35,426","10","-93","113.50","-0.50"," "
" "," ","","1515力山","電機","16.45","16.45","16.45","32","0.00"," ","29,855","29,855","29,855","32","0","23.20","0.05"," "
" "," ","","1516川飛","其他","13.82","13.82","13.82","32","0.00"," ","5,531","5,531","5,531","32","0","20.50","-0.15"," "
" "," ","","1517利奇","電機","10.9","10.9","10.9","32","0.00"," ","23,983","23,983","23,983","32","0","11.00","0.00"," "
" "," ","","1519華城","電機","17.79","17.79","15.36","20","-2.43"," ","56,216","56,216","48,530","20","-7,686","915.00","-4.00"," "
" "," ","","1521大億","汽車","59.82","59.82","59.82","32","0.00"," ","45,602","45,602","45,602","32","0","25.45","-0.05"," "
" "," ","","1522堤維西","汽車","8.43","8.43","8.43","32","0.00"," ","28,920","28,920","28,930","41","10","32.25","-0.20"," "
" "," ","","1524耿鼎","汽車","26.69","26.69","26.69","32","0.00"," ","44,130","44,130","44,130","32","0","28.40","-0.35"," "
" "," ","","1525江申","汽車","76.82","76.82","76.82","32","0.00"," ","56,391","56,391","56,391","32","0","60.60","-0.30"," "
" "," ","","1526日馳","電機","27.95","27.95","27.95","32","0.00"," ","16,771","16,771","16,771","32","0","17.15","0.55"," "
" "," ","","1527鑽全","電機","14.77","14.77","14.01","20","-0.76"," ","20,468","20,470","19,417","30","-1,051","32.80","-0.25"," "
" "," ","","1528恩德","電機","6.63","6.63","6.63","32","0.00"," ","12,700","12,700","12,700","32","0","29.50","0.50"," "
" "," ","","1529樂事綠能","電機","12.27","12.27","12.27","32","0.00"," ","19,043","19,043","19,043","32","0","23.55","0.05"," "
" "," ","","1530亞崴","電機","50.84","50.84","50.84","32","0.00"," ","48,092","48,092","48,092","32","0","27.90","0.40"," "
" "," ","","1531高林股","電機","25.17","25.17","25.17","32","0.00"," ","45,850","45,850","45,850","32","0","13.40","0.05"," "
" "," ","","1532勤美","電機","22.49","22.67","22.74","50","0.25"," ","95,084","95,819","96,140","50","1,056","21.70","0.05"," "
" "," ","","1533車王電","汽車","31.28","31.28","31.28","32","0.00"," ","30,835","30,835","30,835","32","0","31.50","0.45"," "
" "," ","","1535中宇","電機","59.96","59.96","59.96","32","0.00"," ","74,204","74,204","74,204","32","0","51.70","0.00"," "
