"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"87","00972","野村日本動能高息","19.9","-0.09","-0.45","07/13","+75.2","+41.8","+14.8","+30.9","+30.3","+18.6","+18.2","+5.15","+13.3","","","+6.14"
"88","00932","兆豐永續高息等權","17.7","-0.12","-0.67","07/13","-30.2","+0.14","+1.34","+30.9","+53.8","+59.2","+67.4","+66.5","+65","","","+67.1"
"89","2101","南港","34.55","+0.55","+1.62","07/13","+29.5","+25.4","+16","+30.8","+22.8","+11.2","+7.83","+4.57","+1.5","+0.09","+0.24","+3.92"
"90","00983B","大華優利美公債20","15.63","-0.03","-0.19","07/13","+13.5","-2.17","-3.82","+30.5","+7.77","+45.4","+33","-8.59","-1.66","","","-8.64"
"91","1341","富林-KY","58.2","0","0","07/13","0","0","0","+30","+16.4","+5.65","+9.47","+5.29","+1.46","+0.41","","+5.4"
"92","00665L","富邦恒生國企正2","8.61","+0.11","+1.29","07/13","+19.9","+16.4","+35.5","+29.9","+17","-3.57","-2.41","-0.47","+0.76","-0.37","","+0.26"
"93","00924","復華S&P500成長","32.77","+0.14","+0.43","07/13","+27.3","+31.6","+28.3","+29.8","+40","+23.5","+27.1","+7.29","+6.34","-13.9","","+5.42"
"94","9918","欣天然","43.5","-0.25","-0.57","07/13","0","+40.6","+35.2","+29.7","+13.9","+22.4","+11.4","+1.54","+1.48","+1.17","+0.78","+1.53"
"95","9802","鈺齊-KY","74.7","-0.3","-0.4","07/13","+20","+43.4","+26.2","+29.6","+21.4","+1.36","+1.16","-2.75","-0.32","+0.02","+0.06","-4.31"
"96","3040","遠見","38.1","+0.6","+1.6","07/13","+52.6","+48","+49.4","+29.4","+26.7","-6.18","+8.56","-0.95","+0.58","+0.51","+0.03","-1.26"
"97","2889","國票金","15.85","+0.05","+0.32","07/13","+3.7","+13.2","+21.5","+29.3","+20.3","+14.9","+6.11","-0.92","-4.4","-0.4","-1.53","+0.14"
"98","8482","商億-KY","47.95","+0.05","+0.1","07/13","+28.2","+19.6","+30.3","+29.1","+24.2","+23","+22.6","+7.27","+0.63","+0.16","","+6.89"
"99","00987B","野村10+澳洲公債","15.89","-0.01","-0.06","07/13","-5.68","-3.01","-0.04","+29","+20.2","+16.3","+28.2","","","","",""
"100","2880","華南金","39","+0.15","+0.39","07/13","+32","+18.9","+28.5","+29","+16.8","+9.35","+0.13","+3.97","+6.39","+6.65","+2.98","+4.03"
"101","2031","新光鋼","39.6","+1.25","+3.26","07/13","+72.6","+58.4","+36.9","+28.8","+9.22","-3.74","-2.29","-1.66","-3.54","-1.73","+0.01","-2.13"
"102","5876","上海商銀","44.15","+1.35","+3.15","07/13","+50.1","+45.5","+40.2","+28.8","+15.2","+6.92","+5.11","-2.3","-8.02","+5.25","","-2.85"
"103","00645","富邦日本","56.45","-0.3","-0.53","07/13","+5.45","+0.22","+3.66","+28.7","+8.84","+3.79","+38.8","+4.02","-0.76","-2.68","-4.23","+2.22"
"104","2812","台中銀","20.65","+0.05","+0.24","07/13","+20.7","+20.4","+10.9","+28.5","+33.4","+25.9","-7.23","-6.37","-6.56","-2.22","-0.67","-7.22"
"105","00895","富邦未來車","51.2","+0.5","+0.99","07/13","+20.3","+23.1","+13.6","+28.4","+21.2","+26.8","+27.6","+25.4","+23.3","+16","","+25.7"
"106","00940","元大台灣價值高息","12.37","-0.16","-1.28","07/13","+34","+41.5","+35.5","+28.3","+42.8","+45.6","+68","+66.4","+65.8","","","+66.9"
"107","3705","永信","54.9","+0.3","+0.55","07/13","+29.3","+23.9","+12.3","+28","+11.2","-5.58","+0.01","-5.56","-10.2","-1.91","-1.15","-5.48"
"108","00899","FT潔淨能源","25","-0.33","-1.3","07/13","+5.34","+2.94","-12.2","+27.6","-33","-14.9","+14.2","+8.34","+15.6","+4.71","","+12.1"
"109","5530","龍巖","48.8","-0.9","-1.81","07/13","-26.6","+10.8","+16.2","+27.6","+29.6","+5.83","-5.2","-8.21","-10.6","-2.34","-1.49","-8.42"
"110","2527","宏璟","45.65","+3.05","+7.16","07/13","+41.1","+39.6","+32.7","+27.6","+18.3","+7.9","+6.56","+4.78","+2.34","+0.65","+2.68","+4.88"
"111","00771","元大US高息特別股","15.79","-0.03","-0.19","07/13","-16.7","+32.6","+27.3","+27.3","+36.5","+18.3","-4.82","-13.6","-4.05","+0.83","","-11.2"
"112","00753L","中信中國50正2","8.98","-0.01","-0.11","07/13","+10.4","+6.86","+25.9","+27.3","+11","-6.29","-0.67","-1.86","+2.77","-1.25","","+0.21"
"113","009820","元大納斯達克精選","10","+0.14","+1.42","07/13","+70.8","+62.4","+39.1","+27.2","+40.8","+32.2","","","","","",""
"114","1216","統一","78.5","+0.1","+0.13","07/13","+28.6","+18.9","+21.7","+27.1","+24.3","+13.9","+5.99","-1.94","-2.32","+1.56","-2.63","-3.39"
"115","2884","玉山金","34.6","-0.15","-0.43","07/13","+7.5","+18.8","+24.7","+27","+14.8","+7","+2.33","+2.04","+1.4","+4.41","-2.36","+1.37"
"116","1215","卜蜂","113.5","+1.5","+1.34","07/13","+30.7","+32","+25.3","+27","-2.57","-7.29","-21.1","-14.7","-7.33","-0.76","-0.48","-13.2"
"117","4438","廣越","61","-0.5","-0.81","07/13","+38.8","+30.3","+16.1","+26.8","+29","+16.9","+1.41","-3.18","-0.66","-2.34","","-2.19"
"118","1463","強盛新","17.8","-0.2","-1.11","07/13","-5.23","+20","+17.6","+26.5","+24.1","+12.6","+29.9","+33.3","+9.27","+6.89","+1.55","+34.3"
"119","4130","健亞","28.15","+0.3","+1.08","07/13","+60.7","+59.1","+46.4","+26.4","+42.8","+34.6","+5.7","-0.84","-0.15","-0.82","-0.15","-1.36"
"120","006206","元大上證50","37.19","-0.55","-1.46","07/13","-0.37","+13.2","+30.3","+25.7","+44.4","+49.3","+47.1","+35.2","+34.4","+8.87","+12.8","+35.6"
"121","6811","宏碁資訊","220","-6","-2.65","07/13","-33","-3.89","+19.2","+25.6","+24.6","-3.89","+2.93","-0.88","-2.41","-0.17","","-1.18"
"122","1476","儒鴻","341","+6","+1.79","07/13","+28.9","+19.1","+13.4","+25.5","+16.2","+2.64","-3.13","-3.08","-2.12","-3.88","-1","-1.9"
"123","2377","微星","149.5","+4.5","+3.1","07/13","+23.3","+24.9","+28","+25.2","+20.5","+16","+2.45","+0.41","-4.03","-3.84","-1.03","+0.44"
"124","6505","台塑化","63.1","+4.3","+7.31","07/13","+32","+25.9","+25.4","+25.2","+13.1","+12.1","+10.3","+2.67","+4.77","-0.37","-1.98","+2.81"
"125","6491","晶碩","365.5","-9.5","-2.53","07/13","+35","+28.5","+18.3","+25","+29.9","+30.8","+22.2","+17.7","+11","+2.4","","+16.9"
"126","4736","泰博","126.5","+0.5","+0.4","07/13","+11.1","+24.6","+15.7","+24.8","+32","+19.6","-4.12","-3.58","-2.92","-1.65","-0.52","-3.1"
"127","2912","統一超","239.5","-1.5","-0.62","07/13","+37.4","+37.2","+26.5","+24.8","+16.9","+3.6","-1.46","-1.54","-6.67","-6.45","-5.59","-2.47"
"128","00650L","復華香港正2","15.54","+0.19","+1.24","07/13","+30.9","+8.06","+28.9","+24.6","+15.5","-4.31","-2.61","+0.69","+2.97","+0.12","-0.72","+1.56"
"129","7827","漢康-KY創","171","-14","-7.57","07/13","+1.66","+17.3","+22.2","+24.6","+21.5","+22.3","","","","","",""
"130","020025","統一亞洲半導體N","38.84","-1.86","-4.57","07/13","-3.7","-12.3","-5.94","+24.6","-38.3","-65.2","-23.5","-12","-13.5","+23.8","","-15.7"
"131","2908","特力","21.8","-0.05","-0.23","07/13","+23.6","+33.9","+52.1","+24.4","+29.9","+12.8","+8.16","+3.65","+3.66","-1.59","-3.9","+1.97"
"132","00910","第一金太空衛星","58.8","-2.7","-4.39","07/13","+4.24","-0.52","+3.46","+24.4","+25.4","+8.81","-13.5","-13.5","-14.9","-13","","-13.4"
"133","00897","富邦基因免疫生技","11.14","-0.37","-3.21","07/13","+38.8","+48.4","+36.7","+23.9","+16.2","+26.6","+35.2","+32.5","+30.3","+21.9","","+33.1"
"134","2207","和泰車","475","-1.5","-0.31","07/13","+13","+7.84","+20.2","+23.4","+1.5","+3.64","-9.92","-9.32","-7.35","-7.1","+0.14","-10"
"135","00945B","凱基美國非投等債","14.63","-0.01","-0.07","07/13","+0.44","+22.1","+17.4","+23.4","+23.6","+10.4","+14","+11.6","+9.7","","","+11.3"
"136","8462","柏文","160","+1","+0.63","07/13","+29.2","+16.5","+15","+23.1","+30.3","+15","+5.09","+2.49","+2.16","+0.34","+0.15","+4.28"
"137","4114","健喬","33.3","-0.05","-0.15","07/13","+10.2","+17.6","+7.16","+22.9","+22.9","+18.7","+0.44","-4.65","-2.87","+0.6","+0.13","-4.63"
"138","3704","合勤控","49.85","+4.5","+9.92","07/13","+39","+36.3","+33.4","+22.9","+9.39","+8.31","+9.84","+5.47","+1.73","-1.15","+0.13","+5.37"
