"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"36","7751","竑騰","1435","-100","-6.51","08/19","+22.7","+36.8","+41.7","+41.7","+40","+98.3","+815","+91.9","","+153"
"37","3624","光頡","89.7","+4.9","+5.78","08/19","+6.23","+11.5","+16.3","+39.1","+76.3","+54","-4.97","-40.6","+111","-56.3"
"38","00634R","富邦上証反1","3.11","+0.05","+1.63","08/19","0","0","0","+38.4","+177","+178","+2,139","+2,139","+2,139","+2,139"
"39","00907","永豐優息存股","17.06","-0.01","-0.06","08/19","0","0","+16.2","+37.6","+37.6","+37.6","-8.84","+194","-67.4","+22.8"
"40","3533","嘉澤","1620","-5","-0.31","08/19","+0.81","+8.33","+32.5","+37.4","+66.3","+80.7","+50.8","-55","-39.3","-32.4"
"41","2375","凱美","127","+4.5","+3.67","08/19","-2.76","-2.88","+1.62","+37.4","+51.4","+15.3","-31.9","-11.6","+114","-50.1"
"42","00986D","主動復華金融債息","14.44","+0.04","+0.28","08/19","0","+34.1","+34.1","+37.2","+269","+269","","","",""
"43","5388","中磊","78.4","+0.3","+0.38","08/19","+5.28","+11.6","+15.8","+37.2","+50.7","+32.8","+20.3","+53.2","+465","+145"
"44","6961","旅天下","50.8","-0.2","-0.39","08/19","+7.14","+7.14","+7.14","+36.4","+114","","","","",""
"45","3374","精材","299","-7.5","-2.45","08/19","+0.02","+5.44","+16","+36.3","+99.4","+184","+86.6","+20.9","-44.7","+1.74"
"46","4958","臻鼎-KY","457","-17","-3.59","08/19","+1.08","+3.91","+8.35","+35","+57.2","+20.9","-25.1","+82.7","-49.4","+33.3"
"47","2820","華票","16.25","0","0","08/19","+0.29","-1.6","+6.83","+34.9","+99.9","+104","+112","+198","+129","+241"
"48","6727","亞泰金屬","443.5","+2","+0.45","08/19","+12.8","+25.6","+32.3","+34.5","+50.8","+83.8","+341","+1,579","0","+915"
"49","2481","強茂","136.5","-3","-2.15","08/19","+14.6","+32.7","+27.4","+34.3","+36.9","+39.2","+45","-24.8","+16.7","-68.7"
"50","00961","FT臺灣永續高息","13.05","+0.05","+0.38","08/19","0","0","+11.8","+32.5","+14.9","+40.7","+240","+210","+41","+129"
"51","8383","千附","67.2","-1.9","-2.75","08/19","+3.95","+8.65","+16","+31.8","+38.1","+68.8","+49.4","+24.9","-20.6","-22.2"
