"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"89","6197","佳必琪","309.5","+1.5","+0.49","08/27","+2,935","-8,708","-8,244","-13,362","-16,451","-4,029","+64,497","+56,391","+122,914","+53,527"
"90","2204","中華","53.4","-0.6","-1.11","08/27","-151","-9,681","-11,923","-13,258","-20,757","-27,356","-21,507","+10,968","+26,797","+28,448"
"91","8271","宇瞻","232.5","-1.5","-0.64","08/27","+1,477","-6,812","-15,026","-13,203","-2,846","-7,125","+36,388","+2,712","+24,482","-22,705"
"92","00982A","主動群益台灣強棒","22.54","+0.19","+0.85","08/27","-8,500","-16,098","-13,715","-12,305","+2,411","-3,423","-46,132","+51,053","+39,573","+46,796"
"93","1229","聯華","42.15","0","0","08/27","-1,029","-2,206","-7,026","-12,176","-26,784","-24,130","+40,519","+127,472","+114,114","+151,903"
"94","2377","微星","145","0","0","08/27","+8,102","-2,611","-9,551","-12,172","-136,868","-210,446","-113,559","+100,177","+435,578","+313,422"
"95","6217","中探針","175","-2.5","-1.41","08/27","+2,034","-7,639","-10,879","-12,022","-5,081","-4,269","+130,246","+134,664","+122,324","+116,463"
"96","4938","和碩","88.5","-0.9","-1.01","08/27","+7,338","+2,432","-5,919","-11,852","+3,144","-160,067","+121,977","+520,066","+617,986","+373,825"
"97","1605","華新","39","+0.1","+0.26","08/27","-3,347","-3,538","-8,630","-11,810","-148,449","-256,663","-160,895","-337,530","-232,829","-593,835"
"98","2201","裕隆","28.4","-0.25","-0.87","08/27","-5,165","-7,495","-8,553","-11,205","-14,089","-11,938","-29,010","-50.4","+57,986","+17,060"
"99","00662","富邦NASDAQ","120.05","+0.2","+0.17","08/27","+384","-2,704","-2,121","-10,890","+12,748","+35,345","-250,610","-142,877","+167,253","+28,266"
"100","3035","智原","180.5","+4","+2.27","08/27","-17.9","-1,071","+94.8","-10,438","-25,627","-28,486","-309,124","-308,912","-191,914","-320,118"
"101","7610","聯友金屬-創","1495","-100","-6.27","08/27","-808","-22,374","-22,374","-10,168","-3,248","+9,647","+10,762","","",""
"102","3711","日月光投控","621","+16","+2.64","08/27","-421","+17,455","+78,239","-10,122","+191,545","+888,240","-2,787,831","-402,322","-2,235,071","-432,018"
"103","8422","可寧衛*","27.1","+0.1","+0.37","08/27","-2,243","-7,768","-7,876","-9,737","-19,102","-55,709","-7,763","-17,443","+145,103","-12,611"
"104","2892","第一金","34.4","+1.05","+3.15","08/27","-11,113","-12,906","-12,761","-9,603","-78,353","-42,698","-50,317","+10,067","+7,750","+4,635"
"105","3033","威健","45.05","-0.15","-0.33","08/27","-988","-1,048","-3,398","-9,587","-1,093","-5,159","-22,153","-75,239","-55,747","-56,693"
"106","9921","巨大","103","-2","-1.9","08/27","-5,275","-6,676","-10,627","-9,569","-9,431","-2,937","+1,704","+41,620","+25,050","+47,964"
"107","6269","台郡","75","+2.1","+2.88","08/27","+1,169","-9,425","-9,178","-9,495","-20,811","-26,508","+41,465","+70,305","+54,162","+63,076"
"108","1215","卜蜂","108.5","0","0","08/27","-1,777","-7,821","-10,791","-9,384","-13,319","-12,879","-74,720","+133,608","+180,110","+137,222"
"109","3005","神基","116","0","0","08/27","-128","+1,820","-3,587","-9,258","-29,625","-110,671","-258,058","+135,497","+164,526","+150,978"
"110","3498","陽程","189.5","-14","-6.88","08/27","0","0","-3,700","-9,038","-17,064","-19,430","-6,589","-14,533","-16,240","-13,195"
"111","1736","喬山","125.5","-2.5","-1.95","08/27","-641","-6,912","-7,509","-8,783","-12,852","-13,818","-1,668","+14,030","-4,525","+2,891"
"112","5009","榮剛","33.3","-0.3","-0.89","08/27","+139","-2,163","-6,639","-8,766","-19,664","-24,355","-43,417","-36,987","+2,189","-33,887"
"113","00929","復華台灣科技優息","29.13","+0.08","+0.28","08/27","-4,603","-7,491","-7,491","-8,733","+10,303","-34,562","+24,766","+38,016","+85,171","+50,609"
"114","5443","均豪","112","+5.5","+5.16","08/27","-1,271","-7,121","-7,091","-8,702","-12,970","-13,593","-8,172","-22,182","-38,668","-12,010"
"115","00900","富邦特選高股息30","19.03","-0.01","-0.05","08/27","-764","-4,824","-5,313","-8,671","-13,317","-26,839","-45,246","-34,221","-55,746","-64,830"
"116","2882","國泰金","105.5","+3","+2.93","08/27","-454","-4,174","-8,086","-8,173","-27,414","-18,175","-1,035,211","-762,310","-2,843,814","-1,192,855"
"117","6547","高端疫苗","65","+1.9","+3.01","08/27","-2,908","-6,350","-8,162","-8,096","-12,586","-12,394","-3,825","+1,123","-1,076","+22,238"
"118","2812","台中銀","18.85","0","0","08/27","+410","-2,359","-2,631","-8,033","+9,933","+44,734","-81,494","+95,555","+159,686","+146,341"
"119","2610","華航","20.35","-0.45","-2.16","08/27","-3,565","-4,144","-8,259","-7,982","-9,636","-57.6","-371,686","-152,746","-234,741","-277,686"
"120","2801","彰銀","24.85","+0.15","+0.61","08/27","+2,925","-1,191","+2,431","-7,949","-14,593","+20,743","-1,099","+60,913","+80,460","+64,921"
"121","4961","天鈺","161","-4","-2.42","08/27","-280","-3,422","-7,210","-7,904","-18,241","-32,083","-51,492","-19,601","+12,534","-12,284"
"122","4147","中裕","64.1","-4","-5.87","08/27","-1,852","-3,358","-6,224","-7,893","-10,785","-11,845","-27,888","-4,243","+10,721","+9,712"
"123","4919","新唐","122.5","+0.5","+0.41","08/27","-3,736","-7,622","-7,986","-7,819","-18,624","-44,588","-208,176","-74,148","-42,044","-63,418"
"124","1210","大成","52","-0.4","-0.76","08/27","+829","-455","-3,685","-7,780","-11,670","+3,582","+81,826","+96,929","+106,892","+82,681"
"125","6491","晶碩","377","+2","+0.53","08/27","-1,360","-10,102","-9,404","-7,777","-1,124","+2,421","-2,974","-20,142","-74,432","-19,308"
"126","6104","創惟","99.3","-3.2","-3.12","08/27","0","-4,025","-6,027","-7,699","-7,529","-11,232","-17,461","-41,118","+1,958","-24,237"
"127","5289","宜鼎","1470","-20","-1.34","08/27","-11,286","-20,918","-30,869","-7,690","-53,127","+25,012","-284,553","+138,759","+91,816","+69,390"
"128","6510","精測","2680","-60","-2.19","08/27","-1,093","+4,717","-8,691","-7,623","-4,173","+17,421","-1,336","-254,677","-227,620","-263,417"
"129","2504","國產","31.7","-0.25","-0.78","08/27","+710","-1,420","-2,154","-7,453","-4,079","-1,342","+62,134","+184,722","+141,499","+160,616"
"130","6515","穎崴","6250","+145","+2.38","08/27","-2,424","-1,221","-10,327","-7,420","-34,967","-20,592","+55,076","-288,364","-513,861","-441,369"
"131","6526","達發","620","+10","+1.64","08/27","+183","-9,012","-8,103","-7,410","-6,810","-17,835","-8,176","-68,169","+2,977","-32,617"
"132","3363","上詮","701","-3","-0.43","08/27","-16,828","-19,459","-19,459","-7,358","+1,131","-40,834","-36,068","+268,995","+345,646","+311,465"
"133","2891","中信金","64.4","+0.6","+0.94","08/27","-6,956","-12,653","-48,962","-7,342","+49,482","-54,088","-324,422","+708,782","+281,273","+486,382"
"134","3707","漢磊","63.8","+0.2","+0.31","08/27","-930","-6,033","-6,009","-7,269","-15,405","-17,872","+66,432","+24,747","-13,996","+24,548"
"135","6414","樺漢","390","-3.5","-0.89","08/27","-318","-397","-1,219","-7,265","-5,968","-11,194","-46,657","-57,644","-38,024","-73,722"
"136","2105","正新","30.55","-0.55","-1.77","08/27","-1,029","-155","-6,048","-7,263","-13,059","-51,282","-29,412","-334,237","-113,901","-222,781"
"137","3029","零壹","111.5","-0.5","-0.45","08/27","-878","-4,681","-6,503","-7,254","-12,135","-25,983","-74,261","-50,465","+10,350","-16,985"
"138","3715","定穎投控","125","+8.5","+7.3","08/27","+1,412","+3,631","-5,757","-7,125","-15,161","+7,619","+21,047","-33,746","+141,355","+23,817"
"139","6683","雍智科技","1200","-45","-3.61","08/27","-961","-2,425","-7,093","-7,116","-5,433","-15,593","+21,308","+20,891","-21,585","+13,343"
"140","3714","富采","62.6","-0.9","-1.42","08/27","+2,372","+6,276","-5,614","-6,861","-19,311","-26,491","-37,569","+108,377","+123,211","+122,401"
"141","2359","所羅門","145.5","-2","-1.36","08/27","+6,687","-6,211","-6,809","-6,671","-18,395","-24,339","-54,828","-63,742","-37,050","-86,183"
"142","1608","華榮","37.85","-0.35","-0.92","08/27","+46.3","-3,880","-4,828","-6,669","-18,659","-39,598","-14,429","-13,059","-22,810","-30,722"
"143","4931","新盛力","272.5","+7","+2.64","08/27","+816","-158","+290","-6,632","-28,190","-33,605","-1,352","-1,275","-917","+12,866"
"144","8081","致新","260","-1.5","-0.57","08/27","+287","-9,542","-10,246","-6,512","-11,728","-12,271","+50,287","+83,114","+94,044","+73,155"
"145","2034","允強","20.45","+0.1","+0.49","08/27","-632","-3,380","-5,051","-6,410","-9,413","-7,372","-16,504","-15,563","+9,872","-5,491"
"146","2597","潤弘","172","+0.5","+0.29","08/27","-1,258","-4,602","-5,917","-6,395","-11,333","-20,999","+37,048","+129,684","+119,808","+128,973"
"147","2206","三陽工業","63.1","-0.4","-0.63","08/27","-31.6","-2,171","-4,795","-6,203","-10,521","-30,748","-36,817","+24,101","+13,472","+38,688"
"148","2421","建準","163.5","+4","+2.51","08/27","-419","-11,218","-9,170","-6,122","-4,371","-68,883","-49,508","+110,910","+137,334","+115,606"
"149","8064","東捷","103","-1.5","-1.44","08/27","+728","+1,148","-3,637","-6,098","-10,135","-14,601","+32,226","+45,499","+28,320","+38,525"
"150","6605","帝寶","139","-3","-2.11","08/27","-955","-760","-2,994","-5,888","-9,728","-17,644","+8,685","+26,510","+36,581","+10,423"
"151","2464","盟立","190","-21","-9.95","08/27","-459","-593","-3,639","-5,830","-43,890","-62,200","-39,449","-94,426","-97,238","-93,753"
"152","6589","台康生技","49.85","-0.35","-0.7","08/27","-444","-2,343","-3,934","-5,588","-9,485","-12,825","-26,047","-11,511","-8,705","-9,033"
"153","00830","國泰費城半導體","82.85","-0.8","-0.96","08/27","-10,099","-5,921","-5,002","-5,514","-8,345","-118,614","-165,361","-152,445","-79,336","-98,742"
"154","8234","新漢","68","-0.6","-0.87","08/27","-4,748","-4,850","-6,073","-5,440","-4,938","-8,522","-8,436","-8,365","+11,995","-4,706"
"155","1723","中碳","86.3","-0.3","-0.35","08/27","+366","-1,938","-3,455","-5,413","-6,273","-9,314","-37,744","-66,657","-21,418","-70,731"
"156","6147","頎邦","182.5","-5","-2.67","08/27","-5,582","-3,280","-4,188","-5,390","-57,215","-89,422","-895,196","-263,778","-334,501","-262,426"
"157","1560","中砂","695","+5","+0.72","08/27","+760","+1,786","-208","-5,380","-479","+4,278","-19,777","-62,242","-150,839","-49,452"
"158","3535","晶彩科","90.2","+0.7","+0.78","08/27","-616","-5,456","-5,314","-5,360","-4,377","-11,819","-23,516","+30,039","+21,702","+16,472"
"159","2478","大毅","129.5","+4.5","+3.6","08/27","-2,565","-8,849","-8,200","-5,181","+4,915","+20,366","+20,680","+10,477","+25,418","-6,074"
"160","1717","長興","77.7","+1.9","+2.51","08/27","-399","+723","-6,202","-5,173","-82,813","-103,050","-117,290","+16,843","+115,492","+62,491"
"161","5534","長虹","75.3","-0.4","-0.53","08/27","-6,370","-6,267","-6,055","-5,157","-10,248","-5,671","-17,139","+37,959","+20,599","+37,551"
"162","4743","合一","46.95","-0.2","-0.42","08/27","-1,954","-2,629","-3,111","-5,152","-10,819","-7,931","+6,734","+38,556","+63,030","+7,058"
"163","6177","達麗","47.55","-0.35","-0.73","08/27","-2,782","-2,893","-4,490","-5,090","+4,857","+10,226","+16,685","+26,720","-21,201","+18,625"
"164","6831","邁科","620","+27","+4.55","08/27","+1,133","-1,236","-5,076","-5,074","-1,293","+6,384","+31,098","","",""
"165","3596","智易","161.5","+1.5","+0.94","08/27","-1,081","-3,139","-2,869","-5,046","-4,819","+20,571","-54,792","+60,801","+60,349","+64,731"
"166","1402","遠東新","28.1","-0.3","-1.06","08/27","+815","+835","-1,587","-4,992","-23,983","-89,969","-558,062","-26,569","+5,903","-17,675"
"167","2903","遠百","22.1","-0.25","-1.12","08/27","+132","-3,134","-3,919","-4,974","-181","-2,967","+427","+24,094","+22,138","+26,004"
"168","1909","榮成","10.85","-0.05","-0.46","08/27","+298","+311","+158","-4,918","-5,481","-5,329","-11,212","+2,360","-995","+1,852"
"169","2646","星宇航空","20.85","-0.25","-1.18","08/27","-1,608","-3,083","-4,362","-4,811","-4,246","-5,270","-46,992","-42,123","+122,450","-11,105"
"170","4114","健喬","29.9","+0.05","+0.17","08/27","+123","-2,805","-3,756","-4,699","-5,317","-572","-1,993","+15,645","+20,893","+13,335"
"171","2493","揚博","181.5","-3.5","-1.89","08/27","-827","+2,168","-3,427","-4,683","+7,150","+51,152","-23,766","+1,525","+36,994","-21,806"
"172","00679B","元大美債20年","25.85","-0.19","-0.73","08/27","-2,603","-2,700","-2,695","-4,647","+33,668","+38,688","+32,775","-7,688","-209,748","+16,146"
"173","1440","南紡","13.7","-0.15","-1.08","08/27","-51.3","-2,444","-3,781","-4,644","-5,735","-3,720","-2,153","+8,862","-1,429","+7,552"
"174","3545","敦泰","49","-1.3","-2.58","08/27","-10.1","-1,640","-2,414","-4,629","-5,681","-12,584","-13,682","-16,705","+25,936","+513"
"175","4927","泰鼎-KY","43","+2.55","+6.3","08/27","+365","-4,320","-4,999","-4,614","-6,978","-5,124","+27,153","+24,716","+41,129","+18,832"
"176","3533","嘉澤","1735","+110","+6.77","08/27","+3,099","+22.6","+11,569","-4,413","+104,629","+178,252","+27,043","-487,206","-403,951","-311,301"
