"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"21","2891","中信金","64.9","-1.6","-2.41","08/19","+11,087","-785","+3,333","-9,417","-2,178","-46,749","-87,749","+148,188","+54,912","+91,269"
"22","2377","微星","146.5","-1.5","-1.01","08/19","+1,426","-436","-4,885","-9,327","-14,197","-12,924","+4,437","+18,293","+47,916","+37,782"
"23","4763","材料*-KY","50.7","+0.3","+0.6","08/19","-97","-1,564","-4,165","-9,274","-13,544","-13,147","-14,926","-19,912","+10,539","-16,964"
"24","1513","中興電","164","-3","-1.8","08/19","-2,105","-3,610","-6,666","-8,528","-10,674","-12,019","+1,270","+21,939","+19,683","+15,691"
"25","2367","燿華","42","-0.6","-1.41","08/19","+272","-2,519","-5,767","-7,403","-7,269","-13,297","-14,919","-1,278","+19,359","-2,972"
"26","00631L","元大台灣50正2","33.96","-0.85","-2.44","08/19","+396","+745","+446","-7,082","-32,461","-20,178","-9,918","+333,940","+329,564","+333,345"
"27","2105","正新","31.05","-0.05","-0.16","08/19","-199","-2,605","-1,890","-7,025","-8,474","-21,062","-9,606","-100,824","-34,011","-74,000"
"28","9105","泰金寶-DR","8.45","+0.03","+0.36","08/19","-1,413","-2,625","-1,105","-6,421","-8,319","-8,844","-32,785","-21,936","+5,498","-33,257"
"29","2357","華碩","925","+15","+1.65","08/19","-2,129","-2,831","-4,468","-5,566","-7,508","-17,142","-38,869","-24,467","+13,936","-9,408"
"30","009816","凱基台灣TOP50","15.11","-0.2","-1.31","08/19","0","-171","-4,969","-5,169","-43,071","-60,466","-3,487","+101,651","",""
"31","00712","復華富時不動產","8.83","0","0","08/19","-5,000","-5,000","-5,000","-5,000","-5,024","-9,461","-3,566","+460","-22,203","-68"
"32","3706","神達","90.7","+0.1","+0.11","08/19","+98","-1,714","-2,715","-4,924","-14,333","-15,002","+15,583","-7,656","+49,436","-10,796"
"33","1319","東陽","81.7","-0.2","-0.24","08/19","-269","-1,202","-1,225","-4,698","-6,255","-7,632","-12,360","+8,606","+15,291","+6,117"
"34","2353","宏碁","30.9","+0.35","+1.15","08/19","-831","-551","-1,296","-4,551","-2,814","-22,163","-35,277","-35,462","+93,575","+87,132"
"35","6147","頎邦","161.5","-2","-1.22","08/19","-298","-6","-108","-4,456","-3,537","-8,179","-28,602","+7,978","-4,300","+8,994"
"36","2312","金寶","32.25","+0.3","+0.94","08/19","-1,470","-3,371","-3,879","-4,441","-13,248","-19,692","-10,271","+8,730","+52,240","-56,826"
"37","0056","元大高股息","52","-0.7","-1.33","08/19","-309","-1,256","-3,118","-4,291","-58,450","-43,363","-77,179","-32,054","+62,888","-93,167"
"38","2323","中環","10.85","-0.25","-2.25","08/19","-523","-549","-3,861","-4,022","-4,109","-8,468","-10,369","-5,389","-1,727","-448"
"39","5876","上海商銀","43.5","+0.3","+0.69","08/19","-2,026","-6,020","-4,988","-3,976","-7,891","-67,163","+8,303","+76,472","+71,313","+72,470"
"40","6443","元晶","26","-0.35","-1.33","08/19","-115","-1,823","-3,914","-3,885","-6,250","-5,746","-7,675","-5,446","-9,656","-2,137"
"41","1608","華榮","35.3","-0.15","-0.42","08/19","-455","-2,373","-2,827","-3,865","-8,537","-7,313","-1,199","-2,610","-2,421","-5,043"
"42","2889","國票金","15.55","-0.05","-0.32","08/19","+171","-1,104","-3,303","-3,682","-2,367","-4,673","-17,101","-2,945","-40,042","+125"
"43","2317","鴻海","245","-4","-1.61","08/19","+1,497","+1,145","-166","-3,595","-22,935","-36,183","-28,499","-27,375","-59,930","+8,421"
"44","2409","友達","26.15","-0.2","-0.76","08/19","-4,916","-6,651","-4,830","-3,527","+27,616","-5,415","-6,309","+37,988","+547,628","+516,444"
"45","2371","大同","27","+0.25","+0.93","08/19","-338","-1,078","-1,376","-3,464","-8,003","-21,629","+2,449","+70,239","+101,998","+85,587"
"46","2376","技嘉","348.5","+0.5","+0.14","08/19","+984","+563","-1,112","-3,314","-7,188","-3,715","+7,304","-10,394","+33,153","+17,182"
"47","2881","富邦金","128.5","-1","-0.77","08/19","+940","-4,221","-1,751","-3,260","-156","-10,720","-177,041","-109,993","-186,218","-139,278"
"48","2014","中鴻","16.9","-0.05","-0.29","08/19","-225","-232","-3,096","-3,212","-3,738","-13,690","-33,805","-61,331","-55,825","-49,588"
"49","0050","元大台灣50","103.1","-1.8","-1.72","08/19","-1,268","-776","-1,732","-3,167","-3,057","+5,433","+114,201","+98,052","+80,102","+87,940"
"50","00900","富邦特選高股息30","18.67","+0.06","+0.32","08/19","-46","-446","-1,682","-3,083","-6,972","-15,091","-20,342","-7,688","-29,407","-29,152"
"51","2484","希華","73","+1.1","+1.53","08/19","-893","-927","-2,140","-3,031","-2,982","-2,589","-937","+2,383","+6,701","+6,096"
"52","00918","大華優利高填息30","33.82","+0.03","+0.09","08/19","0","0","-4","-3,004","-3,773","-27,473","-22,767","-7,683","-14,495","-49,817"
"53","1229","聯華","41.45","+0.5","+1.22","08/19","-667","-2,141","-3,081","-2,975","-2,983","-212","+17,487","+35,536","+31,989","+39,488"
"54","1785","光洋科","101","+1","+1","08/19","-157","-1,396","-1,565","-2,947","-3,494","-5,357","+15,393","+25,724","+20,250","+27,530"
"55","6505","台塑化","70.2","-1.8","-2.5","08/19","-280","-2,194","-1,900","-2,885","-4,613","-3,251","-7,094","-1,668","-17,024","-6,383"
"56","4904","遠傳","101.5","0","0","08/19","-1,355","-2,387","-2,932","-2,849","-5,004","-42,914","+15,512","+15,842","+13,675","+15,559"
"57","5009","榮剛","33.2","+0.35","+1.07","08/19","-416","-2,571","-2,778","-2,619","-2,685","-4,666","-10,221","-8,571","+4,835","-7,018"
"58","3005","神基","117.5","0","0","08/19","-1,784","-1,757","-1,550","-2,608","-5,468","-10,881","-27,502","+10,089","+13,353","+11,354"
"59","2103","台橡","27.25","-0.6","-2.15","08/19","-191","-1,158","-1,737","-2,566","-2,526","-1,046","-2,550","+2,250","+2,701","+2,228"
"60","00988A","主動統一全球創新","16.5","-0.82","-4.73","08/19","+1,726","+428","+371","-2,557","-25,343","-14,957","-21,299","+34,635","","+42,561"
"61","2337","旺宏","119","-3","-2.46","08/19","-439","+1,674","+3,932","-2,527","-6,369","+3,967","+6,116","-8,198","-72,508","-76,457"
"62","2883","凱基金","30.4","-0.55","-1.78","08/19","+2,455","+6,511","+11,017","-2,473","-168","+4,754","+55,897","+75,381","-1,608","+72,582"
"63","00919","群益台灣精選高息","30.39","+0.05","+0.16","08/19","0","-637","-546","-2,389","-6,401","-3,435","-22,753","+20,329","-42,249","-78,432"
"64","2615","萬海","106.5","+1.5","+1.43","08/19","+137","+20","-490","-2,332","-3,339","-24,862","-38,427","-51,403","-67,796","-33,068"
"65","00948B","中信優息投資級債","9.09","+0.04","+0.44","08/19","0","0","-2,326","-2,326","-2,469","+4,431","+7,085","+6,311","-2,070","+5,371"
"66","2845","遠東銀","13.5","+0.05","+0.37","08/19","-2,755","-3,748","-3,458","-2,323","-741","-8,196","+1,662","+32,413","+44,675","+48,641"
"67","3260","威剛","395","+8","+2.07","08/19","+107","+201","+337","-2,290","-2,519","-2,645","-2,158","+21,498","+27,049","+16,008"
"68","3665","貿聯-KY","2200","-40","-1.79","08/19","-1,357","-2,100","-2,112","-2,288","-540","+5,786","+10,109","+9,092","+13,416","+4,935"
"69","3323","加百裕","29.55","-0.45","-1.5","08/19","-132","-108","-2,256","-2,283","-2,282","-2,384","-1,864","-1,708","+1,281","-2,091"
"70","2369","菱生","30.6","-0.2","-0.65","08/19","+94","-1,616","-2,111","-2,222","-2,036","+8,872","+4,210","+4,611","+11,784","+3,589"
"71","2388","威盛","72","-0.4","-0.55","08/19","-134","-616","-1,398","-2,217","-6,621","-6,276","-2,160","-10,681","-3,719","-6,570"
"72","3714","富采","55.2","-0.8","-1.43","08/19","-246","-967","-1,134","-2,085","-2,064","-6,731","-1,452","+10,300","+19,994","+18,428"
"73","2542","興富發","48.15","+0.4","+0.84","08/19","-2,125","-2,686","-3,020","-2,049","+1,322","+25,168","+47,136","+59,736","+88,630","+53,722"
"74","6269","台郡","62.7","-1.7","-2.64","08/19","-123","-348","-374","-1,998","-4,727","+145","+9,810","+14,045","+10,522","+14,259"
"75","2393","億光","64.6","+0.5","+0.78","08/19","-169","-1,607","-1,893","-1,947","-4,795","+1,975","+6,228","+7,729","-1,267","+4,805"
"76","2441","超豐","113.5","-1","-0.87","08/19","+97","-1,043","-1,453","-1,869","-175","+4,938","-4,597","-6,966","+6,569","-4,225"
"77","1301","台塑","56.8","-2.1","-3.57","08/19","-838","-1,547","-1,849","-1,866","-5,033","+3,721","-87,121","-160,209","-231,808","-195,945"
"78","9939","宏全","130","+0.5","+0.39","08/19","-17","-1,511","-1,896","-1,839","-3,413","-3,936","-8,321","-7,056","+1,137","-7,339"
"79","8422","可寧衛*","26.7","-0.4","-1.48","08/19","+243","+228","+92","-1,823","-10,339","-13,579","+3,040","+7,562","+95,338","+3,414"
"80","2206","三陽工業","62.8","+0.4","+0.64","08/19","-78","-317","-293","-1,818","-2,161","-3,844","-2,783","+6,056","+3,469","+8,438"
"81","9941","裕融","85.2","+1","+1.19","08/19","-57","-1,387","-1,535","-1,816","-2,873","-5,614","+2,414","-1,104","+10,768","+7,296"
"82","5371","中光電","84.3","-2","-2.32","08/19","0","-42","-208","-1,779","-24,566","-26,437","-25,049","-24,486","-7,254","-22,526"
"83","2618","長榮航","41.6","-0.3","-0.72","08/19","-2,110","-4,534","-4,574","-1,763","-1,907","-48,097","-159,511","-12,681","-33,846","-131,604"
"84","6213","聯茂","484","-4","-0.82","08/19","-201","-440","-976","-1,751","-1,225","-958","-2,565","-4,129","-2,120","-6,813"
"85","2474","可成","204","0","0","08/19","-399","-483","-815","-1,749","-1,783","+1,492","-20,435","-8,801","+4,224","-10,273"
"86","2464","盟立","181.5","+3.5","+1.97","08/19","-459","-1,790","-1,621","-1,736","-2,939","-3,072","-2,150","-8,697","-9,245","-8,761"
"87","00772B","中信高評級公司債","32.36","+0.17","+0.53","08/19","-2","-2","-502","-1,702","-3,060","-3,060","-3,261","+20","-1,574","+2,845"
"88","2520","冠德","36.7","+0.8","+2.23","08/19","-56","-711","-1,010","-1,692","-1,787","-3,002","-6,716","-642","-15,745","-10,215"
"89","2027","大成鋼","50","+0.3","+0.6","08/19","-405","-577","-1,202","-1,632","-4,805","-12,359","-82,048","-67,372","-29,013","-46,913"
"90","1808","潤隆","33.3","+0.45","+1.37","08/19","+85","-1,200","-1,212","-1,621","-1,789","-3,350","-4,259","-1,802","-7,425","-708"
"91","1609","大亞","36.8","-0.15","-0.41","08/19","+41","-975","-1,672","-1,618","-2,014","+459","+875","+9,867","-2,473","-1,545"
"92","3017","奇鋐","3095","+80","+2.65","08/19","-272","-491","-1,103","-1,583","-3,591","-3,118","+1,411","+1,924","-111","+1,001"
"93","00990A","主動元大AI新經濟","15.71","-0.81","-4.9","08/19","+250","+250","+206","-1,573","-8,010","-21,154","-13,900","+1,206","","-91,119"
"94","6005","群益證","30.2","-0.3","-0.98","08/19","+374","+682","+1,300","-1,573","+514","-1,983","-36,009","+5,315","-9,676","-5,039"
"95","3231","緯創","182","+1","+0.55","08/19","+1,641","+2,470","+3,142","-1,564","-6,238","-21,066","+81,077","+18,522","+143,944","+78,777"
"96","3673","TPK-KY","59.5","-0.7","-1.16","08/19","+72","-1,276","-1,453","-1,560","-2,532","-2,106","+7,208","+12,555","+13,829","+13,886"
"97","1907","永豐餘","29.95","+0.65","+2.22","08/19","-72","-510","-2,097","-1,533","-2,612","-4,987","-11,115","-6,559","-4,787","-2,981"
"98","6278","台表科","174.5","+2.5","+1.45","08/19","-128","-1,293","-1,323","-1,532","-500","-3,951","-12,371","+5,843","+7,946","+6,085"
"99","3376","新日興","186.5","-2.5","-1.32","08/19","-642","-1,499","-1,218","-1,511","-1,703","-2,665","-1,980","+1,598","+680","+6,598"
"100","2034","允強","19.75","-0.05","-0.25","08/19","-157","-610","-1,379","-1,489","-1,396","-223","-3,925","-3,994","+10,314","+562"
"101","5871","中租-KY","109.5","0","0","08/19","+889","+1,275","-57","-1,474","-5,417","-13,889","+58,169","+68,633","+44,554","+33,782"
"102","3023","信邦","322","+15","+4.89","08/19","+1","-157","-447","-1,459","-2,555","-1,177","+5,110","-814","+6,006","+2,480"
"103","6239","力成","262.5","-3","-1.13","08/19","-151","-311","-1,652","-1,456","-610","-4,933","-21,040","+3,555","-19,863","+1,040"
"104","1316","上曜","10.6","+0.15","+1.44","08/19","-1,146","-1,255","-969","-1,417","-1,994","-1,670","+513","-659","-16,765","-525"
"105","1711","永光","37.95","-0.5","-1.3","08/19","-307","-105","-1,285","-1,393","-2,310","-6,742","-5,726","-1,837","+17,223","+1,071"
"106","2204","中華","53","+0.5","+0.95","08/19","-331","-1,291","-1,366","-1,392","-2,969","-1,913","+722","+3,981","+6,691","+7,700"
"107","6919","康霈*","102.5","-2","-1.91","08/19","-850","-850","-1,360","-1,360","-1,360","-1,822","-6,874","0","0","0"
"108","8932","智通*","109","0","0","08/19","-609","-1,303","-1,393","-1,336","-832","+2,466","+4,984","+13,872","+13,190","+9,435"
"109","2436","偉詮電","65.1","+0.4","+0.62","08/19","-81","-283","-362","-1,296","-999","-613","-11,315","-5,243","+526","-4,303"
"110","4743","合一","47.35","-0.05","-0.11","08/19","-73","-238","-868","-1,286","-1,373","+2,854","+5,711","+10,412","+14,278","+5,455"
"111","2303","聯電","115.5","-3.5","-2.94","08/19","-546","-639","-640","-1,285","-10,893","-59,953","-523,246","-343,771","-959,266","-524,584"
"112","2610","華航","19.9","-0.2","-1","08/19","+241","-1,091","-1,158","-1,281","+3,912","+3,992","-184,722","-50,284","-105,776","-128,131"
"113","2915","潤泰全","61.8","+1","+1.64","08/19","-1,753","-2,711","-2,191","-1,279","-864","-4,886","-8,520","+741","+11,827","+5,617"
"114","4919","新唐","116.5","-1.5","-1.27","08/19","-167","-338","-861","-1,252","-2,002","-5,821","-13,550","-1,158","+5,310","+1,671"
"115","9910","豐泰","68.8","-0.3","-0.43","08/19","-79","-50","-124","-1,249","-1,603","-1,600","+15,920","+10,953","+14,804","+18,681"
"116","5347","世界","151.5","-3.5","-2.26","08/19","+1,024","+2,735","+762","-1,240","-1","+1,854","-26,410","+3,640","-1,865","-19,722"
"117","2301","光寶科","273.5","+2.5","+0.92","08/19","-20","-863","-848","-1,217","-12,927","-11,071","-19,878","-2,209","-26,937","+2,940"
"118","6603","富強鑫","27.1","-0.85","-3.04","08/19","-194","-158","-606","-1,214","-1,316","-976","+1,582","+2,436","+3,562","+3,286"
"119","00773B","中信優先金融債","34.82","+0.2","+0.58","08/19","0","0","-1,206","-1,206","-1,206","-1,256","-1,460","-175","-314","+882"
"120","2359","所羅門","161","-16.5","-9.3","08/19","+225","-79","-745","-1,204","-1,952","-466","-3,315","-4,846","-332","-5,534"
"121","3707","漢磊","61.4","-1.5","-2.38","08/19","-59","-951","-1,308","-1,201","-1,428","-824","+8,967","+1,603","-1,674","+2,411"
"122","00888","永豐台灣ESG","31.87","-0.58","-1.79","08/19","+1","+1","-18","-1,185","-7,163","-4,256","+5,579","+7,477","+6,637","+7,447"
"123","2362","藍天","47.15","-0.05","-0.11","08/19","+31","-847","-982","-1,184","-1,740","-3,075","+1,108","+34","-180","+958"
"124","2609","陽明","59","+2.8","+4.98","08/19","+234","+1,877","-2,353","-1,171","-664","-6,328","-148,882","-59,370","-89,905","-109,627"
"125","1536","和大","50.2","-0.2","-0.4","08/19","-159","-832","-983","-1,137","-1,237","-350","-3,119","+381","+38","-1,609"
"126","8096","擎亞","108","-2","-1.82","08/19","-104","-804","-977","-1,137","-1,329","-1,400","-2,832","-4,997","-4,814","-8,143"
"127","6244","茂迪","25.15","-0.15","-0.59","08/19","-469","-355","-1,088","-1,135","-1,455","-1,867","-6,600","-2,339","+13,517","+5,108"
"128","5392","能率","45.3","-0.55","-1.2","08/19","-295","-316","-944","-1,125","-1,299","-1,363","-976","-744","+98","-1,507"
"129","00753L","中信中國50正2","9.53","+0.07","+0.74","08/19","0","0","-1,116","-1,116","-2,768","-11,263","-11,270","-15,241","-13,420","-16,619"
"130","2104","國際中橡","10.3","-0.05","-0.48","08/19","-490","-677","-1,427","-1,116","-651","+8,102","+7,787","+9,689","+15,187","+11,621"
"131","0052","富邦科技","60.15","-0.75","-1.23","08/19","-1,000","-1,000","-1,064","-1,109","-4,192","-6,088","-1,611","-8,586","+21,782","+10,765"
"132","3022","威強電","91.9","-0.9","-0.97","08/19","-430","-435","-1,074","-1,109","-1,298","-1,710","-3,014","-2,000","-1,271","-1,589"
"133","1802","台玻","57.1","+0.6","+1.06","08/19","-6","-283","-281","-1,103","+5,358","+10,625","+8,026","+69,094","+35,647","+14,369"
"134","00981A","主動統一台股增長","29.06","-0.55","-1.86","08/19","+3,612","-1,250","+222","-1,102","-13,131","-150,607","-128,239","+49,026","+127,352","+102,510"
"135","5512","力麒","7.79","-0.01","-0.13","08/19","+1","-259","-238","-1,090","-1,185","-697","-195","-637","-4,431","-1,239"
"136","5469","瀚宇博","72.2","-1.8","-2.43","08/19","-210","-902","-1,005","-1,069","-2,931","-3,439","+6,758","+16,498","+20,653","+8,494"
"137","6547","高端疫苗","51.7","-0.5","-0.96","08/19","+112","+15","-419","-1,068","-911","+94","+2,389","+3,795","+2,986","+8,790"
"138","6265","方土昶","59.2","+0.4","+0.68","08/19","-182","-264","-674","-1,053","-974","-1,169","-657","+1,330","+1,853","+503"
"139","6548","長科*","71.1","-1.3","-1.8","08/19","-216","-649","-581","-1,053","-2,372","-549","-4,522","+6,264","+5,811","+2,085"
"140","2547","日勝生","10.1","-0.05","-0.49","08/19","-486","-1,186","-1,231","-1,050","+595","-4,440","-3,780","+7,383","+7,133","+7,515"
"141","00955","中信日本商社","14.95","-0.38","-2.48","08/19","0","0","-33","-1,035","-1,065","-1,334","-4,339","-8,398","+12,328","+2,958"
"142","2328","廣宇","46","+2.1","+4.78","08/19","+504","-357","-1,076","-1,027","-247","-1,042","-1,187","-6,880","+1,803","-10,010"
"143","9904","寶成","24.7","+0.2","+0.82","08/19","-1,237","-4,574","-4,153","-1,024","-594","-18,599","+41,334","+142,132","+12,234","+132,424"
"144","2451","創見","281","+1","+0.36","08/19","-96","-1,089","-1,163","-1,010","-447","+404","+8,736","+16,855","+17,061","+16,016"
"145","2801","彰銀","23.9","0","0","08/19","-61","-3,998","-3,092","-997","-9,200","+10,380","+27,027","+36,156","+42,795","+34,533"
"146","3591","艾笛森","20.5","0","0","08/19","-32","-32","-43","-990","-1,208","-1,275","-3,080","-991","-1,859","-695"
"147","2543","皇昌","38.1","-0.15","-0.39","08/19","-190","-461","-835","-970","-1,032","-2,598","-2,228","-1,886","+2,361","-574"
"148","3062","建漢","20.3","+0.05","+0.25","08/19","-514","-732","-710","-956","-1,923","-1,888","-1,321","-2,521","-1,092","-7,060"
"149","6188","廣明","69.1","-0.1","-0.14","08/19","+36","-741","-831","-935","-1,381","-1,995","-9,775","-13,511","+3,203","-4,713"
"150","2351","順德","185","+9","+5.11","08/19","+1","+45","+50","-930","-1,012","-1,028","-3,018","-2,408","-2,681","-5,320"
"151","1618","合機","38.5","+0.05","+0.13","08/19","-144","-282","-698","-929","-1,261","-1,391","-2,565","-1,876","-717","-1,472"
"152","6279","胡連","128","+1.5","+1.19","08/19","-92","-292","-525","-912","-1,578","-2,084","-1,257","-3,420","+2,142","-1,889"
"153","6179","亞通","26.85","-0.45","-1.65","08/19","+3","-657","-905","-897","-1,403","-1,170","-3,239","-417","+1,750","-1,269"
"154","2882","國泰金","98.3","-0.9","-0.91","08/19","-197","-577","-714","-883","-1,249","-1,063","-143,182","-46,157","-352,689","-116,792"
"155","2489","瑞軒","31.3","+0.2","+0.64","08/19","+1,402","-593","-860","-877","+1,168","-6,092","-12,774","+33,313","+34,180","+33,944"
"156","5521","工信","10.65","+0.2","+1.91","08/19","-466","-605","-883","-876","-1,111","+66","+1,923","+8,702","+8,012","+9,853"
"157","2006","東和鋼鐵","81.3","+0.5","+0.62","08/19","+54","-1,126","-1,099","-872","-247","+70","-8,698","-4,557","-525","-3,038"
"158","6112","邁達特","44.1","+0.2","+0.46","08/19","-85","-282","-791","-871","-1,542","-1,240","+226","+23","-2,957","-370"
"159","3029","零壹","110","+2.5","+2.33","08/19","-32","-109","-134","-865","-1,520","-2,440","-5,903","-3,425","+586","-912"
"160","1434","福懋","17.5","-0.05","-0.28","08/19","-146","-523","-916","-831","-1,140","+1,357","-3,652","+305","-9,804","-1,877"
"161","9933","中鼎","41.2","-0.6","-1.44","08/19","-71","-822","-816","-831","-436","-1,173","+1,432","-21,110","-28,621","-25,711"
"162","3030","德律","285","-4.5","-1.55","08/19","-63","-35","-679","-827","-1,444","-812","+4,121","+3,694","+2,260","+4,343"
"163","4931","新盛力","268","+8.5","+3.28","08/19","-134","-312","-589","-818","-819","-669","-396","+972","+912","+1,877"
"164","3294","英濟","30.5","0","0","08/19","-24","-55","-798","-812","-884","-1,064","-424","-1,082","+88","-1,004"
"165","3052","夆典","11.3","+0.15","+1.35","08/19","-27","-30","-441","-803","-802","-1,018","-1,790","+574","+894","+212"
"166","6781","AES-KY","1065","+5","+0.47","08/19","-11","-318","-394","-802","-964","-1,049","-1,177","-434","+1,894","-595"
"167","9917","中保科","108","-0.5","-0.46","08/19","-119","-532","-731","-797","-755","-1,139","+1,296","+319","+2,342","+1,773"
"168","4707","磐亞","31.4","-1.5","-4.56","08/19","-303","-317","-410","-795","-30","-439","+1,383","+3,202","+3,062","+3,102"
"169","2421","建準","145","-0.5","-0.34","08/19","0","+31","-44","-777","-3,609","-3,698","-3,156","+7,833","+9,873","+8,538"
"170","5434","崇越","530","-23","-4.16","08/19","+211","-426","-377","-776","-694","-733","+2,565","-320","+2,400","-516"
"171","2457","飛宏","22.9","-0.1","-0.43","08/19","-346","-625","-777","-770","-2,487","-82","+1,572","-3,674","+11,785","-6,662"
"172","9940","信義","20.5","-0.2","-0.97","08/19","0","-284","-343","-765","-733","-691","-1,625","-806","-2,519","-1,018"
"173","00927","群益半導體收益","35.36","-0.29","-0.81","08/19","0","-15","-51","-763","-904","-8,108","+1,927","+2,324","+2,122","+3,183"
"174","1563","巧新","61","-1","-1.61","08/19","-664","-758","-758","-758","-1,160","-1,265","-1,706","-1,796","-1,072","-1,376"
"175","3059","華晶科","39.25","-0.05","-0.13","08/19","-131","-271","-91","-753","-1,760","-3,225","+663","+1,465","+11,751","+10,142"
"176","6757","台灣虎航","57","+0.4","+0.71","08/19","+1","+14","+68","-732","-797","-2,313","-11,711","-7,028","-4,263","-8,959"
"177","8028","昇陽半導體","247","-1.5","-0.6","08/19","-93","-387","-346","-730","-439","+447","-1,333","-9,835","-4,490","-10,822"
"178","8110","華東","43.45","-0.85","-1.92","08/19","-118","-265","-464","-704","-452","+2,610","+1,666","+5,449","+9,797","+5,744"
"179","2534","宏盛","16.9","+0.1","+0.6","08/19","+7","-195","-267","-700","-1,043","-1,890","+1,764","+4,764","+8,188","+5,729"
"180","2340","台亞","29.9","-0.4","-1.32","08/19","-338","-270","-272","-692","-587","+1,287","+4,035","-986","+8,039","+904"
"181","2420","新巨","57.2","+0.2","+0.35","08/19","-5","-172","-677","-685","-828","-580","-220","-237","-637","-68"
"182","3490","單井","46.8","+2.3","+5.17","08/19","-231","-692","-692","-684","-493","-57","+687","+1,122","+2,042","+953"
"183","6189","豐藝","47.15","-0.35","-0.74","08/19","-26","-669","-702","-682","-872","-1,209","-2,701","-2,651","-5,628","-960"
"184","2480","敦陽科","158.5","+2","+1.28","08/19","-21","-344","-537","-662","-614","-414","-597","+1,049","+2,417","+1,789"
"185","6589","台康生技","49.85","+1.15","+2.36","08/19","+40","-470","-581","-658","-1,061","-1,324","-3,600","-1,158","-148","-704"
"186","5534","長虹","79.2","+0.4","+0.51","08/19","-509","-698","-678","-651","-453","-464","+193","+5,708","+5,032","+5,734"
"187","3481","群創","46.75","-2.75","-5.56","08/19","+4,303","+354","+5,506","-646","-457","+4,661","+89,862","-1,007","+383,929","+391,363"
"188","4909","新復興","37.1","-0.3","-0.8","08/19","-49","-281","-537","-642","-692","-1,387","-1,443","-720","-2,786","-671"
"189","4303","信立","48.4","+0.4","+0.83","08/19","-40","-68","-446","-639","-952","-1,477","-1,797","-1,396","+3,200","-1,387"
