"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"269","8227","巨有科技","161","+1","+0.62","08/27","+504","+723","+480","+893","+1,790","+5,258","+1,886","+4,379","+10,146","+6,044"
"270","2439","美律","78.5","+0.2","+0.26","08/27","-1,338","-1,831","-1,659","+889","+4,000","+31,882","+77,952","+137,789","-41,850","+110,002"
"271","6188","廣明","68.8","-0.7","-1.01","08/27","+971","-1,294","-498","+880","-5,892","-11,480","-48,721","-106,349","+31,085","-13,251"
"272","3088","艾訊","124","+0.5","+0.4","08/27","+62.4","+162","+718","+878","-2,237","-4,525","-8,342","-1,914","-7,515","-5,306"
"273","00632R","元大台灣50反1","9.89","-0.06","-0.6","08/27","+242","+242","+576","+876","+2,816","-31,703","-50,348","+2,344","+45,192","+35,164"
"274","6643","M31","437","-5.5","-1.24","08/27","0","+130","+252","+869","-2,723","-3,061","-2,953","+12,007","+34,450","+23,867"
"275","3264","欣銓","235","+15.5","+7.06","08/27","0","+763","+4,458","+860","-5,760","-278","-73,098","-11,008","-40,313","-27,095"
"276","6739","竹陞科技","1140","+45","+4.11","08/27","0","0","+757","+854","+1,943","-1,662","-1,898","+18,787","+23,164","+9,653"
"277","8415","大國鋼","36.75","-0.5","-1.34","08/27","+302","+464","+380","+843","+794","+1,315","-5,299","-2,153","-3,066","-3,104"
"278","7795","長廣","564","+19","+3.49","08/27","+2,577","+937","+884","+828","+761","+7,117","","","",""
"279","2369","菱生","32.35","+0.9","+2.86","08/27","+1,480","-1,981","+126","+824","-4,678","+10,883","+26,460","+778","+17,771","+6,040"
"280","3441","聯一光","130","-7.5","-5.45","08/27","+147","+232","-368","+821","+1,319","+3,790","+6,190","+6,666","+7,003","+6,819"
"281","2611","志信","14.9","-0.2","-1.32","08/27","+30.5","+125","+564","+821","+757","+395","-274","-312","-443","-494"
"282","00985B","群益ESG投等債0-5","10.17","-0.04","-0.39","08/27","0","0","0","+820","+1,917","+1,907","+1,418","+2,425","","+7,022"
"283","00735","國泰臺韓科技","103.4","+0.1","+0.1","08/27","0","0","+99.2","+819","+2,926","+11,992","+23,925","+30,223","+33,749","+33,349"
"284","5225","東科-KY","60.5","-1.3","-2.1","08/27","+142","+99.3","+165","+816","+1,977","+3,419","+999","+8,303","+7,918","+13,680"
"285","7777","能率亞洲","40.15","-1.35","-3.25","08/27","+84.6","+644","+808","+808","+521","-324","+315","+2,008","","+2,991"
"286","3556","禾瑞亞","62.9","+0.2","+0.32","08/27","0","+37.3","+186","+804","+449","-138","+10,080","+11,821","+11,563","+12,068"
"287","7712","博盛半導體","160","+4","+2.56","08/27","+109","+92.9","+484","+802","+690","+965","-1,333","+1,497","+2,844","+1,555"
"288","6166","凌華","116.5","-0.5","-0.43","08/27","+318","+483","+738","+785","+1,371","+3,858","-749","-3,705","-8,536","-3,677"
"289","4772","台特化","265","-0.5","-0.19","08/27","+1,017","+652","+755","+785","+5,348","+2,543","+14,854","+161,808","+141,038","+201,067"
"290","3044","健鼎","490","+9","+1.87","08/27","-436","-5.93","-504","+781","-18,893","-10,446","-118,832","-172,992","-117,150","-221,922"
"291","6834","天二科技","94.2","+2.6","+2.84","08/27","+707","+1,122","+462","+781","+1,805","+1,858","+7,558","+6,436","+7,093","+6,149"
"292","009824","群益美國科技巨頭","10.01","+0.04","+0.4","08/27","+680","+693","+759","+765","+765","+225","","","",""
"293","6693","廣閎科","178.5","+11.5","+6.89","08/27","-402","+98.7","-243","+761","-2,548","+4,948","-187","+987","+883","-345"
"294","4968","立積","92","-1.6","-1.71","08/27","-103","+405","-14.5","+756","+2,144","-1,295","-728","+30,785","+65,825","+44,312"
"295","5285","界霖","83.4","-0.6","-0.71","08/27","+1,014","+512","+719","+753","+1,076","-309","+1,564","+1,757","+4,288","+854"
"296","6411","晶焱","80.1","+0.6","+0.75","08/27","+88.1","+184","+515","+750","+3,194","+4,378","+5,730","+4,924","+15,163","-785"
"297","00997A","主動群益美國增長","11.28","-0.09","-0.79","08/27","-88.8","+464","+749","+749","+746","-10,093","+9,582","","",""
"298","6226","光鼎","34","+3.05","+9.85","08/27","+3.07","+47.9","+153","+744","+1,179","+2,638","+3,049","+3,096","+3,096","+3,096"
"299","1722","台肥","44.6","0","0","08/27","-3,545","-3,505","-2,484","+743","+7,656","+11,667","-68,630","+47,537","+72,173","+53,285"
"300","3694","海華","50.8","-0.7","-1.36","08/27","+72.7","+109","+168","+737","+2,493","+14,562","+15,689","+19,688","+31,002","+28,830"
