排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
64,00909,國泰數位支付服務,47.82,0.87,1.85,08/28,0.35,0.4,0.47,1.12,0.9,1.35,7.6,54.7,50.8,65.9,,69.5
65,00731,復華富時高息低波,93.95,0.45,0.48,08/28,0.11,0.57,1.15,1.12,0.8,1.29,3.78,17.9,41.2,85.0,,34.3
66,4912,聯德控股-KY,99.2,1.0,1.02,08/28,0.3,1.27,1.35,1.11,1.25,2.05,-0.03,1.26,-4.32,-2.59,-3.7,-2.07
67,5498,凱崴,58.1,4.8,9.01,08/28,0.7,0.56,0.87,1.07,0.52,0.38,1.85,0.04,-3.3,-1.18,-0.75,-6.61
68,1717,長興,77.7,1.9,2.51,08/28,0.2,1.2,1.09,1.07,0.97,3.0,0.59,-0.21,-0.78,-1.77,0.18,-0.03
69,2603,長榮,231.5,-1.0,-0.43,08/28,-0.06,0.31,0.37,1.06,4.38,5.81,7.54,9.4,9.02,8.42,2.58,12.1
70,3003,健和興,72.1,3.2,4.64,08/28,0.77,1.14,1.12,1.06,0.78,3.13,3.43,3.39,3.17,5.38,0.11,3.76
71,3498,陽程,189.5,-14.0,-6.88,08/28,0.17,0.27,0.33,1.05,4.33,8.02,1.11,11.5,11.5,11.0,12.1,9.76
72,5340,建榮,84.8,2.4,2.91,08/28,-0.04,-0.08,0.93,1.05,0.79,-1.02,1.35,-1.0,0.57,-1.25,0.35,-3.61
73,6259,百徽,31.75,1.5,4.96,08/28,0.81,0.99,1.1,1.02,-0.71,-0.39,0.89,1.83,1.98,2.07,-0.78,1.99
74,2009,第一銅,41.3,-0.5,-1.2,08/28,0.0,-0.14,0.45,1.02,1.12,3.01,0.76,0.65,1.98,3.91,-4.32,2.42
75,00400A,主動國泰動能高息,15.0,0.19,1.28,08/28,0.85,1.56,1.78,1.02,1.37,7.85,3.07,,,,,
76,3234,光環,181.5,1.5,0.83,08/28,0.34,0.58,0.44,1.0,2.3,6.38,7.33,6.31,8.07,9.65,6.08,8.13
77,00885,富邦越南,18.53,-0.05,-0.27,08/28,0.11,0.31,0.39,1.0,0.88,0.82,1.93,10.7,34.4,94.2,,14.0
78,00995A,主動中信台灣卓越,17.45,0.32,1.87,08/28,0.57,1.02,0.98,0.99,1.25,11.4,10.8,10.6,,,,
79,3034,聯詠,545.0,-3.0,-0.55,08/28,-0.06,-0.05,0.31,0.99,1.22,2.48,6.58,13.4,13.8,-3.96,-13.2,15.0
80,4577,達航科技,88.2,8.0,9.98,08/28,0.34,0.43,0.93,0.99,0.84,1.11,-0.14,-3.41,0.31,0.09,,0.85
81,00401A,主動摩根台灣鑫收,13.77,0.14,1.03,08/28,0.22,0.55,1.84,0.96,3.04,8.94,14.2,,,,,
82,6933,AMAX-KY,260.0,23.5,9.94,08/28,0.45,0.34,0.7,0.89,0.74,1.96,2.01,1.82,1.95,,,1.53
83,2313,華通,241.0,-3.0,-1.23,08/28,0.02,0.59,1.08,0.89,0.77,0.84,-6.74,-9.46,-5.58,1.87,0.77,-12.8
84,8071,能率網通,24.5,0.1,0.41,08/28,0.03,0.17,0.62,0.88,1.17,-1.2,0.52,0.31,1.24,1.34,1.26,2.23
85,4716,大立,19.15,1.7,9.74,08/28,0.47,0.7,0.84,0.88,0.76,-0.38,-0.83,-0.63,-0.98,0.23,0.32,0.11
86,00728,第一金工業30,69.2,0.95,1.39,08/28,0.64,0.51,0.93,0.88,0.82,1.18,0.75,0.02,2.21,15.5,,2.02
87,2340,台亞,34.25,0.05,0.15,08/28,0.12,0.13,0.64,0.87,0.87,1.59,1.05,1.65,-0.79,-3.05,-9.66,1.87
88,2337,旺宏,126.5,-1.0,-0.78,08/28,-0.02,0.36,0.69,0.84,0.21,0.05,-4.37,0.92,12.4,7.09,38.2,6.61
89,6782,視陽,241.5,-2.0,-0.82,08/28,-0.6,-0.76,-0.37,0.83,1.12,4.07,4.15,3.41,1.74,7.72,,3.84
90,00683L,期元大美元指正2,21.25,0.0,0.0,08/28,0.0,0.0,0.0,0.83,0.61,-4.27,-2.63,13.8,23.1,28.4,,13.1
91,3550,聯穎,24.3,0.4,1.67,08/28,0.55,0.75,0.69,0.83,1.11,-1.16,2.28,4.54,3.75,5.13,5.53,4.85
92,6829,千附精密,238.0,-2.5,-1.04,08/28,-0.12,0.19,0.86,0.83,1.32,1.92,1.11,2.25,2.21,2.83,,2.23
93,8099,大世科,62.2,-0.7,-1.11,08/28,-0.09,-0.11,0.8,0.82,0.89,0.92,0.61,0.5,0.53,0.6,0.52,0.42
94,1802,台玻,60.8,1.6,2.7,08/28,0.4,0.2,0.73,0.82,0.83,0.97,0.03,-1.33,-1.55,-3.06,-0.3,2.38
95,4977,眾達-KY,172.0,0.5,0.29,08/28,0.66,-0.07,0.63,0.82,-0.02,-0.95,2.01,-6.12,1.88,-1.77,-41.5,2.07
96,3131,弘塑,2485.0,-5.0,-0.2,08/28,0.07,0.28,0.58,0.81,0.46,-0.6,-2.94,4.55,9.17,19.7,30.2,15.9
97,2342,茂矽,40.55,0.4,1.0,08/28,0.38,-0.14,0.82,0.81,-0.47,-0.37,-2.21,1.87,-2.66,1.13,-14.0,2.89
98,3287,廣寰科,38.4,1.55,4.21,08/28,0.63,0.84,0.65,0.8,0.84,0.47,0.91,1.46,1.73,-1.55,1.27,0.73
99,6456,GIS-KY,74.3,2.5,3.48,08/28,0.49,0.83,1.03,0.79,1.38,2.32,0.6,-4.91,-7.9,-3.97,-17.2,-6.7
100,00406A,主動中信台灣收益,9.81,0.11,1.13,08/28,0.0,-0.12,0.98,0.79,0.78,0.77,,,,,,
101,6532,瑞耘,89.2,-1.4,-1.55,08/28,0.34,0.66,0.9,0.78,-0.51,-1.0,0.34,-2.28,-1.04,0.18,,-1.69
102,6668,中揚光,44.6,1.65,3.84,08/28,0.18,0.39,1.01,0.78,0.82,1.0,0.22,0.2,-1.53,-0.22,,0.13
103,2615,萬海,111.5,-2.0,-1.76,08/28,0.07,-0.14,0.17,0.78,2.65,4.02,6.09,8.52,11.0,9.31,10.7,8.61
104,6515,穎崴,6250.0,145.0,2.38,08/28,-0.06,0.53,0.65,0.78,1.7,2.78,4.15,5.06,10.7,14.8,,5.04
105,3066,李洲,27.5,2.5,10.0,08/28,0.36,0.66,0.87,0.77,0.77,-0.09,1.46,2.62,2.75,2.73,2.7,2.65
106,5471,松翰,61.7,0.2,0.33,08/28,0.49,0.88,0.73,0.77,0.7,-1.32,0.17,-2.75,-2.5,-2.32,-2.8,-2.31
107,3221,台嘉碩,48.8,-0.45,-0.91,08/28,-0.11,0.08,0.69,0.76,1.61,2.83,-1.59,0.14,-1.72,1.04,-3.41,-0.91
108,6426,統新,263.5,4.0,1.54,08/28,1.21,0.48,0.48,0.75,-0.39,-0.3,0.78,-2.28,-6.19,2.78,1.52,1.5
109,4991,環宇-KY,520.0,-18.0,-3.35,08/28,0.69,1.4,1.84,0.74,-1.21,-1.75,0.3,2.79,6.24,9.68,-1.97,1.77
110,00991B,貝萊德A級公司債,14.81,-0.11,-0.74,08/28,0.55,0.55,0.7,0.7,0.7,,,,,,,
111,4976,佳凌,39.15,-0.85,-2.12,08/28,-0.14,-0.62,1.2,0.7,0.41,1.58,-2.89,-1.33,-1.81,1.66,-0.44,-4.32
112,4771,望隼,206.0,-5.5,-2.6,08/28,-0.07,0.15,0.59,0.69,0.71,2.5,3.17,4.44,4.66,,,4.86
113,009812,野村日本東證,12.89,0.09,0.7,08/28,0.0,0.33,0.45,0.69,0.22,-0.06,1.92,6.89,,,,6.1
114,8299,群聯,2150.0,-5.0,-0.23,08/28,-0.02,0.25,0.26,0.69,0.49,-0.26,-1.07,-5.9,-8.73,-7.81,-8.75,-10.8
115,2612,中航,60.2,-1.8,-2.9,08/28,-0.28,0.01,0.01,0.69,1.65,1.81,1.45,-0.18,0.17,4.38,2.98,2.29
116,2302,麗正,43.85,-0.15,-0.34,08/28,-0.4,-0.71,0.65,0.68,-0.78,0.87,-1.47,-1.32,-1.55,0.11,-6.02,0.14
117,4540,全球傳動,60.2,-1.2,-1.95,08/28,-0.91,0.4,0.5,0.68,0.31,0.39,-4.09,-0.2,-1.01,-0.3,,-0.3
118,2408,南亞科,540.0,-1.0,-0.18,08/28,-0.02,0.95,1.05,0.66,1.73,5.5,2.91,4.88,8.17,-0.28,-2.14,3.47
119,00656R,國泰中國A50反1,5.83,-0.02,-0.34,08/28,0.0,-1.87,-1.87,0.66,0.91,1.11,4.0,4.0,3.41,1.75,18.2,4.0
120,00700,富邦恒生國企,17.39,0.0,0.0,08/28,-0.19,-0.21,-0.04,0.65,0.53,4.31,9.52,36.2,56.7,77.6,,45.6
121,2892,第一金,34.4,1.05,3.15,08/28,0.3,0.38,0.46,0.65,0.91,0.67,1.05,-0.62,1.47,2.34,1.83,-0.58
122,6438,迅得,151.0,2.5,1.68,08/28,0.29,0.49,0.56,0.64,0.93,1.87,0.61,3.65,-5.37,-3.91,,0.34
123,2467,志聖,610.0,25.0,4.27,08/28,0.41,0.7,0.8,0.64,1.37,1.75,1.95,5.16,14.0,16.7,14.8,8.09
124,2070,精湛,67.1,-1.2,-1.76,08/28,0.1,0.5,0.75,0.63,0.72,0.06,0.84,-0.82,-2.9,0.27,,-0.58
125,6224,聚鼎,74.5,-1.7,-2.23,08/28,0.12,0.1,0.08,0.63,1.6,1.8,1.93,2.52,1.9,2.79,-0.94,3.17
