" "," ","#","股票代號/名稱","類別","20260123","0130","0206","0211","0226","0306"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","86","6706惠特","光電","-4.54","5.09","-1.08","-5.38","4.60","3.04"," ","30","1.73"," ","31.34","127.50","3.50"," "
" "," ","87","2495普安","電腦週邊","1.22","-1.05","0.30","0.52","0.39","0.33"," ","10","1.71"," ","50.28","33.10","2.70"," "
" "," ","88","3030德律","其他電子","-0.42","-0.77","1.02","-0.76","0.89","1.75"," ","50","1.71"," ","63.06","277.50","-0.50"," "
" "," ","89","1215卜蜂","食品","0.74","-0.10","0.11","0.05","0.25","0.65"," ","50","1.70"," ","66.41","153.50","-1.50"," "
" "," ","90","7795長廣","電子零組件","0.00","0.67","-1.25","0.00","0.97","1.29"," ","50","1.68"," ","74.91","400.00","11.50"," "
" "," ","91","6215和椿","其他電子","0.57","-0.03","-0.34","-0.02","0.44","1.06"," ","50","1.68"," ","32.97","111.50","4.00"," "
" "," ","92","3702大聯大","電子通路","0.19","0.23","0.11","0.14","0.54","0.47"," ","30","1.68"," ","82.61","74.50","1.00"," "
" "," ","93","6671三能-KY","居家","1.55","0.00","0.03","0.02","0.02","0.03"," ","41","1.65"," ","72.66","31.45","0.85"," "
" "," ","94","2401凌陽","半導體","0.47","0.55","-0.01","0.05","0.40","0.19"," ","30","1.65"," ","35.77","20.90","-0.40"," "
" "," ","95","4739康普","化學","1.47","-0.21","-1.13","-0.01","1.05","0.48"," ","30","1.65"," ","43.52","77.90","2.00"," "
" "," ","96","3023信邦","電子零組件","-0.78","1.00","0.54","0.65","0.29","-0.08"," ","10","1.62"," ","66.80","246.50","5.50"," "
" "," ","97","2236百達-KY","汽車","-0.07","0.02","0.60","0.56","0.12","0.39"," ","31","1.62"," ","75.68","113.00","-0.50"," "
" "," ","98","1101台泥","水泥","0.18","0.39","0.37","0.25","0.35","0.07"," ","30","1.61"," ","54.69","24.60","-0.50"," "
" "," ","99","1712興農","化學","0.41","0.37","0.08","0.20","0.00","0.55"," ","31","1.61"," ","58.95","46.15","-0.90"," "
" "," ","100","1582信錦","電子零組件","-0.29","-0.07","-0.43","0.26","0.82","1.30"," ","50","1.59"," ","32.52","90.30","-1.10"," "
" "," ","101","6243迅杰","半導體","-0.87","1.24","-0.12","0.18","0.11","1.02"," ","31","1.56"," ","26.97","32.15","-0.55"," "
