"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"153","2633","台灣高鐵","25.9","0","0","08/19","63.9","66.9","50.8","61.4","72","57.1","74.6","72.8","69.4","58.2","","72"
"154","6811","宏碁資訊","225.5","+3","+1.35","08/19","39.8","58.3","50.7","36.4","40.7","34.1","28.5","27.4","29","21.6","","28"
"155","6863","永道-KY","110.5","+1.5","+1.38","08/19","38.2","59","50.7","49.8","38.5","28.8","29.5","26.6","15.6","2.02","","25.3"
"156","3138","耀登","95.4","+0.4","+0.42","08/19","49.6","59.8","50.6","47.9","43.2","44.3","31.4","26.8","24.1","24","","24.5"
"157","6161","捷波","50.4","+0.2","+0.4","08/19","46.2","51.1","50.5","41","18.1","17.6","19","20.1","19","20.2","10.2","20.4"
"158","5478","智冠","98.8","0","0","08/19","40.6","42","50.4","49.4","35.2","37.9","20.8","24.2","32.1","26.7","19.2","25.2"
"159","6776","展碁國際","53.2","-0.2","-0.37","08/19","45.1","41.6","50.3","28.9","32.3","34.4","33.5","26.3","22.2","21.4","","22.3"
"160","2497","怡利電","44.6","-0.45","-1","08/19","61.1","57.2","50.3","47.6","41.8","41.3","30.7","29.3","30.4","24","17.9","29.5"
"161","1618","合機","38.5","+0.05","+0.13","08/19","36.5","34.8","50.3","27.1","22.8","24.2","24.3","26.4","26.9","22.2","19.8","25.3"
"162","6937","天虹","265","-5","-1.85","08/19","60.6","50.3","50.2","36","27.1","29.4","30.1","22.3","12.9","","","21.6"
"163","2414","精技","51.9","-0.5","-0.95","08/19","78.6","67.8","50.2","43.8","42.3","43","34.2","32","31.9","25.7","21.3","31.8"
"164","5234","達興材料","294.5","-8.5","-2.81","08/19","72.3","52","50.2","49.4","50.7","50.4","45.7","40","33.8","30.4","24.4","37.2"
"165","5464","霖宏","70.7","-1.9","-2.62","08/19","63.8","50.1","50.1","43","41.5","38","27.5","20","19.5","17.1","10.2","19.9"
"166","2236","百達-KY","126","+2","+1.61","08/19","30.6","32.1","50","35.6","35.9","42.5","35.7","32.8","27.5","23.6","19.6","32.3"
"167","3010","華立","130","+2","+1.56","08/19","50.2","49.4","50","46.5","32.3","39.8","39.5","36.3","35","33.1","29.4","35.4"
"168","4915","致伸","59.8","+0.4","+0.67","08/19","39","44.7","50","52.5","47.4","46.3","47.6","53.4","51.6","45.3","34.2","53"
"169","1446","宏和","13.6","-0.1","-0.73","08/19","48.7","43.5","50","25.8","26.6","31.6","25.9","23.2","24.4","27.4","19.3","22.7"
"170","6613","朋億*","251","-4","-1.57","08/19","48.5","50.8","50","49.7","41.4","40","29.8","28.8","29.8","27.5","","29.2"
"171","3015","全漢","53.7","0","0","08/19","45.7","49.1","50","40.1","38.3","43.3","26.7","27.4","29.8","25.5","21.3","27.9"
"172","2476","鉅祥","119","-0.5","-0.42","08/19","60.4","53.5","49.9","50","40.6","39.5","32.2","29.9","28.1","26","22.2","29.8"
"173","2102","泰豐","18.55","-0.1","-0.54","08/19","65.7","54.2","49.9","31.6","27.1","27.6","29.8","35.6","34.4","29.9","17","32.8"
"174","6994","富威電力","34.8","-0.6","-1.69","08/19","54.6","58.4","49.8","40.8","36.7","39.4","28.7","21","15.1","","","20.9"
"175","6231","系微","213.5","-7.5","-3.39","08/19","54.9","48.3","49.8","43.1","32.1","35.7","30.6","28","26.3","25.3","17.5","28.2"
"176","4721","美琪瑪","73.1","-0.9","-1.22","08/19","40.2","54.6","49.8","46.2","39","38.5","27.9","26.1","25.5","21.7","9.03","26"
"177","3217","優群","136","+0.5","+0.37","08/19","65.6","59.3","49.7","49.2","48.7","45.4","30.7","28.7","29.7","25","14.2","29.4"
"178","9918","欣天然","42.4","-0.05","-0.12","08/19","55.1","61.3","49.7","42.7","31.5","35","31.2","5.86","5.6","4.59","2.94","5.84"
"179","9933","中鼎","41.2","-0.6","-1.44","08/19","53.3","50.7","49.7","33.3","30.2","37.4","36","25.3","15.8","5.68","2.85","23.3"
"180","4174","浩鼎","25.6","-0.15","-0.58","08/19","52.9","41.2","49.7","46.6","43.2","40.1","32.3","31.2","26.7","26.6","18.7","29.2"
"181","1603","華電","30.45","+0.1","+0.33","08/19","26.9","42.1","49.6","23.5","24.1","23.5","28","37.5","32.3","25.2","20.4","32.8"
"182","6123","上奇","42.85","+0.15","+0.35","08/19","29.9","28.5","49.6","47.8","24.4","20.6","22","18.4","15.2","12.8","6.72","17.4"
"183","8249","菱光","39.75","-0.2","-0.5","08/19","44.7","49.2","49.6","43","34.3","31","23.8","19.7","6.63","0.93","0.67","16.4"
"184","8488","吉源-KY","9.87","-0.03","-0.3","08/19","40.7","50.8","49.6","50","46.9","45.4","41.1","23","12.9","6.57","","22.7"
"185","6183","關貿","93.3","+0.5","+0.54","08/19","44.8","58.9","49.6","48.2","34.8","29.7","27.9","28.6","25","20.2","11.6","26.3"
"186","3580","友威科","77.8","-2.2","-2.75","08/19","65.8","53.7","49.5","32.1","30.4","32","28.5","25.5","24.9","19.4","14","25"
"187","6112","邁達特","44.1","+0.2","+0.46","08/19","56.9","52.3","49.4","27.3","18.8","24.7","27.7","28.6","28.5","21.1","18.9","28.8"
"188","2352","佳世達","28.75","+0.4","+1.41","08/19","40.5","48.2","49.4","48.5","50.2","44.4","36.5","36.6","35.5","36.3","26","36.9"
"189","2881","富邦金","128.5","-1","-0.77","08/19","68.7","45","49.3","50.8","55.3","54.7","47.3","49.8","51.6","51.1","48.2","49"
"190","2064","晉椿","12.45","+0.05","+0.4","08/19","49.3","49.3","49.3","48.5","45.3","47.2","40","30","32.5","19.6","7.48","29.2"
"191","2059","川湖","14095","-275","-1.91","08/19","66.3","53.2","49.3","47.2","41.7","46.6","49.6","47.8","47.6","36.8","34.9","45.6"
"192","9938","百和","42.2","+1","+2.43","08/19","37.3","46.3","49.2","47","38.4","40.2","40.9","38.6","21.1","5.6","1.75","36.9"
"193","00989A","主動摩根美國科技","16.94","-0.41","-2.36","08/19","56.1","52.7","49.2","30.6","15.9","16.4","11.6","10.4","","","","9.73"
"194","2524","京城","34","-0.35","-1.02","08/19","47.4","52.4","49","39.9","42.6","40.9","31.5","33.9","30","26.8","22.8","33.3"
