"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"238","1434","福懋","17.5","-0.05","-0.28","1,153","08/19","-110","-126","-237","-210","-258","-1,033","+4,146","+4,340","+5,096","+4,889"
"239","2395","研華","694","+15","+2.21","4,740","08/19","+94","+122","+85","-207","-357","+84","-120","-965","+1,237","-351"
"240","3645","達邁","65.9","-0.9","-1.35","884","08/19","-140","-154","-229","-207","+169","-544","-6,334","-4,076","-7,869","-3,166"
"241","1336","台翰","17.35","-0.15","-0.86","347","08/19","+6","-30","-48","-205","-70","-123","-32","-68","+54","-6"
"242","5328","華容","63.1","+0.6","+0.96","12,712","08/19","-16","-233","-241","-205","+402","+1,698","+1,373","+2,403","+4,542","+2,000"
"243","2374","佳能","66.9","-0.4","-0.59","1,851","08/19","-7","-111","0","-203","-482","-2,575","-7,093","-5,253","-2,858","-2,844"
"244","6271","同欣電","194","-1","-0.51","2,572","08/19","+34","+10","-125","-203","-707","+201","-783","+1,656","+3,197","+1,920"
"245","00965","元大航太防衛科技","26.52","-0.43","-1.6","1,198","08/19","-3","-63","-82","-202","-343","-300","-2,099","-2,875","-4,037","-2,629"
"246","2543","皇昌","38.1","-0.15","-0.39","998","08/19","+18","-17","-90","-202","-23","-1,583","-3,360","-5,897","-16,469","-6,527"
"247","00967B","元大優息美債","8.94","+0.06","+0.68","158","08/19","0","0","0","-200","-200","0","0","-2","-146","-3"
"248","00671R","富邦NASDAQ反1","2.44","+0.03","+1.24","4,449","08/19","-23","-100","-120","-199","-698","-5,151","-13,799","-11,534","+3,258","-13,447"
"249","1513","中興電","164","-3","-1.8","2,254","08/19","+26","+70","+119","-199","-494","-1,023","-1,975","-2,868","-1,323","-1,473"
"250","8131","福懋科","61","-1.2","-1.93","1,545","08/19","-9","-166","-201","-198","+93","-1,707","-3,016","-5,509","+3,746","-4,921"
"251","1806","冠軍","8","-0.02","-0.25","228","08/19","-63","-111","-109","-193","-298","-330","-278","-443","-152","-93"
"252","3026","禾伸堂","690","+22","+3.29","1,797","08/19","-104","-406","-762","-192","+3,486","+1,618","+145","+7,905","+10,495","+7,549"
"253","2412","中華電","136","-1","-0.73","7,121","08/19","-23","-189","-221","-190","-1,633","-1,220","+1,333","+1,243","+1,299","+1,050"
